language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Portuguese,Brazil,valor.com.br,scrapai,5908,https://valor.globo.com/mundo/noticia/2024/04/03/entenda-o-que-causou-o-terremoto-em-taiwan.ghtml,Entenda o que causou o terremoto em Taiwan,"Taiwan sofreu o terremoto mais forte registrado nos últimos 25 anos em seu território, perto de sua costa leste. Nove pessoas morreram e pelo menos 882 ficaram feridas após o desastre ocorrido nesta quarta-feira. Afinal, por que isso aconteceu? Taiwan: Vídeos mostram destruição deixada pelo terremoto; veja FT: terremoto em Taiwan é alerta sobre riscos sísmicos para o fornecimento global de chips Filipinas e Japão cancelam alertas de tsunami Jonas Souza, professor de Geografia da Universidade Federal da Paraíba (UFPB), explica que Taiwan encontra-se em um local conhecido como o Círculo de Fogo do Pacífico , no qual os países estão acima das bordas da placa tectônica Eurasiana — que se estende do sudeste asiático até o oeste das Américas. “Os terremotos acontecem através de movimentações tectônicas. A crosta terrestre é formada por placas tectônicas que se movimentam e acabam gerando energia. Em alguns momentos, as placas se movimentam mais rapidamente, e essa energia é liberada e gera os movimentos sísmicos”, disse o professor. O especialista pontua que a maior parte da energia sísmica dos terremotos normalmente está localizada nas bordas das placas tectônicas e, por conta disso, os países nestas localidades estão mais suscetíveis aos abalos sísmicos, como é o caso de Taiwan. O terremoto registrou magnitude 7,2 na escala Richter. Ele foi localizado na costa de Hualien, a 34 quilômetros de profundidade no oceano Pacífico, de acordo com a administração meteorológica central do país, que afirmou que este foi o maior tremor a atingir a ilha desde setembro de 1999. Terremoto em Taiwan aconteceu na noite desta terça (2) — Foto: TVBS via AP Além do impacto na ilha, o terremoto provocou alertas de tsunami na província japonesa de Okinawa e em parte das Filipinas. Os mortos e feridos em Taiwan foram vítimas de quedas de edifícios e de grandes deslizamentos de terra em encostas próximas de áreas residenciais. Os governos locais de Hualien e da cidade de Nova Taipei anunciaram que suspenderão o trabalho e as aulas escolares durante o dia. Possibilidade de novos terremotos Souza explica que após a ocorrência de abalos sísmicos, é comum o registro de réplicas dessas movimentações, inclusive em países vizinhos. “Quando há a liberação de muita energia para um terremoto, é muito comum ter réplicas desses abalos sísmicos. Logo após o terremoto em Taiwan, foi registrada uma réplica de magnitude nível 6. É muito difícil prever terremotos, então não há como projetar a possibilidade de novos terremotos”, disse o especialista. O especialista ainda pontua que esses abalos sísmicos podem atingir, novamente, países vizinhos, principalmente com a ocorrência de tsunamis. “É preciso destacar, também, que os países sujeitos a terremotos constantemente têm uma série de protocolos de proteção, além de uma capacidade grande de absorver esses impactos”, acrescentou. Impactos do terremoto em outros países A Agência Meteorológica japonesa mediu uma magnitude preliminar de 7,5, aler...",0.5222,0.4989,extreme event,west nile virus,high_climate,no,no,no,Taiwan earthquake explanation - seismic,,
Portuguese,Portugal,jornaleconomico.sapo.pt,scrapai,12801,https://jornaleconomico.sapo.pt/noticias/lideres-empresariais-estao-a-ter-mais-acoes-para-atingir-objetivos-de-sustentabilidade/,Líderes empresariais estão a ter mais ações para atingir objetivos de sustentabilidade,"Os líderes empresariais têm falado menos de sustentabilidade, contudo têm tido mais ações neste campo, segundo revela o estudo da Bain&Company. De acordo com os dados recolhidos, em 2024 cerca de 54% dos CEOs associavam sustentabilidade a valor para o negócio, um aumento de 18% face a 2018.

Francisco Sepúlveda, partner da Bain em Lisboa, afirma que “após os primeiros anos de grandes ambições e discussão de metas, os CEOs fizeram no último ano uma reflexão realista sobre a sua agenda de sustentabilidade. Hoje poderão falar menos sobre o tema, mas o que não expressam em palavras traduzem-no em ação — passaram do ‘dizer’ ao ‘fazer’”.

“O estudo que apresentamos mostra que cada vez mais compradores B2B procuram fornecedores sustentáveis e que os consumidores B2C valorizam de forma crescente este fator, premiando as empresas que oferecem produtos inovadores, acessíveis e sustentáveis”, explica.

A inteligência artificial (IA) veio impulsionar as empresas a serem mais sustentáveis, prova disso é que as empresas que adotaram esta tecnologia registaram uma redução do consumo energético, do desperdício, melhoraram a segurança no trabalho e aceleraram o progresso destas nos seus objetivos de sustentabilidade.

Dos 400 executivos inquiridos, 80% veem uma oportunidade grande ou muito grande na IA para apoiar as suas iniciativas de sustentabilidade, contudo 50% afirma ainda estar numa fase inicial de testes e exploração destas aplicações.

Apesar de ser uma ferramenta muito útil, os setores devem estar atentos ao impacto ambiental do crescimento da IA. Os dados da ferramenta Intersect da Bain, estima que, num cenário de elevado crescimento, os centros de dados e a IA poderão emitir 810 milhões de toneladas de CO₂ por ano até 2035, o equivalente a 2% das emissões globais e 17% das industriais.

“A inteligência artificial deixou de ser opcional — é hoje essencial para desbloquear impacto sustentável. Enquanto muitas empresas ainda estão em fase de testes, líderes já aplicam a IA para reduzir energia e desperdício, melhorar a segurança e acelerar metas ambientais, capturando simultaneamente valor de negócio. A mensagem é clara: a IA não deve ser vista como um extra, mas integrada de forma estratégica e ambiciosa no centro da agenda de sustentabilidade.”, afirma Diogo Rebelo, senior manager da Bain.",0.5575,0.5087,environmental change,quality of life,high_climate,yes,no,no,"Business leaders taking more sustainability actions, ESG",,
Portuguese,Brazil,valor.com.br,scrapai,2513,https://valor.globo.com/impresso/noticia/2024/03/18/clima-de-preocupacao.ghtml,Clima de preocupação,"— Foto: Camille Collin/Divulgação A economista francesa Laurence Tubiana, arquiteta-chave do Acordo de Paris, vê o maior tratado global climático em risco nove anos após sua criação. “A tendência é positiva, mas há pouca ação e não temos implementação suficiente das medidas”, disse Tubiana em entrevista a Daniela Chiaretti. “Estamos longe de chegar lá, precisamos de dinheiro.” Saiba Mais “A crise do clima não liga para a diplomacia”, diz Tubiana Já é assinante? Faça o seu login Mais recente Próxima Reeleito pela 5ª vez, Putin fica no poder até 2030 Conheça o Valor One Acompanhe os mercados com nossas ferramentas Acessar gratuitamente",0.5854,0.5282,changing climate,west nile virus,high_climate,yes,no,no,"Climate of concern: Paris Agreement at risk, Laurence Tubiana interview",,
Portuguese,Portugal,jornaleconomico.sapo.pt,scrapai,8686,https://jornaleconomico.sapo.pt/noticias/edp-e-schneider-electric-unem-se-em-davos-para-financiar-empreendedores-da-transicao-energetica-justa/,EDP e Schneider Electric unem-se em Davos para financiar empreendedores da transição energética justa,"A EDP e a Schneider Electric apresentaram esta semana em Davos o EDGE Transition, à margem da 56.ª reunião anual do World Economic Forum (WEF), onde a EDP voltou a marcar presença com a participação de Miguel Stilwell d’Andrade, CEO, e de Pedro Vasconcelos, administrador executivo do grupo.

A EDP e a Schneider Electric decidiram unir esforços para lançar uma iniciativa global de inovação social que visa colocar o empreendedorismo no centro de uma transição energética justa e inclusiva.

O projeto surge como uma resposta direta à necessidade de apoiar soluções que combatam a precariedade energética e promovam a sustentabilidade em comunidades vulneráveis.

O EDGE Transition foi desenhado para atuar como uma ponte estratégica entre o ecossistema empresarial e os empreendedores sociais. O programa foca-se em áreas críticas como o acesso a energia limpa, o reforço da eficiência energética e a criação de emprego especializado no setor.

A iniciativa prevê mecanismos de incubação e aceleração de projetos; de mentoria especializada e validação técnica; e de apoio ao desenvolvimento de negócio para atrair investimento internacional.

Atualmente em fase de mobilização, o EDGE Transition procura integrar três novos patrocinadores para escalar o seu alcance global. As empresas que se juntarem ao projeto deverão assumir um compromisso financeiro de três anos, podendo envolver-se através de investimento direto ou integrando estas inovações nas suas próprias cadeias de valor.

Esta iniciativa reforça a estratégia global de impacto social da EDP, denominada Y.E.S. – You Empower Society. O grupo mantém a meta de investir cerca de 30 milhões de euros anuais até 2030, apoiando mais de 500 projetos sociais em diversas geografias.

Miguel Stilwell d’Andrade sublinhou a importância deste modelo, citando exemplos de sucesso como o programa Entama, que já promove a economia local e a fixação de população em zonas de baixa densidade em Portugal e Espanha.

Ao apresentar o EDGE Transition num palco global como Davos, a EDP e a Schneider Electric reafirmam que a transição energética só será plena se for capaz de gerar benefícios sociais tangíveis, garantindo que a inovação tecnológica caminha lado a lado com a equidade social.",0.5188,0.4692,climate action,extreme poverty,high_climate,yes,no,no,EDP and Schneider Electric unite at Davos for green financing,,
Portuguese,Brazil,valor.com.br,scrapai,5531,https://valor.globo.com/mundo/noticia/2024/04/04/terremoto-de-magnitude-61-sacode-o-japo-na-mesma-regio-de-fukushima.ghtml,"Terremoto de magnitude 6,1 sacode o Japão na mesma região de Fukushima","Um terremoto de magnitude 6,1 abalou a região japonesa de Fukushima, no nordeste do país, informou a Agência Meteorológica do Japão, que no entanto não emitiu alerta de tsunami. Inicialmente, não foram relatados danos ou vítimas devido ao tremor, cujo epicentro foi a 40 quilômetros de profundidade. O sismo também foi sentido em Tóquio. Leia mais Terremoto mais forte em 25 anos atinge Taiwan O que se sabe sobre o terremoto em Taiwan e suas consequências O Japão é um dos países com maior atividade sísmica do mundo e tem regulamentos rigorosos para garantir que os edifícios e as infraestruturas resistam aos terremotos mais poderosos. O arquipélago de 125 milhões de habitantes sofre cerca de 1.500 terremotos todos os anos, embora a grande maioria seja moderada. O Serviço Geológico dos Estados Unidos (USGS) estimou a magnitude do terremoto de quinta-feira em 6,1 e localizou seu epicentro a uma profundidade de 40,1 quilômetros. O abalo ocorre um dia depois de um terremoto de magnitude 7,4, segundo o USGS, ter matado nove pessoas e ferido mais de mil em Taiwan. O terremoto provocou a ativação de um alerta de tsunami em Taiwan, Filipinas e Japão, embora tenha sido posteriormente descartado. O terremoto mais poderoso registrado no Japão ocorreu em março de 2011 e também na costa nordeste do país. O tremor de magnitude 9, seguido por um tsunami, deixou cerca de 18.500 pessoas mortas ou desaparecidas. O evento também destruiu três reatores da usina nuclear de Fukushima, no pior desastre nuclear desde Chernobyl. Mais recente Próxima FT: Agricultura da África precisa  produzir mais para que região se torne celeiro do mundo Agora o Valor Econômico está no WhatsApp! Siga nosso canal e receba as notícias mais importantes do dia! Conhecer",0.5387,0.5143,extreme event,west nile virus,high_climate,no,no,no,Japan earthquake magnitude 6.1 - seismic,,
Portuguese,Portugal,jornaleconomico.sapo.pt,scrapai,20455,https://jornaleconomico.sapo.pt/noticias/perspectivas-para-2026/,Perspectivas para 2026,"É necessário começar por salientar que o crescimento em 2025 acabou por se revelar melhor do que o temido, face às disrupções trazidas por Trump, sobretudo com as tarifas, com o seu impacto directo e os efeitos negativos da incerteza que decorreu do longo período até ao seu esclarecimento.

As economias europeias revelaram uma notável resiliência, enquanto os EUA tiveram a sorte de assistir a uma explosão do investimento em IA, que mascarou o efeito recessivo de várias das novas políticas (tarifas, repressão musculada da imigração, ataque à independência da Reserva Federal, “shutdown” da administração pública, etc.).

A perspectiva central para os EUA e a UE é a de um ligeiro abrandamento da actividade em 2026, mantendo-se próximo da tendência, pelo que seria um ano “normal”. O problema principal são os riscos face a esta cenário de referência. Um dos mais significativos vem exactamente da IA, que tem ajudado duplamente a economia americana, quer pelo forte investimento em centros de dados, fornecimento de electricidade e processadores, quer pelas subidas da bolsa das empresas especializadas nesta tecnologia, o que, por seu turno, tem feito com que os consumidores se sintam mais ricos e gastem mais.

A IA pode ser muito promissora, mas é também uma extraordinária incógnita. Será este tipo de IA que irá vingar? Será com estas empresas? Será a este ritmo? Haverá capacidade de aumentar o fornecimento de energia à escala necessária? E um longuíssimo etc. Têm-se multiplicado os avisos de que estaremos perante uma bolha especulativa centrada na IA. Assistiremos a um crash bolsista em 2026? Não sabemos, mas, se acontecer, terá impactos económicos muito mais profundos do que o rebentar da bolha dotcom, em 2000, porque a economia dos EUA está hoje muito mais dependente da IA do que estava do investimento na internet no final dos anos 90.

Para além dos riscos económicos, há também as incertezas geopolíticas, que se vêm prolongando. No entanto, também aqui o seu impacto tem sido bastante menor do que chegou a ser receado.

Em termos nacionais, começaremos o ano com as eleições presidenciais, cuja principal incógnita será se vamos ter um PR que promova a criação de consensos reformistas e estabilidade governativa num parlamento fragmentado, ou se vai permitir que esta fragmentação se transforme numa instabilidade paralisante que desprestigia a democracia e alimenta os extremos.

Em termos económicos, até existe a expectativa consensual na generalidade das instituições de que 2026 será de crescimento um pouco superior ao do ano que finda. Seria mais um ano a repetir o resultado pouco estimulante dos últimos anos, com um desempenho não especialmente bom, mas sobretudo com fraca qualidade, demasiado baseado na criação do emprego e com resultados muito fracos no aumento da produtividade. Será que é no próximo ano que iremos assistir a resultados palpáveis da anunciada reforma do Estado? Os licenciamentos do investimento vão mesmo acelerar? A produtividade vai f...",0.5408,0.5189,changing climate,undernourishment,high_climate,no,no,no,Perspectives for 2026 - economic outlook,,
Portuguese,Brazil,valor.com.br,scrapai,4528,https://valor.globo.com/brasil/noticia/2024/03/25/alckmin-brasil-e-protagonista-nos-principais-debates-do-mundo-como-seguranca-alimentar-e-clima.ghtml,"Alckmin: Brasil é protagonista nos principais debates do mundo, como segurança alimentar e clima","O Brasil é protagonista nos principais debates do mundo neste momento, como segurança alimentar , energética e clima , afirmou nesta segunda-feira (25) o vice-presidente e ministro do Desenvolvimento, Indústria, e Serviços, Geraldo Alckmin . “O Brasil está entre os grandes produtores de alimentos do mundo e é campeão energia limpa. Da nossa matriz, 55% é de energia hidrelétrica e 35% é eólica ou solar, e essa [última] parcela é crescente”, afirmou o vice-presidente, que participa do seminário “Brasil rumo à COP30”, realizado pela Editora Globo com apresentação da CCR. “Temos inúmeras oportunidades no país, de descarbonização e de insumos verdes no país.” Alckmin lembrou que o país é, também, um dos mais vulneráveis às mudanças climáticas, com dois terços dos municípios relatando algum problema relacionado ao clima em 2023, o ano mais quente em 74 anos. “O Brasil tem compromisso com o combate às mudanças climáticas e descarbonização”, reforçou, ressaltando que metade das emissões do país é devido apenas ao desmatamento. “Fomos bem-sucedidos nesse caso, somente ano passado reduzimos em 50% o desmatamento na Amazônia”, comemorou. O vice-presidente notou que a derrubada da mata na Amazônia é uma atividade associada à grilagem e que a região é uma das de menor titulação no país. “Grileiro derruba com expectativa de ter titulação e vender. É muito importante avançar nessa questão”, disse. Alckmin afirmou também que o país tem oportunidades nas áreas de produção de energia limpa e insumos de baixo carbono, dado a oferta de energia eólica e solar, especialmente no Nordeste, e que vai avançar na descarbonização do combustível, citando o plano de elevar a mistura de biodiesel e álcool anidro no diesel e na gasolina. Vice-presidente e ministro do Desenvolvimento, Indústria, e Serviços, Geraldo Alckmin — Foto: Rafa Neddermeyer/Agência Brasil Mais recente Próxima Solução do caso Marielle era aguardada pela sociedade, diz Alckmin Conheça o Valor One Acompanhe os mercados com nossas ferramentas Acessar gratuitamente",0.5427,0.4883,climate action,west nile virus,high_climate,yes,no,no,"Brazil protagonist in food security, energy and climate debates",,
Portuguese,Portugal,jornaleconomico.sapo.pt,scrapai,12476,https://jornaleconomico.sapo.pt/categoria/economia/energia-economia/,Energia | Jornal Económico,"Ao apresentar esta limitação dos preços dos combustíveis, o primeiro-ministro croata disse que o seu objetivo é a segurança do fornecimento e preços mais acessíveis para os cidadãos e as empresas da Croácia.
O Governo anunciou esta sexta-feira que vai avançar com uma “redução temporária e extraordinária” de 3,55 cêntimos por litro no ISP aplicável, no continente, ao gasóleo rodoviário.
Vladimir Putin diz que há “novos mercados” que pagam mais pelo gás russo do que a Europa. E prevê que fornecedores americanos deixem o mercado europeu, quando estes “compradores premium” surgirem, a pagar mais do que a Europa.
Apesar da vontade das gasistas americanas de beneficiarem com a alta dos preços na Europa, os analistas duvidam que os EUA consigam substituir completamente o Qatar.",0.5523,0.5631,carbon emission,west nile virus,high_climate,no,no,no,Junk - Energy section page header,,
Portuguese,Portugal,jornaleconomico.sapo.pt,scrapai,17286,https://jornaleconomico.sapo.pt/noticias/aralab-fatura-12-milhoes-ate-setembro-e-entra-nos-eua/,Aralab fatura 12 milhões até setembro e entra nos EUA,"A portuguesa Aralab, que desenvolve soluções de controlo e ensaios climáticos para aplicações científicas e industriais, encerrou os primeiros nove meses do ano com uma faturação de 12 milhões de euros, um crescimento de 30% face ao mesmo período de 2024.

O objetivo até ao final do ano, além de atingir os 20 milhões de euros de faturação, passa também pela entrada no mercado norte-americano e reforço da presença no mercado europeu.

Este crescimento reflete uma dinâmica positiva dos mercados internacionais onde a Aralab tem ganho projetos relevantes. Em destaque estão contratos estratégicos, como um projeto de meio milhão de euros na Alemanha na área da Crop Science, outro de 400 mil euros na Suíça para a área de investigação em plantas, e um aumento expressivo de atividade no setor ferroviário francês.",0.5190,0.5467,global heating,west nile virus,high_climate,no,no,no,Aralab revenues 12 million - company results,,
Portuguese,Brazil,opovo.com.br,newsapi,787,https://www.opovo.com.br/noticias/economia/2026/03/18/bc-riscos-de-alta-e-baixa-para-inflacao-se-intensificaram-com-conflitos-no-oriente-medio.html,BC: Riscos de alta e baixa para inflação se intensificaram com conflitos no Oriente Médio,"No documento, o colegiado manteve os mesmos destaques no balanço de riscos que já havia feito em reuniões anteriores.

Entre os riscos de alta para o cenário, ressaltou uma desancoragem das expectativas de inflação por período mais prolongado; uma maior resiliência na inflação e de serviços do que a projetada em função de um hiato do produto mais positivo; e uma conjunção de política econômicas externa e interna que tenham impacto inflacionário maior que o esperado, por exemplo, por meio de uma taxa de câmbio persistentemente mais depreciada.

Entre os riscos de baixa, o Copom destacou uma eventual desaceleração da atividade econômica doméstica mais acentuada do que a projetada, tendo impactos sobre o cenário de inflação; uma desaceleração global mais pronunciada decorrente do choque de comércio e de um cenário de maior incerteza; e uma redução nos preços das commodities com efeitos desinflacionários.",0.5601,0.5535,rising temperatures,undernourishment,high_climate,no,no,no,Central bank: inflation risks intensify - economics,,
