language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Romanian,health,0.5400,0.0400,0.5387,no,0.4927,0.5387,undernourishment,heatwaves,undernourishment,adevarul_ro,Patimile gospodinei. Ce punem pe masca de Paşti,https://adevarul.ro/blogurile-adevarul/patimile-gospodinei-ce-punem-pe-masca-de-pasti-2092964.html,7694,1106
Romanian,health,0.5400,0.0400,0.5388,no,0.4990,0.5388,west nile virus,environmental changes,west nile virus,adevarul_ro,"Care este volumul de lemn exploatat în România? O poveste, câteva statistici oficiale, interpretări",https://adevarul.ro/blogurile-adevarul/care-este-volumul-de-lemn-exploatat-in-romania-o-2123332.html,7694,1106
Romanian,health,0.5400,0.0400,0.5390,no,0.4577,0.5390,deaths,climate crisis,deaths,adevarul_ro,Cine a emis certificatul constatator al decesului pentru morţii din azilele groazei? Pe cine a sesizat?,https://adevarul.ro/blogurile-adevarul/cine-a-emis-certificatul-constatator-al-decesului-2284017.html,7694,1106
Romanian,health,0.5400,0.0400,0.5395,no,0.4969,0.5395,west nile virus,heatwaves,west nile virus,adevarul_ro,Legenda Atlantykron a ajuns la ediţia 33,https://adevarul.ro/blogurile-adevarul/legenda-atlantykron-a-ajuns-la-editia-33-2181409.html,7694,1106
Romanian,health,0.5400,0.0400,0.5395,no,0.4916,0.5395,west nile virus,climate crises,west nile virus,adevarul_ro,Armata rusă se retrage în Donbas cu coada între picioare. Susţine că a „rezolvat” Ucraina...,https://adevarul.ro/blogurile-adevarul/armata-rusa-se-retrage-in-donbas-cu-coada-intre-2158000.html,7694,1106
Romanian,health,0.5400,0.0400,0.5396,no,0.5065,0.5396,west nile virus,climate crisis,west nile virus,adevarul_ro,"Annalena Baerbock: „Din Rusia, doar propagandă nouă“",https://adevarul.ro/blogurile-adevarul/annalena-baerbock-din-rusia-doar-propaganda-2180192.html,7694,1106
Romanian,health,0.5400,0.0400,0.5397,no,0.5213,0.5397,west nile virus,environmental change,west nile virus,adevarul_ro,"Un apel nobil, umanist şi totalmente inutil",https://adevarul.ro/blogurile-adevarul/un-apel-nobil-umanist-si-totalmente-inutil-2138664.html,7694,1106
Romanian,health,0.5400,0.0400,0.5400,no,0.5100,0.5400,undernourishment,environmental change,undernourishment,adevarul_ro,"Taiwanul trimite ajutoare în Ucraina, China nu confirmă, dar spune că vrea să ajute Afganistanul. China la zi",https://adevarul.ro/blogurile-adevarul/taiwanul-trimite-ajutoare-in-ucraina-china-nu-2153476.html,7694,1106
Romanian,health,0.5400,0.0400,0.5402,YES,0.4677,0.5402,west nile virus,heatwaves,west nile virus,adevarul_ro,Cele 10 mituri privind Tezaurul României de la Moscova,https://adevarul.ro/blogurile-adevarul/cele-10-mituri-privind-tezaurul-romaniei-de-la-2099649.html,7694,1106
Romanian,health,0.5400,0.0400,0.5404,YES,0.5048,0.5404,west nile virus,climate crises,west nile virus,adevarul_ro,Alternativa la „Drumul Mătăsii’ a fost prezentată la reuniunea G20: de asta lipsit președintele Chinei?,https://adevarul.ro/blogurile-adevarul/alternativa-la-drumul-matasii-a-fost-prezentata-2298788.html,7694,1106
Romanian,health,0.5400,0.0400,0.5404,YES,0.5126,0.5404,west nile virus,extreme heat,west nile virus,adevarul_ro,Cum să asculţi gratis „muzică de calitate“,https://adevarul.ro/blogurile-adevarul/cum-sa-asculti-gratis-muzica-de-calitate-2065152.html,7694,1106
Romanian,health,0.5400,0.0400,0.5404,YES,0.4711,0.5404,west nile virus,climate crises,west nile virus,adevarul_ro,Marin Gherman şi Centrul Media Bucpress din Cernăuţi,https://adevarul.ro/blogurile-adevarul/marin-gherman-si-centrul-media-bucpress-din-2148322.html,7694,1106
Romanian,health,0.5400,0.0400,0.5405,YES,0.4756,0.5405,west nile virus,climate crises,west nile virus,adevarul_ro,"Gambitul lui Putin pregăteşte un nou summit cu Biden (războiul puţin probabil, dar posibil)",https://adevarul.ro/blogurile-adevarul/gambitul-lui-putin-pregateste-un-nou-summit-cu-2136157.html,7694,1106
Romanian,health,0.5400,0.0400,0.5407,YES,0.4908,0.5407,west nile virus,heatwave,west nile virus,adevarul_ro,Cum au votat europarlamentarii noştri în cazul Rezoluţiei PE privind declararea Uniunii Europene ca o zonă a libertăţilor pentru comunitatea LGBTIQ,https://adevarul.ro/blogurile-adevarul/cum-au-votat-europarlamentarii-nostri-in-cazul-2082302.html,7694,1106
Romanian,health,0.5400,0.0400,0.5411,YES,0.4704,0.5411,west nile virus,environmental changes,west nile virus,adevarul_ro,EXCLUSIV Ambasadorul Egiptului în România: Dorim universităţi româneşti în ţara noastră,https://adevarul.ro/blogurile-adevarul/exclusiv-ambasadorul-egiptului-in-romania-dorim-2133238.html,7694,1106
Romanian,health,0.5400,0.0400,0.5414,YES,0.4897,0.5414,casualties,heatwaves,casualties,adevarul_ro,Jurnalul unui director al primei scene purtând numele sacru Ion Luca Caragiale,https://adevarul.ro/blogurile-adevarul/jurnalul-unui-director-al-primei-scene-purtand-2260255.html,7694,1106
