language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Finnish,health,0.5800,0.0400,0.5798,no,0.4982,0.5798,west nile virus,heatwave,west nile virus,iltalehti_fi,Novavaxin rokote suojaa täysin vakavia tautimuotoja vastaan,https://www.iltalehti.fi/ulkomaat/a/a8fcb81b-e9fc-4964-bfea-9d8c9ea8b573,27659,4770
Finnish,health,0.5800,0.0400,0.5798,no,0.5086,0.5798,west nile virus,heatwave,west nile virus,iltalehti_fi,Venäjä uhkailee toista lähimaata Ukrainan kohtalolla,https://www.iltalehti.fi/ulkomaat/a/0f63045c-0f4d-41ab-81c1-e0e8fd8bf099,27659,4770
Finnish,health,0.5800,0.0400,0.5799,no,0.5227,0.5799,casualties,heatwave,casualties,iltalehti_fi,Ylämaan koirasudet saa ampua,https://www.iltalehti.fi/kotimaa/a/f6f0aac8-252e-4b40-adfb-71cb3b2bf1d0,27659,4770
Finnish,health,0.5800,0.0400,0.5799,no,0.5315,0.5799,malnourishment,climate crisis,malnourishment,iltalehti_fi,"Aiu, 5, ja Ninetta, 6, halusivat ilahduttaa – jakoivat naapuristoon 120 hyvänmielenviestiä: ”Olet tärkeä”",https://www.iltalehti.fi/kotimaa/a/5b0a895e-52ee-4d9d-82ca-b8f39ee721da,27659,4770
Finnish,health,0.5800,0.0400,0.5799,no,0.5513,0.5799,west nile virus,heatwave,west nile virus,iltalehti_fi,Helmarit saa pakkasedun – jäätyykö Portugali ratkaisevassa EM-karsintamatsissa?,https://www.iltalehti.fi/jalkapallo/a/06618895-1228-4cb4-b663-5ab5236df1fd,27659,4770
Finnish,health,0.5800,0.0400,0.5799,no,0.5188,0.5799,west nile virus,climate crisis,west nile virus,iltalehti_fi,Politiikan puskaradio: Nigerialainen separatisti hämmentää kokoomuksessa,https://www.iltalehti.fi/politiikka/a/3d46e5b6-5f4c-474b-9f3b-9657deaab884,27659,4770
Finnish,health,0.5800,0.0400,0.5800,no,0.5401,0.5800,hunger,heatwave,hunger,iltalehti_fi,Päivän suloisimmat kuvat - Berliinin eläintarhan pienet pandakaksoset söpöilevät,https://www.iltalehti.fi/fiidi/a/8692ed8b-a0f3-4fa1-ae02-d187ae821867,27659,4770
Finnish,health,0.5800,0.0400,0.5800,no,0.5495,0.5800,west nile virus,heatwave,west nile virus,iltalehti_fi,Jopa 800 000 sähköauton tiedot vuosivat nettiin jopa sentin tarkkuudella,https://www.iltalehti.fi/autouutiset/a/3d192fbe-2d40-4491-b447-0ea1f45a85ea,27659,4770
Finnish,health,0.5800,0.0400,0.5800,YES,0.5356,0.5800,west nile virus,climate crisis,west nile virus,iltalehti_fi,"Amerikkalaisvaimon hullusta ideasta syntyi unelmien miniatyyrikoti –""jokainen perheenjäsenemme on talossa”",https://www.iltalehti.fi/iltvviihde/a/eaa58876-1596-45c4-b29a-57c338755bbd,27659,4770
Finnish,health,0.5800,0.0400,0.5800,YES,0.5131,0.5800,casualties,heatwave,casualties,iltalehti_fi,James Williamson kunnosti ambulanssista matkailuauton,https://www.iltalehti.fi/iltv-lifestyle/a/ea58c6c9-6b35-4a6d-bfdf-d1dee80296f8,27659,4770
Finnish,health,0.5800,0.0400,0.5801,YES,0.4987,0.5801,chikungunya,heatwave,chikungunya,iltalehti_fi,H10N3-lintuinfluenssa tarttui ensi kertaa ihmiseen Kiinassa,https://www.iltalehti.fi/ulkomaat/a/179cf658-02e9-4796-a104-d31b82630fd5,27659,4770
Finnish,health,0.5800,0.0400,0.5801,YES,0.5549,0.5801,west nile virus,heatwave,west nile virus,iltalehti_fi,Tästä syystä kaikki haluavat nyt Kuuhun,https://www.iltalehti.fi/ulkomaat/a/fc1f0dd1-48ec-4055-8f36-67f1114e77da,27659,4770
Finnish,health,0.5800,0.0400,0.5801,YES,0.5200,0.5801,west nile virus,heatwave,west nile virus,iltalehti_fi,Toveri: Venäjällä kestää saada reserviä rintamalle,https://www.iltalehti.fi/ulkomaat/a/8dc35005-4627-433b-93ba-22630a45fe0e,27659,4770
Finnish,health,0.5800,0.0400,0.5801,YES,0.5392,0.5801,west nile virus,heatwave,west nile virus,iltalehti_fi,Ukrainan sodan tapahtumat 19.11.2022,https://www.iltalehti.fi/ulkomaat/a/9119914d-bd50-49b5-b869-9be619c6b706,27659,4770
Finnish,health,0.5800,0.0400,0.5802,YES,0.5088,0.5802,west nile virus,heatwave,west nile virus,iltalehti_fi,"Republikaanit ihmeissään Trumpin väitteistä: ""Mitä me puolustamme?""",https://www.iltalehti.fi/ulkomaat/a/3d61688d-3062-452c-9226-0a78d330b7a3,27659,4770
Finnish,health,0.5800,0.0400,0.5802,YES,0.5342,0.5802,casualties,heatwave,casualties,iltalehti_fi,"Sadat ihmiset kokoontuivat Marokossa murhatun Louisan, 24, hautajaisiin Tanskassa - mukana suremassa myös pääministeri",https://www.iltalehti.fi/ulkomaat/a/d4f084b9-c4d8-4d7e-8dd3-a2294fc6b7c1,27659,4770
