language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Albanian,Israel,panorama.com.al,newsapi,1241,https://www.panorama.com.al/lufta-ne-lindjen-e-mesme-sekretari-amerikan-i-energjise-kriza-e-cmimeve-ne-tregje-do-te-zgjase-vetem-disa-jave/,"Lufta në Lindjen e Mesme, Sekretari Amerikan i Energjisë: Kriza e çmimeve në tregje do të zgjasë vetëm disa javë!","Presidenti i SHBA-ve, Donald Trump, duket i shqetësuar për ndikimin që rritja e çmimeve të energjisë mund të ketë tek konsumatorët amerikanë, sipas Sekretarit të Energjisë të vendit, Chris Wright.

Duke folur për rrjetin 'Fox News', ai vlerësoi se trazirat në tregjet e energjisë (hidrokarburet) do të jenë të kufizuara në kohë, duke theksuar se priten ""vetëm disa javë"" paqëndrueshmërie.

Sekretari iu referua gjithashtu një postimi të bërë në llogarinë e tij në mediat sociale, i cili deklaroi - gabimisht - se Marina Amerikane shoqëroi një tanker që kaloi nëpër Ngushticën e Hormuzit.

Ai vetë mori përgjegjësinë për incidentin, duke shpjeguar se postimi ishte rezultat i një ""keqkuptimi"".

Në një intervistë me emisionin ""America's Newsroom"", Wright u zotua se në të ardhmen do të shqyrtonte personalisht postimet e publikuara në llogaritë e tij në mënyrë që të shmangte gabime të ngjashme.

Ndërhyrja e ministrit vjen në një kohë nervozizmi në rritje në tregjet e energjisë, pasi zhvillimet në Lindjen e Mesme ndikojnë në lëvizjen e naftës përmes rrugëve kritike detare.",0.5372,0.5391,climate crisis,west nile virus,high_climate,no,no,no,"Energy prices from Middle East conflict, not climate",,
Albanian,Serbia,koha.net,newsapi,1241,https://www.koha.net/arberi/temperatura-pranverore-edhe-gjate-javes-se-ardhshme-ne-kosove,Temperatura pranverore edhe gjatë javës së ardhshme në Kosovë - KOHA.net,"Java e ardhshme parashihet të vazhdojë me mot të mirë, intervale të gjata me diell dhe me riga të pakta shiu gjatë së hënës dhe të premtes.

Sipas Institutit Hidrometeorologjik të Kosovës, temperaturat minimale gjatë javës pritet të lëvizin ndërmjet -1 dhe 3 gradë celsius, ndërsa maksimalet e ditës do të sillen nga 13 deri në 17 gradë celsius.

Të hënën, moti parashihet të jetë i vranët dhe me intervale me diell. Vranësirat vende-vende mund të sjellin riga të dobëta shiu.

Temperaturat minimale do të lëvizin ndërmjet 0 dhe 2 gradë celsius, ndërsa minimalet nga 13 deri në 15 gradë celsius.

Të martën do të ketë mot kryesisht me diell. Temperaturat minimale pritet të mbajnë nga -1 deri në 2 gradë celsius, ndërsa maksimalet 13-17.

Edhe të mërkurën do të mbajë mot i njëjtë si i një dite më parë, teksa temperaturat maksimale do të rriten vetëm për 15-18 gradë celsius.

Të enjten do të ketë mot të vranët dhe me intervale me diel. Temperaturat më të ulëta do të sillen rreth 0-3 gradë celsius, kurse maksimalet nga 15 deri në 17 gradë.

Kurse të premten moti do të mbajë me intervale me diell dhe vranësira, e vende-vende parashihet të ketë riga shiu. Temperaturat më të ulëta do të sillen rreth 0-2 gradë celsius, ndërsa më të lartat nga 13 deri në 15 gradë celsius.",0.5716,0.5158,temperature rises,extreme poverty,high_climate,no,no,no,Routine weekly weather forecast for Kosovo,,
Albanian,Serbia,koha.net,newsapi,1967,https://www.koha.net/bote/pica-ushqimi-qe-po-paralajmeron-sulmet-amerikane,"Pica, ushqimi që po paralajmëron sulmet amerikane - KOHA.net","Pica po del sërish të jetë ushqimi i cili paralajmëron i pari për sulmet ushtarake që mund t'i kryejnë Shtetet e Bashkuara të Amerikës.

Në kohën e sulmeve të kryera në Iran, krahas Izraelit, përcjellësit e shitjeve treguan se rreth Pentagonit pati rritje të madhe të shitjes së picave.

Zinxhiri i ""Domino's"" shënoi rritje të shitjes për 326 për qind, ""Pizzato"" për 208 për qind, e ""Extreme Pizza"" për 127 për qind, mbi nivelin normal.

Kjo ndodh kur zyrtarët ushtarakë amerikanë qëndrojnë në ambientet e Pentagonit më gjatë në përgatitje të planeve ose përcjellje të tyre.

Sinjali kishte ndodhur edhe në kohën e aktiviteteve të tjera të forcave amerikane. Ngjashëm kishte ndodhur edhe kur SHBA-ja kreu aksionin në Venezuelë për kapjen e Nicolas Maduros në janar.",0.5196,0.5738,rising temperatures,west nile virus,high_climate,no,no,no,Pizza sales spike near Pentagon during military operations,,
Albanian,Israel,panorama.com.al,newsapi,422,https://www.panorama.com.al/kaosi-me-karburantet-kreu-i-konfindustrise-rama-po-ben-show-politik-shqiperia-e-carmatosur-perballe-krizes-ja-s-ana-rrezikon-nafta/,"Kaosi me karburantet, kreu i Konfindustrisë: Rama po bën show politik, Shqipëria e çarmatosur përballë krizës! Ja s ana rrezikon nafta","Shqipëria është e çarmatosur përballë krizës së karburanteve, kurse qeveria bën shou me situatën duke mos i dalë përballë me qasjen e saj dhe zgjidhjet.

Kështu u shpreh sot në një lidhje me ""News 24"" kreu i ""Konfindustrisë"", Gjergj Buxhuku, ku analizoi konfliktin në Lindjen e mesme dhe pasojat që i sjell Shqipërisë kriza e karburanteve.

Ai e cilësoi absurde edhe deklaratën e fundit të kryeministrit Edi Rama që u tha bizneseve që të mos fitonin, por pa ofruar një zgjidhje në rast të rritjes së çmimit të karburanteve në arenën ndërkombëtare.

Buxhuku theksoi se fitimi është thelbësor në funksionimin e tregut dhe se nuk mund t'u kërkohet bizneseve të heqin dorë nga ai. Sipas tij, qeveria duhet të ndërhyjë si rregullatorë e tregut për të gjitha palët e prekura.

""Një qeveri duhet të ndërhyjë përmes politikave dhe mekanizmave rregullatorë për të shmangur fitimet e tepërta në kohë krize, dhe jo përmes thirrjeve publike ndaj operatorëve privatë. Nuk mund të kërkohet nga bizneset që të mos fitojnë, kjo bie ndesh me vetë parimet e ekonomisë së tregut.

Buxhuku ngriti gjithashtu shqetësimin se Shqipëria është e papërgatitur për përballimin e krizave të tilla, duke shtuar se vendi duhej të kishte nxjerrë mësime nga pasojat ekonomike të lufta Rusi-Ukrainë dhe duhet të ishin marrë masa prej kohësh. Ai shtoi se të ardhurat shtesë të krijuara nga kriza duhet t'u kthehen qytetarëve, veçanërisht shtresave më të prekura si pensionistët, duke e konsideruar këtë si një detyrim ekonomik dhe moral të qeverisë.

""Shqipëria është e çarmatosur në përballjen e pasojave të një krize të rëndë që po ndodh në botë. Shqipëria nuk duhet të ishte krejtësisht e çarmatosur, por situata është kjo që është. Edhe ekonomikisht është e pranueshme që të lehtësohet pesha e krizës së karburanteve, por dhe e moralshme që ato para që janë grumbulluar si pasojë e krizës, t'i kthehet qytetarëve. Kryeministri bëri shou politik. Deklarata e Ramës ishte pranim në formën e tij të kërkesës tonë. Dhe ai e ka të qartë që këto janë para të krijuara nga kriza dhe ai thotë; do t'i shpërndaj për pensionistët. Ai tha që pranonte në mënyrën e tij se ka të ardhura shtesë që duhen shpërndarë për atë pjesë që është më e goditur, pensionistët"", u shpreh Buxhuku.

Dhe më tej komentoi mbi problematikën e situatës dhe se si duhet zgjidhur ajo. Ai kritikoi qasjen e qeverisë që i thotë bizneseve ""mos fitoni"".

""Por kush është problemi? Problemi është; shtylla e parë; tallje e madhe për një vendimmarrje politike të përgjegjshme. Ulesh me tregtarët e karburanteve dhe t'u lutesh atyre që mos të fitojnë, ndërkohë që thelbi i ekonomisë së tregut është fitimi. Kryeministri me një mënyrë, që është tallje e madhe për inteligjencës, t'u kërkojë atyre që ata të heqin dorë nga ajo që çdo qenie që punon në ekonominë e tregut do të bënte; fitimin maksimal. Nuk mundet që qeveria e një vendi që t'u lutet bizneseve që; mos fitoni ju. Logjika për një qeveri normale është që nuk do të lejonte bizneset që mos të krijonin fitime të...",0.5219,0.4975,climate crisis,undernourishment,high_climate,no,no,no,Albanian fuel price crisis from Middle East conflict,,
Albanian,Israel,panorama.com.al,newsapi,66,https://www.panorama.com.al/lexoni-faqen-e-pare-te-gazetes-panorama-dhe-panorama-sport-2478/,"Lexoni faqen e parë të gazetës ""Panorama"" dhe ""Panorama Sport""","Në faqen e parë të gazetës ""Panorama"" do të lexoni:

""Qeveri teknike dhe zgjedhje pa Ramën kryeministër"", përplasje me policinë gjatë protestës së opozitës, sulmi ndaj Berishës

TAKIMI ME KINEZET/ ""Po ndryshojmë imazhin e Kinës në Perëndim"", Rama: Progresi i Pekinit, i jashtëzakonshëm

Protesta e PD, ironizon Salianji: Lidershipi premtoi rrëzimin e Ramës, por pamë xhiro në bulevard

Lista me trashëgimtarët që marrin këstin e parë

Ndahet nga jeta ish-prokurori Mueller. Trump: Jam i lumtur që vdiq

Nga Prenk Jakova te Tish Daia, gjurmët në muzikë

Lexoi poezi në gjyq, si e sfidoi diktaturën Kudret Kokoshi, dosja

OPINIONE

""Flash""-i me provat e Ballukut, si dosja ""Epstein""/ VALENTINA MADANI

Bektashinjtë, sa janë me origjinë familjare/ EDUARD ZALOSHNJA

Në faqen e parë të gazetës ""Panorama Sport"" do të lexoni:

Sfida e së vërtetës. Silvinjo: E kemi një manual për Poloninë

Tirana ""fluturon"" me Xhixhën, Trashi fundos Flamurtarin

Vllaznia rikthehet në krye, Dinamo jep sinjale

Martini: Donim fitoren, habitem nga ""nëndetësja""

Daja: Jemi brenda objektivave, luftojmë në të dy frontet

Teuta-Partizani, katër gola dhe vetëm nga 1 pikë

Stopohet Laçi, buzëqeshin Skënderbeu dhe Pogradeci

Interit i mbaron ""bateria"", rihapet loja për titullin

Milani tripletë Torinos, Juvja gabon me Sasuolon

Spektakël në derbi, Reali është ""mbret"" në Madrid

Man. Siti i merr kupën Arsenalit, ja situata në Premier",0.5236,0.5652,extreme event,west nile virus,high_climate,no,no,no,Junk - newspaper front page listing,,
Albanian,Israel,panorama.com.al,newsapi,788,https://www.panorama.com.al/greqia-goditet-nga-nje-tjeter-termet-panik-te-banoret-sa-ishte-forca-e-lekundjeve-epiqendra-dhe-raportimet-e-para/,"Greqia goditet nga një tjetër tërmet, panik te banorët! Sa ishte forca e lëkundjeve, epiqendra dhe raportimet e para!","Greqia është goditur sot (16 mars) nga një tjetër tërmet, duke shkaktuar panik dhe frikë te banorët.

Lëkundjet e cilësuara prej ekspertëve si mesatarisht të forta, ndodhën në zonën e Chanias.

Tërmeti kishte forcën 3.8 ballë të shkallës Rihter dhe me shtrirje në zonën e Kretës.

Sipas Institutit Gjeodinamik të Athinës, tërmeti u regjistrua 16 km në jug-juglindje të Sougias, në një thellësi fokale prej 5 km.

Prej 8 marsit, Greqia është goditur nga një valë e pandërprerë lëkundjesh sizmike në të gjithë territorin e saj, ku më i forti ishte ai i Janinës (po 8 mars), 5,3 ballë dhe që shkaktoi dëme të konsiderueshme dhe gjendje të jashtëzakonshme.

Të fundit u regjistruan të shtunën, me forcë 4,8 ballë, po në zonën e Kretës, por nuk u raportuan dëme dhe të lënduar.",0.5329,0.5613,extreme event,west nile virus,high_climate,no,no,no,"Earthquake in Greece - seismic event, not climate",,
Albanian,Israel,panorama.com.al,newsapi,787,https://www.panorama.com.al/nderprerje-masive-te-energjise-elektrike-ne-kube-mbi-10-milione-njerez-pa-energji-elektrike-prej-muajsh-pa-nafte-per-shkak-te-sanksioneve-nga-shba/,"Ndërprerje masive të energjisë elektrike në Kubë, mbi 10 milionë njerëz pa energji elektrike! Prej muajsh pa naftë për shkak të sanksioneve nga SHBA","Zyrtarët në Kubë raportuan sot (16 mars) se kishte një ndërprerje të përgjithshme të energjisë elektrike në të gjithë vendin, i cili ka rreth 11 milionë banorë.

Ministria e Energjisë dhe Minierave i tha X se kishte pasur një ""shkëputje të plotë"" të rrjetit elektrik të vendit dhe tha se po kryente një hetim.

Incidenti, i cili nuk është i pari, por duket të jetë një nga më të këqijtë, vjen ndërsa krizat e energjisë dhe ekonomike përkeqësohen.

Associated Press kujton se Presidenti Kuban Miguel Diaz-Canel paralajmëroi të premten se ishulli nuk kishte marrë naftë për më shumë se tre muaj dhe po operonte me energji diellore, gaz natyror dhe termocentrale.

Një ndërprerje masive e energjisë elektrike një javë më parë goditi anën perëndimore të ishullit, duke lënë miliona njerëz pa energji elektrike.

Kuba ia ka fajësuar për problemet e saj embargon energjetike të SHBA-së, me Presidentin Donald Trump që paralajmëroi në janar për tarifa ndaj çdo vendi që shet ose furnizon naftë ishullit.",0.5392,0.5628,climate crises,undernourishment,high_climate,no,no,no,"Cuba power outage from oil embargo, not climate",,
Albanian,Serbia,koha.net,newsapi,1253,https://www.koha.net/arberi/per-tre-vjet-pothuajse-asnje-megavat-nuk-iu-shtua-sistemit-nga-energjia-e-riperteritshme,"Për tre vjet, pothuajse asnjë megavat nuk iu shtua sistemit nga energjia e ripërtëritshme - KOHA.net","""Brenda tre vjetësh do të arrihet kapacitet deri në 500 megavatë i energjisë së ripërtëritshme, duke i shtuar kapacitetet e energjisë diellore"". Pothuajse asnjë megavat nuk i është shtuar sistemit energjetik që kur ministrja Artane Rizvanolli e ka dhënë këtë deklaratë më 7 qershor 2022.

Sistemit nuk iu shtuan as dy projektet për ndërtimin e parqeve solare me kapacitete nga 100 megavatë që Qeveria Kurti 2 i proklamoi zëshëm.

Sipas të dhënave të Zyrës së Rregullatorit për Energji, Kosova aktualisht prodhon vetëm 280 megavatë nga energjia e ripërtëritshme.

E në Ministrinë e Ekonomisë thonë se në periudhën 2021 - 2025, kapacitetet e instaluara të Burimeve të Ripërtëritshme janë afër 134 megavatë. Aty përfshihet projekti i ndërtimit të parkut solar në Bajgorë me kapacitet prej 105 megavatësh, që i përket vitit 2021, e po ashtu edhe projekti prej 1.2 megavatësh nga biomasa.

""Kapaciteti i instaluar i BRE-ve që kanë hyrë në operim gjatë periudhës 2021-2025 ka qenë 133.89 MW. Nga ky kapacitet, 103.41 MË kanë qenë turbina të erës, 4 MË sisteme fotovoltaike, 25.28 MW hidrocentrale dhe 1.2 MW nga biomasa. Po ashtu ka filluar projekti për 100 MW solare, 100 MW nga Era dhe 100 MW solare nga projekti solar i KEK-ut, Solar4Kosovo"", thuhet në përgjigjen e Ministrisë së Ekonomisë.

Por, në këtë dikaster nuk janë përgjigjur pse nuk është përmbushur zotimi i ministres Rizvanolli, që kapacitetet nga burimet e ripërtritshme të arrijnë në 500 megavat brenda tre vjetëve.

E me këtë ritëm, Kosova është larg përmbushjes së objektivave të Strategjisë për Energji 2022-2031, në të cilën parashihet që brenda 9 vjetësh kapaciteti i përgjithshëm i instaluar i energjisë së ripërtëritshme të arrijë në 1,600 megavatë.

""Zhvillimi i kapaciteteve të reja nga BRE-të, 600 MW erë, 600 MW fotovoltaike, 20 MË biomasë dhe të paktën 100 MË kapacitet nga konsumatorët vetë-prodhues, për të arritur një kapacitet të përgjithshëm të instaluar të BRE-ve prej 1600 MW deri në vitin 2031"", thuhet në Strategjinë për Energji.

Për të përmbushur këtë objektiv, sipas ekspertit të energjisë Adhurim Haxhimusa do të duhej që brenda vitit të shtoheshin rreth 250 megavatë energji nga burimet e ripërtëritshme.

""Në bazë të së kaluarës vërejmë në letargji institucionale dhe se vështirë se do të arrihen këto qëllime. Mirëpo presim dhe shpresojmë që institucionet të reflektojnë dhe të marrin hapat e nevojshëm që t'i implementojnë reformat e nevojshme dhe për të dizajnuar tregun në atë formë që jep nxitjet e nevojshme për t'i sjellë këto investime dhe këto kapacitete deri në 2032-tën"", është shprehru Haxhimusa.

Në maj 2023, Qeveria e pati hapur ankandin e parë për parkun me energji solare me kapacitet prej 100 megavatësh. Por, projekti që është paraparë të ndërtohet në Kramovik të Rahovecit, aktualisht është në fazën e kontraktimit të kompanisë për Inxhinieri, Prokurim dhe Ndërtim të centralit solar.

E projekti solar i KEK-ut, ""Solar4Kosovo"" është ende në fazën e parakualifikimit në kuadër të procesit tend...",0.5079,0.5322,global heating,west nile virus,high_climate,yes,no,no,"Kosovo renewable energy targets unmet, solar/wind capacity",,
Albanian,Israel,panorama.com.al,newsapi,1581,https://www.panorama.com.al/ishulli-kharg-pse-mund-te-shkaterroje-tregun-global-te-energjise/,"Ishulli Kharg, pse mund të shkatërrojë tregun global të energjisë!","Kriza e Gjirit tashmë është zhvendosur nga sfera e frikës në sferën e përçarjes reale.

Nëse faza tjetër përfshin ishullin Kharg , atëherë sigurisht që nuk do të jetë një përshkallëzim rajonal, por një tronditje globale e energjisë.

Kriza e energjisë që po zhvillohet aktualisht nuk është një tjetër trazirë gjeopolitike që thjesht rrit primet e rrezikut të naftës. Ajo është tashmë një krizë natyrore e furnizimit.

Sulmet ndaj Teheranit, sulmet iraniane ndaj infrastrukturës energjetike dhe portuale në vendet e treta të Gjirit, keqfunksionimet në Ngushticën e Hormuzit, shkurtimet e prodhimit dhe pezullimi i dërgesave nga objektet kritike kanë ndryshuar natyrën e konfliktit, dhe kjo nuk është diçka që e kemi parë për herë të parë.

Tregu nuk ka më frikë vetëm nga ajo që mund të ndodhë. Ai po reagon ndaj asaj që po ndodh tashmë.

Elementi thelbësor është se pjesa energjetike e luftës ka thyer një tabu. Zjarret dhe dëmtimet në objektet e karburantit në Teheran kanë treguar se infrastruktura energjetike nuk shihet më si një strehë e sigurt pas luftërave të Gjirit - veçanërisht të parës.

Nga ana tjetër, sulmet iraniane në infrastrukturën e Gjirit kanë dërguar mesazhin se Teherani është i përgatitur të eksportojë kostot te fqinjët e tij, duke u përpjekur ta shndërrojë luftën në një problem kolektiv për të gjithë arkitekturën energjetike arabe dhe vetë ekuilibrin global të energjisë.

Këtu është vendi ku Ishulli Kharg merr rëndësi pothuajse ekzistenciale për Iranin. Kharg nuk është vetëm një pikë eksporti. Është arteria kryesore përmes së cilës nafta iraniane shndërrohet në valutë të fortë. Është pika ku prodhimi, ruajtja, ngarkimi dhe në fund të fundit mbijetesa ekonomike e regjimit bashkohen.

Thënë thjesht, për sa kohë që Kharg mbetet funksional, Teherani ende mund të marrë frymë ekonomikisht. Nëse ndalon së funksionuari, problemi nuk do të jetë vetëm funksional. Do të jetë strategjik.

Kjo është arsyeja pse Kharg tani konsiderohet ""butoni i kuq"" i fundit i madh. Deri më tani, kriza ka shkaktuar dëme serioze, ndërprerje dhe vonesa. Por një goditje e madhe për Kharg do të ndryshonte ekuacionin. Kjo do të hiqte një pjesë të rëndësishme të eksporteve iraniane nga tregu dhe në të njëjtën kohë do të ushtronte presion mbi udhëheqjen iraniane që të reagonte në një mënyrë edhe më të ashpër.

Skenari më i mundshëm do të ishte një raund i ri sulmesh ndaj infrastrukturës në Arabinë Saudite, Emiratet e Bashkuara Arabe, Bahrein ose Katar, së bashku me një qëndrim edhe më agresiv kundër transportit detar në Ngushticën e Hormuzit. Këtu fillon makthi.

Tregu mund të përballojë një goditje të vetme. Ka shumë më vështirësi kur goditja shndërrohet në zinxhir. Nëse ngarkesat iraniane, objektet saudite ose emirate, LNG-ja e Katarit dhe kalimi detar përmes Hormuzit dalin jashtë kontrollit në të njëjtën kohë, atëherë problemi nuk do të jenë vetëm vëllimet e humbura.

Do të jetë humbja e parashikueshmërisë në të gjithë sistemin. Nafta, gazi natyror, primet e sigurimit, tarif...",0.5437,0.5339,climate crises,undernourishment,high_climate,no,no,no,"Kharg island oil infrastructure, energy geopolitics",,
Albanian,Israel,panorama.com.al,newsapi,1304,https://www.panorama.com.al/ulsi-manja-ne-konflikt-interesi-me-dosjen-balluku-bardhi-reagon-nga-protesta-a-e-njeh-paulin-rajten-dhe-a-ke-nderhyre-te-ministrja-per-perfitimin-e-nje-hec-i-ne-qiber/,"""Ulsi Manja në konflikt interesi me dosjen ""Balluku""- Bardhi reagon nga protesta: A e njeh Paulin Rajtën dhe a ke ndërhyrë te ministrja për përfitimin e një HEC-i në Qibër?","Teksa deputeti socialist po lexonte në Parlament raportin e mazhorancës për mosdhënien e auzorizimit për heqjen e imunitetit të Belinda Ballukut dhe rrëzimit të kërkesës së SPAK, ka ardhur edhe reagimi nga protesta para Kuvendit nga kreu i grupit të PD, Gazment Bardhi, i cili ëhstë i përjashtuar nga Etika.

Teksa iu bashkua protestuesve në shesh, ai ka reaguar me jë postim në Facebook, ku vë në dukje se ish-ministri Ulsi Manja ishte në konflikt interesi me dosjen ""Balluku"", pasi ishte edhe vetë pjesë e hetimeve.

Madje ai i drejtoi edhe një pyetje publike deputetit socialist, që e lidhte me një person konkret në Dibër, për përfitimin e një HEC-i.",0.5063,0.5255,climate crisis,undernourishment,high_climate,no,no,no,Albanian politics - hydropower conflict of interest,,
