language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Urdu,Pakistan,dailypakistan.com.pk,scrapai,10134,https://dailypakistan.com.pk/12-Jan-2020/1077079,سعودی عرب میں موسم سرما کی پہلی برفباری، ویڈیو سوشل میڈیاپروائرل,"تبو ک(این این آئی)سعودی عرب کے مختلف شہروں میں برفباری کا آغاز ہوگیا ہے جس کی ویڈیوز سوشل میڈیا پر وائرل ہوگئی۔غیرملکی خبررساں ادارے کے مطابق سعودی محکمہ موسمیات نے بتایاکہ سعودی عرب کے شہر تائف، تبوک میں برف باری کے بعد متعدد علاقے شدید سردی کی لپیٹ میں ہیں۔برفانی علاقوں میں رہائش پزیر لوگوں کی مشکلات میں اضافہ ہو گیا ہے جبکہ پائپ لائنوں میں پانی جم جانے کی وجہ سے کئی پائپ پھٹ گئے ہیں۔سماجی رابطے کی ویب سائٹ ٹوئٹر پر ایک صارف نے برفباری کی ویڈیو شیئر کرتے ہوئے لکھا کہ کیا آپ تصور کرسکتے ہیں؟ یہ روس، اٹلی یا ناروے نہیں ہے۔محکمہ شہری دفاع کے حکام کا کہنا تھاکہ برفباری کے دوران محتاط ڈرائیونگ کی جائے، شاہراہوں پر تیز رفتاری سے گاڑی چلانا خطرناک ثابت ہوسکتا ہے۔

سعودی عرب",0.5481,0.5210,heatwaves,west nile virus,high_climate,,,,,,
Urdu,Pakistan,dailypakistan.com.pk,scrapai,14534,https://dailypakistan.com.pk/21-Jan-2020/1081433,ملتان سمیت مختلف شہروں میں بارش‘ سردی کا دورانیہ طویل ہونیکا امکان‘ بوندا باندی سے بھی جدید ریلوے سگنل سسٹم خراب,"ملتان‘میلسی‘ ٹبہ سلطان پور (نمائندہ خصوصی‘ نمائندہ پاکستان‘ سپیشل رپورٹر) ٹبہ سلطان پور شہر اور اس کے گرد نواح کے علاقوں میں بارش کاسلسلہ وقفے وقفے سے جاری موسم خوشگوار (بقیہ نمبر29صفحہ12پر)

ہونے کے ساتھ ایک مرتبہ پھر سردی کی شدت میں اضافہ ہوگیاہے کاشتکاروں کے مطا بق بارش اس وقت گندم کی فصل کے لئے انتہائی مفید ہے کیونکہ نہریں پہلے ہی بھل صفائی کی وجہ سے بند ہیں تیز دھوپ نکلنے سے زمین کی نمی ختم ہو نے سے گندم کی فصل کو نقصان ہوسکتا ہے اس لئے بارشیں گندم کی فصل کے لئے انتہائی مفید ہیں۔ میلسی کی فضا پر بادل چھاگئے یوں سردی کی شدت میں اضافہ ہو گیا بونداباندی نے سردی کا رنگ جما دیا بونداباندی اور سردی کی وجہ بازاروں کی چہل پہل بھی ماند پڑ گئی سردی کی وجہ سے گیس کا پریشر کم ہو گیا اور لکڑیوں کے نرخ بھی بڑھ گئے ماہرین کے مطابق اس مرتبہ سردی کا دورانیہ طویل ہو گا ماہ مارچ کے وسط تک سردی اپنا رنگ دکھائے گئی تاہم سردی کا گندم کی فصل پر خوشگوار اثر پڑا۔ ادھر چندروزقبل ہونے والی بارش کے بعددھوپ نکلنے سے درست ہونے والاجدیدسگنل سسٹم گزشتہ روز ملتان اورنواحی علاقوں میں ہونے والی ہلکی بارش کے بعدپھرخراب ہوگیا۔بتایا جاتاہے کہ بارش کے باعث لودھراں تاچیچہ وطنی مختلف مقامات پرسگنل سسٹم خراب ہوگیا۔جس کی وجہ سے مسافرٹرینوں کو پیپرلائن کلیئرکے تحت چلایاجارہاہے۔ریلوے ذرائع کے مطابق بارش کے باعث ریلوے کے سنٹرل بیس لاکنگ سسٹم میں نمی آجاتی ہے۔جس کی وجہ سے سگنل سسٹم درست کام نہیں کرتا۔نمی ختم ہوتے ہی سسٹم خودبہ خودٹھیک ہوجائیگا۔ مزیدبارشوں کی پیش گوئی کومدنظررکھتے ہوئے ریلوے انتظامیہ نے ٹرین ڈرائیوروں اور دیگر آپریشنل سٹاف کوبھی الرٹ محفوظ ٹرین آپریشن جاری رکھنے کے لئے ہدایات جاری کی ہیں۔گزشتہ روزریلوے شعبہ سول انجینئرنگ کے گینگ مین بارش کے دوران ریلوے ٹریک سے نکاسی آب کے لئے کام کرتے رہے۔

خراب",0.5778,0.5556,heatwaves,undernourishment,high_climate,,,,,,
Urdu,Pakistan,jang.com.pk,newsapi,349,https://jang.com.pk/news/1566300,لندن: گردن توڑ بخار کی وباء پھیلنے کے بعد ہیلتھ الرٹ جاری,"لندن کے علاقے کینٹ میں گردن توڑ بخار کی وباء پھیلنے کے بعد ہیلتھ الرٹ جاری کر دیا گیا۔

غیرملکی میڈیا کے مطابق یوکے ہیلتھ سیکیورٹی ایجنسی کی ڈاکٹروں کو گردن توڑ بخار کی علامات پر نظر رکھنے کی ہدایت کی گئی ہے۔

کینٹ یونیورسٹی کے 5 ہزارطلبہ کو گردن توڑ بخار سے محفوظ رکھنے کے لیے ویکسینیشن پروگرام شروع کیا گیا ہے۔

میڈیا رپورٹ کے مطابق گردن توڑ بخار کی وباء کینٹربری کے ایک نائٹ کلب سے پھیلی اور اس بخار کے سبب 2 طلبہ انتقال کرگئے جو کینٹ یونیورسٹی اور کوئین الزبتھ اسکول میں زیرِتعلیم تھے۔

گردن توڑ بخار کے اب تک 20 کیسز کی تصدیق ہو چکی ہے۔

برطانوی وزیرِاعظم کیئر اسٹارمر کا کہنا ہے کہ گردن توڑ بخار سے انتقال اور متاثر ہونے والے لواحقین کے لیے یہ مشکل وقت ہے۔

انہوں نے یہ بھی کہا ہے کہ طبی ماہرین متاثرہ افراد سے رابطے میں رہنے والوں کی نشاندہی، اینٹی بائیوٹیکس کی تقسیم اور ٹارگیٹڈ ویکسینیشن پر کام کر رہے ہیں۔",0.5294,0.5528,heatwaves,chikungunya,high_climate,,,,,,
Urdu,Pakistan,dailypakistan.com.pk,scrapai,3215,https://dailypakistan.com.pk/08-Jan-2020/1075236,جنوبی کوریا، ماہی گیر کشتی الٹ گئی ساحلی محافظوں کا سیلر ڈوب کر ہلاک,"جنوبی کوریا، ماہی گیر کشتی الٹ گئی ساحلی محافظوں کا سیلر ڈوب کر ہلاک

سیول(اے پی پی) جنوبی کوریا میں ماہی گیر کشتی الٹنے کے نتیجےٓ میں ساحلی محافظوں کا ایک سیلر ڈوب کر ہلاک ہو گیا جبکہ 13 کو امدادی کارروائی میں بچا لیا گیا۔جنوبی کورین ینہاپ نیوز ایجنسی کے مطابق ماہی گیر کشتی الٹنے کا حادثہ جنوبی سیاحتی جزیرہ جیجو کے پانیوں میں پیش آیا جہاں 35 ٹن وزنی ماہی گیر کشتی بھنور میں پھنس جانے کے بعد الٹ گئی، حادثے کے وقت کشتی پر 14 سیلرز سوار تھے،ہلاک ہونے والا سیلر کشتی کے نیچے دب کر ڈوب گیا تھا تاہم اس کو باہر نکال لیا گیا لیکن وہ جانبر نہ ہو سکا۔

مزید :

علاقائی -",0.5313,0.5785,rising sea level,west nile virus,high_climate,,,,,,
Urdu,Pakistan,dailypakistan.com.pk,scrapai,19358,https://dailypakistan.com.pk/29-Jan-2020/1085459,مشیر خزانہ حفیظ شیخ کی زیرصدارت اقتصادی رابطہ کمیٹی کااجلاس،گھریلوصارفین کیلئے گیس کی قیمتیں بڑھانے کا معاملہ موخر,"اسلام آباد(ڈیلی پاکستان آن لائن)مشیر خزانہ عبدالحفیظ شیخ کی زیرصدارت اقتصادی رابطہ کمیٹی اجلاس میں گھریلوصارفین کیلئے گیس کی قیمتیں بڑھانے کا معاملہ موخر کردیاگیا،آئندہ اجلاس میں گیس کی قیمتوں میں اضافے کی سمری کادوبارہ جائزہ لیا جائے گا،اجلاس میں کارکے کے ساتھ سیٹلمنٹ معاہدے کی منظوری دےدی گئی،سیٹلمنٹ کے تحت پاکستان کے ذمہ 1 اعشاریہ2 ارب ڈالر کے واجبات معاف کر دیئے گئے۔

میڈیارپورٹس کے مطابق مشیر ڈاکٹر عبدالحفیظ شیخ کی زیرصدارت اقتصادی رابطہ کمیٹی (ای سی سی)کا اجلاس ہوا،اجلاس میں گھریلوصارفین کیلئے گیس کی قیمتیں بڑھانے کا معاملہ موخر کردیاگیا،آئندہ اجلاس میں گیس کی قیمتوں میں اضافے کی سمری کادوبارہ جائزہ لیا جائے گا۔اجلاس میں گیس بل ادائیگی کی مد میں پاکستان سٹیل ملز کو 35 کروڑ روپے دینے کی منظوری دی گئی،اجلاس میں وزارت خزانہ کو 8 کروڑروپے کی سپلیمنٹری گرانٹ کی منظوری دیدی گئی جبکہ ای گورننس منصوبے کیلئے 10 کروڑ روپے جاری کرنے کی بھی منظوری دی گئی۔ ای سی سی نے سٹیٹ بینک کو ہاﺅس بلڈنگ فنانس کمپنی کے حصص فروخت کرنے کی اجازت دیدی ۔

اقتصادی رابطہ کمیٹی اجلاس میں کارکے کے ساتھ سیٹلمنٹ معاہدے کی منظوری دےدی گئی،سیٹلمنٹ کے تحت پاکستان کے ذمہ1 اعشاریہ 2 ارب ڈالر کے واجبات معاف کردیئے گئے،پاکستان مورگیج ری فنانس کمپنی فنڈکے قیام کیلئے بھی ایک کروڑ ڈالر کی منظوری دی گئی۔",0.5332,0.5295,carbon dioxide,undernourishment,high_climate,,,,,,
Urdu,Pakistan,dailypakistan.com.pk,scrapai,8624,https://dailypakistan.com.pk/15-Jan-2020/1078401,ٹرانسپورٹرز کا ہڑتال ختم کرنے کے بعد کرایوں میں 50 فیصد تک اضافہ,"کراچی (مانیٹرنگ ڈیسک)گڈز ٹرانسپورٹرز نے ہڑتال ختم کرنے کے بعد کرایوں میں من مانا اضافہ کردیا،کھانے پینے سے لے کر ہر طرح کے مال کی ترسیل کا کرایہ 40 سے 50 فیصد بڑھا دیا گیا۔ٹرانسپورٹرز نے 8 روزہ ہڑتال کے دوران ہونے والا نقصان عوام سے نکالنے کا فیصلہ کر لیا ہے اور کرایوں میں اچانک بڑا اضافہ کردیا ہے۔کراچی سے لاہور جانے والے مال کا فی ٹن کرایہ 2500 روپے سے بڑھا کر 3500 روپے اور کراچی سے پنڈی کا کرایہ 3500 روپے فی ٹن سے بڑھا کر 5000 روپے کردیا گیا ہے۔تاجر رہنما نجیب بالاگام والا نے جیو نیوز سے گفتگو میں بتایا کہ ہڑتال کے فوری بعد ڈیزل کی قیمت میں اضافہ نہ ہونے کے باوجود کرائے بڑھائیگئے ہیں جن کا اثر صنعتکار و تاجر عوام پر منتقل کریں گے۔

ٹرانسپورٹرز",0.5426,0.5730,temperature rise,undernourishment,high_climate,,,,,,
Urdu,Pakistan,dailypakistan.com.pk,scrapai,2116,https://dailypakistan.com.pk/21-Aug-2025/1864155,پختونخوا حکومت کا کلاؤڈ برسٹ اور موسمیاتی تبدیلی کی تحقیقات کا فیصلہ,"پشاور(آئی این پی)خیبرپختونخوا حکومت نے کلاؤڈ برسٹ اور موسمیاتی تبدیلی کی تحقیقات کرنیکا فیصلہ کیا ہے۔سرکاری ذرائع کے مطابق تحقیقاتی ٹیم صوبے میں حالیہ کلاؤڈ برسٹ پیدا ہونے کے حوالے سے تحقیقات کریگی، تحقیقاتی ٹیم موسمیاتی تبدیلی کی وجوہات کا تعین بھی کرے گی۔ذرائع کے مطابق ٹیم وفاقی وزارت ماحولیات، سپارکو اور پاکستان فارسٹ انسٹیٹیوٹ کے ماہرین پر مشتمل ہوگی۔ذرائع کا کہنا ہے کہ ٹیم بونیر اور صوابی سمیت سیلاب زدہ علاقوں کا دیگرعلاقوں سے موسمیاتی موزانہ کرے گی، اور موسمیاتی تبدیلیوں کے اثرات سمیت 20 سالوں کے موسمی ریکارڈ کا جائرہ لیکر رپورٹ مرتب کرے گی۔ذرائع کا کہنا ہے کہ تحقیقاتی ٹیم سیلاب آنیکی وجوہات اور اس سے علاقوں کو محفوظ بنانے کے اقدامات کا تعین بھی کر ے گی۔

تحقیقات",0.5502,0.4966,climate emergency,extreme poverty,high_climate,,,,,,
Urdu,Pakistan,dailypakistan.com.pk,scrapai,19001,https://dailypakistan.com.pk/29-Jan-2020/1085102,کوہاٹ،گیس کی لوڈشیڈنگ نے عوام کا جینا حرام کردیا,کوھاٹ (بیورو رپورٹ) سردی کی شدت میں اضافے کے ساتھ ہی شہر کے مختلف علاقوں کی طرح شاہ آباد کالونی جرونڈہ میں بھی گیس کی لوڈشیڈنگ کا سلسلہ جاری ہے شہر کے بیشتر علاقوں کی طرح مذکورہ علاقے میں گیس کے جاتے ہی بجلی بھی چلی جاتی ہے جس کی وجہ لوگوں کو شدید مشکلات کا سامنا کرنا پڑتا ہے صبح سے لے کر رات گئے تک گیس کی سپلائی بند ہوتی ہے جس کی وجہ سے صارفین کو شدید ذہنی کوفت کاسامنا ہے پسماندہ علاقے میں لوڈشیڈنگ شروع ہوتے ہی ساتھ بجلی کی لوڈشیڈنگ شروع ہو جاتی ہے اور عوام کو سخت سردی میں مسائل کا سامنا ہے علاقے کے گیس و بجلی صارفین کا کہنا ہے کہ گیس کے اعلیٰ حکام سی این جی پمپ مالکان سے ملے ہوئے ہیں اور سی این جی سٹیشن کو صبح سے لے کر شام تک گیس کی سپلائی جاری رہتی ہے جبکہ مختلف علاقوں میں گیس وال بند کر کے تمام گھریلو صارفین کو گیس فراہمی بند کر دی جاتی ہے علاقہ عمائدین کا کہنا ہے کہ نومبر کے مہینے میں گیس بلوں میں نامعلوم قسم کا ٹیکس بھی شامل کیا گیا ہے صارفین کا کہنا ہے اول تو ہمارے علاقے میں دو انچ پائپ لائن بھی نہیں جسے صارف عدالت نے منظور کرائی ہے لیکن محکمہ گیس والوں نے صارف عدالت کی بھی دھجیاں اڑا دیں اور ابھی تک کوئی کام شروع نہیں کیا صارفین کا کہنا ہے کہ ایک طرف تو حکومت نے گیس کی قیمتوں میں اضافہ کیا ہے تو دوسری طرف گیس دستیاب بھی نہیں ہوتی انہوں نے مطالبہ کیا کہ گھریلو صارفین کو گیس کی فراہمی یقینی بنائی جائے بصورت دیگر سڑکوں پر نکل کر ریجن کے دفتر کو بھی تالے لگا دیں گے انہوں نے مزید رونا روتے ہوئے کہا کہ شدید سردی کے باعث ضلع کوھاٹ شہر کے علاقوں کی طرح گیس بند ہونے سے سلنڈر‘ لکڑی‘ کوئلہ کی مانگ میں اضافہ ہو گیا ہے دکانداروں نے گیس بندش کا فائدہ اٹھاتے ہی لکڑی اور کوئلہ کی قیمتوں میں بھی اضافہ کر دیا ہے جس کے باعث رہائشی ہوٹلوں سے کھانا وغیرہ منگوانے پر مجبور ہیں علاقے میں گیس بندش کا سلسلہ 8سے 10 گھنٹے تک رہتا ہے اکثر خواتین رات کو اٹھ کر کھانا پکانے پر مجبور ہیں انہوں نے کہا کہ محکمہ کی جانب سے گیس بندش کے حوالے سے یہ بہانا کیا جا رہا ہے کہ نئے پائپ ڈالے جائیں گے جلد گیس کی فراہمی شروع ہو جائے گی انہوں نے چیف جسٹس آف پاکستان‘ چیف جسٹس ہائی کورٹ سے بھی مطالبہ کرتے ہوئے کہا کہ پائپ لائن برائے دو انچ جلد از جلد ڈلوائی جائے اور گیس فراہمی کو یقینی نبایا جائے ورنہ بل بھی کسی صورت میں ہرگز دینے کو تیار نہیں ہیں علاقہ عمائدین میں حاجی اصغر‘ حاجی امیر افض‘ محمد اسرافیل‘ حاجی فیض اللہ‘ حاجی ساجد ظہیر‘ حاجی نور شاہ جہان‘ عبدالرحمن‘ محمد جان عاطف‘ اقبال بالا‘ احسن خان‘ اسد قریشی‘ شاہ زیب‘ عرفان‘ فخر زمان شامل ہیں۔,0.5535,0.5171,greenhouse gases,undernourishment,high_climate,,,,,,
Urdu,Pakistan,dailypakistan.com.pk,scrapai,11638,https://dailypakistan.com.pk/27-Jan-2020/1084242,ٹوبہ ٹیک سنگھ کی تاریخ کا منفرد اور جدید سہولتوں سے آراستہ TMAسے منظور شدہ پہلا منصوبہ سبحان گارڈن,"ٹوبہ ٹیک سنگھ کی تاریخ کا منفرد اور جدید سہولتوں سے آراستہ TMAسے منظور شدہ ...

ملحقہ DHQہسپتال رجانہ روڑ

5مرلہ،7مرلہ،10مرلہ،12مرلہ،16مرلہ،20مرلہ،21مرلہ رہائشی اور8مرلہ کمرشل پلاٹس نقد اور آسان اقساط میں بھی دستیاب

فائل نہیں پلاٹ

مکمل ادائیگی پر فوری تعمیر کی سہولت

ٹوبہ ٹیک سنگھ میں اپنی نوعیت کا خوبصورت ترین رہائشی اور کمرشل منصوبہ متعارف کرا رہے ہیں،قیمت سب سے کم اور سہولیات سب سے زیادہ فراہم کر رہے ہیں

سبحان گارڈن فیز1اور فیز2کے ترقیاتی کام مکمل

فیز3میں کام تیزی سے جاری ہے

(کیپشن)

سرپرست اعلیٰ حاجی رزاق احمد ضیاء

چیف ایگزیکٹو رانا محمد خان

ڈائریکٹر اسد الرحمن (رانا مون)

ڈائریکٹر چوہدری محمد آصف کی روزنامہ پاکستان سے خصوصی گفتگو

مزید :

ایڈیشن 1 -",0.5199,0.5563,heatwave,casualties,high_climate,,,,,,
Urdu,Pakistan,dailypakistan.com.pk,scrapai,5063,https://dailypakistan.com.pk/04-Jan-2020/1073373,سردی 17جنوری تک رہے گی، محکمہ موسمیات,"سردی 17جنوری تک رہے گی، محکمہ موسمیات

اسلام آباد(سٹاف رپورٹر) سردی کی موجودہ لہر 17 جنوری تک جاری رہے گی اور اس کی شدت میں مزید اضافے کا امکان ہے، محکمہ موسمیات کے مطابق6 جنوری سے بارشوں اور برف باری کا ایک سسٹم ملک میں داخل ھو رھا ھے جس سے صوبہ پنجاب سمیت پورے ملک میں بارشیں، برف باری کے ساتھ شدید دھند بھی پڑے گی محکمہ موسمیات نے امکان ظاہر کیا ہے کہ اس دوران پنجاب میں ٹمپریچر نقطہ انجماد سے نیچے جانے کا امکان ہے جبکہ شمالی پنجاب اور وسطی پنجاب میں درجہ حرارت منفی2تک گر سکتا ھے اور بارش 15سے25ملی لیٹر تک ھو سکتی ھے۔

محکمہ موسمیات

مزید :

صفحہ اول -",0.5737,0.5169,heatwaves,extreme poverty,high_climate,,,,,,
