language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Indonesian,health,0.5400,0.0400,0.5389,no,0.4543,0.5389,west nile virus,heatwave,west nile virus,jawapos_com,Pemerintah Kuba Sebut 32 Tentaranya Tewas dalam Serangan AS ke Venezuela,https://www.jawapos.com/internasional/2601050240/pemerintah-kuba-sebut-32-tentaranya-tewas-dalam-serangan-as-ke-venezuela,1846,621
Indonesian,health,0.5400,0.0400,0.5391,no,0.4959,0.5391,casualties,heatwave,casualties,jawapos_com,"Ini 5 Tips Memilih Baju Lebaran yang Nyaman dan Anti Gerah Meski Cuaca Panas, Model Lengan Ternyata Ngaruh, lho!",https://www.jawapos.com/lifestyle/2603040296/ini-5-tips-memilih-baju-lebaran-yang-nyaman-dan-anti-gerah-meski-cuaca-panas-model-lengan-ternyata-ngaruh-lho,1846,621
Indonesian,health,0.5400,0.0400,0.5391,no,0.4767,0.5391,west nile virus,heatwave,west nile virus,jawapos_com,"Presiden Meksiko Klaim Situasi Terkendali Usai El Mencho Tewas, 25 Garda Nasional Gugur",https://www.jawapos.com/internasional/2602240338/presiden-meksiko-klaim-situasi-terkendali-usai-el-mencho-tewas-25-garda-nasional-gugur,1846,621
Indonesian,health,0.5400,0.0400,0.5394,no,0.4988,0.5394,west nile virus,heatwave,west nile virus,jawapos_com,AS Mulai Gunakan Pangkalan Inggris untuk Operasi Pertahanan ke Iran,https://www.jawapos.com/internasional/2603080150/as-mulai-gunakan-pangkalan-inggris-untuk-operasi-pertahanan-ke-iran,1846,621
Indonesian,health,0.5400,0.0400,0.5394,no,0.4931,0.5394,west nile virus,heatwave,west nile virus,jawapos_com,"Heboh! Park Bom Tuding Sandara Pakai Narkoba, Pihak Dara Buka Suara",https://www.jawapos.com/infotainment/2603040089/heboh-park-bom-tuding-sandara-pakai-narkoba-pihak-dara-buka-suara,1846,621
Indonesian,health,0.5400,0.0400,0.5395,no,0.4760,0.5395,hunger,heatwave,hunger,jawapos_com,"5 Sentuhan Rahasia Marry Me Oppa Chicken, Hidangan Fusion Korea yang sedang Hits",https://www.jawapos.com/kuliner/2510280006/5-sentuhan-rahasia-marry-me-oppa-chicken-hidangan-fusion-korea-yang-sedang-hits,1846,621
Indonesian,health,0.5400,0.0400,0.5397,no,0.5107,0.5397,west nile virus,heatwave,west nile virus,jawapos_com,"Konflik Iran VS AS - Israel Memanas, 7.000 PMI Asal Jatim Tercatat Berada di Timur Tengah",https://www.jawapos.com/berita-daerah/2603090024/konflik-iran-vs-as-israel-memanas-7000-pmi-asal-jatim-tercatat-berada-di-timur-tengah,1846,621
Indonesian,health,0.5400,0.0400,0.5400,no,0.4634,0.5400,west nile virus,heatwave,west nile virus,jawapos_com,"Usai Jadi Polemik, Agrinas Manut Pemerintah dan DPR Tunda Impor Mobil Pickup dari India",https://www.jawapos.com/ekonomi/2602270339/usai-jadi-polemik-agrinas-manut-pemerintah-dan-dpr-tunda-impor-mobil-pickup-dari-india,1846,621
Indonesian,health,0.5400,0.0400,0.5401,YES,0.4873,0.5401,chikungunya,heatwave,chikungunya,jawapos_com,"Laksa Singapore Gurih dan Kaya Rempah, Resep Kuah Udang yang Menggoda",https://www.jawapos.com/kuliner/2603060263/laksa-singapore-gurih-dan-kaya-rempah-resep-kuah-udang-yang-menggoda,1846,621
Indonesian,health,0.5400,0.0400,0.5402,YES,0.4732,0.5402,west nile virus,heatwave,west nile virus,jawapos_com,"Donald Trump Tantrum Kedubes AS di Riyadh Diserang Drone Iran, Ancam Balas Serangan",https://www.jawapos.com/internasional/2603030281/donald-trump-tantrum-kedubes-as-di-riyadh-diserang-drone-iran-ancam-balas-serangan,1846,621
Indonesian,health,0.5400,0.0400,0.5403,YES,0.4384,0.5403,west nile virus,heatwave,west nile virus,jawapos_com,TNI AL Siapkan Satu Kapal Rumah Sakit untuk Gabung Pasukan ISF di Gaza Palestina,https://www.jawapos.com/hankam/2602120230/tni-al-siapkan-satu-kapal-rumah-sakit-untuk-gabung-pasukan-isf-di-gaza-palestina,1846,621
Indonesian,health,0.5400,0.0400,0.5406,YES,0.5004,0.5406,west nile virus,heatwave,west nile virus,jawapos_com,Sejarah Singkat Lagu Hanya Debulah Aku (Puji Syukur 481): Mengingatkan Diri Bahwa Kita Hanyalah Manusia Lemah di Depan Allah,https://www.jawapos.com/humaniora/2602280315/sejarah-singkat-lagu-hanya-debulah-aku-puji-syukur-481-mengingatkan-diri-bahwa-kita-hanyalah-manusia-lemah-di-depan-allah,1846,621
Indonesian,health,0.5400,0.0400,0.5409,YES,0.4836,0.5409,west nile virus,heatwave,west nile virus,jawapos_com,Mengenal Rabu Abu: Alasan di Balik Simbol Salib Abu di Dahi dan Awal Masa Prapaskah,https://www.jawapos.com/humaniora/2602190008/mengenal-rabu-abu-alasan-di-balik-simbol-salib-abu-di-dahi-dan-awal-masa-prapaskah,1846,621
Indonesian,health,0.5400,0.0400,0.5413,YES,0.4626,0.5413,chikungunya,heatwave,chikungunya,jawapos_com,"Balita dan Lansia Paling Berisiko Terkena Superflu, Terapkan Pencegahan Sama Seperti Covid-19",https://www.jawapos.com/kesehatan/2512300212/balita-dan-lansia-paling-berisiko-terkena-superflu-terapkan-pencegahan-sama-seperti-covid-19,1846,621
Indonesian,health,0.5400,0.0400,0.5414,YES,0.4758,0.5414,west nile virus,heatwave,west nile virus,jawapos_com,KBRI Riyadh Keluarkan Imbauan Khusus bagi WNI di Arab Saudi Usai Eskalasi Timur Tengah,https://www.jawapos.com/internasional/2602280334/kbri-riyadh-keluarkan-imbauan-khusus-bagi-wni-di-arab-saudi-usai-eskalasi-timur-tengah,1846,621
Indonesian,health,0.5400,0.0400,0.5417,YES,0.5019,0.5417,casualties,heatwave,casualties,jawapos_com,"Insanul Fahmi Bilang I Love You ke Mawa dan Inara Rusli, Fairuz A. Rafiq: Tidak Pantas",https://www.jawapos.com/infotainment/2512310079/insanul-fahmi-bilang-i-love-you-ke-mawa-dan-inara-rusli-fairuz-a-rafiq-tidak-pantas,1846,621
