language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Dutch,Netherlands,ad.nl,newsapi,934,https://www.ad.nl/hellendoorn/hulpdiensten-rukken-massaal-uit-naar-sallandse-heuvelrug-brand-snel-geblust~a711576f/,"Hulpdiensten rukken massaal uit naar Sallandse Heuvelrug, brand snel geblust","Voorkomen is beter dan genezen. Vandaar dat brandweer en politie vrijdagmiddag rond twee uur massaal uitrukten na een melding van een 'grote brand' aan de Bonteweg in Nijverdal. Een brandje op een plek met waardevolle jeneverbesstuiken midden op de Sallandse Heuvelrug.

Brandweerwagens uit de kazernes van Nijverdal, Hellendoorn, Holten en Rijssen waren snel ter plaatste nadat een medewerker van Staatsbosbeheer rook had gezien op een open plek in het bos. Een stukje kwetsbare natuur in het nationaal park, dat alleen via een smalle onverharde weg was te bereiken.

Brandweerwagens reden met zwaailichten en loeiende sirenes door de Salland-Twentetunnel. Enkele wagens parkeerden aan het begin van de Toeristenweg. Dat leek op een strategische zet voor het geval het vuur zich snel naar deze kant zou uitbreiden. Dat gebeurde echter niet, het vuur bleef beperkt tot een stuk van 100 bij 150 meter en was relatief snel geblust.

De politie observeerde het gebied vanuit de lucht met een drone. Even later wilde ook de brandweer haar eigen drone lanceren, die is uitgerust met warmtesensoren om eventuele 'hotspots' te vinden. De operator aarzelde even om zijn drone de lucht in te sturen, omdat hij tegen de felle lentezon in keek en de drone van de politie niet kon ontdekken.

Nadat het sein brand meester was gegeven werd het stuk bosgrond nog een tijdje natgehouden. Over de oorzaak van de brand is nog niets bekend. Dus ook niet of hier sprake is van mogelijke brandstichting.",0.5208,0.5094,heatwaves,west nile virus,high_climate,,,,,,
Dutch,Netherlands,nrc.nl,newsapi,243,https://www.nrc.nl/nieuws/2026/03/18/veelgeprezen-nu-veelbetwist-discussies-rond-het-geroemde-europese-emissiehandelssysteem-lopen-hoog-op-a4923260,"Veelgeprezen, nu veelbetwist: discussies rond het geroemde Europese emissiehandelssysteem lopen hoog op","Loont vooroplopen nog? Voor bedrijven die fors geïnvesteerd hebben in verduurzaming is die vraag urgent geworden. In aanloop naar de EU-top donderdag in Brussel dringen landen als Italië, Oostenrijk en Polen aan op afzwakken, uitstellen of zelfs schrappen van het Europese emissiehandelssysteem. Binnen dit ETS wordt uitstoten van CO steeds duurder, en op die hogere 'koolstofprijs' hebben de voorlopers juist hun investeringsplannen gebaseerd.

Maar grote industrielanden zien bedrijven worstelen met hoge energieprijzen en goedkope concurrentie uit Azië - en bepleiten versoepeling. Nog voor de oorlog in Iran uitbrak, opende een aantal industriële bedrijven uit de EU de aanval op het emissiehandelssysteem. Ze brachten na een bijeenkomst in Antwerpen een verklaring uit waarin ze stelden dat de ""koolstofkosten"" van ETS boven op de dure energie ""verwoestend"" zouden worden. Ze vroegen om noodmaatregelen.

Dat valt slecht bij de voorlopers in CO-vermindering. Bijna 150 bedrijven en investeerders dringen er deze week per brief bij de Europese Commissie en de EU-lidstaten op aan juist alle twijfel rond het emissiehandelssysteem weg te nemen. Zij noemen aantasting van ETS een verkeerde diagnose van de problemen.

ETS heeft miljarden aan groene investeringen losgetrokken, benadrukken ze; schone technologie versterkt de concurrentiepositie van bedrijven in Europa. Ondertekenaars zijn onder meer Unilever, verlichtingsproducent Signify, IKEA, Volvo en energiebedrijven als EDF, Vattenfall en Ørsted.

""Er is een grote behoefte aan voorspelbaarheid van het Europese beleid"", zegt Ursula Woodburn, directeur van het Cambridge Institute for Sustainability Leadership, dat de brief coördineerde. ""Bedrijven vragen zich af waarom ze ervoor gestraft worden als ze first movers zijn, juist nu de Europese afhankelijkheid van fossiele energiebronnen weer zo pijnlijk duidelijk is met de blokkade van de Straat van Hormuz.""

Ook Corbion ondertekende de brief. Dit Nederlandse biochemiebedrijf begon in 2019 met plannen voor zuiniger productie en elektrificatie van het proces om de CO-uitstoot terug te dringen. Die moet in 2030 42 procent lager liggen dan in 2021, is de doelstelling. Vorig jaar had het bedrijf een emissiereductie van 17 procent bereikt. Voor het restant liggen de plannen klaar.

Corbion (1,3 miljard euro omzet, ruim 2.400 werknemers wereldwijd) maakt op basis van landbouwproducten ingrediënten voor onder andere de voedings- en geneesmiddelenindustrie. ""Omdat wij met onze producten onze klanten helpen verduurzamen, vinden we dat we zelf ook voorloper moeten zijn in het terugdringen van de CO-uitstoot"", zegt directeur duurzaamheid Diana Visser.

Daarbij speelt de koolstofprijs, bepaald door ETS, een belangrijke rol. Visser: ""Als ETS vertraagd wordt en de koolstofprijs niet verder oploopt, moeten we opnieuw naar de plannen kijken. Dan wordt het risico groter dat we de doelen niet halen omdat de investeringen niet meer renderen.""

Stabiel en voorspelbaar beleid was juist ...",0.5539,0.5132,climate action,undernourishment,high_climate,,,,,,
Dutch,Netherlands,ad.nl,newsapi,4575,https://www.ad.nl/binnenland/officieel-warmste-2-maart-ooit-gemeten-ook-komende-dagen-zeer-zacht-lenteweer~aa97ad5b/,"Officieel warmste 2 maart ooit gemeten, ook komende dagen zeer zacht lenteweer","Het is officieel de warmste 2 maart ooit gemeten. In De Bilt steeg de temperatuur om 14.50 uur naar 16,1 graden. Landelijk gezien is het nog zachter. In het zuiden is de 17 graden aangetikt.

Het vorige record was 16,0 graden en werd gemeten in 1959. Het record over alle stations op 2 maart is 17,8 graden en dat werd ook in 1959 gemeten, maar dan in Maastricht.

Ook de komende dagen is het zeer zacht lenteweer met vergelijkbare temperaturen. ""Doordat de records rond 16 graden staan, zijn meerdere datumrecords niet uitgesloten"", meldt meteoroloog Rico Schröder van Weeronline.

Vooral in de zuidelijke delen van ons land stijgt het kwik dagelijks naar 15 tot 19 graden en schijnt de zon vaak uitbundig. Schröder: ""Ga er dus lekker op uit als je die kans krijgt! De kustgebieden zijn soms gevoeliger voor lage wolken of mist, mede veroorzaakt door het koude water van de Noordzee. Hier doorgaans ook lagere temperaturen van 10 tot 14 graden.""

De nachten en ochtenden kunnen bij helder weer wel koud verlopen met regionaal kans op nachtvorst.

LUISTER OOK naar onze dagelijkse nieuwspodcast Praat mee met AD",0.5851,0.5081,rising temperature,west nile virus,high_climate,,,,,,
Dutch,Netherlands,volkskrant.nl,newsapi,1190,https://www.volkskrant.nl/buitenland/orban-escaleert-en-provoceert-er-op-los-om-de-hongaarse-kiezer-in-zijn-kamp-te-lokken~b257b6ec/,Orbán escaleert en provoceert er op los om de Hongaarse kiezer in zijn kamp te lokken,"Viktor Orbán zit in een bunker. 'Oekraïne bereidt verdere acties voor om het functioneren van Hongarijes energiesysteem te verstoren', zegt hij tegen de camera. De premier kondigt in deze campagnevideo de inzet van het leger en meer politiemacht aan.

Ook schreef hij op donderdag een open brief aan president Volodymyr Zelensky. Die moet zijn 'anti-Hongaarse beleid' veranderen en 'zich weerhouden van verdere aanvallen op de energieveiligheid van Hongarije'.

Orbáns woorden zijn misleidend. Bewijs levert hij niet, en 'verdere aanvallen' impliceert dat er al een heeft plaatsgevonden. In werkelijkheid was het een Russische aanval die op 27 januari de Droezjba-pijpleiding beschadigde, die door Oekraïne loopt en Russische olie naar Hongarije en Slowakije vervoert. Dit zijn de enige twee EU-landen die deze olie nog importeren. Sindsdien stokt de toevoer. De Oekraïense regering, die de Russen als dader aanwees, zegt bezig te zijn met de reparatie. Maar volgens Boedapest talmt ze. Opzettelijk.

Van een acute energiecrisis is in Hongarije geen sprake. Het land heeft voldoende reserves, alternatieven zijn voorhanden. Benzine was er al niet goedkoper dan in de buurlanden: het prijsverschil door de goedkope Russische olie vloeit naar de winstmarges van oliebedrijf MOL, waarvan de Hongaarse regering de grootste aandeelhouder is. De acties van Orbán hangen samen met de naderende verkiezingen van 12 april. Voor het eerst in zestien jaar heeft zijn partij Fidesz een serieuze uitdager: oppositieleider Péter Magyar en diens partij Tisza.

'Fidesz staat steeds meer onder druk van de oppositie', zegt Zsuzsanna Végh, Hongarije-onderzoeker bij denktank German Marshall Fund. Ze wijst op de laatste cijfers van opiniepeiler Medián: onder kiezers die al weten wat ze gaan stemmen, geeft 55 procent de voorkeur aan Tisza tegenover 35 procent aan Fidesz. Ook bij de zwevende kiezers staat Tisza voor. Peilingen moet je in Hongarije met een korrel zout nemen, maar de afgelopen maanden is de trend duidelijk in het voordeel van de oppositie. Het is overigens geen gelopen race: het medialandschap, kiesstelsel en de grenzen van kiesdisctricten zijn in het voordeel van Fidesz.

Een regering zonder Fidesz zal de Hongaren eerst laten lappen voor de oorlog in het buurland en ze vervolgens zelf de oorlog in slepen, is het campagneverhaal. 'Dit zijn de laatste verkiezingen voor de oorlog', zei Orbán onlangs. Door heel het land verschenen afgelopen weken billboards met een AI-gegenereerde bedelende Zelensky. Ook verspreidde Fidesz een AI-filmpje van een Hongaarse man die als krijgsgevangene wordt geëxecuteerd op het slagveld. Tegenover deze grimmige toekomstvisioenen presenteert Orbán zich als 'de veilige keuze'.

Tel daar de EU bij op: Orbán en zijn ministers herhalen met ijzeren regelmaat dat Kyiv en Brussel samenspannen om een 'pro-Oekraïense' regering te installeren in Boedapest. De premier portretteert Tisza als een nep-oppositiepartij, een instrument van duistere buitenlandse krachten...",0.5177,0.5512,climate crisis,west nile virus,high_climate,,,,,,
Dutch,Netherlands,volkskrant.nl,newsapi,504,https://www.volkskrant.nl/podcasts/de-kamer-van-klok-het-kabinet-dendert-op-een-muur-af~beec0dcb/,De kamer van Klok: Het kabinet dendert op een muur af,"De AOW-leeftijd, de gehandicaptenzorg, uitkeringen, het zwangerschapsverlof: op al deze gebieden had het kabinet-Jetten zich voorgenomen te gaan bezuinigen. Toch gebeurt het na protest van de oppositie niet. Goed nieuws op sociaal vlak, maar waar zet het kabinet dan wél het mes in? Verder deze week in De kamer van Klok: Jettens social media-vibes, compensatie voor hoge energiekosten: een slecht idee, het nietszeggende 'begrip' voor de Amerikaans/Israëlische aanvallen op Iran en de naderende gemeenteraadsverkiezingen.",0.5371,0.5335,climate crisis,undernourishment,high_climate,,,,,,
Dutch,Netherlands,ad.nl,newsapi,4764,https://www.ad.nl/politiek/lees-hier-het-liveblog-van-de-eerste-dag-van-het-debat-over-de-regeringsverklaring-terug~ae5c7462/,Lees hier het liveblog van de eerste dag van het debat over de regeringsverklaring terug,"De motie van SGP en groep Markuszower om de AOW-plannen opnieuw naar de tekentafel te sturen noemt Dijk 'slappe hap' van 'een paar afvallige PVV'ers'.

Mirjam Bikker van de ChristenUnie is nu aan het woord. Ze pleit voor een politiek van 'serieuze' oplossingen. ,,Dat waardeer ik, dat zie ik in de nieuwe coalitie."" Ze heeft wel wat zorgen over bepaalde plannen van de coalitie.

,,De ruggengraat van Nederland, dat is de middenklasse. We hebben in de afgelopen decennia gezien wat er gebeurt als de bestaanszekerheid van deze groep onder druk komt te staan. Als je als overheid die basis niet op orde hebt, heb je een groot probleem. Het kraakt in Nederland. Ook Jan Modaal moet zeker weten dat als het leven tegen zit, dat er een vangnet is. Kan dit minderheidskabinet een antwoord geven op dat wat het land nu vraagt.""

Ze vraagt aan premier Jetten of het kabinet extra kan letten op de middenklasse. Waarom kiest het kabinet ervoor om de middenklasse extra te belasten, en in mindere mate de hogere inkomens? ,,Het lijkt erop dat de rekening te vaak terecht komt bij ouderen, werkenden en zieken.""",0.5399,0.5500,climate crisis,undernourishment,high_climate,,,,,,
Dutch,Netherlands,trouw.nl,newsapi,421,https://www.trouw.nl/duurzaamheid-economie/het-gaat-beter-met-de-tijger-maar-dat-vergroot-ook-de-kans-op-conflicten-met-de-mens~b3cbbea7/,"Het gaat beter met de tijger, maar dat vergroot ook de kans op conflicten met de mens","Terugkeer van de tijger is de kroon op het werk van natuurherstel. Allereerst gaat het om het terugbrengen van gehele ecosystemen, zegt Femke Hilderink van het Wereld Natuur Fonds (WWF). Met zo'n prachtig en machtig roofdier aan de top is een ecosysteem veerkrachtig en biodivers. Daardoor is het veel beter in staat om bijvoorbeeld broeikasgassen op te vangen en om te gaan met de wispelturigheid van het klimaat, met droogte en nattigheid.

WWF werkt daarom samen met andere natuurorganisaties, overheden van 'tijgerlanden' en de lokale bevolking om te zorgen dat mensen die dichtbij leefgebieden van tijgers wonen kunnen samenleven met deze wilde dieren. Dat is cruciaal, omdat mens-dierconflicten behoren tot de voornaamste bedreigingen voor wilde dieren, naast illegale handel en verlies van leefgebied. ""We beseffen dat de aanwezigheid van tijgers grote impact heeft op de levens van mensen en daarom zijn lokale gemeenschappen echt partners in ons werk"", zegt Hilderink.

Dertien tijgerlanden spraken in 2010 op de eerste Wereldtijgertop in Sint Petersburg af dat het dramatisch lage aantal van 3200 tijgers in 2022 moest zijn verdubbeld. Dat lukte net niet. In 2024 leefden er wereldwijd 5500 tijgers in het wild, maar hun aantal stijgt gestaag, meldt WWF donderdag in het Tiger Alive Report 2025.

Voor tijgers is van belang dat er in hun leefgebied genoeg prooidieren zijn, zegt Hilderink. Gaat hun aantal achteruit, dan gaan de tijgers op zoek naar andere prooien, zoals vee. Dat doet denken aan de wolf, net zo'n roofdier aan de top van een ecosysteem. Zijn terugkeer naar Nederland was een succes voor de natuurbescherming, maar bracht ook een uitdaging mee, zegt Hilderink: ""Ook hier voelen mensen dat het uitdagend is om samen te leven met roofdieren.""

Hoe voorkom je dat dat botst? Door holistisch naar de situatie te kijken, legt Hilderink uit. ""Dus niet alleen naar het verlies van vee of het vertrappen van planten, maar ook naar ecologische, sociale en economische factoren, het klimaat en vooral de lokale situatie. In die geïntegreerde aanpak - C2C, conflict to coexistence genaamd - is preventie heel belangrijk. En directe hulp voor mensen als er iets gebeurt, zij moeten zich gehoord voelen.""

Na een jarenlange voorbereiding is hier anderhalf jaar geleden door WWF een tijgerstel uitgezet, afkomstig uit de opvang van Stichting Leeuw in Anna Paulowna. Eerst is gezorgd voor natuurherstel en een gezonde populatie edelherten en andere prooidieren. Zij vormen niet alleen voedsel voor de tijgers, maar hebben met hun gedrag een grote invloed op de diversiteit van de begroeiing en daarmee de verscheidenheid van het gebied. ""Ook hier moeten we nauw samenwerken met de bevolking om conflicten met de tijgers te voorkomen"", zegt Hilderink.

De twee 'Nederlandse' tijgers verblijven nu nog los van elkaar in grote verblijven, veel groter dan die ze in de opvang gewend waren. Echt wild kunnen deze dieren niet meer worden, daarvoor zijn ze in gevangenschap teveel aan mensen gew...",0.5418,0.5235,environmental change,west nile virus,high_climate,,,,,,
Dutch,Netherlands,nrc.nl,newsapi,1583,https://www.nrc.nl/nieuws/2026/02/20/aanval-van-de-industrie-op-belangrijkste-klimaatwet-van-europa-lijkt-in-strijd-met-haar-eigen-belang-a4920935,Aanval van de industrie op belangrijkste klimaatwet van Europa lijkt in strijd met haar eigen belang,"Het is niets bijzonders dat Europese industriële bedrijven klimaatregels uit Brussel bekritiseren. Al jaren dringen ze aan op minder strenge wetgeving en lagere energiekosten. Maar niet eerder kwam de kern van de Europese verduurzaming zo onder vuur te liggen vanuit de industrie.

Een aanzwellende lobby wil het systeem afzwakken dat Europese bedrijven moet laten betalen voor de klimaatschade die ze aanrichten. ""De toegenomen koolstofkosten zullen in 2026 verwoestend zijn"", verklaarden twaalf belangenorganisaties van Europese industriesectoren vorige week tijdens een industrietop in Antwerpen. Ze riepen op tot ""noodmaatregelen"", die nodig zouden zijn vanwege de impact van een wet die al sinds 2005 bestaat, en die jarenlang alom geprezen is.

Al meer dan twintig jaar kent Europa handel in emissierechten, het recht om een bepaalde hoeveelheid van het broeikasgas CO uit te stoten. Sommige bedrijven krijgen gratis uitstootrechten van Brussel, andere moeten die via een veiling aankopen. Een 'vergroend' bedrijf dat minder is gaan uitstoten, kan zijn rechten doorverkopen en daarmee geld verdienen.

Binnen dit 'emissiehandelssysteem' is afgesproken hoeveel de industrie maximaal aan CO mag uitstoten. Dat maximum en de hoeveelheid rechten gaat jaarlijks omlaag, wat de prijs van de rechten opdrijft. Zo worden bedrijven aangespoord te verduurzamen, en komt bij de lidstaten extra geld binnen dat zij kunnen gebruiken voor verduurzaming.

En het werkt. In twintig jaar is de CO-uitstoot bij bedrijven die vallen onder dit emissiehandelssysteem - ook wel ETS genoemd - met 50 procent afgenomen. Lange tijd werd het ETS geroemd omdat het industriebedrijven zekerheid geeft dat in de toekomst vervuiling duur is en dat investeringen in verduurzaming dus op termijn geld opleveren.

Tegelijkertijd luidt met name de chemische industrie de noodklok. Chemische bedrijven dreigen te vertrekken uit Rotterdam, en ook elders in Europa schroeft deze sector de productie terug doordat het moeite heeft de internationale concurrentie bij te benen. Ook chemiebedrijf Dow in Terneuzen schrapte daar banen en sloot een fabriek. Eerder liepen de verduurzamingsplannen van Dow liepen stuk op een stikstofvergunning.

Half maart komen EU-leiders bijeen in Brussel om te bespreken of het ETS op de schop moet. In de aanloop naar die top zet (een deel) van de energie-intensieve industrie de Europese regeringen alvast stevig onder druk. ""Dat de industrie zo openlijk voor aanpassing lobbyt, toont aan dat de steun voor klimaatbeleid afzwakt. De industrie heeft de wind mee"", zegt Machiel Mulder, hoogleraar energie-economie aan de Rijksuniversiteit Groningen.

Europese leiders uit industrielanden zoals Giorgia Meloni (Italië), Christian Stocket (Oostenrijk) en Friedrich Merz pleitten vorige week voor herziening van het emissiehandelssysteem. Zo zei Merz dat Europa ""alles moet vermijden wat het concurrentievermogen van de industrie in gevaar kan brengen"", al kwam hij daar later op terug. De politieke druk...",0.5496,0.4913,climate action,undernourishment,high_climate,,,,,,
Dutch,Netherlands,ad.nl,newsapi,4178,https://www.ad.nl/roosendaal/bergen-papier-in-brand-bij-recyclingbedrijf-in-roosendaal~a42d7a24/,Bergen papier in brand bij recyclingbedrijf in Roosendaal,"Bij recyclingbedrijf Kempenaars op industrieterrein Borchwerf in Roosendaal woedde in de nacht van woensdag op donderdag brand in stapels oud papier. De brand is geblust door de brandweer.

De hulpdiensten werden rond 01.15 uur gealarmeerd. Vanwege de omvang van de brand schaalde de brandweer op naar 'zeer grote brand'. Vier tankautospuiten en een hoogwerker kwamen ter plaatse.

In het pand stonden bergen oud papier in brand. Met behulp van een shovel van het bedrijf werden de brandende stapels naar buiten gereden en daar door brandweerlieden geblust. Ook in het pand werd geblust. Hoe de brand is ontstaan is niet bekend.

In november 2024 ging een loods van het bedrijf in vlammen op. Toen bleek dat het bedrijf geen vergunning had om afval op te slaan in die loods. Eric Kempenaars lichtte later toe dat hij wel een vergunning had, maar dat was nagelaten om de opslag te melden bij de Omgevingsdienst.",0.5178,0.5186,heatwave,west nile virus,high_climate,,,,,,
Dutch,Netherlands,ad.nl,newsapi,4904,https://www.ad.nl/auto/brandstofprijzen-naar-hoogste-niveau-sinds-eind-2023-prijsstijging-aan-de-pomp-verwacht~ac944349/,"Brandstofprijzen naar hoogste niveau sinds eind 2023, prijsstijging aan de pomp verwacht","De brandstofprijzen zijn gestegen naar het hoogste niveau sinds het najaar van 2023. Gevolg is dat ook de prijzen aan de pomp zullen oplopen, meldt UnitedConsumers. Het consumentencollectief schrijft de stijging toe aan een hogere olieprijs en geopolitieke onrust.

De landelijke adviesprijs voor een liter benzine staat op 2,285 euro. Dat is het hoogste niveau sinds september 2023. Voor diesel is de adviesprijs voor een liter 2,080 euro, het hoogste niveau sinds oktober 2023.

""De belangrijkste reden voor deze stijging is de olieprijs. Die zit nu boven de 70 dollar per vat, terwijl we in december 2025 nog rond de 60 dollar zaten"", zegt brandstofexpert Derk Foolen van UnitedConsumers. ""Als de geopolitieke spanningen en onzekerheden blijven aanhouden, zie je dat snel terug in de adviesprijzen voor brandstoffen.""

Of de prijzen bij tankstations maandag ook op het hoogste niveau sinds ruim twee jaar zitten, kan Foolen niet zeggen. Over het algemeen geldt wel dat hogere brandstofprijzen leiden tot hogere prijzen aan de pomp. Maar tankstations zijn niet verplicht om de landelijke adviesprijs te hanteren.

In de praktijk liggen de prijzen aan de pomp vaak lager, vooral bij onbemande tankstations. Voor bemande tankstations wordt het 'steeds lastiger om de prijs onder de 2 euro te houden', stelt Foolen. ""Dat hangt af van kosten, de ligging van het tankstation en de concurrentie in de buurt.""

LUISTER OOK naar onze dagelijkse nieuwspodcast Praat mee met AD",0.5557,0.5223,temperature rise,undernourishment,high_climate,,,,,,
