language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Danish,climate,0.5600,0.0400,0.5583,no,0.5583,0.4944,climate action,climate action,undernourishment,berlingske_dk,Teleinvesteringer for op til 30 milliarder skal gøre Danmark klimaklar,https://www.berlingske.dk/virksomheder/teleinvesteringer-for-op-til-30-milliarder-skal-goere-danmark-klimaklar,8506,637
Danish,climate,0.5600,0.0400,0.5586,no,0.5586,0.4936,changing climate,changing climate,extreme poverty,berlingske_dk,"Dyr, ineffektiv klimapolitik er den værste af alle verdener",https://www.berlingske.dk/kommentatorer/dyr-ineffektiv-klimapolitik-er-den-vaerste-af-alle-verdener,8506,637
Danish,climate,0.5600,0.0400,0.5592,no,0.5592,0.5031,climate action,climate action,undernourishment,berlingske_dk,Stærkt kritiseret princip er fjernet fra klimaforhandlinger: Men ifølge lækket notat skal minister stadig kunne bortforklare manglende resultater,https://www.berlingske.dk/politik/staerkt-kritiseret-princip-er-fjernet-fra-klimaforhandlinger-men-ifoelge-laekket-notat-skal-minister-stadig-kunne-bortforklare-manglende-resultater,8506,637
Danish,climate,0.5600,0.0400,0.5594,no,0.5594,0.4991,changing climate,changing climate,undernourishment,berlingske_dk,Trump modsiges af egen regering: Global opvarmning er menneskeskabt,https://www.berlingske.dk/samfund/trump-modsiges-af-egen-regering-global-opvarmning-er-menneskeskabt,8506,637
Danish,climate,0.5600,0.0400,0.5596,no,0.5596,0.5015,climate crisis,climate crisis,extreme poverty,berlingske_dk,"»Greta Thunberg-hysteriet har nu nået et niveau, som man må kalde truende«",https://www.berlingske.dk/opinion/greta-thunberg-hysteriet-har-nu-naaet-et-niveau-som-man-maa-kalde-truende,8506,637
Danish,climate,0.5600,0.0400,0.5597,no,0.5597,0.4785,climate action,climate action,undernourishment,berlingske_dk,Klimaordførere på stribe: Vi kan godt nå klimamål uden social uro og eksport af klimaproblemer,https://www.berlingske.dk/business/klimaordfoerere-paa-stribe-vi-kan-godt-naa-klimamaal-uden-social-uro-og-eksport-af-klimaproblemer,8506,637
Danish,climate,0.5600,0.0400,0.5598,no,0.5598,0.5605,climate action,climate action,undernourishment,berlingske_dk,Landbrugspakkens grønne slagnummer skuffer igen: »Der sker reelt ingenting«,https://www.berlingske.dk/politik/landbrugspakkens-groenne-slagnummer-skuffer-igen-der-sker-reelt-ingenting,8506,637
Danish,climate,0.5600,0.0400,0.5599,no,0.5599,0.5754,rising temperature,rising temperature,undernourishment,berlingske_dk,Superlån gør sig til i varmen: »Vi står foran det største konverteringspotentiale i nyere tid«,https://www.berlingske.dk/business/superlaan-goer-sig-til-i-varmen-vi-staar-foran-det-stoerste-konverteringspotentiale-i-nyere-tid,8506,637
Danish,climate,0.5600,0.0400,0.5604,YES,0.5604,0.4735,climate actions,climate actions,extreme poverty,berlingske_dk,Nye krav fra Klimarådet til klimalov presser regeringen,https://www.berlingske.dk/politik/nye-krav-fra-klimaraadet-til-klimalov-presser-regeringen,8506,637
Danish,climate,0.5600,0.0400,0.5608,YES,0.5608,0.5143,climate action,climate action,undernourishment,berlingske_dk,Affaldsaftale: Borgerne skal fremover sortere ti typer affald,https://www.berlingske.dk/politik/affaldsaftale-borgerne-skal-fremover-sortere-ti-typer-affald,8506,637
Danish,climate,0.5600,0.0400,0.5610,YES,0.5610,0.5554,climate crises,climate crises,undernourishment,berlingske_dk,"Manden, der granskede finanskrisen, nærer én stor frygt: Det kan sende rystelser gennem systemet",https://www.berlingske.dk/virksomheder/manden-der-granskede-finanskrisen-naerer-en-stor-frygt-det-kan-sende-rystelser-gennem-systemet,8506,637
Danish,climate,0.5600,0.0400,0.5610,YES,0.5610,0.6134,climate crises,climate crises,undernourishment,berlingske_dk,FN advarer om mulig global fødevarekrise på grund af krigen,https://www.berlingske.dk/internationalt/fn-advarer-om-mulig-global-foedevarekrise-paa-grund-af-krigen,8506,637
Danish,climate,0.5600,0.0400,0.5616,YES,0.5616,0.4866,changing climate,changing climate,undernourishment,berlingske_dk,Regeringens støttepartier kræver omgående handling – Skipper truer med at vælte klimaminister,https://www.berlingske.dk/politik/regeringens-stoettepartier-kraever-omgaaende-handling--skipper-truer-med-at-vaelte-klimaminister,8506,637
Danish,climate,0.5600,0.0400,0.5617,YES,0.5617,0.4995,changing climate,changing climate,extreme poverty,berlingske_dk,"Den største klimafare er, at kloden sparer sig ihjel",https://www.berlingske.dk/kommentatorer/den-stoerste-klimafare-er-at-kloden-sparer-sig-ihjel,8506,637
Danish,climate,0.5600,0.0400,0.5620,YES,0.5620,0.4939,carbon emission,carbon emission,undernourishment,berlingske_dk,Finanslov reducerer drivhusgas med én procent,https://www.berlingske.dk/politik/finanslov-reducerer-drivhusgas-med-en-procent,8506,637
Danish,climate,0.5600,0.0400,0.5620,YES,0.5620,0.5490,temperature rises,temperature rises,undernourishment,berlingske_dk,Ny inflationsgyser i USA – dollar og renter hopper igen,https://www.berlingske.dk/oekonomi/ny-inflationsgyser-i-usa--dollar-og-renter-hopper-igen,8506,637
