label,language,length,subtlety,title,climate_max_sim,climate_max_keyword,health_max_sim,health_max_keyword,climate_centroid_sim,health_centroid_sim,climate_matched_max,climate_matched_keyword,health_matched_max,health_matched_keyword,climate_matched_centroid,health_matched_centroid
climate,en,short,direct,Global Warming Accelerates Arctic Ice Loss,0.667,global warming,0.5092,extreme poverty,0.6338,0.4419,0.667,global warming,0.5092,extreme poverty,0.6338,0.4419
climate,en,medium,direct,Europe Faces Record Heatwave as Temperatures Soar,0.6529,rising temperatures,0.5062,extreme poverty,0.5836,0.4362,0.6529,rising temperatures,0.5062,extreme poverty,0.5836,0.4362
climate,en,long,indirect,Pacific Island Nations Face an Uncertain Future,0.6509,rising sea levels,0.5465,extreme poverty,0.6015,0.5112,0.6509,rising sea levels,0.5465,extreme poverty,0.6015,0.5112
climate,ar,medium,direct,ارتفاع مستوى سطح البحر يهدد المدن الساحلية العربية,0.5808,sea level rise,0.4493,west nile,0.4703,0.3761,0.7394,ارتفاع مستوى سطح البحر,0.5778,حمى النيل الغربي,0.5875,0.4566
climate,zh,short,direct,中国承诺加速减少碳排放,0.5583,carbon emissions,0.4018,air pollution,0.4807,0.3665,0.615,碳排放,0.4326,空气污染,0.5245,0.3963
climate,zh,medium,indirect,黄河流域干旱加剧农业危机,0.5191,rising temperatures,0.4895,extreme poverty,0.5135,0.447,0.5749,气候紧急状态,0.5323,粮食危机,0.5494,0.471
climate,es,medium,direct,América Latina enfrenta una crisis climática sin precedentes,0.561,rising temperatures,0.4956,extreme poverty,0.5882,0.4446,0.6891,aumento de temperatura,0.5773,contaminación del aire,0.6512,0.4955
climate,fr,short,direct,La France adopte un plan ambitieux contre le réchauffement climatique,0.5649,climate action,0.4557,extreme poverty,0.5524,0.4088,0.7749,réchauffement planétaire,0.6112,pollution de l'air,0.6345,0.4675
climate,pt,medium,indirect,Seca histórica transforma paisagem do Nordeste brasileiro,0.4908,rising temperatures,0.4522,west nile,0.4838,0.4156,0.6748,aumento da temperatura,0.6345,qualidade de vida,0.5821,0.4841
health,en,short,direct,Dengue Outbreak Spreads Across Southeast Asia,0.5228,rising temperatures,0.6266,dengue,0.5162,0.5809,0.5228,rising temperatures,0.6266,dengue,0.5162,0.5809
health,en,medium,direct,Malnutrition Crisis Deepens in Horn of Africa,0.5504,climate crises,0.6652,food insecurity,0.5149,0.545,0.5504,climate crises,0.6652,food insecurity,0.5149,0.545
health,en,long,indirect,Rural Communities Struggle to Access Medical Care,0.4293,climate crisis,0.4994,extreme poverty,0.4411,0.487,0.4293,climate crisis,0.4994,extreme poverty,0.4411,0.487
health,ar,medium,direct,تفشي وباء الكوليرا في اليمن يثير قلقاً دولياً,0.4028,climate emergencies,0.4982,cholera,0.3868,0.4805,0.5589,موجة حر,0.6139,وباء,0.4896,0.5433
health,es,short,direct,Brasil registra aumento alarmante de casos de malaria,0.52,rising temperatures,0.5645,malaria,0.4999,0.5523,0.6625,aumento de temperatura,0.624,fiebre del Nilo Occidental,0.5655,0.5959
health,fr,medium,indirect,Les hôpitaux parisiens sous pression face à la grippe saisonnière,0.4314,rising temperatures,0.4418,illnesses,0.4436,0.4637,0.6562,réchauffement planétaire,0.6119,fièvre du Nil occidental,0.532,0.5189
health,pt,short,direct,Surto de dengue atinge recorde no Rio de Janeiro,0.4598,rising temperatures,0.5327,dengue,0.4492,0.4756,0.6465,aumento do nível do mar,0.6235,febre do Nilo Ocidental,0.5457,0.5392
climate+health,en,short,direct,Climate Change Fuels Spread of Mosquito-Borne Diseases,0.6157,climate emergency,0.5754,dengue,0.5991,0.5525,0.6157,climate emergency,0.5754,dengue,0.5991,0.5525
climate+health,en,medium,direct,Extreme Heat Drives Surge in Hospital Admissions,0.6526,rising temperatures,0.5272,extreme poverty,0.5884,0.5011,0.6526,rising temperatures,0.5272,extreme poverty,0.5884,0.5011
climate+health,en,long,indirect,After the Floods: A Town Grapples with Contaminated Water,0.6192,rising sea levels,0.5931,undernourishment,0.5986,0.5777,0.6192,rising sea levels,0.5931,undernourishment,0.5986,0.5777
climate+health,ar,medium,direct,موجات الحر تفاقم الأزمة الصحية في العراق,0.567,rising temperatures,0.4422,epidemics,0.4824,0.4388,0.6774,الاحتباس الحراري,0.567,التهاب رئوي,0.5956,0.5044
climate+health,zh,medium,direct,气候变化加剧登革热在中国南方的传播,0.5617,rising temperatures,0.5862,dengue,0.5175,0.5183,0.6059,气温升高,0.6697,登革热,0.565,0.5567
climate+health,es,short,indirect,Olas de calor provocan emergencia sanitaria en Colombia,0.6228,rising temperatures,0.5209,extreme poverty,0.5864,0.5324,0.6692,aumento de temperatura,0.6152,cólera,0.6394,0.573
