language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Russian,Russia,mk.ru,newsapi,2055,https://www.mk.ru/politics/2026/03/19/na-zapade-zayavili-o-novoy-faze-voyny-v-irane.html,На Западе заявили о новой фазе войны в Иране,"WSJ: эскалация атак на энергообъекты вводит войну с Ираном в новую фазу

Эскалация атак на энергообъекты стран Персидского залива вводит военный конфликт с Ираном в новую фазу, пишет The Wall Street Journal (WSJ).

Усиление атак на нефтегазовую инфраструктуру Персидского залива выводит войну США и Израиля с Исламской Республикой на новый опасный этап, который грозит усугубить кризис в сфере глобальных поставок энергоносителей, поделились своей точкой зрения авторы публикации.

По информации издания, Соединенные Штаты, которые ранее обещали пресечь нападения на энергоинфраструктуру Ирана, были заранее осведомлены о плане и не имели по поводу него каких-либо возражений.

По словам американских чиновников, хозяин Белого дома Дональд Трамп одобрил удар, чтобы оказать давление на Исламскую Республику с целью разблокировки Ормузского пролива.

Как заявили чиновники, президент США полагает, что Тегеран получил это послание, и хочет воздержаться от дальнейших ударов по иранской энергоинфраструктуре. При этом спустя некоторое время Трамп опроверг утверждение о том, что Вашингтон заранее знал об атаке Израиля на ""Южный Парс"".",0.2524,0.2967,climate emergencies,west nile virus,high_climate,no,no,no,West claims new phase in Iran war - geopolitics,,
Russian,Russia,mk.ru,newsapi,3956,https://www.mk.ru/social/2026/03/15/meteorolog-soobshhil-o-novom-sutochnom-rekorde-temperatury-vozdukha.html,Метеоролог сообщил о новом суточном рекорде температуры воздуха,"Метеоролог Леус: В Москве новый рекорд, воздух прогрелся до 9,9 градуса тепла

Москва установила новый температурный рекорд: в воскресенье воздух в столице прогрелся до плюс 9,9 градуса, превысив предыдущее достижение 2015 года. Об этом сообщил ведущий специалист центра погоды ""Фобос"" Михаил Леус.

""Сегодня, к 13.00, по данным базовой метеостанции столицы -- ВДНХ -- воздух прогрелся до плюс 9,9 градуса, что на одну десятую выше прежнего суточного рекорда максимальной температуры воздуха, ранее принадлежавшего 2015 году"", -- написал синоптик в своем Telegram-канале.

Леус отметил, что температура в городе продолжает повышаться, поэтому окончательное значение нового рекорда будет установлено позднее. По его словам, точные показания снимут после 21 часа, когда метеорологи подведут итоги дня по максимальным термометрам. Таким образом, есть вероятность, что к вечеру столбики термометров поднимутся еще выше.

Аномально теплая погода для середины марта установилась в столичном регионе благодаря влиянию атлантического циклона, который принес в центральную часть России массы теплого воздуха. Такая температура больше характерна для начала апреля, чем для первой половины марта.

Москвичи активно пользуются редкой для этого времени года возможностью провести время на открытом воздухе. Городские парки и зоны отдыха заполнены гуляющими, хотя синоптики предупреждают, что теплая погода продержится недолго. Уже в начале недели ожидается понижение температуры и возвращение к более привычным для марта значениям.

Предыдущий суточный рекорд для 15 марта держался девять лет -- с 2015 года.

Читайте материал ""В столичном регионе продлили желтый уровень погодной опасности""

""МК"" в MAX: главные новости -- быстро, честно, рядом"".",0.2865,0.2514,temperature rise,measles,high_climate,yes,no,no,Meteorologist reports new daily temperature record in Moscow,,
Russian,,kommersant.ru,newsapi,1588,https://www.kommersant.ru/doc/8514175,Температура воздуха в Москве побила полуторавековой рекорд,"Максимальная суточная температура воздуха в Москве побила три вековых рекорда. Об этом сообщили на географическом факультете МГУ в Telegram. Пиковые значения зафиксировали 12, 13 и 15 марта.

Как отмечается в публикации, 12 марта температура воздуха достигла 13,6 °С впервые за 148 лет для этой даты. 13 марта воздух прогрелся до 15,1 °С, обновив вековой рекорд 1997 года. Самой высокой отметки за век температура достигла также 15 марта и составила 11,5 °С. 14 марта был отмечен повтор векового рекорда в 13,5 °С, установленного в прошлом году.

Ведущий научный сотрудник кафедры метеорологии и климатологии географического факультета МГУ Михаил Локощенко рассказал, что необычно теплая погода связана с нахождением Москвы на западной периферии обширного антициклона с центром над Южной Сибирью.

""Следствием этого стало вхождение с юго-восточными потоками в столицу очень теплого континентального тропического воздуха из Средней Азии и Ирана"", -- пояснил господин Локощенко. По его словам, потепление усилила ясная погода, обусловленная антициклоном. На географическом факультете напомнили, что потепление привело к резкому уменьшению снежного покрова с 59 до 29 см.",0.3143,0.2924,temperature rise,measles,high_climate,yes,no,no,Moscow air temperature breaks 150-year record,,
Russian,,kommersant.ru,newsapi,7702,https://www.kommersant.ru/doc/8460175,LG подала заявки на регистрацию двух товарных знаков в России,"LG Electronics, приостановившая поставки в Россию в 2022 году, подала в Роспатент заявку на регистрацию двух товарных знаков. Об этом сообщает ""РИА Новости"" со ссылкой на данные Роспатента.

Заявки на регистрацию ""Mini RGB evo"" и ""TurboWash"" поступили в ведомство ранее в этом месяце. Заявитель -- ""ЭлДжи Электроникс Инк"". В сервисе проверки контрагентов Rusprofile пояснили, что после регистрации бренды можно будет использовать для выпуска пылесосов, стиральных машин, микроволновых печей и другой техники. Сейчас под брендом ""TurboWash"" выпускают стиральные машины.",0.2691,0.3082,ozone depletion,measles,high_climate,no,no,no,LG files trademark applications - tech business,,
Russian,Russia,mk.ru,newsapi,6706,https://www.mk.ru/politics/2026/03/09/ssha-poteryali-eshhyo-dva-bespilotnika-mq9-reaper-v-khode-operacii-v-irane.html,США потеряли ещё два беспилотника MQ-9 Reaper в ходе операции в Иране,"США зафиксировали потерю еще двух беспилотных летательных аппаратов MQ-9 Reaper.

Американцы понесли потери техники в ходе проведения военной операции против Ирана под названием ""Эпическая ярость"". Данной информацией поделился американский телеканал CBS со ссылкой на двух официальных представителей США.

Как отмечают эксперты, один такой беспилотник стоит примерно 30 млн долларов. За время проведения военной операции на Ближнем Востоке Пентагон потерял уже 11 дронов такого типа.

Также сообщается, что Иран начал новую серию ударов по целям на территории Израиля.",0.2713,0.3064,ozone depletion,measles,high_climate,no,no,no,US lost two more MQ-9 Reaper drones - military,,
Russian,,kommersant.ru,newsapi,2914,https://www.kommersant.ru/doc/8499204,"ДВЖД с начала года сократила перевозки контейнеров на 8,6%","Перевозки контейнеров на Дальневосточной железной дороге (ДВЖД, филиал ОАО РЖД) в январе -- феврале сократились на 8,6% к аналогичному периоду прошлого года, сообщила служба корпоративных коммуникаций перевозчика. Всего во всех видах сообщения перевезено 208 тыс. груженых и порожних контейнеров в двадцатифутовом эквиваленте (ДФЭ, TEU).

Количество груженых контейнеров составило 191,7 тыс. ДФЭ, что на 10,1% меньше показателя первых двух месяцев 2025 года. В этих контейнерах перевезено 2,1 млн т грузов (спад на 12,3%). В частности, перевозчик показывает сокращение погрузки в контейнеры металлических изделий -- на 16% (до 25,8 тыс. ДФЭ), химикатов и соды -- на 7% (до 33,2 тыс. ДФЭ), лесных грузов -- на 11,3% (до 3,7 тыс. ДФЭ). Также меньше перевезено промтоваров народного потребления -- на 2,8% (до 29,8 тыс. ДФЭ).

Вместе с тем продовольственных товаров погружено больше на 18,5% (5,8 тыс. ДФЭ), цветной руды и серного сырья -- в 2,6 раза (1,5 тыс. ДФЭ), нефти и нефтепродуктов -- на 24,1% (1,9 тыс. ДФЭ), строительных грузов -- на 11,4% (до 2,4 тыс. ДФЭ), а остальных и сборных грузов -- на 18,1% (до 14,8 тыс. ДФЭ).

Также в отчетный период отмечен рост экспортных перевозок -- на 20,6%, до почти 5 тыс. груженых и порожних контейнеров в ДФЭ.

По итогам 2025 года объем контейнерных перевозок на ДВЖД сократился на 13,4%, до 1,1 млн ДФЭ во всех видах сообщения.",0.2727,0.3233,co2 emissions,casualties,high_climate,no,no,no,Far East railway reduced container transport 8% - logistics,,
Russian,Russia,mk.ru,newsapi,7281,https://www.mk.ru/social/2026/03/08/britancam-predlozhili-strannyy-sposob-pokhoron-slivayut-v-kanalizaciyu.html,Британцам предложили странный способ похорон: сливают в канализацию,"Шотландия стала первой частью Великобритании, которая ввела ""альтернативную"" процедуру похорон путем ""варки в мешке"", что стало крупнейшим изменением в британских правилах погребения с тех пор, как в 1885 году была введена кремация.

Этот альтернативный метод, известный как щелочной гидролиз, заключается в том, что тела растворяются в стерильной жидкости и смываются в канализацию, пишет Daily Mail. Сторонники такой ""водной кремации"" утверждают, что эта процедура является экологически чистой альтернативой традиционной кремации, при которой используется большое количество природного газа.

Во время похорон в ""кипящем мешке"" тело заворачивают в биоразлагаемый саван, часто из шелка или шерсти, и помещают в герметичную стальную камеру. Затем резервуар заполняется жидкостью, состоящей на 95% из воды и на пять процентов из щелочного вещества, такого как гидроксид калия. Корпус нагревается до 150°C под давлением. В течение трех-четырех часов происходит повторение естественных процессов разложения, которые обычно происходят в гробу десятилетиями, рассказывает Daily Mail. Наконец, полученная жидкость охлаждается, обрабатывается и сливается в канализацию, где она перерабатывается вместе с обычными сточными водами.

Компания Kindly Earth, обладающая эксклюзивными правами на производство оборудования для щелочного гидролиза в Шотландии, утверждает, что жидкие отходы стерильны и не содержат твердых веществ или ДНК. После обработки остаются только природные соединения, такие как белки, пептиды, сахара и соли, и вода в конечном итоге возвращается в гидрологический цикл. Тем временем ставшие мягкими кости тщательно высушивают, охлаждают, измельчают в мелкий белый порошок и возвращают семье в урне, как прах после кремации, отмечает Daily Mail.

В странах, где кремация в воде уже разрешена законом, цена обычно колеблется от 1500 до 5000 долларов, в зависимости от поставщика и местоположения, поясняется в руководстве по прощанию. Например, в одном таком погребальном заведении в Миннесоте ""базовая кремация"" стоит 3395 долларов, а с дополнительной поминальной службой - 4995 долларов.

Хелен Чандлер, генеральный директор Kindly Earth, говорит: ""Мы осознаем, что не все выберут гидролиз - и в этом суть. Мы хотим предоставить семьям больше выбора. У каждой семьи свои ценности и приоритеты. Некоторые люди, особенно те, кто заранее планирует свои похороны, ищут варианты, которые в большей степени соответствуют их предпочтениям. Гидролиз предоставляет такой дополнительный выбор"".

В 2023 году правительство Шотландии провело консультации по щелочному гидролизу и выяснило, что 84% респондентов поддержали его внедрение. Но прежде чем шотландские крематории и похоронные агентства смогут предлагать водяную кремацию, им сначала нужно будет получить разрешение на строительство и заключить соглашение с компанией Scottish Water на сброс жидкости.

Шотландское правительство считает, что первые процедуры состоятся этим летом, как только ""будут получены все необходимые согласия"", отмеча...",0.2818,0.3260,ozone depletion,casualties,high_climate,no,no,no,British offered strange burial method: flushed down drain,,
Russian,Russia,kp.ru,scrapai,17304,https://www.kp.ru/family/ecology/uglerodnyj-nalog/,"Углеродный налог 2026: с какой целью вводится, что под него попадает, как реализуется в России и Европе","Теоретически новый обязательный платеж позволит сократить объемы загрязнения и даст стимул для развития более экологичного производства. Но есть и другое мнение: такая финансовая мера увеличит затраты для бизнеса и снизит поток инвестиций.

Как обстоят дела на самом деле и каковы перспективы введения углеродного налога в России в 2026 году, читайте в статье.

Что такое углеродный налог и с какой целью он вводится

Если коротко, это плата за сжигание ископаемого топлива, куда относятся уголь, нефть, газ и пр.

Энергетическая сущность каждого такого ресурса — это атомы углерода и водорода. Окисление (сжигание) этих атомов выделяет тепловую энергию, но также дает «побочку» — углекислый газ. CO2, выделяющийся при сжигании топлива, поднимается в верхние слои атмосферы и остается там около столетия. Он задерживает тепло, излучаемое земной поверхностью, — это один из факторов глобального изменения климата.

Углеродный налог — основной момент политики многих стран мира, направленной на сокращение и, в конечном итоге, ликвидацию использования неэкологичных ресурсов. Взыскание платы — пока единственный способ возмещать ущерб, причиненный природе потребителями такого топлива.

Идея инициаторов меры заключалась в том, что, если установить планку достаточно высоко, налог станет мощным сдерживающим фактором и побудит бизнес переходить на экологически чистую энергию.

Количество CO2, выделяемое при сжигании любого ископаемого топлива, строго пропорционально содержанию углерода в нем самом. Это позволяет взимать налог «выше по потоку», то есть с сырья, когда оно добывается из земли или импортируется (например, такая ситуация сейчас в США), что значительно упрощает регулирование.

Полезная информация об углеродном налоге

Углеродный налог в России

В конце 2015 года представители нескольких стран мира подписали Парижское соглашение, по которому обязались разработать меры по сокращению выбросов вредных газов в атмосферу (1). Введение углеродного налога — один из последующих шагов в рамках программы. Сбор уже действует в Дании, Германии, Индии, Китае и многих других странах. А как обстоят дела у нас?

Россия ратифицировала Парижское соглашение в сентябре 2019 года. И в целях реализации принятых обязательств 4 ноября 2020 года Президент подписал Указ № 666 «О сокращении выбросов парниковых газов» (2). А Правительство России разработало Стратегию социально-экономического развития Российской Федерации с низким уровнем выбросов парниковых газов до 2050 года (3). В этом документе говорится о том, что в случае введения денежного сбора на углекислый газ должен быть соблюден баланс стабильности финансовой системы и климатических рисков.

В нашей стране вопрос введения углеродного налога находится в стадии обсуждения. Однако в 2022 году на Сахалине запущен пилотный проект по углеродному регулированию. Экономическая суть — в квотировании: местные компании должны не только отчитываться об объемах выброса вредных газов в атмосферу, но и платить за произведенный углерод свыше у...",0.2881,0.2560,co2 emissions,air pollution,high_climate,yes,no,no,"Carbon tax 2026: purpose, what's covered - climate policy",,
Russian,Russia,kp.ru,scrapai,8476,https://www.kp.ru/doctor/spetsialisty/irina-temirova/,эксперт на проекте «Доктор»,"Стоматолог-ортодонт. Стаж работы более 15 лет.

Образование

2005 г. - Первый Санкт-Петербургский государственный медицинский университет им. акад. И.П. Павлова (стоматология). Базовое образование.

Повышение квалификации

2011 г. - «Несъемная ортодонтическая техника. Основополагающие принципы применения». Кирсанова Е.В., Санкт-Петербург.

2011 г. - «Преимущество использования самолигирующих интерактивных брекет-систем при лечении дистальной окклюзии II класса, вопросы применения мини-имплантов». Хиро Брюнинг, Майкл Богеншуец, Санкт-Петербург.

2012 г. - «Раннее ортодонтическое лечение с помощью съемной системы LM-Активатор», Санкт-Петербург.

2012 г. - «Индивидуальная механика и современный анкораж в ортодонтии», Бирта Мильсен, Марсель Корн, Санкт-Петербург.

2012 г. - «Биомеханика в ортодонтии», Кирсанова Е.В., Санкт-Петербург.

2012 г. - «Trainer system, myobrace system, tmj system, powrgard system», Niels Hulsink, Санкт-Петербург.

2012 г. - «Lingual orthodontics», Rafi Romano, Санкт-Петербург.

2013 г. - Международная конференция для ортодонтов и ортогнатических хирургов, Санкт-Петербург.

2013 г. - «Развитие восьми поколений системы пассивного самолигирования Damon за 15 лет». Insignia, Alan Bagden, Санкт-Петербург.

2013 г. - «Особенности использования несъемной ортодонтической техники при лечении пациентов с заболеваниями пародонта и патологией ВНЧС», Кирсанова Е.В., Санкт-Петербург.

2014 г. - «Основы лингвальной ортодонтии. Лингвальная система STb Orapix», Тихонов А.В, Морозов М.С., И Дмитрий Канпинович, Санкт-Петербург.

2015 г. - Всероссийский Съезд Ортодонтов.

2016 г. - «Инсигния. Введение в программу», Дубовская М., Санкт-Петербург.

2017 г. - «European Damon forum», Ormco, Monaco.

2017 г. - «Инсигния от А до Я», Майкл Тульчинский, Санкт-Петербург.

2019 г. - Семинар Star Smile «Ортодонтия без брекетов», Москва.",0.2558,0.3387,heatwave,measles,high_climate,no,no,no,Junk - kp.ru Doctor project expert page,,
Russian,Russia,iz.ru,newsapi,2828,https://iz.ru/2057731/2026-03-12/krossover-soueast-s06-postupit-v-prodazhu-v-rossii-vesnoi,Кроссовер Soueast S06 поступит в продажу в России весной,"Продажи кроссовера Soueast S06 в России начнутся весной текущего года. Эта модель станет третьей и самой компактной в российской линейке марки, говорится в сообщении представителей китайской марки, которое поступило ""Известиям"" 12 марта.

Фото: Soueast

В компании уточнили некоторые подробности о новой модели. Она имеет сенсорные экраны в салоне, 32 отсека для хранения вещей и колесную базу в 2720 мм. Другие характеристики не раскрываются.

Модель Soueast S06 была анонсирована еще осенью 2024 года, когда марка только выходила на российский рынок. Планировалось, что ее продажи начнутся в 2025-м.

По данным портала ""Китайские автомобили"", осенью 2025 года Soueast S06 сборки калининградского завода ""Автотор"" получил Одобрение типа транспортного средства (ОТТС). На китайском рынке эта модель известна как обновленный Jetour Dashing. Кроссовер оборудован двумя вариантами бензиновых ДВС -- это 1,5-литровый агрегат мощностью 156 л. с., который работает с шестиступенчатой роботизированной коробкой передач, а также 197-сильный двигатель 1,6 на 197 л. с. в сочетании с семиступенчатым ""роботом"".

Лайтбар и автомат: как кроссоверы из КНР меняются для России Тест-драйв Soueast S07 и S09

Ранее в этот день сообщалось, что обновленный кроссовер Geely Monjaro в базовой комплектации 2026 года выпуска поступит в продажу в России, цена модели в начальной версии ""Люкс"" (Luxury) стартует от 4,6 млн рублей.

Все важные новости -- в канале ""Известия"" в мессенджере МАХ",0.2913,0.3427,heatwave,west nile virus,high_climate,no,no,no,Soueast S06 crossover on sale in Russia - automotive,,
