language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Indonesian,climate,0.5000,0.0400,0.4983,no,0.4983,0.5236,heatwave,heatwave,west nile virus,jawapos_com,"Jalani Operasi THT, Cha Joo Young Umumkan Hiatus Sementara",https://www.jawapos.com/infotainment/2601260116/jalani-operasi-tht-cha-joo-young-umumkan-hiatus-sementara,1846,441
Indonesian,climate,0.5000,0.0400,0.4985,no,0.4985,0.5324,heatwave,heatwave,west nile virus,jawapos_com,"Menenal Bahaya Cushing Syndrome: Hormon Kortisol yang Terlalu Tinggi, Penyebab dan Kasus Unik dari Salah Satu Mantan Pasien",https://www.jawapos.com/kesehatan/2603080151/menenal-bahaya-cushing-syndrome-hormon-kortisol-yang-terlalu-tinggi-penyebab-dan-kasus-unik-dari-salah-satu-mantan-pasien,1846,441
Indonesian,climate,0.5000,0.0400,0.4987,no,0.4987,0.5009,extreme event,extreme event,west nile virus,jawapos_com,"Penelitian CENAGO ITB Simpulkan Cuaca Ekstrem Penyebab Utama Banjir Sumatera 2025, Ini Datanya",https://www.jawapos.com/nasional/2602210172/penelitian-cenago-itb-simpulkan-cuaca-ekstrem-penyebab-utama-banjir-sumatera-2025-ini-datanya,1846,441
Indonesian,climate,0.5000,0.0400,0.4988,no,0.4988,0.5394,heatwave,heatwave,west nile virus,jawapos_com,AS Mulai Gunakan Pangkalan Inggris untuk Operasi Pertahanan ke Iran,https://www.jawapos.com/internasional/2603080150/as-mulai-gunakan-pangkalan-inggris-untuk-operasi-pertahanan-ke-iran,1846,441
Indonesian,climate,0.5000,0.0400,0.4989,no,0.4989,0.5320,heatwave,heatwave,west nile virus,jawapos_com,Awkarin Isyaratkan Reza Arap Bawa Pengaruh Buruk Terhadap Mendiang Lula Lahfah,https://www.jawapos.com/infotainment/2602050332/awkarin-isyaratkan-reza-arap-bawa-pengaruh-buruk-terhadap-mendiang-lula-lahfah,1846,441
Indonesian,climate,0.5000,0.0400,0.4993,no,0.4993,0.5162,heatwave,heatwave,west nile virus,jawapos_com,Mahasiswa Perlu Lakukan Hal ini untuk Perkuat Student Agency di Era Kompleks,https://www.jawapos.com/pendidikan/2603070114/mahasiswa-perlu-lakukan-hal-ini-untuk-perkuat-student-agency-di-era-kompleks,1846,441
Indonesian,climate,0.5000,0.0400,0.4997,no,0.4997,0.5154,heatwave,heatwave,west nile virus,jawapos_com,"Bolognese Bake Potatoes, Menu Buka Puasa Tinggi Protein dan Mengenyangkan",https://www.jawapos.com/kuliner/2603020022/bolognese-bake-potatoes-menu-buka-puasa-tinggi-protein-dan-mengenyangkan,1846,441
Indonesian,climate,0.5000,0.0400,0.5000,no,0.5000,0.5341,heatwave,heatwave,west nile virus,jawapos_com,"Jensen Huang Klaim Siapkan Chip yang Akan Mengejutkan Dunia, Nvidia Pacu Lompatan AI di GTC 2026",https://www.jawapos.com/internasional/2602200362/jensen-huang-klaim-siapkan-chip-yang-akan-mengejutkan-dunia-nvidia-pacu-lompatan-ai-di-gtc-2026,1846,441
Indonesian,climate,0.5000,0.0400,0.5002,YES,0.5002,0.5082,heatwave,heatwave,west nile virus,jawapos_com,"Akan Comeback, Irene Red Velvet Rilis Tanggal serta Teaser Film ‘BIGGEST FAN-TASY’",https://www.jawapos.com/entertainment/2603090106/akan-comeback-irene-red-velvet-rilis-tanggal-serta-teaser-film-biggest-fan-tasy,1846,441
Indonesian,climate,0.5000,0.0400,0.5003,YES,0.5003,0.5326,extreme event,extreme event,west nile virus,jawapos_com,"6 Dampak Stres pada Anak dan Remaja, Ancaman Serius bagi Kesehatan Mental dan Fisik",https://www.jawapos.com/lifestyle/2510030431/6-dampak-stres-pada-anak-dan-remaja-ancaman-serius-bagi-kesehatan-mental-dan-fisik,1846,441
Indonesian,climate,0.5000,0.0400,0.5003,YES,0.5003,0.5619,heatwave,heatwave,west nile virus,jawapos_com,"Praperadilan Richard Lee Ditolak, Doktif Bongkar Rp 50 Miliar Dana Suap",https://www.jawapos.com/infotainment/2602110314/praperadilan-richard-lee-ditolak-doktif-bongkar-rp-50-miliar-dana-suap,1846,441
Indonesian,climate,0.5000,0.0400,0.5004,YES,0.5004,0.5406,heatwave,heatwave,west nile virus,jawapos_com,Sejarah Singkat Lagu Hanya Debulah Aku (Puji Syukur 481): Mengingatkan Diri Bahwa Kita Hanyalah Manusia Lemah di Depan Allah,https://www.jawapos.com/humaniora/2602280315/sejarah-singkat-lagu-hanya-debulah-aku-puji-syukur-481-mengingatkan-diri-bahwa-kita-hanyalah-manusia-lemah-di-depan-allah,1846,441
Indonesian,climate,0.5000,0.0400,0.5006,YES,0.5006,0.5020,heatwave,heatwave,west nile virus,jawapos_com,"BMKG Prediksi Musim Kemarau 2026 Lebih Panjang, DPR Wanti-wanti Pemerintah soal Bencana Kekeringan",https://www.jawapos.com/politik/2603080076/bmkg-prediksi-musim-kemarau-2026-lebih-panjang-dpr-wanti-wanti-pemerintah-soal-bencana-kekeringan,1846,441
Indonesian,climate,0.5000,0.0400,0.5009,YES,0.5009,0.5373,heatwave,heatwave,west nile virus,jawapos_com,"Bantu Bisnis Go Digital, Lintasarta Siapkan Ekosistem AI untuk Indonesia Emas 2045",https://www.jawapos.com/teknologi/2602260407/bantu-bisnis-go-digital-lintasarta-siapkan-ekosistem-ai-untuk-indonesia-emas-2045,1846,441
Indonesian,climate,0.5000,0.0400,0.5012,YES,0.5012,0.5498,heatwave,heatwave,undernourishment,jawapos_com,"Konsumsi Micin Bikin Bodoh Ternyata Tak Benar, Begini Penjelasan Guru Besar UI",https://www.jawapos.com/kesehatan/2603060265/konsumsi-micin-bikin-bodoh-ternyata-tak-benar-begini-penjelasan-guru-besar-ui,1846,441
Indonesian,climate,0.5000,0.0400,0.5014,YES,0.5014,0.5276,heatwave,heatwave,west nile virus,jawapos_com,Mikel Arteta Bangga dengan Penampilan Wonderkid 16 Tahun Max Dowman,https://www.jawapos.com/sepak-bola-dunia/2603080222/mikel-arteta-bangga-dengan-penampilan-wonderkid-16-tahun-max-dowman,1846,441
