source,articles_sampled,median_content_length,p10_content_length,repetitive_pct,index_pages,issues,sample_content_prefix
5plus_mu,10,249,249,100.0,0,repetitive content (100% identical prefix),"Plus de 30 ans après sa création, entre aventure et passion, 5-Plus dimanche affiche une bonne santé"
aftonbladet_se,200,3275,109,69.5,0,repetitive content (70% identical prefix),"search
chevron-down
check
abplus
plus
clock
close
chevron-right
bell
alternative theme icon
chevron-"
aif_ru,200,1311,1311,96.5,0,repetitive content (96% identical prefix),"Эти несложные правила помогут Вам получать удовольствие от общения на нашем сайте!

Для того, чтобы "
chosun_com,105,211,209,80.0,1,repetitive content (80% identical prefix),"2026년 3월 15일(일)
신문구독
|
English
|
日本語
|
中文
조선경제
오피니언
정치
사회
국제
건강
스포츠
문화·연예
콘텐츠판
땅집고
BEMIL 군사세계
헬스조선
I"
dn_no,5,162,162,60.0,0,repetitive content (60% identical prefix),Dagens Næringsliv er en del av DN Media Group. For mer informasjon om DN Media Group klikk her. Vi a
echoroukonline_com,200,296,294,98.5,0,repetitive content (98% identical prefix),"-- -- -- / -- -- --
الجريدة
البث الحي
الفرنسية
الإنجليزية
الرئيسية
الجزائر
العالم
اقتصاد
رياضة
الرأي"
ekstrabladet_dk,6,2112,2112,100.0,0,repetitive content (100% identical prefix),"Ekstra Bladet annoncer
Du kan her rette dine indstillinger for, om vi må sætte cookies og bruge pers"
elcomercio_com,76,174,174,90.8,1,repetitive content (91% identical prefix),"Performing security verification

This website uses a security service to protect against malicious "
ennaharonline_com,200,241,237,97.0,0,repetitive content (97% identical prefix),"البث الحي
النسخة المصورة
تطبيق النهار
الإشهار
الرئيسية
الوطني
أخبار الجزائر
قناة النهار
الرياضة
أخبا"
fakty_ua,200,276,276,80.0,0,repetitive content (80% identical prefix),"© 1997—2026 «Факти та коментарі®»

Усі права на матеріали сайту охороняються у відповідності до зако"
ft_com,200,437,237,70.0,0,repetitive content (70% identical prefix),"Try unlimited access

Only €1 for 4 weeks

Then €69 per month. Complete digital access to quality FT"
guardian_ng,37,174,174,59.5,0,repetitive content (59% identical prefix),"Performing security verification

This website uses a security service to protect against malicious "
ilsole24ore_com,200,245,101,76.5,1,repetitive content (76% identical prefix),"Il Sole 24 ORE aderisce a The Trust Project

P.I. 00777910159 Dati societari

© Copyright Il Sole 24"
inquirer_net,200,111,111,98.5,0,repetitive content (98% identical prefix),By providing an email address. I agree to the Terms of Use and acknowledge that I have read the Priv
japantimes_co_jp,200,174,174,97.0,0,repetitive content (97% identical prefix),"Performing security verification

This website uses a security service to protect against malicious "
kleinezeitung_at,200,1253,969,93.0,0,repetitive content (93% identical prefix),Sie wollen weiterlesen? Dieser Inhalt ist exklusiv für Digitalabonnent:innen der Kleinen Zeitung. Le
lanacion_cl,200,4465,4465,90.0,0,repetitive content (90% identical prefix),"Mediante un comunicado, se indicó que “el término de operación de la turbina diésel de 24 MW de la C"
lapresse_ca,10,4816,3667,10.0,5,index/nav pages (5/10),"L’actualité verte de la semaine Oiseaux, castors et érosion

Notre sélection de nouvelles environnem"
lequipe_fr,146,2262,2261,89.7,4,repetitive content (90% identical prefix),"En vous abonnant, vous accédez à la source de référence sur l'actu sportive.En vous abonnant, vous a"
liberation_fr,1,279,279,100.0,0,repetitive content (100% identical prefix),"Décryptage

Municipales à Marseille : la propreté encore et toujours au cœur de la campagne

Toutes "
lidovky_cz,200,2459,2459,100.0,0,repetitive content (100% identical prefix),"iDNES a reklama

Pokud využijete místo platby udělení souhlasu s reklamou (tj. souhlas s využitím co"
mb_com_ph,43,174,174,97.7,0,repetitive content (98% identical prefix),"Performing security verification

This website uses a security service to protect against malicious "
mmbiztoday_com,200,2519,2312,93.5,0,repetitive content (94% identical prefix),"Sign in
Business
International
Local
Regional
Investment & Finance
Property & Real Estate
Featured
I"
nst_com_my,200,832,794,100.0,0,repetitive content (100% identical prefix),"LIVE
SUBSCRIBE NOW
LIVE
SUBSCRIBE NOW
Nation
ASEAN
Business Times
Life & Times
Sports
World
Heard Th"
segabg_com,15,4782,4586,100.0,0,repetitive content (100% identical prefix),"Медия без
политическа реклама
СИГНАЛ
РЕКЛАМА
Анонимен
ВХОД
Видео
(О)ПОЗИЦИЯ
90 секунди скандал
Видео"
sol_sapo_pt,10,4835,4564,100.0,0,repetitive content (100% identical prefix),"quarta-feira, 11 mar. 2026
Subscrição
Temas
Médio Oriente
Capas
Entrevistas
Guerra na Ucrânia
Secçõe"
telegraaf_nl,200,593,593,96.0,0,repetitive content (96% identical prefix),"Cookies en dataverzameling op De Telegraaf

Mediahuis (wij) en onze partners gebruiken technologieën"
thechronicle_com_gh,200,160,160,100.0,0,repetitive content (100% identical prefix),"Sign in

Welcome! Log into your account

your username

your password

Password recovery

Recover yo"
thisdaylive_com,200,709,709,100.0,0,repetitive content (100% identical prefix),"Founded on January 22, 1995, THISDAY is published by THISDAY NEWSPAPERS LTD., 35 Creek Road Apapa, L"
vanguardngr_com,54,174,174,98.1,0,repetitive content (98% identical prefix),"Performing security verification

This website uses a security service to protect against malicious "
vg_no,200,235,235,98.5,0,repetitive content (98% identical prefix),"Redaktøransvar

VG har ikke ansvar for innhold på eksterne nettsider som det lenkes til. Kopiering a"
