language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Hungarian,Hungary,borsonline.hu,newsapi,3228,https://www.borsonline.hu/egeszseg/2026/02/laz-szervezet-vedekezes,"Szenvedünk, de jót tesz: ezért jó a láz","A láz sokak számára ijesztő tünet, pedig a szervezet egyik legfontosabb védekező reakciója. A láz nem maga a betegség, hanem annak a jele, hogy az immunrendszer aktívan dolgozik a kórokozók ellen.

Amikor a testhőmérséklet 38 Celsius-fok fölé emelkedik, a szervezet belső ""termosztátja"", a hipotalamusz új egyensúlyi pontra áll be. A láz kialakulását gyulladásos hírvivő anyagok, úgynevezett citokinek indítják el. Ezek jelzik az agynak, hogy fertőzés vagy gyulladás zajlik a szervezetben. A magasabb testhőmérséklet kedvezőtlen környezetet teremt számos baktérium és vírus számára, így a láz aktívan hozzájárul a gyógyuláshoz.

A láz fokozza az immunsejtek aktivitását és gyorsítja a kórokozók elleni védekezést. A fehérvérsejtek hatékonyabban működnek magasabb hőmérsékleten, és a szervezet gyorsabban termel ellenanyagokat. Emellett egyes vírusok és baktériumok szaporodása lassul a megemelkedett testhőmérsékleten.

A láz tehát nem ""ellenség"", hanem egy tudatos biológiai válasz. Ezért enyhébb fertőzések esetén nem mindig szükséges azonnal csillapítani, különösen akkor, ha az érintett jó általános állapotban van.

Habár a láz hasznos élettani reakció, bizonyos esetekben orvosi figyelmet igényel. Ha a testhőmérséklet tartósan 39 Celsius-fok fölé emelkedik, ha a láz több napig fennáll, vagy ha súlyos kísérő tünetek jelentkeznek - például tarkókötöttség, erős fejfájás, nehézlégzés, zavartság -, haladéktalanul orvoshoz kell fordulni.

Csecsemők, idősek és krónikus betegségben szenvedők esetében a láz gyorsabban okozhat szövődményeket. A kiszáradás veszélye is fokozott, ezért a megfelelő folyadékbevitel elengedhetetlen.

A láz kezelése nem minden esetben a testhőmérséklet azonnali csökkentését jelenti. A pihenés, a bőséges folyadékfogyasztás és a könnyű öltözet alapvető lépések. Lázcsillapító gyógyszerek alkalmazása akkor indokolt, ha a beteg rossz közérzetű, erős fájdalmat tapasztal vagy a testhőmérséklet nagyon magas. Ilyen esetben fontos a fokozatosság és a megfelelő adagolás betartása.

A fizikai hűtés, például a langyos vizes borogatás, kiegészítő módszer lehet, de hideg vizes lemosás nem ajánlott, mert fokozhatja a remegést és a hőtermelést.",0.4933,0.4558,extreme heat,malnourishment,high_climate,,,,,,
Hungarian,Hungary,magyarnemzet.hu,scrapai,12380,https://magyarnemzet.hu/english/2025/03/usaid-the-machinery-of-political-corruption-2-hungary-in-crosshairs,USAID: The Machinery of Political Corruption 2: Hungary in Crosshairs,"The analysis published last week by Hungary's Sovereignty Protection Office (SPO) on the USAID scandal and its Hungarian corruption connections has sparked a significant outcry . The study has been heavily criticized and discredited by the leftist-liberal press, while the report reveals crucial findings on how and why - and with the help of whom - the pro-Democratic Party deep state in the United States, the U.S. State Department, and the U.S. Agency for International Development (USAID) sought to influence Central European regional politics. The document received special attention, as shocking facts about the program came to light. Photo: AFP Terrorists and lack of transparency As demonstrated in the previous part of this series, abuses within the USAID program came to light after Donald Trump took office. It was revealed that funds were distributed to numerous terrorist organizations, including Palestinian Hamas and the Afghan Taliban. Money also indirectly reached Somalia’s al-Shabaab, Sudan’s Hamza Network, Islamic Jihad, Lebanon’s Hezbollah, Iraq’s Kataib Hezbollah, Syria’s Hayat Tahrir al-Sham, and dozens of other terrorist organizations. As pointed out in part one, USAID’s Central Europe Program (CEP) was launched in 2021, shortly after Joe Biden took office. The objective was to bring down democratically elected governments in the region—that failed to align with the Democrats—through a network of political pressure groups, financial support, and ""professional assistance."" The funding routes were non-transparent, as in many cases, American databases deliberately concealed beneficiaries. The grant scheme was designed to mobilize established actors who were already embedded in Brussels’ lobbying structures as effectively as possible. But who exactly organized these programs? Shadows in the dark The Sovereignty Protection Office’s report recalls that USAID and the U.S. State Department have long worked closely to organize programs and develop country-specific strategies. ""The strategy-building process was facilitated by the fluid movement of personnel between these institutions and the nonprofit (and for-profit) organizations surrounding USAID. Deep-state bureaucrats who effectively represented its interests frequently transitioned between organizations, depending on where their expertise was most needed. The details of the Central Europe Program were hammered out accordingly,"" the report states.",0.5428,0.5676,environmental change,undernourishment,high_climate,,,,,,
Hungarian,Hungary,borsonline.hu,newsapi,3432,https://www.borsonline.hu/kozelet/2026/02/idojaras-eso-meleg,"Múlik az eső, visszatér a meleg időjárás a következő napokban","A hét közepétől felmelegedés várható. Tavaszias időjárás következik be a hét második felében.

A HungaroMet közlése szerint a hét közepétől már szárazabb és néhány fokkal enyhébb levegő alakítja az időjárásunkat, így melegedésre és napos időre lehet számítani.

Kedd estig erősen felhős, vagy borult marad az égbolt. A délelőtti órákban még sokfelé számíthatunk csapadékra, délutánra azonban egyre inkább csökken az eső esélye. Elszórtan zivatar is kialakulhat. Több térségben élénk, helyenként erős északnyugati szél fúj. A csúcshőmérséklet 10 fok körül valószínű.

A reggeli pára- és ködfoltok feloszlása után változóan rétegfelhős időre készülhetünk szerdán, akár többórás napsütéssel. Csapadék már nem várható. A legmagasabb hőmérséklet 11 fok közelében alakul.

Csütörtökön kora tavaszt idéző idő körvonalazódik, többórás napsütéssel és száraz idővel. A hőmérséklet 10 és 16 fok között alakulhat - írja a Köpönyeg előrejelzése.

Hosszabb napos időszakokra számíthatunk, számottevő csapadék nélkül pénteken. A déli irányú szél időnként megélénkül. Délután általában 10-16 fok közötti értékeket mérhetünk.",0.5727,0.5014,rising temperatures,west nile virus,high_climate,,,,,,
Hungarian,Hungary,magyarnemzet.hu,scrapai,22861,https://magyarnemzet.hu/sport/2024/04/meg-egy-dardai-fiu-tavozhat-a-hertha-csapatabol-a-nemet-elvonalba-dardai-marton-dardai-pal,Még egy Dárdai fiú távozhat a Hertha csapatából a német élvonalba,"Jelenleg még négy Dárdai áll a Hertha alkalmazásában, Dárdai Pál vezetőedző és három fia: Palkó, Márton és Bence. Ez a helyzet azonban a nyáron bizonyosan megváltozik, hiszen a legfiatalabb fiú, a 18 éves Bence a Wolfsburg játékosa lesz. De a Bild és a Kicker információja szerint a magyar válogatottban a múlt hónapban bemutatkozott, a törökök és a koszovóiak ellen is szerepelt, 22 éves Márton is távozhat Berlinből, őt az élvonalból az Augsburg szemelte ki. Dárdai Márton a törökök elleni válogatottmérkőzésen Fotó: Illyés Tibor Dárdai Márton kétmillió eurót megérne az Augsburg csapatának A Transfermarkt szerint Dárdai Bence piaci értéke kétmillió euró, Dárdai Mártoné 2,5 millió euró. A Bundesligában a Wolfsburg jelenleg 14., az Augsburg a 7. helyen áll. Az Augsburg kétmillió eurót fizetne Dárdai Mártonért. Ha összejön ez az átigazolás is, akkor a Hertha játékoskeretében csak egy Dárdai marad, a magyar válogatottban egyszer, 2022-ben a görögök ellen szerepelt, 24 éves Palkó, az ő piaci értéke 800 ezer euró. Another Dárdai deparutre at Hertha Berlin? 🇭🇺 Márton Dárdai (22) is attracting interest from Augsburg. 💶 The Bundesliga side have offered €2m. ✍️ Hertha trying to extend his contract beyond 2025. (Bild/kicker) https://t.co/vgtg9iXKAs — Get German Football News (@GGFN_) April 11, 2024",0.4899,0.5383,heatwave,west nile virus,high_climate,,,,,,
Hungarian,Hungary,magyarnemzet.hu,scrapai,5632,https://magyarnemzet.hu/sport/2023/05/formula-1-nelkul-maradunk-a-hetvegen-elmarad-az-imolai-futam,"Formula–1 nélkül maradunk a hétvégén, elmarad az imolai futam!","Az idényben először európai kalandok vártak a Formula–1 mezőnyére, az előttünk álló három hétvégén az öreg kontinensen száguldoztak volna a pilóták. A tripla azonban elmarad, ugyanis Olaszországot napok óta heves esőzések sújtják, legalább szerda estig vörös riasztás lesz érvényben az Emilia-Romagna régióban, és a hétvégén éppen Imolában állomásozott volna a száguldó cirkusz. A pálya közelében lévő Santerno folyó megáradt, ezért a helyi hatóságok kedden evakuálták a helyszínt, hiszen bár a versenyzők csak pénteken gurulnának ki az aszfaltcsíkra, a háttérben már a hét elejétől zajlott a munka, hogy előkészítsék a terepet az érkező csapatoknak. A környező utakat is ellepte a víz, ezeket emiatt lezárták, és a pálya egyes részein, valamit a bokszutcában is áll a csapadék. A súlyos helyzet miatt már napokkal ezelőtt lehetett hallani olyan hangokat, hogy elmaradhat, esetleg elhalaszthatják az Emilia-Romagna Nagydíjat, és szerdán bekövetkezett, amitől tartani lehetett: a Formula–1 bejelentette , hogy ezen a hétvégén nem lesz versenyzés Imolában. Így néz ki jelenleg a paddock: Another photo of the F2 Paddock currently [ @SerenaRF1 ] #F1 #ImolaGP pic.twitter.com/ODFTRXpXvR — Fastest Pitstop (@FastestPitStop) May 17, 2023 Leközelebb, a jövő hétvégén így Monacóba látogat a mezőny, az imolai futam pótlása pedig a versenynaptár zsúfoltsága miatt kérdéses. Egy hónappal ezelőtt egyébként Floridában is hasonló problémákkal küzdöttek , de ott a verseny előtt több héttel lepte el a pályát a víz, így aztán időben elhárultak az akadályok a Miami Nagydíj megrendezése elől. Borítókép: Idén üres marad a Red Bull garázsa Imolában (Fotó: AFP/ANP /Remko de Waal)",0.5165,0.5315,extreme event,west nile virus,high_climate,,,,,,
Hungarian,Hungary,blikk.hu,scrapai,2113,https://www.blikk.hu/eletmod/egeszseg/vernyomas-front-nyaralas/0e6pesv,Megváltoztatja a vérnyomást a nyaralás,"A jelentős hőmérsékletingadozások negatívan befolyásolhatják a közérzetet és az egészséget.

A vérnyomás rendszeres mérése és a gyógyszeradagok igazítása segít a problémák kezelésében.

A fizikai aktivitás, mint például a jóga, kedvező hatással van a vérnyomás normalizálására.

Dr. Barna István, a Semmelweis Egyetem Belgyógyászati és Onkológiai Klinika főorvosa azt mondja, az egészséges szervezet nagyon gyorsan alkalmazkodik, de a magas vérnyomással küzdők jobban teszik, ha karnyújtásnyira tartják a vérnyomásmérőt, így követve az ingadozást, és ahhoz igazítva a gyógyszeradagolást.

Az ember szervezet alapvetően 20-25 Celsius fokos hőmérsékleten működik optimálisan. Minden egyéb esetben kompenzál, hogy az egyensúlyi állapotot biztosítani tudja.

Mit csinál melegben a vérnyomás?

""Melegben kitágulnak az erek, ennek következtében csökken a vérnyomásunk, csökken a vese- és a máj vérellátása, így a vizelet mennyisége is, míg hidegben az erek összehúzódása vérnyomás-emelkedést eredményez. Egy egészséges ember szervezete nagyon hamar alkalmazkodik a megváltozott körülményekhez"" – mondta dr. Barna István.

A főorvos kitért arra is, hogy a 25 fok feletti maximum-hőmérséklet és a hőmérséklet-ingadozás jelentős kockázati tényező, ilyenkor növekszik a szív- és érrendszeri betegségek, az akut vesebetegségek kialakulásának az esélye, és több a haláleset is.

Mivel jár a vérnyomás-ingadozás?

Ha az erekben a nyomás változik, akkor a legváltozatosabb tünetek jelentkezhetnek a fejfájástól, szédülésen, gyengeségérzésen át – nagy vérnyomásesésnél – akár az ájulásszerű rosszullétekig. Magasabb hő hatására átmeneti vénás pangás alakul ki a kézen és lábon egyaránt, ezért ilyen esetekben bőséges folyadékbevitellel tudjuk segíteni a szervezetünket. A folyadékot elsősorban vízzel pótoljuk, és ne a szimpatikus idegrendszerre ható italokkal (pl. a kóla, energiaital, alkohol) – javasolta a belgyógyász. Hozzátette: ha lehetőségünk van rá, mérjük meg a vérnyomásunkat, ne hasraütés-szerűen kezeljük a tüneteket, mert azok hasonlóak az alacsony és a magas vérnyomásértéknél is.

El lehet hagyni a gyógyszert?

„A jól együttműködő betegeknek ilyenkor – előzetes egyeztetést követően – adhat az orvos egy kis szabadságot a gyógyszerszedésben. Akik rendszeresen mérik a vérnyomásukat, azok jól tudják, hogy ha melegfront lesz, akkor melyik gyógyszerből kell majd csökkenteniük az adagot, hogy ne essen le nagyon a vérnyomásuk, és ezt ne kompenzálja a szervezet nagyon szapora szívműködéssel” – magyarázta az összefüggéseket főorvos.

A hőmérséklet, a tengerszint feletti magasság, a levegő páratartalma és szennyezettsége, illetve egyes országokban a vulkánokból kitörő hamu is befolyásolja a vérnyomást. Azt is kimutatták, hogy egy nagy afrikai homokvihar hatására is megnövekedhet az érték akár 4-8 Hgmm-rel is – ismertette dr. Barna István. A téma aktualitását mutatja, hogy az Európai Hypertonia Társaság legutóbbi kongresszusán speciális munkacsoport alakult annak vizsgálatára, hogy a környezet...",0.5195,0.4757,extreme heat,malnourishment,high_climate,,,,,,
Hungarian,Hungary,magyarnemzet.hu,scrapai,13647,https://magyarnemzet.hu/english/2023/07/they-will-bring-only-suffering-and-horror-to-civilians-these-are-the-weapons-washington-is-set-to-send-to-ukraine,They will bring only suffering and horror to civilians - these are the weapons Washington is set to send to Ukraine,"""I remember gazing down as the plane started to descend and feeling deep sorrow. So many giant craters. The scarred land is a reminder of America’s deadly mistake, a reminder of the lives we took,"" Mike Burton recalled in a recent opinion piece in USA Today. The US veteran served in the air force during the Vietnam War and has since become a leading advocate in the fight to ban cluster bombs and destroy existing stockpiles. Land of bombs The country he is talking about in his recollection is Laos.  During the Vietnam War, the Southeast Asian country became a major target for the US air force tasked with cutting supply lines between Laos and North Vietnam. The tactic of using cluster bombs did not work, Mr Burton writes in his article, but US action has ruined and continues to ruin the lives of hundreds of thousands of  people in Laos to this day. Between 1964 and 1973, the Americans flew nearly 600,000 bombing runs over Laos, which means dropping some explosive device every eight minutes on average, for nearly a decade. Pentagon statistics from 1973 reveal that more than two million tons of cluster bombs and other explosives were deployed, making the Southeast Asian state the most heavily bombed nation in world history. Of all the explosive devices, cluster bombs have caused the greatest devastation, with some 260 million dropped on Laos alone, 80 million of which have not exploded to date, posing a serious threat to civilians, especially children. According to the International Red Cross, 300 civilians die each year in the Southeast Asian country from unexploded cluster bombs scattered around in rice paddies, playgrounds and other areas across the country, according to a report by the International Red Cross. In Vietnam, Laos and Cambodia  – bombings also affected the latter country, where 20,000 people were killed between 1979 and 2023  – some 40 per cent of civilian casualties are children. Apart from the above-mentioned countries, the United States has also used the weapons that is banned by more than a hundred states in countries such as Kosovo, Serbia, Montenegro, Iraq and Afghanistan. Parties in the civil wars raging in Syria and Yemen have also used cluster munitions, maiming or killing a large number of civilians. The Soviet Union, and later Russia, have also deployed such ordnance, and in the war in Ukraine both sides accuse the other of having used cluster bombs.",0.5226,0.5425,climate crises,casualties,high_climate,,,,,,
Hungarian,Hungary,magyarnemzet.hu,scrapai,16727,https://magyarnemzet.hu/english/2023/06/jm-varga-migrant-quota-tantamount-to-invitation-letter,JM Varga: Migrant quota tantamount to invitation letter,"""We have always said, and it's turned out that we were right again, that a quota is a quota, no matter how you label it,"" Hungarian Justice Minister Judit Varga told the Hungarian HirTV news channel in an interview, where she talked about the EU's plans to introduce the mandatory distribution of migrants among member states. As is known, the EU interior ministers engaged in a twelve-hour debate in Luxembourg last week, and at the end, they decided to make the distribution of migrants between member states mandatory, with Brussels punishing those who do not want to take in migrants. A country would have to pay €22,000 after each migrant declined. The migrant quota was equal to an invitation letter for smugglers and migrants, Judit Varga said. ""The quota, or a kind of distribution mechanism, sends a message to the Third World and the world outside Europe that migrants can come here and stay, because the EU will just shove them to one of the member states, whether they want to go there or not. I don't think it's the best solution even if we looked at it from the other side, not to mention the fact that it absolutely overrides the sovereignty of nations and the concept that we should be able to decide for ourselves who we want to live with,"" she pointed out. The issue of migration will be back on the agenda in European countries, and it will also be a key issue during the European Parliament election campaign, the minister stated. Concerning the rule of law procedures, JM Varga voiced her opinion that these are used as tools for exerting political pressure, while people who have been involved in the biggest corruption scandal in Brussels in recent decades would return to the European Parliament. ""The rule of law procedures are nothing but the exertion of political pressure in a legal guise"" she stated. The minister recalled that our country is under attack by Eva Kaili, who is involved in Brussels' biggest corruption scandal for decades and is now planning to return to politics after her release. ""This is unacceptable,"" the minister said, adding that sanity must be restored so that EU funds can arrive sooner. Cover photo: Hungarian Justice Minister Judit Varga (Photo: Arpad Kurucz)",0.5373,0.5570,changing climates,undernourishment,high_climate,,,,,,
Hungarian,Hungary,borsonline.hu,newsapi,2070,https://www.borsonline.hu/szex/2026/03/szitofilia-fetis-bizarr,Ezért lett hiánycikk a kígyóuborka - Egy bizarr ősi fétis indult újra hódító útjára a párok között,"Szinte mindenki szeret egy kicsit kísérletezni az ágyban, de ez a furcsa fétis bebizonyította, hogy a kíváncsiságnak nincsenek határai. A neve szitofília, és egyenesen a konyhából költözött a hálószoba falai közé. Mutatjuk, mit jelent!

A szitofília - más néven food play - egy olyan szexuális fétis, amely ősi gyökerekkel bír, de csak idén került újra reflektorfénybe. A lényege, hogy az étel nem (csak) táplálékként, de egyfajta eszközként is szolgál a nemi életben. Hogyan? Máris mutatjuk!

* A szitofília az étellel való erotikus játékot jelenti.

* A jelenség mögött biológiai és pszichológiai okok is állnak.

* Az egészségügyi szempontokra külön figyelni kell.

* A kommunikáció minden új kísérletezés alapja.

Mi az a szitofília?

Az érzékek találkozója

A szitofíliát kipróbálók a legtöbbször tejszínhabot nyomnak a bőrre, mézet a kulccsontokra, vagy jégkockával izgatják a belső combokat. A fétis az érzékszervekre helyezi a hangsúlyt: textúrák, hőmérsékletek, illatok, ízek. Mind hatással vannak a testre.

A szitofília eredetének alapja, hogy az evés és a szex biológiai szinten rokonösztönök. Mindkettő jutalmazó mechanizmusokat indít be az agyban, örömérzetet kelt, és oldja a feszültséget.

A két ösztön keveredése extra fűszerezést adhat a hálószobai kalandoknak.

A tiltott gyümölcsbe harapás vonzereje

A szitofília vonzerejéhez hozzátartozik egy tabu is. Gyerekkorunkban mind azt tanultuk, hogy az étel nem játék. Felnőttként pedig épp a szabályszegés élménye adhat plusz izgalmat egy-egy légyottnak.

Ha te is kipróbálnád a szitofíliát, erre figyelj!

A kísérletezés felszabadító, de fontos, hogy megfelelő körültekintéssel járjunk el. A nők esetében kiemelten ügyelni kell arra, hogy az idegen anyagok felboríthatják a hüvely természetes pH-értékét, és a hüvelycsatornába kerülve fertőzésekhez vezethetnek. Ha valaki hajlamos a fertőzésekre, érdemes az étellel való játékot a külső erogén zónákra korlátozni - például a mellbimbóra, nyakra és a fülcimpára.",0.4899,0.5225,extreme heat,undernourishment,high_climate,,,,,,
Hungarian,Hungary,blikk.hu,scrapai,2197,https://www.blikk.hu/ferfiaknak/auto/alvazszam-gyarto-orszag-kod/k2r9nwv,Így mutatja meg az alvázszám a gyártó országot,"Régóta tudjuk, hogy ma már semmit nem jelent, hogy melyik márkának hol van a szülőhazája, Távol-Keleti autókat ugyanúgy gyárthatnak Európában, mint ahogyan európai márkák nyugodt szívvel szervezik ki a gyártást Ázsiába. Itt van mindjárt példának a legmagyarabb japán autó, a Suzuki, aminek több modelljét is Esztergomban szerelték össze, nem beszélve az Audiról, amik közül sok Győrben készül. Mégis, szeretnénk azt hinni, hogy a mi autónk/motorunk eredeti japán, vagy német, vagy kínai. Ha viszont nem akarjuk homokba dugni a fejünket, akkor mi magunk is kideríthetjük, hová valósi a járgány: elég mindössze az alvázszámot elemeznünk.

Az alvázszám a jármű legegyedibb azonosítója: a rendszám, a motorszám vagy motorkód változhat, az alváz száma azonban soha - vagy ha igen, akkor az az autó többet nem kerül forgalomba. A járművek nemzetközileg egységes alvázszámozási rendszerét 1980-ban vezették be. Ez a ma 17 karakterből álló sorozat egyértelműen meghatározza az adott jármű összes gyártáskori paraméterét. A gyártó országot az első két karakter jelöli, a harmadik pedig az üzemet, ahol összeszerelték. Így áll össze a jelölés:

A–H - Afrika

J-R - Ázsia

S-Z - Európa

1-5 - Észak-Amerika

6-7 - Óceánia

8-9 - Dél-Amerika

Az országok betűkódjai pedig a következők:

AA-AH – Dél-Afrikai Köztársaság

AJ-AN – Elefontcsontpart

AP-A0 – nem használt

BA-BE – Angola

BF-BK – Kenya

BL-BR – Tanzánia

BS-B0 – nem használt

CA-CE – Benin

CF-CK – Madagaszkár

CL-CR – Tunézia

CS-C0 – nem használt

DA-DE – Egyiptom

DF-DK – Marokkó

DL-DR – Zambia

DS-D0 – nem használt

EA-EE – Etiópia

EF-EK – Mozambik

EL-E0 – nem használt

FA-FE – Ghána

FF-FK – Nigéria

FL-F0 – nem használt

GA-G0 – nem használt

HA-H0 – nem használt

JA-JT – Japán

KA-KE – Srí Lanka

KF-KK – Izrael

KL-KR – Dél-Korea

KS-K0 – nem használt

LA-L0 – Kína

MA-ME – India

MF-MK – Indonézia

ML-MR – Thaiföld

MS-M0 – nem használt

NA-NE – Irán

NF-NK – Pakisztán

NL-NR – Törökország

NS-N0 – nem használt

PA-PE – Fülöp-szigetek

PF-PK – Szingapúr

PL-PR – Malajzia

PS-P0 – nem használt

RA-RE – Egyesült Arab Emírségek

RF-RK – Tajvan

RL-RR – Vietnám

RS-R0 – nem használt

SA-SM – Egyesült Királyság

SN-ST – Németország

SU-SZ – Lengyelország

S1-S4 – Lettország

S5-S0 – nem használt

TA-TH – Svájc

TJ-TP – Csehország

TR-TV – Magyarország

TW-T1 – Portugália

T2-T0 – nem használt

UA-UG – nem használt

UH-UM – Dánia

UN-UT – Írország

UU-UZ – Románia

U1-U4 – nem használt

U5-U7 – Szlovákia

U8-U0 – nem használt

VA-VE – Ausztria

VF-VR – Franciaország

VS-VW – Spanyolország

VX-V2 – Jugoszlávia

V3-V5 – Horvátország

V6-V0 – Észtország

WA-W0 – Németország

XA-XE – Bulgária

XF-XK – Görögország

XL-XR – Hollandia

XS-XW – Szovjetúnió

XX-X2 – Luxemburg

X3-X0 – Oroszország

YA-YE – Belgium

YF-YK – Finnország

YL-YR – Málta

YS-YW – Svédország

YX-Y2 – Norvégia

Y3-Y5 – Fehéroroszország

Y6-Y0 – Ukrajna

ZA-ZR – Olaszország

ZS-ZW – nem használt

ZX-Z2 – Szlovénia

Z3-Z5 – Litvánia

Z6-Z0 – nem hasz...",0.5451,0.6409,heatwave,west nile virus,high_climate,,,,,,
