language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Croatian,health,0.6000,0.0400,0.5997,no,0.5382,0.5997,west nile virus,heatwave,west nile virus,24sata_hr,Ako može ona mogu svi: S 34 godine Sandra zna oprati ruke,https://www.24sata.hr/lifestyle/ako-moze-ona-mogu-svi-s-34-godine-sandra-zna-oprati-ruke-684896,17185,2844
Croatian,health,0.6000,0.0400,0.5998,no,0.5151,0.5998,casualties,heatwave,casualties,24sata_hr,Božićni dekor doma: Prirodne i što jednostavnije dekoracije,https://www.24sata.hr/lifestyle/bozicni-dekor-doma-prirodne-i-sto-jednostavnije-dekoracije-664566,17185,2844
Croatian,health,0.6000,0.0400,0.5998,no,0.4726,0.5998,west nile virus,heatwave,west nile virus,24sata_hr,Đikić kaže da bismo cjepivo mogli imati za godinu dana,https://www.24sata.hr/news/dikic-kaze-da-bismo-cjepivo-mogli-imati-za-godinu-dana-694360,17185,2844
Croatian,health,0.6000,0.0400,0.5998,no,0.4847,0.5998,malnourishment,carbon dioxide,malnourishment,24sata_hr,Jedite fermentiranu hranu: Domaći kiseli kupus je najbolji,https://www.24sata.hr/lifestyle/jedite-fermentiranu-hranu-domaci-kiseli-kupus-je-najbolji-550577,17185,2844
Croatian,health,0.6000,0.0400,0.5998,no,0.5493,0.5998,casualties,heatwave,casualties,24sata_hr,Crvena haljina u 10 kombinacija,https://www.24sata.hr/lifestyle/crvena-haljina-u-10-kombinacija-755534,17185,2844
Croatian,health,0.6000,0.0400,0.5999,no,0.5424,0.5999,casualties,heatwave,casualties,24sata_hr,Iskorištavaju paniku: U Austriji zaplijenili 21.000 maski za lice,https://www.24sata.hr/news/iskoristavaju-paniku-u-austriji-zaplijenili-21-000-maski-za-lice-679828,17185,2844
Croatian,health,0.6000,0.0400,0.6000,no,0.5307,0.6000,casualties,heatwave,casualties,24sata_hr,Sve u jednom kombinacija: Chic kombinezon super je za izlaske,https://www.24sata.hr/lifestyle/sve-u-jednom-kombinacija-chic-kombinezon-super-je-za-izlaske-765974,17185,2844
Croatian,health,0.6000,0.0400,0.6000,no,0.5135,0.6000,malnourishment,temperature rises,malnourishment,24sata_hr,"Mala, a bitna razlika: Provjerite šminku cura, potom vizažistice",https://www.24sata.hr/lifestyle/mala-a-bitna-razlika-provjerite-sminku-cura-potom-vizazistice-686139,17185,2844
Croatian,health,0.6000,0.0400,0.6000,YES,0.5220,0.6000,casualties,heatwave,casualties,24sata_hr,Chic detalj: Košulja s velikim ovratnikom u 10 kombinacija,https://www.24sata.hr/lifestyle/chic-detalj-kosulja-s-velikim-ovratnikom-u-10-kombinacija-728115,17185,2844
Croatian,health,0.6000,0.0400,0.6001,YES,0.5340,0.6001,casualties,heatwave,casualties,24sata_hr,"Radile su na strojevima, rezanju lima, kancelarijama... Ovo su žene koje su gradile brodove",https://www.24sata.hr/news/radile-su-na-strojevima-rezanju-lima-kancelarijama-ovo-su-zene-koje-su-gradile-brodove-1088344,17185,2844
Croatian,health,0.6000,0.0400,0.6001,YES,0.4938,0.6001,west nile virus,heatwave,west nile virus,24sata_hr,"""Vrhunac korona virusa čeka nas sredinom i krajem veljače""",https://www.24sata.hr/news/vrhunac-korona-virusa-ceka-nas-sredinom-i-krajem-veljace-675356,17185,2844
Croatian,health,0.6000,0.0400,0.6002,YES,0.4943,0.6002,casualties,heatwave,casualties,24sata_hr,Bakina vesta: Bogata povijest slavnog ležernog kardigana,https://www.24sata.hr/lifestyle/bakina-vesta-bogata-povijest-slavnog-lezernog-kardigana-685959,17185,2844
Croatian,health,0.6000,0.0400,0.6003,YES,0.5810,0.6003,casualties,heatwaves,casualties,24sata_hr,Velike sunčane naočale: 7 chic okvira iza kojih se lako sakriti,https://www.24sata.hr/lifestyle/velike-suncane-naocale-7-chic-okvira-iza-kojih-se-lako-sakriti-834250,17185,2844
Croatian,health,0.6000,0.0400,0.6003,YES,0.5323,0.6003,casualties,heatwaves,casualties,24sata_hr,Fino bijelo odijelo s prugama,https://www.24sata.hr/lifestyle/fino-bijelo-odijelo-s-prugama-782604,17185,2844
Croatian,health,0.6000,0.0400,0.6003,YES,0.5396,0.6003,casualties,heatwave,casualties,24sata_hr,Inspiracija proljećem: 10 ideja za šarene i otkačene šešire,https://www.24sata.hr/lifestyle/inspiracija-proljecem-10-ideja-za-sarene-i-otkacene-sesire-820622,17185,2844
Croatian,health,0.6000,0.0400,0.6003,YES,0.5297,0.6003,west nile virus,global heating,west nile virus,24sata_hr,"Smanjena uloga Rusije u energetskom sustavu: SAD, Katar, ali i Hrvatska profitirali",https://www.24sata.hr/news/smanjena-uloga-rusije-u-energetskom-sustavu-sad-katar-ali-i-hrvatska-profitirali-906539,17185,2844
