language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
French,Switzerland,letemps.ch,scrapai,4718,https://www.letemps.ch/economie/a-geneve-les-defis-de-litasco-un-negociant-sous-sanction,"A Genève, le crépuscule de Litasco, un négociant sous sanctions","Dans le monde du négoce suisse, c’est un tremblement de terre. Un de ses poids lourds à Genève, Litasco, filiale du géant russe Lukoil, vacille. Pour la deuxième fois après le début de la guerre en Ukraine en 2022 et des mesures contre le pétrole russe, qui l’avaient mis en difficulté mais qui l’avait vu rebondir.

Un second coup vient de lui être porté, avec des sanctions britanniques, le 15 octobre, puis américaines, le 22, sur la société d’Etat Rosneft et le groupe privé basé à Moscou Lukoil. Et notamment son antenne siégeant à Genève, Litasco.",0.5204,0.5437,heatwave,west nile virus,high_climate,no,no,no,Litasco oil trader under sanctions in Geneva - business,,
French,Switzerland,letemps.ch,scrapai,22350,https://www.letemps.ch/videos/deux-tonnes/en-video-peut-on-sauver-le-climat-en-envoyant-moins-d-e-mails,on sauver le climat en envoyant moins d’e,"La question de l’empreinte carbone du courrier électronique revient souvent quand on parle du bilan écologique du numérique. De nombreux chiffres circulent, mais en réalité, il y a presque autant d’empreintes carbone différentes qu’il y a d’e-mails envoyés.

Le point sur les chiffres: selon l’Ademe (l’Agence de la transition écologique française), un mail standard, plutôt léger, envoyé d’un smartphone à un seul autre destinataire, représente environ 0,5 g d’équivalent CO2.

Par contre, l’empreinte carbone de notre message électronique augmente si:

on l’envoie à plusieurs destinataires;

il est alourdi d’une pièce jointe;

il est consulté sur une tablette ou, pire, un ordinateur portable.

Pour illustrer cette différence, l’Ademe estime qu’un e-mail de 10 Mo, transmis à cinq personnes, génère l’équivalent de 33 g de CO2 lorsqu’il est envoyé d’un ordinateur portable.

Et des e-mails, on en échange tous les jours. Le projet de quantification de l’empreinte carbone suisse Climpact, porté par l’EPFL, s’est également penché sur le coût environnemental de nos échanges numériques. Selon leurs résultats, l’envoi de 50 e-mails légers par jour, depuis un ordinateur, représente environ l’équivalent de 23 kg de CO2 par an.

Dans notre série Deux Tonnes. En vidéo: L’empreinte carbone d’un t-shirt en coton expliquée en une minute

Lire plus tard

Créez-vous un compte gratuitement et retrouvez les contenus que vous avez sauvegardés.

Créer mon compte

Déjà un compte ? Se connecter

Une quantité qui est à peu près l’équivalent de:

100 kilomètres en voiture, selon l’Ademe;

un aller-retour en train entre Genève et Barcelone, selon Climpact.

En détail

Pour mieux saisir les enjeux des émissions de ces quelques clics, décodons cette empreinte carbone. Selon les données rassemblées par Climpact, les émissions liées à l’utilisation de l’ordinateur ne représentent presque rien (4%), comparé à la connexion et l’utilisation du réseau (30%), l’utilisation du centre de données pour l’échange (14%) et pour le stockage de l’e-mail (14%).

Vous l’aurez compris, on consommerait davantage en supprimant ses e-mails, via l’utilisation de l’ordinateur et du réseau, qu’en les laissant dans sa boîte de réception, qui ne représente que 14% de l’empreinte carbone de notre messagerie en ligne.",0.5602,0.4799,carbon emission,quality of life,high_climate,yes,no,no,Can we save climate by sending fewer emails? Carbon footprint of digital,,
French,Switzerland,letemps.ch,scrapai,2869,https://www.letemps.ch/sciences/la-couche-d-ozone-devrait-se-reconstituer-vers-2050-selon-l-onu,"La couche d’ozone devrait se reconstituer vers 2050, selon l’ONU","La couche d’ozone se rétablit et son trou devrait complètement disparaître dans les prochaines décennies, a indiqué l’ONU mardi.

Selon un bulletin de l’Organisation météorologique mondiale (OMM) des Nations unies, le trou dans la couche d’ozone au-dessus de l’Antarctique était plus petit en 2024 que ces dernières années, «une nouvelle scientifique encourageante pour la santé des populations et de la planète».

Lire aussi: Sur le changement climatique, des décennies d’un déni qui ne doit rien au hasard

Lire plus tard

Créez-vous un compte gratuitement et retrouvez les contenus que vous avez sauvegardés.

Créer mon compte

Déjà un compte ? Se connecter

«Aujourd’hui, la couche d’ozone guérit» et «cette avancée nous rappelle que lorsque les nations tiennent compte des avertissements de la science, des progrès sont possibles», a commenté le secrétaire général de l’ONU, Antonio Guterres, dans un communiqué.

La couche d’ozone stratosphérique filtre les rayons ultraviolets du soleil qui peuvent provoquer des cancers, altérer le système immunitaire et même endommager l’ADN des êtres vivants.

Au milieu des années 1970, les chlorofluorocarbones (CFC), autrefois largement utilisés dans les aérosols et les réfrigérateurs, ont été identifiés comme principaux responsables de l’amincissement de la couche d’ozone, créant chaque année des «trous», dont un particulièrement large au-dessus de l’Antarctique.

«Succès de l’action internationale»

Au cours des dernières décennies, la coopération mondiale lui a cependant donné une chance de se reconstituer. Selon l’OMM, «le faible niveau d’appauvrissement de la couche d’ozone observé en 2024 est en partie dû à des facteurs atmosphériques naturels». L’organisation considère néanmoins que la tendance positive observée sur le long terme «reflète le succès de l’action internationale».

Lire aussi: Yves Jackson: «En Suisse aussi, la pollution plastique est omniprésente»

Lire plus tard

Créez-vous un compte gratuitement et retrouvez les contenus que vous avez sauvegardés.

Créer mon compte

Déjà un compte ? Se connecter

Le Protocole de Montréal (Canada), signé en 1987, a permis d’éliminer à ce jour plus de 99% de la consommation et de la production de la plupart des produits chimiques qui appauvrissent la couche d’ozone, selon l’OMM.

Aussi la couche d’ozone devrait retrouver ses valeurs des années 1980 «d’ici le milieu de ce siècle», indique l’organisation, qui explique que cela va réduire les risques de cataracte et de cancer de la peau, mais aussi la dégradation des écosystèmes liée à une exposition excessive aux UV.

Le trou dans la couche d’ozone au-dessus de l’Antarctique réapparaît tous les printemps. Il a atteint l’an dernier son pic le 29 septembre, avec une masse déficitaire d’ozone de 46,1 millions de tonnes, un niveau inférieur à la moyenne établie sur la période 1990-2020.

- Tout comprendre aux limites planétaires, à l’occasion de la votation sur la responsabilité environnementale

Lire plus tard

Créez-v...",0.5859,0.4762,ozone depletion,extreme poverty,high_climate,yes,no,no,"Ozone layer to recover by 2050, UN report, WMO",,
French,Senegal,lesoleil.sn,scrapai,6042,https://lesoleil.sn/actualites/societe-fait-divers/meteo-lepisode-de-poussiere-va-persister-selon-lanacim/,"Météo : l’épisode de poussière va persister, selon l’Anacim","Dans un bulletin, l’Agence na tionale de l’aviation civile et de la météorologie (Anacim), alerte sur un épisode de poussière entre le 17 et le 21 décembre 2024.

Selon la note reçue, hier, ce phénomène est en cours dans la moitié du nord. Elle touchera l’ensemble du pays, et s’accentuera au courant de la journée du jeudi 19 décem bre sur l’ensemble du territoire. Le bulletin renseigne que cette si tuation de poussière va toucher, plus particulièrement, le nord et le centre (Saint-Louis, Podor, Matam, Linguère, Louga, Thiès, Dakar, Diourbel, Kaolack). Les concentrations seront plus éle vées, et par conséquent, les visi bilités seront réduites.

Au sud (Kolda, Ziguinchor, Sédhiou), ajoute le communiqué, les effets seront moins marqués, mais ils seront ressentis de façon inter mittente. À en croire l’Anacim, la poussière commencera à se dis siper progressivement à partir du samedi 21 décembre 2024. Les météorologues annoncent aussi une baisse des températures entre le 18 et le 23 décembre sur tout le Sénégal. Il s’agira du nord (Saint-Louis, Podor, Linguère, Matam) et du centre Ouest (Louga, Thiès, Diourbel, Kaolack, Dakar). Le refroidissement, prévoient-ils, sera plus marqué, et les nuits se ront particulièrement fraîches avec des températures descendant parfois en dessous de 17°. Dans le sud du pays (Kolda, Ziguinchor, Sédhiou), une baisse modérée est prévue. Le port de masque est re commandé pour faire face à cette suspension de particules de pous sière sur une bonne partie du ter ritoire national.",0.5400,0.5469,heatwaves,west nile virus,high_climate,yes,no,no,Weather: dust episode persists in Senegal,,
French,Switzerland,letemps.ch,scrapai,14917,https://www.letemps.ch/culture/arts/le-photographe-lucas-ziegler-traite-les-questions-environnementales-avec-la-politesse-du-desespoir,Le photographe Lucas Ziegler traite les questions environnementales avec «la politesse du désespoir»,"Devant l’urgence et la gravité des crises environnementales en cours, l’humour n’apparaît que rarement comme une option valable pour susciter engagement ou réflexion. C’est pourtant une arme efficace, comme le démontre la série de collages de photos à laquelle Lucas Ziegler travaille depuis deux ans.

Energie 9000 offre une vision dadaïste et grinçante de la Suisse (et de l’Europe) du futur. La Prime Tower de Zurich, la vallée de Zermatt, les paysages ruraux du Tessin ou des Grisons, les zones bétonnées que l’on retrouve partout sur le Plateau, qui s’étend de l’est à l’ouest du pays, constituent le décor d’une réflexion écologique traitée par l’exagération et l’absurde. Les opérations de renaturation entièrement automatisées incluent la participation des extraterrestres, et la recherche d’une énergie propre et renouvelable aboutit à la saturation des belles vallées alpines par des éoliennes. L’une des images de la série propose même une reconstitution amusée du conte Les Musiciens de Brême, dans laquelle les quatre compères sont remplacés par les animaux d’élevage les plus communs, une manière de parler du bien-être animal.

Ces paysages délirants transpirent les problèmes de pollution, d’approvisionnement en énergie, d’exploitation, d’extractivisme. Ils sont trop chauds, trop densément peuplés. Pourtant, en dépit de leur aspect visuel foisonnant, le photographe, basé à Zurich, décrit ces œuvres comme «calmes». Une référence à leur mode de production, bien plus lent que celui que lui autorise sa pratique lorsqu’il travaille sous le régime de la commande. Chaque image représente ainsi environ deux jours de travail. Les premières ont été faites à la main à partir d’images trouvées en ligne et imprimées, puis rephotographiées. Dans les derniers collages, c’est à l’aide d’une IA qu’il a créé les fonds. Ainsi, les bâtiments qui entourent la pyramide du Louvre n’existent pas mais ont été générés à partir de modèles de constructions de Paris ou de sa proche banlieue. De même pour les toboggans multicolores qui transforment, comme par magie, une plateforme pétrolière en parc aquatique. «Aujourd’hui, tout le monde aime les grosses voitures. Moi, j’aime les vieilles Fiat», explique-t-il, amusé, en référence à l’une de ses images. Un pied de nez à l’idéal de la perfection suisse, comme à l’esprit de sérieux.",0.5424,0.4974,environmental change,quality of life,high_climate,yes,no,no,Photographer Lucas Ziegler covers environmental questions,,
French,Switzerland,letemps.ch,scrapai,11496,https://www.letemps.ch/videos/actualite/en-video-le-climat-face-au-retour-de-donald-trump,En vidéo – Le climat face au retour de Donald Trump,"La COP29 a démarré le 11 novembre à Bakou, en Azerbaïdjan. Les enjeux de cette conférence climatique sont liés au financement des pays en développement, mais au vu du contexte américain, une question se pose: à quoi faut-il s’attendre pour le climat avec le retour de Donald Trump à la Maison-Blanche?

Même si ce thème a été largement évincé de la campagne américaine, les intentions du nouveau président sont plutôt claires: pour lui, le réchauffement climatique est «la plus grosse arnaque de l’Histoire». Alors même que les Etats-Unis ont récemment été frappés par deux ouragans dévastateurs. Le républicain a affirmé que les températures avaient récemment baissé. Pourtant, 2024 est bien partie pour être l’année la plus chaude jamais enregistrée et pour franchir pour la première fois le seuil de 1,5 degré de réchauffement.

Il faut s’attendre à ce que Trump sorte à nouveau son pays de l’Accord de Paris, comme en 2017. Lors de son premier mandat, il avait abrogé plus de 100 normes environnementales, sur le dérèglement climatique mais aussi sur la protection de l’eau et de l’air.

Ensuite, soutenu par les compagnies pétrolières, il vise à relancer des politiques pro-énergies fossiles. Il a annoncé vouloir se retirer de l’«Inflation Reduction Act» (IRA), une loi adoptée sous Biden qui prévoit des investissements massifs dans la transition énergétique, notamment via un soutien aux énergies renouvelables.",0.5445,0.4790,changing climate,extreme poverty,high_climate,yes,no,no,Climate facing return of Donald Trump - climate policy,,
French,Belgium,dhnet.be,newsapi,4801,https://www.dhnet.be/dernieres-depeches/2026/03/10/la-grece-se-met-a-lecomouillage-pour-proteger-les-herbiers-des-fonds-marins-IR2KYDS3FREJZCD2GWN7ORSIFM/,La Grèce se met à l'écomouillage pour protéger les herbiers des fonds marins,"""On tire vers le haut pour la verrouiller avant d'attacher une chaîne et une bouée de relevage"", explique-t-il à l'AFP à l'issue de l'opération. Cela ""maintient la chaîne en suspension au-dessus du fond pour ne pas racler la posidonie"".

A la surface de la mer Egée, une grande bouée d'amarrage de surface permet aux bateaux de s'amarrer ""en toute sécurité"", assure-t-il.

Le mouillage écologique s'inscrit dans le cadre d'un programme pilote du ministère grec de la Marine marchande qui veut créer tout un réseau à travers le pays ""pour ne pas détruire le fond et protéger l'environnement"", selon Evangelos Kyriazopoulos, secrétaire général du ministère.

Avec un littoral de plus de 13.000 km, dont 70% est couvert par des herbiers de posidonie, la Grèce, comme d'autres pays du pourtour méditerranéen, constate tous les ans l'impact dévastateur de mouillages sauvages sur ces plantes aux longues feuilles en forme de ruban qui fleurissent au fond de l'océan.

Ces prairies sous-marines, qui fournissent un habitat essentiel à diverses espèces marines, ont été classées comme ""habitat prioritaire"" par l'Union européenne.

""La posidonie compte parmi nos meilleurs alliés dans la lutte contre le changement climatique et mérite toute notre attention"", explique ainsi Maria Salomidi, chercheuse à l'Institut océanographique grec (Elkethe).

Ces herbiers ""captent et retiennent le carbone sous leurs rhizomes, produisent de l'oxygène, filtrent et purifient l'eau et soutiennent la biodiversité"", poursuit-elle.

- Dommages très importants -

Or, lors du relevage des ancres, un grand nombre de rhizomes des posidonies sont arrachés.

""J'ai très souvent constaté la présence d'ancres sur les herbiers de posidonie"", affirme Rouli Prinianaki, une plongeuse membre de l'ONG Aegean Rebreath qui participe à la campagne de protection des posidonies.

En traînant sur les fonds marins, les chaînes des ancres ""finissent par détruire"" ces herbiers, poursuit-elle.

Pour l'organisme grec de l'environnement et du changement climatique (Ofypeka), l'ancrage constitue ""l'une des menaces les plus importantes"".

Ces dernières années, une quarantaine d'ancrages écologiques ont été installés en Grèce, notamment dans les parcs maritimes en mer Ionienne (ouest) et près de l'île d'Alonisos où les herbiers ont été endommagés.

Autour de cette île de l'archipel des Sporades, ""15 ancrages écologiques ont été installés mais ils ne suffisent pas pour les milliers de bateaux en été"", déplore Spyridon Iosifidis, ichtyologue (spécialiste de l'étude des poissons) à la direction de l'Ofypeka de Sporades.

- Nécessité de légiférer -

Pour plusieurs experts, la Grèce doit accélérer l'installation à grande échelle des mouillages écologiques pour les bateaux de plaisance qui affluent dans ses baies en été.

Athènes ""doit légiférer pour protéger les herbiers marins et leur permettre de se régénérer"" en suivant l'exemple des Baléares, en Espagne, et du littoral méditerranéen français, préconise Vangelis Paravas, bio...",0.5553,0.5320,environmental change,west nile virus,high_climate,yes,no,no,Greece introduces eco-mooring to protect seagrass,,
French,Switzerland,letemps.ch,scrapai,13703,https://www.letemps.ch/suisse/l-association-transports-et-environnement-roule-cette-annee-pour-les-30-km-h,L’Association transports et environnement roule cette année pour les 30 km/h,"C’est une association surfant sur son succès contre l’extension des autoroutes, le 24 novembre dernier, qui a présenté ses priorités annuelles dans un local à vélo, ce jeudi à Berne. S’il ne sera pas possible de passer de l’autoroute au vélo pour chaque déplacement, l’Association transports et environnement (ATE) désire néanmoins accélérer plusieurs réformes et en freiner d’autres. A commencer par «la limitation de vitesse à 30 km/h, qui est la solution à de nombreux défis, une sorte de formule magique, assure Jelena Filipovic, coprésidente de l’ATE. Actuellement, cette mesure efficace et relativement peu coûteuse est pourtant menacée de toutes parts.» Pour la jeune femme, il est donc nécessaire de s’engager avec «véhémence» pour les 30 km/h.

Le sujet majeur de la stratégie 2025 de l’association n’a pas été choisi au hasard: clivante, l’idée de réduire de 50 à 30 km/h la vitesse dans les agglomérations fait face à de nombreux vents contraires. «Une motion du conseiller national PLR Peter Schilliger veut rendre plus difficile l’introduction des 30 km/h, explique Jelena Filipovic. L’argument avancé est le respect d’une certaine «hiérarchie routière». Cette hiérarchie est déjà une réalité, il n’est donc pas nécessaire de légiférer. Une législation nationale rendrait difficile, voire impossible, l’introduction des 30 km/h sur certaines routes. Même si une loi en ce sens n’est pas encore décidée, ses effets sont déjà perceptibles.»",0.5614,0.5444,environmental change,quality of life,high_climate,yes,no,no,"Transport and Environment Association pushes for 30 km/h zones, cycling",,
French,Morocco,aujourdhui.ma,newsapi,1,https://aujourdhui.ma/actualite/alerte-meteo-averses-orageuses-lundi-dans-plusieurs-provinces,Alerte météo : Averses orageuses lundi dans plusieurs provinces,"Des averses orageuses localement fortes avec risque de grêle sont prévues, lundi, dans plusieurs provinces du Royaume, a indiqué la Direction générale de la météorologie (DGM).

Des averses orageuses localement fortes (20-35 mm) sont attendues lundi, de 12h00 à 23h00, dans les provinces de Chtouka Aït Baha, Chichaoua, Khémisset, El Hajeb et Taroudant, précise la DGM dans un bulletin d'alerte de niveau de vigilance orange.

En outre, les provinces de Khouribga, Ifrane, Khénifra, Figuig, Boulemane, Settat et Sefrou sont également concernées par ce phénomène durant la même période, fait savoir la DGM.",0.5191,0.4943,heatwaves,west nile virus,high_climate,yes,no,no,Weather alert: thunderstorm showers in several Moroccan provinces,,
French,France,leparisien.fr,scrapai,10311,https://www.leparisien.fr/val-de-marne-94/region-et-conseil-departemental-sengagent-pour-faire-du-val-de-marne-le-premier-departement-ecologique-de-france-29-11-2023-TY3YFNOL6VCGJPQSCBVTTEC5QI.php,Région et conseil départemental s’engagent pour faire du Val,"Au cinquième étage de l’immeuble Eiffel, à Créteil, derrière les grandes baies vitrées, la terrasse abrite un jardin potager et plusieurs rangées de panneaux photovoltaïques. Si les toits de ce nouveau bâtiment des services départementaux du Val-de-Marne en sont déjà recouverts, ceux de 120 bâtiments dont 40 collèges devraient suivre dans les cinq prochaines années.

Créteil : les listes des candidats à l'élection municipale publiéesVoir les candidats

« Les toits plats, c’est moins beau qu’à Paris, mais écologiquement c’est une vraie opportunité », note Valérie Pécresse (Libres !), présidente de la région Île-de-France, venue signer ce mercredi une convention avec le département.

« Nous sommes le premier département à signer une telle convention avec la région, se réjouit Olivier Capitanio (LR), président du conseil départemental. Le Val-de-Marne a longtemps été un lieu de relégation, il doit devenir un lieu de destination attractif. Avec le dérèglement climatique, si l’on ne fait rien pour la qualité de vie, les gens partiront. »

« Une petite avancée mais loin d’être à la hauteur des enjeux »

L’objectif affiché : faire du Val-de-Marne le « premier département écologique de France ». Concrètement, la région va subventionner, à hauteur de 50 millions d’euros sur cinq ans, cinq grandes thématiques liées à l’environnement et à la qualité de vie. Sur l’enveloppe totale, 21 millions seront alloués à la transition énergétique, dont 15 millions à l’installation de panneaux photovoltaïques sur les bâtiments départementaux. 20 millions seront investis dans le développement du réseau de pistes cyclables, quatre millions iront à la préservation des espaces naturels sensibles (ENS) et trois millions d’euros seront engagés pour le retour de la baignabilité dans la Seine et la Marne.

Enfin, les deux millions restants iront au financement du plan « 50 000 arbres », dont le 10 000e a été planté le week-end dernier. « Nous, on est les écologistes, les vrais », se targue Valérie Pécresse.

L’opposition au département voit les choses différemment. « Cette convention est une petite avancée à l’échelle départementale, certes, mais loin d’être à la hauteur des enjeux et des défis qui nous guettent, rétorque Naïga Stefel (EELV). Verdir par-ci par-là sans revoir complètement nos modèles de déplacement, de construction, de rénovation et de consommation ne suffit plus. »",0.5244,0.4889,environmental change,quality of life,high_climate,yes,no,no,Region and department commit to biking infrastructure,,
