language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Croatian,climate,0.5600,0.0400,0.5583,no,0.5583,0.6300,heatwave,heatwave,casualties,24sata_hr,"Idete na vjenčanje, a prognoza je loša: Donosimo praktične ideje i zanimljive stilske igre",https://www.24sata.hr/lifestyle/idete-na-vjencanje-a-prognoza-je-losa-donosimo-prakticne-ideje-i-zanimljive-stilske-igre-860371,17185,1005
Croatian,climate,0.5600,0.0400,0.5586,no,0.5586,0.6308,heatwave,heatwave,casualties,24sata_hr,Minice su u modi: Diva Jennifer Lopez zna kako ih kombinirati,https://www.24sata.hr/lifestyle/minice-su-u-modi-diva-jennifer-lopez-zna-kako-ih-kombinirati-831539,17185,1005
Croatian,climate,0.5600,0.0400,0.5590,no,0.5590,0.5756,heatwave,heatwave,undernourishment,24sata_hr,U hladnim danima usnama treba balzam: Donosimo top 10 super hidratantnih formula,https://www.24sata.hr/lifestyle/u-hladnim-danima-usnama-treba-balzam-donosimo-top-10-super-hidratantnih-formula-722942,17185,1005
Croatian,climate,0.5600,0.0400,0.5593,no,0.5593,0.5962,heatwave,heatwave,casualties,24sata_hr,Pastelni make-up kao definicija romantične šminke u par poteza,https://www.24sata.hr/lifestyle/pastelni-make-up-kao-definicija-romanticne-sminke-u-par-poteza-770940,17185,1005
Croatian,climate,0.5600,0.0400,0.5596,no,0.5596,0.5751,extreme heat,extreme heat,starvation,24sata_hr,Ne možete spavati od vrućine? Isprobajte ovaj genijalan trik,https://www.24sata.hr/lifestyle/ne-mozete-spavati-od-vrucine-isprobajte-ovaj-genijalan-trik-853491,17185,1005
Croatian,climate,0.5600,0.0400,0.5596,no,0.5596,0.5763,climate crises,climate crises,undernourishment,24sata_hr,Šibenski mališani crtežima su upozorili na klimatske promjene,https://www.24sata.hr/lifestyle/sibenski-malisani-crtezima-su-upozorili-na-klimatske-promjene-720942,17185,1005
Croatian,climate,0.5600,0.0400,0.5597,no,0.5597,0.5863,carbon emission,carbon emission,west nile virus,24sata_hr,Postali su prva država koja je zabranila benzin i sad nam poručuju: 'Skroz nam je dobro',https://www.24sata.hr/tech/postali-su-prva-drzava-koja-je-zabranila-benzin-i-sad-nam-porucuju-skroz-nam-je-dobro-1110578,17185,1005
Croatian,climate,0.5600,0.0400,0.5598,no,0.5598,0.5246,temperature rise,temperature rise,measles,24sata_hr,Kako djetetu sniziti povišenu tjelesnu temperaturu?,https://miss7mama.24sata.hr/vrtic/zdravlje/kako-djetetu-sniziti-povisenu-tjelesnu-temperaturu-6950,17185,1005
Croatian,climate,0.5600,0.0400,0.5604,YES,0.5604,0.5754,extreme heat,extreme heat,casualties,24sata_hr,U minuti: Highlighter na licu koži daje sjaj i dojam 'živosti',https://www.24sata.hr/lifestyle/u-minuti-highlighter-na-licu-kozi-daje-sjaj-i-dojam-zivosti-764721,17185,1005
Croatian,climate,0.5600,0.0400,0.5606,YES,0.5606,0.5786,extreme event,extreme event,west nile virus,24sata_hr,Na ovim stranicama pratite sve informacije o potresima uživo,https://www.24sata.hr/news/na-ovim-stranicama-pratite-sve-informacije-o-potresima-uzivo-682567,17185,1005
Croatian,climate,0.5600,0.0400,0.5606,YES,0.5606,0.5599,heatwave,heatwave,west nile virus,24sata_hr,Zemlja 'pjeva': Poslušajte zvuk planeta uslijed solarne oluje,https://www.24sata.hr/lifestyle/zemlja-pjeva-poslusajte-zvuk-planeta-uslijed-solarne-oluje-686906,17185,1005
Croatian,climate,0.5600,0.0400,0.5607,YES,0.5607,0.6163,heatwave,heatwave,casualties,24sata_hr,Volani kao top detalj: Nosimo ih na haljinama i malim bluzama,https://www.24sata.hr/lifestyle/volani-kao-top-detalj-nosimo-ih-na-haljinama-i-malim-bluzama-862788,17185,1005
Croatian,climate,0.5600,0.0400,0.5614,YES,0.5614,0.6204,heatwave,heatwave,casualties,24sata_hr,Za one koje obožavaju trenirku: 10 najudobnijih dnevnih outfita,https://www.24sata.hr/lifestyle/za-one-koje-obozavaju-trenirku-10-najudobnijih-dnevnih-outfita-791224,17185,1005
Croatian,climate,0.5600,0.0400,0.5615,YES,0.5615,0.5877,carbon dioxide,carbon dioxide,malnourishment,24sata_hr,Soda bikarbona i ocat uklonit će mrlje od kreme za sunčanje,https://www.24sata.hr/lifestyle/soda-bikarbona-i-ocat-uklonit-ce-mrlje-od-kreme-za-suncanje-585361,17185,1005
Croatian,climate,0.5600,0.0400,0.5617,YES,0.5617,0.5219,co2 emission,co2 emission,air pollution,24sata_hr,"'Svijet je daleko od postizanja klimatskih ciljeva, raste razina emisija stakleničkih plinova'",https://www.24sata.hr/news/svijet-je-daleko-od-postizanja-klimatskih-ciljeva-raste-razina-emisija-staklenickih-plinova-792345,17185,1005
Croatian,climate,0.5600,0.0400,0.5617,YES,0.5617,0.6036,heatwave,heatwave,west nile virus,24sata_hr,"'Joker' ima najviše nominacija, slijede Netflixov 'Irac' i '1917'",https://www.24sata.hr/show/joker-ima-najvise-nominacija-slijede-netflixov-irac-i-1917-670165,17185,1005
