language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Turkish,Turkey,hurriyet.com.tr,newsapi,4772,https://www.hurriyet.com.tr/video/uzak-sehir-53-bolum-1-tanitim-43120586,Uzak Şehir 53. Bölüm 1. Tanıtım,"Kanal D'nin rekortmen dizisi Uzak Şehir, aksiyonun ve gerilimin tırmandığı duygu yüklü bölümüyle soluksuz izlendi. Boran'ın Deniz Cihan'ı kaçırmasıyla gelişen olaylarda işler kontrolden çıktı. Ecmel'in Albora'yı yakması tansiyonu daha da yükseltti. Deniz Cihan kozunu kullanarak Alya'yı köşeye sıkıştırmaya çalışan Boran'ın planları önce Alya ve Cihan'a, ardından da Sadakat Albora'ya takıldı. Temponun bir an olsun düşmediği fenomen yapım, reytinglerde günü birinci tamamladı.

Gecenin en büyük sürprizi, Sadakat Albora'nın kontrolden çıkan oğlu Boran'la ilgili yaptığı hamle oldu. Tüm gemileri yakan Sadakat'in oğlunu hapse attırmaya yönelik planı hem Boran'ı hem de izleyicileri ters köşeye yatırdı. Bölüm finalinde Alya'nın Boran'ın elinden kurtularak ormanda kaybolması, sanal medyada büyük yankı uyandırdı.

Uzak Şehir, Tüm Kişiler'de 15,37 izlenme oranı ve 40,64 izlenme payı elde etti. AB'de 9,14 izlenme oranı ve 29,37 izlenme payına ulaşan dizi, 20+ABC1'de ise günü 12,96 izlenme oranı ve 35,01 izlenme payı ile kapattı.

AyNa Yapım imzalı Uzak Şehir, yeni bölümleriyle pazartesi akşamları Kanal D'de.",0.4664,0.5244,extreme event,west nile virus,high_climate,no,no,no,Gold price rises on geopolitical risks - commodities,,
Turkish,Turkey,milliyet.com.tr,newsapi,2490,https://www.milliyet.com.tr/haberleri/sifir-atik,Sıfır Atık Haberleri - Son Dakika Sıfır Atık Haber Güncel Gelişmeler,"Son dakika... Cumhurbaşkanı Erdoğan: Çevreyi korumanın partisi olmazAtatürk Kültür Merkezi'nde ""Cemre Vakfı Tanıtım Programı""nda konuşan Cumhurbaşkanı Erdoğan, çevre bilincinin vatan bilinci olduğunu belirterek, 'İklim ve çevre krizini görmezden gelmek mümkün değil, doğru da değil.' dedi. Erdoğan, 'Çevreyi korumanın partisi olmaz. Afetlere karşı hazırlığın ideolojisi olmaz. Biz iş yapana, hizmet üretene, insanımıza faydası olana her zaman sahip çıkarız, destek veririz, önünü açarız.' ifadelerini kullandı.",0.4989,0.4665,environmental change,undernourishment,high_climate,yes,no,no,"Zero Waste news: Erdoğan on environmental awareness, protecting nature",,
Turkish,Turkey,sozcu.com.tr,newsapi,5839,https://www.sozcu.com.tr/enflasyon-tavan-ucretler-surunuyor-p297887,Enflasyon tavan ücretler sürünüyor - Sözcü Gazetesi,"Yarın açıklanacak resmi enflasyon verisi öncesinde gelen öncü veriler fiyat artışlarının şubat ayında da hız kesmeden devam ettiğini, zamlar karşısında zaten düşük olan ücretlerin daha da eridiğini ortaya koydu. İstanbul Ticaret Odası (İTO) tarafından açıklanan 2026 yılı Şubat ayı verilerine göre, İstanbul'da perakende fiyatlar aylık bazda yüzde 3.85 arttı.

Yıllık artış yüzde 37.88 olurken, on iki aylık ortalamalara göre yükseliş yüzde 41.14'e ulaştı. Aynı dönemde toptan eşya fiyatları da aylık yüzde 1 artış kaydederken, özellikle eğitim, konut ve gıda kalemlerindeki yüksek oranlar dikkat çekti.

Şubat ayında en yüksek artış yüzde 6.87 ile gıda ve alkolsüz içecekler harcamaları grubunda, en yüksek fiyat azalışı ise yüzde 0.17 düşüş ile giyim ve ayakkabı harcamaları grubunda izlendi. Yıllık bazda en yüksek fiyat artışı yüzde 52.18 ile eğitimde, yüzde 45.97 ile konutta, yüzde 41.40 ile de gıda ve alkolsüz içeceklerde gerçekleşti.

Türkiye İşçi Sendikaları Konfederasyonu'na göre şubat ayında açlık sınırı 32 bin 365 TL, yoksulluk sınırı 98 bin 188 TL olarak hesaplandı. Buna karşın en düşük emekli aylığı 20 bin, asgari ücret ise 28 bin 75 TL seviyesinde.

Türkiye İstatistik Kurumu'nun (TÜİK) açıklayacağı resmi enflasyon hakkında İTO verileri fikir vermesi açısından önemli. Öte yandan bilhassa da büyükşehirlerde yüksek enflasyon karşısında dar gelirli vatandaşın geçim derdinin büyümeye devam ettiğini gösteriyor. Bu ayın başında açıklanan Türkiye Devrimci İşçi Sendikaları Konfederasyonu raporu da ücretlerin daha cebe girmeden en az 113 milyar 18 milyon lira eridiğini göstermişti.

Türkiye Ziraat Odaları Birliği (TZOB) Genel Başkanı Şemsi Bayraktar, şubat ayında üretici market fiyatlarındaki farklılıklarla girdi maliyetlerinde yaşanan değişimleri değerlendirdi. Bayraktar, yaptığı yazılı açıklamada, şu ifadeleri kullandı: ""Şubat ayında markette 41 ürünün 28'inde fiyat artışı, 13'ünde ise fiyat azalışı görüldü. Şubat ayında markette fiyatı en fazla artan ürün yüzde 50.3 ile marul oldu. Maruldaki fiyat artışını yüzde 34.2 ile sivri biber, yüzde 29.9 ile salatalık, yüzde 18.4 ile kabak ve yüzde 16.3 ile limon takip etti. üretici ve market arasındaki fiyat farkı en fazla yüzde 229.7 ile karnabaharda görüldü. Karnabahardaki fiyat farkını yüzde 226.7 ile marul, yüzde 223 ile kuru soğan, yüzde 218.7 ile pırasa takip etti.""",0.5231,0.5093,temperature rise,undernourishment,high_climate,no,no,no,Art exhibition opens in Istanbul - culture,,
Turkish,Turkey,sozcu.com.tr,scrapai,129,https://www.sozcu.com.tr/dogalgaza-savas-zammi-yolda-p300580,Doğalgaza savaş zammı yolda,"Orta Doğu’nun savaş alanına dönmesinin vatandaşa ilk yansıması akaryakıt zamlarında görülürken, sıra doğalgaz faturalarındaki artışa gelmiş olabilir. Uzmanlar, konutların veya sanayinin doğalgazına zam yapılmasının ‘kaçınılmaz’ olduğunu belirtiyor. Zam nisan veya haziran aylarında yapılabilir. Hollanda merkezli sanal doğalgaz ticaret noktası TTF’de, nisan vadeli kontratlarda megavatsaat başı doğalgaz fiyatı 27 Şubat’ta 31.95 Euro iken, dün yüzde 48.5 Euro oldu. FATURA KABARIR Küresel fiyatlardaki artışın Türkiye’ye etkisini değerlendiren TEPAV Enerji ve İklim Çalışmaları Merkezi Direktörü Dr. Mühdan Sağlam, “Türkiye genelde spot alımlarda TTF’yi kullanır. Geçen yılki doğalgaz ithalatın yüzde 20’si spot piyasadan alındı. Bu ciddi bir oran. Bu oran fiyatlara yansıyacaktır. Uzun vadeli sözleşmelerin bir kısmında da TTF etkili. Türk Akımı’nın yüzde 70’i, TANAP ve Azeri gazının yüzde 70’den fazlasında TTF’nin periyodik ortalamalarına bakılıyor” bilgisini verdi.  Sağlam, “TTF’deki artış hem şu anda yaptığımız alımlara hem de ileride ödeyeceğimiz doğalgaz faturalarına yansıyacaktır” dedi. Mühdan Sağlam, ‘Doğalgaza zam bekliyor musunuz’ sorusuna ise “Piyasa bu haliyle giderse zam kaçınılmaz. Nisan ayında doğalgaza zam yapılabileceğini düşünüyorum. Eğer BOTAŞ kriz çözülebilir diye düşünürse nisanı pas geçip haziranda da zam yapabilir” yanıtını verdi. Sağlam, “Bugün anlaşma yapılsa ve Hürmüz Boğazı normale dönse bile piyasanın toparlaması en az 3 hafta sürer” diye konuştu. 94 günlük ulusal stok bulunuyor Doğalgaz gibi petrol piyasalarında da sert dalgalanmalar görülüyor. Akaryakıt fiyatlarındaki artıştan sonra Uluslararası Enerji Ajansı’nın verilerine göre Türkiye’nin 94 günlük ithalatına karşılık gelen ulusal petrol stokunu kullanıma açılıp açılmayacağı tartışılmaya başlandı. Bu konuya değinen Dr. Mühdan Sağlam, “Türkiye’nin aldığı petrolde bir kıtlık yok, fiyatlar da 2008 krizi seviyesinde değil. Türkiye’nin petroldeki 4 temel tedarikçisinden 3’ünde problem yok. Şu anda ulusal stokun devreye alınacağını düşünmüyorum” dedi.",0.4630,0.5031,carbon dioxide,west nile virus,high_climate,no,no,no,Stock exchange Istanbul rises in first half - finance,,
Turkish,Turkey,hurriyet.com.tr,newsapi,1525,https://www.hurriyet.com.tr/yazarlar/sefer-levent/sadece-cephede-degil-sofrada-da-savas-olur-43130247,Sadece cephede değil sofrada da savaş olur,"GÜZELLER güzeli dünyamızda 8 milyarı aşkın bir nüfusla yaşamaya çalışıyoruz.

Yaşamaya çalışıyoruz diyorum çünkü bu kalabalık kadro olarak tüm dengeleri bozmakla hayli meşgulüz. Doğa katliamı, sanayileşme, küresel ısınma derken bu çağda ne yazık ki savaşlara şahit olmaya devam ediyoruz. Eğer sıcak savaşın içinde değilsek ve kafamıza bombalar yağmıyorsa 8 milyar kişi aslında her gün tek bir ortak amaç için uğraşıyoruz. Yemek yemek, yani beslenmek...

Oysa bu kalabalık nüfusu besleyen tarım sistemi hiç de sandığımız kadar sağlam değil.

Tam tersine birkaç kritik girdiye sıkı sıkıya bağımlı.

Enerji, gübre ve lojistik.

Bu üçünden biri bile sarsıldığında zincir kırılmaya başlıyor.

Nasıl mı, haydi gelin ayrıntılarına bakalım...

Savaşlar konuşulurken ilk bakılan yer petrol fiyatlarıdır. Piyasa ekranları açılır, Brent kaç dolar oldu diye bakılır. Oysa İran'daki savaşın gerçek etkisi yalnızca petrol piyasasında değil küresel tarımın maliyet yapısında hissedilecek.

Çünkü modern tarım üç kritik girdiye dayanıyor: enerji, gübre ve lojistik. İran çevresindeki savaş ise tam olarak bu üç damarın kesiştiği noktayı etkiliyor.

ENERJİ

Dünya petrolünün yaklaşık yüzde 20'si her gün Hürmüz Boğazı üzerinden taşınıyor. Bu oran günlük yaklaşık 20 milyon varil demek. Küresel enerji piyasasında böylesine dar bir geçit üzerinden geçen bu hacim, herhangi bir askeri gerilimde fiyatların hızla yukarı gitmesine neden oluyor. Nitekim enerji piyasalarını izleyen Uluslararası Enerji Ajansı hesaplarına göre petrol fiyatındaki yüzde 10'luk bir artış, tarım üretim maliyetlerini ortalama yüzde 2-3 artırıyor.

Tarım aslında büyük ölçüde enerji ekonomisine bağlı bir sektör. Traktörler motorin ile çalışır. Sulama sistemleri elektrik tüketir. Hasat edilen ürün binlerce kilometre öteye araçlarla taşınır. Özetle, enerji pahalandığında tarım da pahalanır.

GÜBRE

Bugün dünyada kullanılan azotlu gübrenin üretimi büyük ölçüde doğalgaza dayanıyor. Enerji fiyatları yükseldiğinde gübre üretim maliyetleri de hızla artıyor. Nitekim küresel tarım piyasalarını izleyen Dünya Tarım ve Gıda Örgütü (FAO) verilerine göre son büyük enerji şokunda azotlu gübre fiyatları bir yıl içinde yüzde 80'e yakın artmıştı. Gübre pahalandığında çiftçinin önünde iki seçenek kalıyor. Ya maliyete katlanmak ya da daha az gübre kullanmak. Çoğu zaman zaman ikinci şık tercih edilir. Bunun sonucu ise doğrudan verimde azalma olarak görülür. Yine FAO'nun hesaplamalarına göre gübre kullanımındaki yüzde 10'luk düşüş, tahıl veriminde ortalama yüzde 3-5 kayba yol açabiliyor.

Bu da küresel üretim açısından devasa bir rakam demek. Dünyada buğday üretimi yılda yaklaşık 800 milyon ton. Verimde yalnızca yüzde 3'lük bir düşüş yaşansa piyasadan 24 milyon ton buğdayın eksilmesi anlamına geliyor. Bu miktar neredeyse Türkiye'nin yıllık buğday tüketimine yakın.

LOJİSTİK

Küresel gübre ticaretinin yaklaşık yüzde 30'u, petrol ve petrokimya ürünlerinin ise önemli bir bölümü yine Hürmüz Boğazı çevresindeki enerji koridorlarından geçiyor. B...",0.4832,0.5510,climate crises,undernourishment,high_climate,no,no,no,BRICS summit updates - geopolitics,,
Turkish,Turkey,sozcu.com.tr,newsapi,8210,https://www.sozcu.com.tr/goldman-sachs-tan-altin-icin-5-400-dolar-tahmini-yukselis-yavas-ama-kalici-p295443,Goldman Sachs'tan altın için 5.400 dolar tahmini: Yükseliş yavaş ama kalıcı - Sözcü Gazetesi,"Goldman Sachs, 2026 görünüm raporunda altın piyasasındaki yapısal talebin korunacağını ve fiyatların orta vadede yükseliş eğilimini sürdüreceğini öngördü. Banka, ons altının 2026 sonuna kadar 5.400 dolara ""yavaş ama istikrarlı"" bir şekilde tırmanmasını bekliyor.

Goldman'a göre fiyatları yukarı taşıyacak iki ana unsur bulunuyor: merkez bankası alımları ve ABD Merkez Bankası'nın faiz indirimleriyle birlikte özel yatırımcıların pozisyon artırması.r.

Goldman Sachs, fiyatlardaki yükselişi bir ""emtia süper döngüsü"" olarak görmediğini, hareketin daha çok politika kaynaklı endişeler ve yatırımcı davranışlarındaki değişimden kaynaklandığını ifade etti. Banka, yapısal baskıların altın fiyatlarını uzun vadede destekleyeceğini, ancak rallinin süresi ve kapsamının öngörülmesinin güç olduğunu kaydetti",0.4858,0.4850,temperature rise,west nile virus,high_climate,no,no,no,Goldman Sachs gold forecast $5400 - commodities,,
Turkish,Turkey,sozcu.com.tr,newsapi,4906,https://www.sozcu.com.tr/6-haftada-yetisiyor-avrupa-cok-arastiriyor-fiyati-4-bin-lira-p298905,"6 haftada yetişiyor, Avrupa çok araştırıyor: Fiyatı 4 bin lira - Sözcü Gazetesi","Avrupa Birliği'nin milyarlarca avroluk araştırma bütçelerinde, devasa tesislerin ve karmaşık teknolojilerin gölgesinde kalan küçücük bir bitki var: Fare Kulağı Teresi. Son verilere göre, Avrupa genelinde biyoteknoloji ve genetik alanında en çok makale yazılan ve üzerine en fazla deney yapılan canlı türü ünvanını koruyor.

Bilim insanlarının bu mütevazı bitkiye olan ""aşkı"" sadece bir tesadüf değil. Fare Kulağı Teresi, bitki dünyasının genetik şifrelerini barındıran bir ""anahtar"" görevi görüyor.

Sadece 6 haftada tohumdan tohuma geçebilmesi, araştırmacıların bir yılda onlarca nesli incelemesine olanak tanıyor. Gen haritası tamamen çözülen ilk bitki olması, onu kuraklık, hastalık direnci ve iklim değişikliğiyle mücadelede birincil model haline getiriyor.

Bugün sofralarımıza gelen mısır, buğday ve pirincin iklim krizine karşı nasıl daha dayanıklı hale getirileceği sorusunun yanıtı, önce bu bitki üzerinde test ediliyor. Avrupa'daki üniversiteler, bu bitki sayesinde bitkilerin stres anında nasıl tepki verdiğini çözerek, gelecekteki olası gıda krizlerinin önüne geçmeyi hedefliyor.

Sokaktaki vatandaş için ""değersiz bir ot"" olan Fare Kulağı Teresi, laboratuvar kapısından içeri girdiğinde adeta altına dönüşüyor. Bahçelerdeki yer örtücü türleriyle karıştırılmaması gereken bu özel akademik tohumların tüp fiyatları, genetik özelliklerine göre 1.400 TL'den başlayıp 4.000 TL'nin üzerine kadar çıkabiliyor.",0.4874,0.5390,extreme events,west nile virus,high_climate,no,no,no,Erdoğan's approval rating changes - politics,,
Turkish,Turkey,sozcu.com.tr,newsapi,499,https://www.sozcu.com.tr/radyasyonlu-mezardan-sizinti-basladi-cevresini-yok-edebilir-p303479,Radyasyonlu mezardan sızıntı başladı: Çevresini yok edebilir - Sözcü Gazetesi,"Pasifik Okyanusu'nun ortasında, ""cennet"" olarak bilinen Marshall Adaları, geçmişin nükleer hayaletleriyle boğuşuyor. ABD ordusunun 1950'li yıllarda gerçekleştirdiği nükleer denemelerden geriye kalan devasa atık deposu Runit Kubbesi, iklim değişikliği ve yükselen deniz seviyeleri nedeniyle patlamaya hazır bir saatli bombaya dönüştü.

18 KİLOTONLUK ""KAKTÜS""TEN GERİYE KALAN DEV ÇUKUR

Her şey 1958 yılında başladı. ABD ordusu, Enewetak Atolü'ndeki Runit Adası'nda ""Kaktüs"" kod adıyla 18 kilotonluk bir nükleer test gerçekleştirdi. Patlama o kadar şiddetliydi ki, adanın zemininde devasa bir krater oluştu. 1970'lerin sonuna gelindiğinde ise ordu, bölgedeki nükleer kirliliği ""temizlemek"" adına çevre adalardan topladığı 120 bin tondan fazla radyoaktif toprağı ve molozu bu kratere doldurmaya karar verdi.

ÖLÜMCÜL MİRAS: 115 METRELİK BETON TABUT

1977-1980 yılları arasında inşa edilen 115 metre genişliğindeki beton kubbe, aslında kalıcı bir çözüm olarak değil, ""geçici bir önlem"" olarak tasarlanmıştı. İçerisinde Hiroşima'ya atılan bombadan bin kat daha güçlü patlamaların artığı olan ve binlerce yıl yok olmayan ölümcül plütonyum barındırıyor. Ancak bu devasa mezarın zemini, sızıntıyı önleyecek bir astarla kaplanmak yerine, geçirgen bir mercan tabakasının üzerine inşa edildi.

DENİZ SEVİYESİ YÜKSELİYOR, KUBBE ÇATLIYOR

Bugün uzmanları asıl korkutan şey, kubbenin fiziksel durumu. 50 yıllık betonun üzerinde devasa çatlaklar oluşmuş durumda. Columbia Üniversitesi'nden kimyager Ivana Nikolic-Hughes, 2018 yılında adada yaptığı incelemelerde bu çatlakları bizzat gözlemlediğini belirtiyor. Daha da kötüsü, küresel ısınma nedeniyle yükselen deniz suları, kubbenin altındaki gözenekli yapıdan içeri sızarak radyoaktif maddeleri okyanusa taşımaya başladı bile.

""ŞU AN KÜÇÜK, AMA GELECEK KARANLIK""

Woods Hole Okyanusbilim Enstitüsü'nden Ken Buesseler, şu anki sızıntı miktarının ""nispeten küçük"" olduğunu ifade etse de ciddi bir uyarıda bulunuyor: ""Her şey deniz seviyesindeki yükselişe ve fırtınalara bağlı."" 2024 yılında yayımlanan bir rapor, şiddetli bir fırtına dalgasının kubbedeki radyoaktif maddeleri tüm atol boyunca yayabileceğini kanıtladı.",0.4952,0.4972,ozone depletion,west nile virus,high_climate,no,no,no,EU extends sanctions on Russia - geopolitics,,
Turkish,Turkey,milliyet.com.tr,newsapi,6392,https://www.milliyet.com.tr/gundem/ilk-gelen-demir-atamayacak-7542033,İlk gelen demir atamayacak,"Muğla'nın dünyaca ünlü turizm merkezlerinden Göcek'te, yaz sezonunda artan tekne ve yat trafiğinin deniz ekosistemi üzerindeki baskısını azaltmak amacıyla Çevre, Şehircilik ve İklim Değişikliği Bakanı Murat Kurum'un talimatı ile harekete geçen Türkiye Çevre Ajansı (TÜÇA), DERİA Mapa-Şamandıra Projesi'ni başlattı.

KENAN GÜRBÜZ / MUĞLA - Uygulama dünyaca ünlü 17 koyda yıllardır uygulanan ""ilk gelen demir atar"" anlayışını sona erdirerek kontrollü ve rezervasyonlu sistem getiriyor. Yeni uygulamayla bir tekne aynı koyda en fazla 3 gün, Göcek koyları genelinde ise en fazla 11 gün konaklayabilecek. Günlük bağlama ücretleri de tekne büyüklüğüne göre 500 ila 3000 TL arasında değişecek.

Kirliliğe dijital önlem

Dört adet atık alım teknesi, iki adet deniz yüzey temizleme teknesi ve bir adet deniz dibi tarama temizleme teknesi TÜÇA tarafından bölgede konumlandırıldı. Gemi Atık Takip Sistemi (GATS) kapsamı dışında kalan gemiler tarafından üretilen atıkların izlenmesi, atık alım süreçlerinin takip edilmesi ve deniz kirliliğin önlenmesi amacıyla Mavi Kart Takip Sistemi (MKTS) çalışmaları da hızla devam ediyor. Kurulacak dijital alt yapı sayesinde deniz kirliliğinin önlenmesi, atık yönetiminin izlenebilir hale getirilmesi hedefleniyor. TÜÇA Başkanı Nurullah Öztürk, çalışmanın kar amacı gütmeyen ve tamamen ekosistem odaklı bir model olduğunu, elde edilen tüm gelirin denizlerin ve çevrenin korunması için kullanılacağını vurguladı.

İşte o 17 koy

Pilot bölge Göcek'te yaklaşık 805 kilometrekarelik alan yeni nesil bağlama alt yapısıyla donatılıyor. 17 koy şunlar: Bedri Rahmi, Binlik Koyu, Boynuz Bükü Koyu, Göbün Koyu, Göcek Adası, Göcek Doğu, Günlük Atbükü, İnceburun, Kille-Büyükovakoyu, Martı Koyu, Merdivenli Koyu, Osman Ağa Koyu, Sarsala Koyu, Sıralıbük Koyu, Tersane Adası, Yassıca Adası, Zeytin Adası.

Sistem nasıl işleyecek?

DERİA web sitesi ve mobil uygulaması, sistemin merkezini oluşturuyor. Uygulama üzerinden tekneler bağlama noktalarını harita üzerinde görebilecek, rezervasyon yapabilecek ve ödemelerini çevrim içi gerçekleştirebilecek. Koya varışta tekneleri 7/24 görevli palamar ekipleri karşılayacak. Koya giriş saati 14.00, çıkış ise 12.00 olarak uygulanacak.

Diğer koylara da yaygınlaşacak

Bakanlık kaynakları, Fethiye-Göcek Özel Çevre Koruma Bölgesi'nde başlayan Mapa-Şamandıra Yönetim Sistemi projesinin şu an için pilot bölge olarak seçilen Göcek ve Dalaman koylarında uygulanacağını kaydetti. Kaynaklar, sistemin diğer koylara da yaygınlaşacağını ifade etti.

Yazın 2 bine dayanıyor

Göcek'te toplam 6 marina faaliyet gösteriyor. Bu marinaların bağlama kapasitesi ise yaklaşık 850 yat ve tekne. Ancak bölgede yaz sezonunda günlük ortalama toplam tekne sayısı 2 bin civarında seyrediyor.

1500 tür yaşıyor

Bölge; Akdeniz foku, orfoz ve Posidonia oceanica deniz çayırları dâhil yaklaşık 1500 türün yaşam alanı olması nedeniyle bilimsel açıdan da kritik önem taşıyor. Bilimsel çevreler ise özellikle deniz çayırlarının korunması açısından sistemin yakından izlenmes...",0.4632,0.5083,carbon dioxide,west nile virus,high_climate,no,no,no,Real estate market updates - property,,
Turkish,Turkey,sozcu.com.tr,scrapai,163,https://www.sozcu.com.tr/borsa-gunun-ilk-yarisinda-yukseldi-10-mart-2026-p300418,Borsa günün ilk yarısında yükseldi -10 Mart 2026,"Günün ilk yarısında yükseliş eğiliminde hareket eden BIST 100 endeksi, saat 13.00 itibarıyla önceki kapanışa göre 375,59 puan ve yüzde 2,96 artışla 13.077,58 puan oldu. Toplam işlem hacmi 86,3 milyar lira olarak belirlendi. Bankacılık endeksi yüzde 4,60, holding endeksi ise yüzde 2,3 değer kazandı. Sektör endekslerinin tümü yükselirken en çok değer kazanan yüzde 7,15 ile madencilik oldu. Küresel piyasalar, ABD Başkanı Donald Trump'ın İran'la savaşın çok yakında biteceğini belirtmesinin ardından gerileyen petrol fiyatları ve artan risk iştahının etkisiyle pozitif seyrediyor. Borsa İstanbul'da BIST 100 endeksi de küresel piyasalara paralel genele yayılan alımlarla günün ilk yarısını alıcılı bir seyirle tamamladı. Yurt içinde açıklanan verilere göre ise sanayi üretim endeksi, ocakta aylık bazda yüzde 2,8, yıllık bazda yüzde 1,8 azalış gösterdi. Analistler, günün geri kalanında jeopolitik gelişmeler ile Orta Doğu'dan gelecek haber akışının yanı sıra ABD'de ikinci el konut satışlarının takip edileceğini belirterek, teknik açıdan BIST 100 endeksinde 13.200 ve 13.300 puanın direnç, 13.000 ve 12.900 puanın ise destek konumunda olduğunu ifade etti. *BU HABERDE YER ALAN İFADELER YATIRIM TAVSİYESİ DEĞİLDİR.",0.5000,0.5189,temperature rise,west nile virus,high_climate,no,no,no,Stock market rose in first half March 10 - finance,,
