language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Polish,health,0.5500,0.0400,0.5497,no,0.4830,0.5497,west nile virus,heatwave,west nile virus,fakt_pl,Chiny nie patyczkują się z USA. Trump poczuje cła odwetowe,https://www.fakt.pl/pieniadze/chiny-nie-patyczkuja-sie-z-usa-trump-poczuje-cla-odwetowe/64kmfpw,71424,8300
Polish,health,0.5500,0.0400,0.5498,no,0.4777,0.5498,undernourishment,heatwave,undernourishment,fakt_pl,Niemcy suszą dziesiątki milionów euro po powodziach. Mieszkańcy mogą liczyć na zwrot uszkodzonych banknotów,https://www.fakt.pl/wydarzenia/swiat/niemcy-dziesiatki-milionow-euro-zniszczonych-przez-powodzie/5jyd5nf,71424,8300
Polish,health,0.5500,0.0400,0.5498,no,0.4761,0.5498,casualties,extreme event,casualties,fakt_pl,Tragedia na Oktoberfest w Niemczech. Życia kobiety nie udało się uratować,https://www.fakt.pl/wydarzenia/swiat/tragedia-na-oktoberfest-w-monachium-zycia-kobiety-nie-udalo-sie-uratowac/lj3wthx,71424,8300
Polish,health,0.5500,0.0400,0.5498,no,0.4875,0.5498,malnourishment,rising temperature,malnourishment,fakt_pl,Krzaczki pomidorów marnieją? Ta mikstura może przywrócić im zdrowy wygląd w kilka dni. Łatwo ją zrobić!,https://kuchnia.fakt.pl/domowa-mikstura-ktora-uratuje-usychajace-krzaczki-pomidorow-mamy-przepis/4n8sm1j,71424,8300
Polish,health,0.5500,0.0400,0.5498,no,0.4736,0.5498,undernourishment,temperature rises,undernourishment,fakt_pl,"""Noszę buty i ubrania po wnukach"". Porażające wyniki raportu na temat drożyzny i oszczędzania przez Polaków",https://www.fakt.pl/pieniadze/polacy-masowo-oszczedzaja-na-czym-najczesciej-wiekszosc-na-wszystkim/43qml07,71424,8300
Polish,health,0.5500,0.0400,0.5499,no,0.4746,0.5499,west nile virus,heatwave,west nile virus,fakt_pl,Zrobiliśmy zakupy w Egipcie. Zaskoczenie przy kasie! KOSZYK FAKTU,https://www.fakt.pl/pieniadze/zrobilismy-zakupy-w-egipcie-przy-kasie-zaskoczenie-nie-moglismy-uwierzyc/h32q8fg,71424,8300
Polish,health,0.5500,0.0400,0.5499,no,0.4841,0.5499,casualties,heatwave,casualties,fakt_pl,"Polka poszła do tureckiej toalety. ""Czegoś takiego się nie spodziewałam""",https://www.fakt.pl/pieniadze/polka-poszla-do-tureckiej-toalety-czegos-takiego-sie-nie-spodziewalam/dlmj7kv,71424,8300
Polish,health,0.5500,0.0400,0.5499,no,0.4845,0.5499,casualties,heatwave,casualties,fakt_pl,Na chwilę przed śmiercią wysłali SMS-a:„Jedziemy w góry kolejką linową”. Z katastrofy ocalało tylko 9-letnie dziecko,https://www.fakt.pl/wydarzenia/swiat/stresa-wlochy-kolejka-gorska-runela-sa-ofiary/gwtxp0j,71424,8300
Polish,health,0.5500,0.0400,0.5500,no,0.5052,0.5500,undernourishment,temperature rise,undernourishment,fakt_pl,Opłata cukrowa napędza robienie coli w domu! Ten produkt sprzedaje się 550 procent lepiej!,https://www.fakt.pl/pieniadze/finanse/oplata-cukrowa-napedzila-sprzedaz-syropow/sj30v8s,71424,8300
Polish,health,0.5500,0.0400,0.5500,no,0.4763,0.5500,malnourishment,heatwave,malnourishment,fakt_pl,Colin Farrell nauczył się robić ten sos z You Tuba. To domowa wersja klasycznego sosu do Big Maca,https://ludzie.fakt.pl/colin-farrell-poleca-ten-sos-do-hamburgerow-jest-lepszy-niz-w-restauracji/j2rrgrr,71424,8300
Polish,health,0.5500,0.0400,0.5500,YES,0.4864,0.5500,west nile virus,heatwave,west nile virus,fakt_pl,UE nakłada cła odwetowe na USA. To odpowiedź na działania Trumpa,https://www.fakt.pl/pieniadze/ue-odpowiada-trumpowi-nalozeniem-cel-odwetowych-na-usa/whq135r,71424,8300
Polish,health,0.5500,0.0400,0.5500,YES,0.5140,0.5500,west nile virus,heatwave,west nile virus,fakt_pl,Pożar promu na Bałtyku. Na pokładzie kilkaset osób,https://www.fakt.pl/wydarzenia/swiat/pozar-promu-na-baltyku-na-pokladzie-kilkaset-osob/v3gk0n2,71424,8300
Polish,health,0.5500,0.0400,0.5500,YES,0.4619,0.5500,malnourishment,extreme heat,malnourishment,fakt_pl,Ciągle chce ci się pić? To przez słabe nawodnienie. Szybko przygotuj domowy napój izotoniczny!,https://kuchnia.fakt.pl/domowy-napoj-izotoniczny-swietnie-nawadnia-i-jest-tani-niezawodny-przepis/tsk1te2,71424,8300
Polish,health,0.5500,0.0400,0.5501,YES,0.4939,0.5501,west nile virus,heatwave,west nile virus,fakt_pl,EBC: nowe banknoty euro już w drodze. Czy obecne stracą wartość?,https://www.fakt.pl/pieniadze/ebc-nowe-banknoty-euro-juz-w-drodze-czy-obecne-straca-wartosc/fbg099h,71424,8300
Polish,health,0.5500,0.0400,0.5501,YES,0.4276,0.5501,measles,heatwave,measles,fakt_pl,Seniorzy tego nie wiedzą. Dzięki tej decyzji nawet 1000 zł może zostać w kieszeni,https://www.fakt.pl/pieniadze/od-1-pazdziernika-bedzie-nowa-szczepionka-na-rsv-ci-seniorzy-dostana-ja-za-darmo/17px9c0,71424,8300
Polish,health,0.5500,0.0400,0.5501,YES,0.4858,0.5501,casualties,extreme event,casualties,fakt_pl,Dantejskie sceny w czasie walki o prezenty. Klienci tratowali się wzajemnie,https://www.fakt.pl/pieniadze/zakupy/dantejskie-sceny-w-czasie-walki-o-prezenty-klienci-tratowali-sie-wzajemnie/0tbwgzw,71424,8300
Polish,health,0.5500,0.0400,0.5501,YES,0.4869,0.5501,measles,heatwave,measles,fakt_pl,Obrzydlistwo! Szczurze mięso w sklepach!,https://www.fakt.pl/wydarzenia/swiat/obrzydlistwo-szczurze-mieso-w-sklepach/rn1w0gd,71424,8300
Polish,health,0.5500,0.0400,0.5501,YES,0.4256,0.5501,malnourishment,extreme events,malnourishment,fakt_pl,Pracowała w barach typu fast food. Teraz ostrzega: w tych dniach lepiej się tam nie stołujcie,https://kuchnia.fakt.pl/byla-pracownica-fast-foodu-ostrzega-w-te-dni-omijajcie-takie-bary-z-daleka/6kvb4rf,71424,8300
