language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Polish,climate,0.5000,0.0400,0.4999,no,0.4999,0.5260,heatwave,heatwave,west nile virus,fakt_pl,"Kamil Stoch pojechał do Finlandii. ""List do Mikołaja sam się nie zawiezie""",https://sport.fakt.pl/siatkowka/skoki-narciarskie-kamil-stoch-przed-konkursem-w-kussamo-zawiuzl-listy-do-mikolaja/2frg03c,71424,10396
Polish,climate,0.5000,0.0400,0.4999,no,0.4999,0.4892,heatwave,heatwave,west nile virus,fakt_pl,"""Brama do piekieł"" się otwiera. To, co z niej wyjdzie, może być zagrożeniem dla ludzkości",https://www.fakt.pl/wydarzenia/swiat/brama-do-piekiel-sie-otwiera-to-co-skrywa-moze-byc-smiertelnie-grozne/pf2qswj,71424,10396
Polish,climate,0.5000,0.0400,0.4999,no,0.4999,0.5194,heatwave,heatwave,hunger,fakt_pl,Najman: Saleta to tchórz!,https://sport.fakt.pl/sporty-walki/najman-saleta-to-tchorz/evljh8z,71424,10396
Polish,climate,0.5000,0.0400,0.4999,no,0.4999,0.5011,heatwave,heatwave,west nile virus,fakt_pl,Wściekasz się na spóźnione pociągi? PKP szykuje taki wynalazek,https://www.fakt.pl/pieniadze/wsciekasz-sie-na-spoznione-pociagi-pkp-szykuje-taki-wynalazek-na-zime/47zjk0p,71424,10396
Polish,climate,0.5000,0.0400,0.5000,no,0.5000,0.4939,heatwave,heatwave,west nile virus,fakt_pl,Nawet kilkadziesiąt tysięcy osób bez ogrzewania i ciepłej wody. Potężna awaria,https://www.fakt.pl/wydarzenia/polska/trojmiasto/awaria-w-gdyni-kilkadziesiat-tysiecy-osob-bez-ogrzewania-i-cieplej-wody/80ngpst,71424,10396
Polish,climate,0.5000,0.0400,0.5000,no,0.5000,0.5326,heatwave,heatwave,west nile virus,fakt_pl,Koszmarna kraksa. Wpadła na rywalkę z pełną prędkością. Dramatyczne wideo,https://sport.fakt.pl/inne-sporty/koszmarny-wypadek-przejechala-zawodniczce-po-glowie-dramatyczne-wideo/7hy7dcs,71424,10396
Polish,climate,0.5000,0.0400,0.5000,no,0.5000,0.5118,heatwave,heatwave,measles,fakt_pl,Show Marcina Najmana na konferencji CLOUT MMA 1. Na scenie odbyła się koronacja!,https://sport.fakt.pl/sporty-walki/marcin-najman-jako-cesarz-freak-fightow-konferencja-clout-mma-1/kh8xbr6,71424,10396
Polish,climate,0.5000,0.0400,0.5000,no,0.5000,0.5214,heatwave,heatwave,west nile virus,fakt_pl,"Grażyna Wolszczak zafundowała sobie hardkorowe wakacje. ""Mycie w zardzewiałym prysznicu""",https://ludzie.fakt.pl/wolszczak-na-wakacjach-bez-luksusow-co-sie-dzialo-pod-jej-prysznicem/224zkt2,71424,10396
Polish,climate,0.5000,0.0400,0.5000,no,0.5000,0.5109,heatwave,heatwave,chikungunya,fakt_pl,Ahonen ma świńską grypę!,https://sport.fakt.pl/inne-sporty/ahonen-ma-swinska-grype/00ws1ww,71424,10396
Polish,climate,0.5000,0.0400,0.5000,no,0.5000,0.5075,temperature rises,temperature rises,undernourishment,fakt_pl,Spełniła się przepowiednia z sopockiego molo,https://www.fakt.pl/pieniadze/przepowiednia-z-sopockiego-molo-spelnila-sie-prezes-nbp-dotrzymal-slowa/x6g074b,71424,10396
Polish,climate,0.5000,0.0400,0.5000,YES,0.5000,0.5278,heatwave,heatwave,west nile virus,fakt_pl,Euro 2020. Paulo Sousa ogłosił kadrę. Zobacz kogo powołał Paulo Sousa,https://sport.fakt.pl/pilka-nozna/euro-2020-paulo-sousa-oglosil-kadre-zobacz-kogo-powolal-paulo-sousa/jvx0w15,71424,10396
Polish,climate,0.5000,0.0400,0.5000,YES,0.5000,0.5456,heatwave,heatwave,casualties,fakt_pl,Rok temu zrobiliśmy remont całego domu,https://www.fakt.pl/wydarzenia/polska/rok-temu-zrobilismy-remont-calego-domu/m86v1q6,71424,10396
Polish,climate,0.5000,0.0400,0.5000,YES,0.5000,0.5170,heatwave,heatwave,west nile virus,fakt_pl,O tym się mówi. 68. Konkurs Piosenki Eurowizji. W Szwecji Luna walczy o finał!,https://ludzie.fakt.pl/68-konkurs-piosenki-eurowizji-nasza-reprezentantka-luna-walczy-o-final/pln6v90,71424,10396
Polish,climate,0.5000,0.0400,0.5000,YES,0.5000,0.5302,heatwave,heatwave,west nile virus,fakt_pl,Tankowanie w cieniu wojny przed wielką majówką. Tak zmienią się ceny paliw,https://www.fakt.pl/pieniadze/oszczedzanie/prognoza-cen-paliw-na-majowke/l8mvh3q,71424,10396
Polish,climate,0.5000,0.0400,0.5001,YES,0.5001,0.5145,heatwave,heatwave,west nile virus,fakt_pl,"Ponad setka za motocykl Zmarzlika, który nie ma nawet hamulców. Gigantyczna suma pomoże WOŚP",https://sport.fakt.pl/wosp-2024-motocykl-bartosza-zmarzlika-sprzedany-na-aukcji-za-okragla-sume/rqz51hg,71424,10396
Polish,climate,0.5000,0.0400,0.5001,YES,0.5001,0.5563,heatwave,heatwave,casualties,fakt_pl,W 30 dni został milionerem! Krótka historia jego sukcesu,https://www.fakt.pl/wydarzenia/swiat/w-30-dni-zostal-milionerem-krotka-historia-jego-sukcesu/7nynkdr,71424,10396
Polish,climate,0.5000,0.0400,0.5002,YES,0.5002,0.5002,heatwave,heatwave,west nile virus,fakt_pl,Iga Świątek i brakujący puchar. Dlaczego turniej w Madrycie jej nie leży?,https://sport.fakt.pl/inne-sporty/iga-swiatek-i-brakujacy-tytul-dlaczego-madryt-nie-lezy-polce/dpsdssh,71424,10396
Polish,climate,0.5000,0.0400,0.5002,YES,0.5002,0.5442,heatwave,heatwave,west nile virus,fakt_pl,Magda Linette w ćwierćfinale turnieju w Miami! Obrończynie tytułu pokonane,https://sport.fakt.pl/inne-sporty/magda-linette-w-cwiercfinale-turnieju-w-miami-obronczynie-tytulu-pokonane/f1xm6pp,71424,10396
Polish,climate,0.5000,0.0400,0.5002,YES,0.5002,0.5338,temperature rise,temperature rise,undernourishment,fakt_pl,Rachunki za prąd po tarczy. Tak drastycznych podwyżek jeszcze nie było,https://www.fakt.pl/pieniadze/rachunki-za-prad-w-2024-r-czeka-nas-szokowy-wzrost/p0crc1s,71424,10396
Polish,climate,0.5000,0.0400,0.5003,YES,0.5003,0.4988,temperature rises,temperature rises,undernourishment,fakt_pl,Wraca temat dodatkowej waloryzacji emerytur. Jest mowa nawet o czterech podwyżkach w roku! [TABELA],https://www.fakt.pl/pieniadze/cztery-waloryzacje-emerytur-w-roku-ekspert-mowi-jak-ratowac-portfele-seniorow/98bf0zl,71424,10396
