language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Norwegian,health,0.6200,0.0400,0.6194,no,0.5911,0.6194,casualties,variable climates,casualties,adressa_no,Ingen endringer i cruisetrafikken i Flåm - adressa.no,https://www.adressa.no/nyheter/innenriks/i/RyPkXx/ingen-endringer-i-cruisetrafikken-i-flam,7318,1861
Norwegian,health,0.6200,0.0400,0.6195,no,0.5883,0.6195,west nile virus,heatwave,west nile virus,adressa_no,Over 30 Hurtigruten-ansatte testet positivt for covid-19 - adressa.no,https://www.adressa.no/nyheter/innenriks/i/jaB48e/over-30-hurtigruten-ansatte-testet-positivt-for-covid-19,7318,1861
Norwegian,health,0.6200,0.0400,0.6195,no,0.5783,0.6195,west nile virus,heatwave,west nile virus,adressa_no,WHO sier USA fortsatt samarbeider med dem - adressa.no,https://www.adressa.no/nyheter/utenriks/i/M1MzBm/who-sier-usa-fortsatt-samarbeider-med-dem,7318,1861
Norwegian,health,0.6200,0.0400,0.6197,no,0.5741,0.6197,casualties,heatwave,casualties,adressa_no,Kvinne kolliderte med tog - adressa.no,https://www.adressa.no/nyhetsstudio/i/V9qEP4/kvinne-kolliderte-med-tog,7318,1861
Norwegian,health,0.6200,0.0400,0.6198,no,0.5975,0.6198,undernourishment,heatwave,undernourishment,adressa_no,Kina truer Storbritannia med mottiltak - adressa.no,https://www.adressa.no/nyheter/utenriks/i/M1Mzkm/kina-truer-storbritannia-med-mottiltak,7318,1861
Norwegian,health,0.6200,0.0400,0.6198,no,0.5781,0.6198,casualties,variable climates,casualties,adressa_no,Adresseavisens krokodilletårer - adressa.no,https://www.adressa.no/debatt/i/8Q6nmW/adresseavisens-krokodilletarer,7318,1861
Norwegian,health,0.6200,0.0400,0.6199,no,0.5782,0.6199,casualties,extreme event,casualties,adressa_no,EU «sjokkert og opprørt» over George Floyds død - adressa.no,https://www.adressa.no/nyheter/utenriks/i/y7Lkwr/eu-sjokkert-og-opprort-over-george-floyds-dod,7318,1861
Norwegian,health,0.6200,0.0400,0.6200,no,0.5645,0.6200,deaths,heatwave,deaths,adressa_no,Mordbranntiltalt 20-åring fra Stord kan få forvaring - adressa.no,https://www.adressa.no/nyheter/innenriks/i/O3LvqA/mordbranntiltalt-20-aring-fra-stord-kan-fa-forvaring,7318,1861
Norwegian,health,0.6200,0.0400,0.6200,YES,0.5752,0.6200,deaths,extreme event,deaths,adressa_no,Minoriteter mer utsatt for koronadød i Storbritannia - adressa.no,https://www.adressa.no/nyheter/utenriks/i/g0VgnB/minoriteter-mer-utsatt-for-koronadod-i-storbritannia,7318,1861
Norwegian,health,0.6200,0.0400,0.6201,YES,0.5183,0.6201,deaths,extreme event,deaths,adressa_no,Politiet fant 80 døde sauer på gård i Midt-Troms - adressa.no,https://www.adressa.no/nyheter/innenriks/i/EwdG0A/politiet-fant-80-dode-sauer-pa-gard-i-midt-troms,7318,1861
Norwegian,health,0.6200,0.0400,0.6202,YES,0.5870,0.6202,casualties,variable climates,casualties,adressa_no,Over 100 politiangrep på pressefolk i USA - adressa.no,https://www.adressa.no/nyheter/utenriks/i/zrWdK4/over-100-politiangrep-pa-pressefolk-i-usa,7318,1861
Norwegian,health,0.6200,0.0400,0.6203,YES,0.6073,0.6203,casualties,heatwave,casualties,adressa_no,Mistenker hærverk mot skole: - Det sto 5-10 cm vann på gulvet - adressa.no,https://www.adressa.no/nyheter/i/lVEP53/mistenker-haerverk-mot-skole-det-sto-5-10-cm-vann-pa-gulvet,7318,1861
Norwegian,health,0.6200,0.0400,0.6204,YES,0.5611,0.6204,undernourishment,extreme event,undernourishment,adressa_no,AaFK-spissen sliter med ankelen og selvtilliten: – Jeg har ikke levert bra nok - adressa.no,https://www.adressa.no/sport/fotball/i/kR66zB/aafk-spissen-sliter-med-ankelen-og-selvtilliten-jeg-har-ikke-levert-bra-nok,7318,1861
Norwegian,health,0.6200,0.0400,0.6204,YES,0.5936,0.6204,casualties,heatwave,casualties,adressa_no,Over 100 pågrepet under protester i Kasakhstan - adressa.no,https://www.adressa.no/nyheter/utenriks/i/lz7pay/over-100-pagrepet-under-protester-i-kasakhstan,7318,1861
Norwegian,health,0.6200,0.0400,0.6204,YES,0.5604,0.6204,deaths,heatwave,deaths,adressa_no,To katter døde i blokkbrann på Tårnåsen - adressa.no,https://www.adressa.no/nyheter/innenriks/i/dmoyRB/to-katter-dode-i-blokkbrann-pa-tarnasen,7318,1861
Norwegian,health,0.6200,0.0400,0.6205,YES,0.5922,0.6205,undernourishment,extreme event,undernourishment,adressa_no,FHI: Smittespredningen fortsatt på relativt lavt nivå - adressa.no,https://www.adressa.no/nyheter/innenriks/i/X6xyP7/fhi-smittespredningen-fortsatt-pa-relativt-lavt-niva,7318,1861
