language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
German,Germany,faz.net,scrapai,2546,https://www.faz.net/aktuell/politik/heizungsgesetz-was-die-abschaffung-wirklich-bedeutet-110843612.html,Heizungsgesetz: Was die Abschaffung wirklich bedeutet,"Die „Abschaffung“ des Habeck’schen Heizungsgesetzes ist der größte Erfolg der Union seit dem Amtsantritt der schwarz-roten Koalition. Anders als bei den Themen Schuldenbremse und Reformen für mehr Wachstum erfüllen CDU/CSU in diesem Punkt ihr Wahlversprechen.

Die von vielen Hauseigentümern als bevormundend empfundenen Vorschriften im Gebäudeenergiegesetz aus der Ampelzeit werden gestrichen. Neue Gas- oder Ölheizungen dürfen weiter eingebaut werden, wenn sie zunehmend grüne Brennstoffe nutzen. Dass die Einigung später als angekündigt, aber noch vor den Wahlen in Baden-Württemberg und Rheinland-Pfalz kam, dürfte kein Zufall sein. Union und SPD eint der Wunsch, Wähler von der AfD zurückzuholen.

Folgen sind noch nicht zu Ende gedacht

Weg mit Habecks Heizungsgesetz, Freiheit für die Hauseigentümer: Wie einst den Grünen ging es auch der Union jetzt in erster Linie darum, ein Zeichen zu setzen. Was inhaltlich aus dem Kompromiss folgt, haben die Verhandler noch nicht zu Ende gedacht.

Nicht nur das Heizen mit Wärmepumpen oder Fernwärme kann teuer werden. Gleiches gilt auch für den Einsatz von Biogas. Die Koalition setzt auf das Prinzip Hoffnung. Die Abwägungen von Eigentümern, die sich auf Zahlen stützen müssen, werden nicht einfacher.

Das Heizungsgesetz haben Union und SPD fürs Erste abgeräumt. Die dahinter stehende Frage harrt weiter einer Antwort: Steht Deutschland noch zu seinem Ziel, bis 2045 klimaneutral zu werden? Vieles deutet darauf hin, dass dieser Prozess länger dauern wird und sich nicht in allen Bereichen die Emissionen auf null bringen lassen werden. Der Gebäudesektor reißt seit Jahren seine Einsparziele. Mit der Lockerung der Heizungsvorgaben ist absehbar, dass die Kluft zwischen Anspruch und Realität noch größer wird. Zumal die Politik auch den Anstieg der CO2-Preise dämpft. Es wäre an der Zeit, ehrlich zu sein. Nach dem Gebäudegesetz müsste auch das Klimaschutzgesetz an die neuen gesellschaftlichen Prioritäten angepasst werden.",0.5206,0.4747,global heating,undernourishment,high_climate,yes,no,no,"Heating law abolition, climate policy debate in Germany",,
German,Germany,zeit.de,scrapai,3184,https://www.zeit.de/news/2026-03/03/anhaltend-mildes-wetter-mit-sonne-in-hessen,DWD-Prognose: Anhaltend mildes Wetter mit Sonne in Hessen,"Das Wetter in Hessen bleibt in den kommenden Tagen mild und sonnig. Am Dienstag erwartet der Deutsche Wetterdienst Höchstwerte zwischen 15 und 18 Grad. Dabei bleibt es trocken und sonnig. In der Nacht zum Mittwoch könnte sich örtlich Nebel bilden, dabei liegen die Tiefsttemperaturen zwischen 1 und 6 Grad.

Nachdem sich der Nebel am Mittwoch aufgelöst hat, zeigt sich im Süden erneut die Sonne. Im Norden soll es zunächst stark bewölkt sein, im Tagesverlauf lockert es jedoch auf. Die Höchstwerte liegen zwischen 12 und 17 Grad. Am Donnerstag bleibt es bei Temperaturen von maximal 14 bis 18 Grad ebenfalls freundlich und sonnig.

© dpa-infocom, dpa:260303-930-760197/1",0.5578,0.4765,heatwave,west nile virus,high_climate,yes,no,no,DWD forecast: persistently mild weather in Hessen,,
German,Austria,kurier.at,scrapai,8469,https://kurier.at/chronik/welt/fuehrende-meteorologen-warnen-vor-sommerlicher-rekordhitze/400839674,Europa droht Rekordhitze im Sommer,"Die Weltwetterorganisation (WMO) in Genf rechnet in den Sommermonaten für Europa und den Rest der nördlichen Halbkugel mit überdurchschnittlich hohen Temperaturen, wie sie am Dienstag mitteilte. Die Organisation beruft sich dabei auf Modellrechnungen.

Schon die weltweiten Durchschnittstemperaturen im Jänner, Februar und März seien in vorläufigen Auswertungen nahe am Rekordniveau gewesen. Und: Der April sei so warm gewesen wie der bisher heißeste April seit dem Beginn der Aufzeichnungen - jener im Jahr 2016.

Allerdings habe es in diesem Jahr das Wetterphänomen El Nino gegeben, welches das Wetter durch hohe Wassertemperaturen im Pazifik stark beeinflusste und für hohe Temperaturen sorgte. In den kommenden Monaten sei nicht mit einem El Nino zu rechnen.

Die WMO warnt vor überdurchschnittlicher Hitze heuer übrigens nicht nur für Europa, sondern auch für die Tropen.

WMO: Klima ist Faktor im Kampf gegen Pandemie

Der WMO-Generalsekretär Petteri Taalas aus Finnland sagte: ""Im Covid-19-Zeitalter brauchen wir mehr denn je aussagekräftige Klimavorhersgen, denn die Temperaturen und die Niederschläge haben einen wesentlichen Einfluss auf die Wirtschaft und die Gesundheitssysteme, die durch die Pandemie in vielen Ländern am Rande des Zusammenbruchs stehen.""

Heimische Bauern leiden unter Dürre

Auch Österreich wird seit Jahresbeginn von ungewöhnlicher Trockenheit heimgesucht – dies hat bei den heimischen Bauern bereits zu Schäden geführt. Auf Futterwiesen, Sommergerste und Zuckerrüben wirke sich der fehlende Regen besonders negativ aus, sagte der Ackerbau-Experte der Landwirtschaftskammer Österreich, Andreas Pfaller, schon Ende April. Der erste Schnitt im Grünland werde daher ""deutlich geringer"" ausfallen.

Von Anfang März bis Ende April war im Norden und Süden Österreichs nicht einmal die Hälfte des üblichen Regens gefallen. Zugleich belasteten die vergleichsweise tiefen Nachttemperaturen im März und April das Pflanzenwachstum.

Im Jahr 2019 war der April auch sehr trocken, der Mai dann hingegen überdurchschnittlich feucht. Der kräftige Regen im Mai rettete im Vorjahr die Getreideernte.",0.5857,0.4951,rising temperatures,west nile virus,high_climate,yes,no,no,"Europe faces record heat in summer, WMO forecasts above-average temps",,
German,Germany,zeit.de,scrapai,5679,https://www.zeit.de/news/2026-03/09/expertin-meteor-hunderte-kilometer-entfernt-sichtbar,Zahlreiche Sichtungen: Expertin: Meteor Hunderte Kilometer entfernt sichtbar,"Eine hell leuchtende Feuerkugel am Himmel, die am Sonntagabend viele Menschen in Westdeutschland in Atem gehalten hat, ist einer Expertin zufolge auch aus großer Entfernung noch sichtbar gewesen. Hunderte Kilometer entfernt habe man sie noch sehen können, sagte Carolin Liefke, stellvertretende Leiterin am Haus der Astronomie in Heidelberg. Es habe auch Sichtungen in den Niederlanden, in Belgien, Frankreich oder der Schweiz gegeben.

Sie selbst habe den Himmelskörper zufälligerweise auch privat gesehen. Das sei «ein schönes Lichtspektakel» gewesen. Man habe ihn über mehrere Sekunden hinweg beobachten können, sagte Liefke.

In Koblenz (Rheinland-Pfalz) hatte ein Meteorit ein Hausdach beschädigt. An sich seien die Teile aber vollkommen ungefährlich, sagte Liefke. Es handele sich vereinfacht gesagt um ganz normale Steine - die aus dem Weltall kommen.

Meteoriteneinschlag passiert selten

Trifft ein Meteoroid aus dem All auf die Lufthülle der Erde, zerfällt er oft in viele kleine Stücke. Manche davon verglühen, andere landen auf der Erde. Diese Brocken nennt man Meteoriten. Meteoriten stammen nach Angaben von Experten meist aus dem Asteroidengürtel zwischen Mars und Jupiter und können mehrere Milliarden Jahre alt sein. Sie sind Überreste der Entstehung unseres Sonnensystems.

Meteoriteneinschläge auf der Erde sind sehr selten. In Deutschland fielen im April 2023 bei Elmshorn mehrere Teile eines Meteoriten zu Boden. Das größte Fragment war ein rund 3,7 Kilogramm schwerer Brocken, der von Wissenschaftlern untersucht und später ausgestellt wurde. Er galt damals als der schwerste gefundene Meteorit seit rund 100 Jahren in Deutschland.

© dpa-infocom, dpa:260309-930-789674/2",0.5170,0.5001,heatwave,west nile virus,high_climate,no,no,no,Meteor sightings across hundreds of kilometers,,
German,Germany,zeit.de,scrapai,19490,https://www.zeit.de/news/2026-01/30/von-schneechaos-bis-sonnenrekord-januar-voller-abwechslung,Wetter: Von Schneechaos bis Sonnenrekord – Januar voller Abwechslung,"Viel Schnee, Minusgrade - dann wieder warmes Tauwetter und viel Sonne: Der Januar zeigte sich im Freistaat zweigeteilt. Vor allem die Sonnenscheindauer habe in Süddeutschland außergewöhnlich hohe Werte erreicht, berichtet der Deutsche Wetterdienst (DWD) nach vorläufigen Auswertungen der Daten seiner bundesweit rund 2.000 Messstationen.

Mit rund 88 Sonnenstunden wurde demnach der klimatologische Mittelwert von 50 Stunden um 76 Prozent überschritten. Spitzenwerte von über 100 Stunden seien an den Alpen und im Alpenvorland registriert worden. Bayern wäre damit nach vorläufigen Auswertungen das sonnigste Bundesland im Januar gewesen.

Sehr kalt - und sehr warm: Temperatursprünge im Januar

Der Freistaat erlebte dabei große Temperatursprünge. Die durchschnittliche Temperatur habe zwar mit -1,9 Grad genau im klimatologischen Mittel gelegen, erläuterte der DWD. Das zeige aber nicht die hohe thermische Bandbreite des Monats. Am Dreikönigstag wurde in Oberstdorf mit -21,7 °C der auch bundesweit tiefste Januarwert registriert. Neun Tage später, am 15. Januar, lag der monatliche Höchstwert im oberbayerischen Wielenbach bei 14,2 Grad.

Obwohl es gefühlt viel schneite und es mehrfach zu einem Schneechaos mit Einschränkungen im Bahnverkehr, Unfällen auf Straßen und Schulschließungen kam, gab es mit 45 Litern pro Quadratmeter unterdurchschnittlich wenig Niederschlag, das klimatologischen Mittel liegt bei 66 Litern pro Quadratmeter.

© dpa-infocom, dpa:260130-930-619896/1",0.5398,0.4561,heatwave,extreme poverty,high_climate,yes,no,no,"Weather: from snow chaos to sun records, January full of contrasts",,
German,Austria,kurier.at,scrapai,14169,https://kurier.at/freizeit/mode-beauty/oekotest-vernichtendes-urteil-fuer-selbstbraeuner/400941209,Ökotest: Vernichtendes Urteil für Selbstbräuner,"Selbstbräuner sorgen zwar für sommerlichen Teint ohne Hautkrebsrisiko, enthalten aber laut dem Magazin Ökotest oft eine ganze Reihe problematischer Substanzen, allen voran Formaldehyd-Abspalter. In einer Untersuchung, über die die Arbeiterkammer Oberösterreich am Montag informierte, schnitten gerade einmal drei von 20 Produkten mit der Bewertung ""gut"" ab, elf hingegen mit ""ungenügend"".

Eines vieler Probleme: Formaldehyd

Das in Selbstbräunern eingesetzte Dihydroxyaceton sorgt für die Bräune, ist aber chemisch sehr instabil und zerfällt rasch. Dabei setzt es Formaldehyd frei. Dieses gilt als hautreizend und in der Atemluft sogar als krebsverdächtig. Formaldehyd selbst ist in der EU seit 2019 verboten, nicht aber Inhaltsstoffe, die es abspalten können.

In elf Produkten wurden Formaldehyd oder Formaldehyd-Abspalter gefunden, in ebenso vielen PEG bzw. PEG-Derivate, die die Haut durchlässiger für Fremdstoffe machen können. Auch bedenkliche Konservierungs- und Duftstoffe wurden nachgewiesen. Darüber hinaus gab es Punkteabzüge aus Umweltgründen für synthetische Polymere, die schwer abbaubar sind.

Experten raten, Selbstbräuner möglichst kühl zu lagern und rasch aufzubrauchen, denn Formaldehyd könne sich auch schon vor Ablauf der Mindesthaltbarkeitsfrist bilden. Zudem solle man stets bedenken, dass sie keinen Sonnenschutz darstellen.",0.5418,0.5039,ozone depletion,air pollution,high_climate,no,no,no,Eco-test: devastating verdict for self-tanning products - beauty,,
German,Austria,krone.at,scrapai,12594,https://www.krone.at/2075505,Trump: „Klimawandel ist ernst und kein Schwindel“,"Überhaupt sei Trump alleine schon vom Wort Umwelt fest überzeugt und wolle saubere Luft und sauberes Wasser, bevor er hinzufügte: „Ich möchte aber auch Jobs.“ Schon im Oktober 2018 sorgte der US-Präsident mit einem plötzlichen Sinneswandel für viel Aufmerksamkeit. Er zweifelte zwar nach wie vor an der menschlichen Verantwortung für den Klimawandel , bestritt die Erderwärmung aber zumindest nicht mehr. Umweltgesetz ändern, um mehr Jobs zu schaffen Zu den Aussagen kam es, als Trump im Weißen Haus Pläne ankündigte, das nationale Umweltgesetz ändern zu wollen, um es einfacher zu machen, Minen, Gaspipelines oder Autobahnen zu bauen. Laut dem derzeitigen Stand des Gesetzes müssen etwaige Pläne zunächst auf ihren Einfluss auf die Umwelt und das Klima geprüft werden. Diese „endlosen Verzögerungen“ seien eine Geldverschwendung und Projekte, die nicht zustande kämen, würden den amerikanischen Arbeitern die Chance auf Jobs nehmen. Trump ist für seinen Zickzackkurs in Klimafragen bekannt. Noch 2012 sorgte der damals noch als Immobilien-Tycoon und Fernsehpersönlichkeit in Erscheinung tretende Trump für viel Aufsehen, als er in einem Tweet das Wetter mit dem Klima verwechselte. Es könne keine Rede von globaler Erwärmung sein, wenn es doch in New York und New Jersey sehr kalt sei, teilte Trump damals via Twitter mit. Während das Wetter einen momentanen Zustand beschreibt, handelt es sich beim Klima um längere Zeiträume von Jahrzehnten bis hin zu erdgeschichtlichen Zeitaltern.",0.5440,0.4535,changing climate,extreme poverty,high_climate,yes,no,no,Trump: climate change is serious and not a hoax,,
German,Germany,zeit.de,scrapai,5631,https://www.zeit.de/news/2026-03/09/es-bleibt-sonnig-und-mild-in-nrw-temperaturen-bis-20-grad,Wetter: Es bleibt sonnig und mild in NRW - Temperaturen bis 20 Grad,"In Nordrhein-Westfalen bleibt es in der neuen Woche weiter mild, allerdings gibt es mehr Wolken als die letzten Tage und vereinzelte Schauer. Das teilte der Deutsche Wetterdienst (DWD) mit.

Am Montag liegen die Temperaturen demnach zwischen 17 und 20 Grad und es wird sonnig. Am Nachmittag und am Abend kann es in der Eifel einzelne Schauer geben. Vereinzelt wird es am Dienstagmorgen nebelig. In Tallagen des Sauerlandes kühlt es nachts noch auf null Grad ab, Bodenfrost ist möglich.

Dienstag und Mittwoch zeigt sich die Sonne zwar, es ist jedoch immer wieder bewölkt. Dabei liegen die Temperaturen, laut DWD, zwischen 12 und 18 Grad, wobei der Mittwoch etwas kühler wird. Es gibt immer wieder Schauer, teils auch Gewitter. Dabei weht ein böiger Wind.

Auch der Donnerstag bleibt weiter wechselhaft und windig, bei gleichen Temperaturen.

© dpa-infocom, dpa:260309-930-789234/1",0.5537,0.4823,heatwave,west nile virus,high_climate,yes,no,no,"Weather: sunny and mild in NRW, temperatures rising",,
German,Austria,kurier.at,scrapai,18566,https://kurier.at/freizeit/leben-liebe-sex/wie-man-jetzt-die-wohnung-moeglichst-kuehl-halten-kann/401415423,Wie man jetzt die Wohnung möglichst kühl halten kann,"Um rund zwei Grad hat sich in Wien in den vergangenen vier Jahrzehnten die Jahresdurchschnittstemperatur erhöht. Dies hat den Energiebedarf zur Kühlung deutlich steigen lassen. „Klimaanlagen sollten der letzte Ausweg sein“, sagt Sabine Seidl von der Umweltberatung. „Einerseits sind sie selbst für den Temperaturanstieg mit verantwortlich, weil die heiße Luft wieder an die Umgebung abgegeben wird. Und sie sind große Stromverbraucher.“

Bei „die umweltberatung“ rät man, es zunächst mit außen liegendem Sonnenschutz (Jalousien, Rollläden, Markisen) zu versuchen. „Da dieser die Sonnenstrahlung erst gar nicht in ein Gebäude hineinlässt, ist er effizienter als eine innen liegende Beschattung.“ In Wien etwa wird im mehrgeschoßigen Wohnbau eine Außen-Verschattung mit 50 Prozent der Anschaffungskosten gefördert, max. aber 1.500 Euro pro Wohnung.

Gute Sonnenschutzfolien können laut Stiftung Warentest die Raumtemperatur deutlich senken, stark reflektierende Folien dunkeln allerdings ab und sind „vor allem für stark überhitzte Räume im Dachgeschoß“ geeignet. Auf vertikalen Fenstern sind hingegen weniger stark reflektierende Folien die bessere Wahl: „Sie spiegeln nicht so stark und stören Gegenüberwohnende weniger.“ Trotzdem hielten sie 55 bis 60 Prozent der Sonnenenergie ab. Bei der Umweltberatung verweist man aber darauf, dass solche Folien das Spektrum der einfallenden Sonnenstrahlen verändern und es zu Störungen des Tag-Nacht-Rhythmus kommen könnte.

Bei den Raumklimageräten gibt es zwei Varianten:

Mobile Monoblockgeräte

Innenraumluft wird angesaugt, ein Teil abgekühlt und abgegeben. Die restliche warme Luft wird über einen Schlauch, der in ein halb geöffnetes Fenster geklemmt wird, nach draußen geblasen. Dadurch sind diese günstigeren Geräte aber wesentlich ineffizienter als Splitgeräte. Und: „Einen Temperatursturz darf man sich allerdings nicht erwarten“, schreibt das Testmagazin Konsument. „Die Leistung reicht nur für kleine Räume mit rund 16 bis 20 Quadratmetern Fläche.“

Gefahr bei Gasthermen

Monoblockgeräte können an Tagen mit mehr als 30 Grad in Wohnungen mit einer Gastherme zur tödlichen Gefahr werden. Bei hohen Temperaturen kann es im Kamin zu einem Abgasrückstau kommen. Dadurch, dass die warme Luft nach außen geleitet wird, das Gerät aber Frischluft benötigt, entsteht ein Unterdruck – „Kohlenmonoxid kann so vom Kamin in die Wohnung gesaugt werden“, warnt der Verein für Konsumenteninformation (VKI).

Splitgeräte

Sie bestehen aus je einem fix verbauten Innen- und Außengerät, die von Fachleuten installiert werden. Sie funktionieren ähnlich wie Kühlschränke mit Kühlmittel, das Wärme im Innenraum aufnimmt und nach außen abgibt. Das Kältemittel mit dem geringsten klimaschädigenden Potenzial ist laut VKI R290 (Propan).

Am schnellsten einsetzbar ist der Ventilator (siehe u.), der „ein Gefühl von Kühle auf der Haut erzeugt“, wie Seidl sagt. Ist der auch nicht verfügbar, bleibt ein Lowtech-Tipp: „Füße in ein Schaffel kaltes Wasser stellen.“

Klimaanla...",0.5171,0.4670,heatwave,undernourishment,high_climate,yes,no,no,How to keep apartment cool during heat - adaptation,,
German,Austria,kurier.at,scrapai,7289,https://kurier.at/wissen/wissenschaft/wann-klimawandel-migration-verstaerkt/401031485,Wann Klimawandel Migration verstärkt,"KURIER: Ob der Klimawandel sich auf die Migration auswirkt, ist sehr umstritten. Warum?

Hoffmann: Weil es selbst von Seiten der Forschung viele Unsicherheiten gibt, wie sich das alles künftig verändern wird. Und auch, weil Klimaveränderungen mitunter zu einer Verringerung der Migration führen können, wird das Thema kontrovers diskutiert. Wir konnten zum Beispiel zeigen, dass Menschen oft gar nicht mehr die Möglichkeit haben, zu flüchten. Daher ist so eine Metastudie auch so wichtig.

Metastudie?

Ja, wir haben 30 Studien analysiert und die Essenz herausgeholt. Sie decken die ganze Welt ab. Und ja, ein großer Teil der Studien zeigt einen Zusammenhang zwischen Klimawandel und Migration. Aber es gibt keinen Automatismus. Nicht jede Umweltveränderung, die stattfindet, gibt Migrationstendenzen einen direkten Impuls. Und nicht jede Klimaveränderung mündet in Flüchtlingswellen. Es hängt stark vom Kontext ab. Migration ist ein multikausaler Prozess.

Sie schreiben: Ob Menschen aufgrund von Dürren, Stürmen oder Flutkatastrophen flüchten, hängt auch vom Wohlstandsniveau eines Landes sowie sozio-politischen Faktoren ab. Heißt was?

Wenn wenig Wohlstand vorhanden ist, fehlen oft die Ressourcen, die für Migration, insbesondere über Ländergrenzen hinweg, notwendig sind.

Manche Menschen sind also zu arm, um zu flüchten?

Richtig. Das ist eine der Erkenntnisse. Wohlstand spielt eine Rolle, und unsere Daten deuten darauf hin, dass wir weniger Migration sehen, wenn Menschen sehr, sehr arm sind, aber auch dann, wenn sie wohlhabend sind. In Ländern im mittleren Einkommensbereich erkennt man am ehesten Zusammenhänge zwischen Migration und Klima.

Eine Untersuchung britischer Forscher ergab dieser Tage, dass im Jahr 2050 der Lebensraum von mehr als einer Milliarde Menschen auf der Welt bedroht sein könnte. 31 Staaten wurden von den Wissenschaftern als nicht widerstandsfähig genug eingestuft, um die ökologischen und politischen Veränderungen der kommenden Jahrzehnte zu schultern. Was ist von derartigen Prognosen zu halten?

Wir hatten schon die ganze Woche weltweit kontroverse Diskussionen darüber. Was die Anzahl der Menschen betrifft, die sich auf den Weg machen werden – da wäre ich sehr, sehr vorsichtig. Der ganze Ansatz der Studie ist falsch und geht von falschen Zahlen aus. Die Größenordnung dürfte bei mehreren hundert Millionen liegen, besagen einige Untersuchungen. Wichtiger als alles auf eine Zahl herunterzubrechen, ist es aber, die Situation zu verhindern, die Klimaflucht auslöst. Und politische Fragen zu diskutieren. Es gilt, den Betroffenen durch geeignete politische Maßnahmen zu helfen, auch durch bessere Rahmenbedingungen für Migranten. Der beste Weg, um Menschen vor den Auswirkungen des Klimawandels zu schützen, ist diesen heute zu verhindern.

In Ihrer Studie widmen Sie sich auch den Rückkehrern. Welche Rolle spielen die?

Oft handelt es sich bei Umweltmigration um Flucht innerhalb von Ländergrenzen. Wie nach dem Hurrikan Katrina 2005. Umweltmigration i...",0.5597,0.5138,changing climates,undernourishment,high_climate,yes,no,no,When climate change intensifies migration,,
