language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Danish,health,0.5800,0.0400,0.5774,no,0.5099,0.5774,undernourishment,climate actions,undernourishment,berlingske_dk,Aktier jubler over den amerikanske centralbank – det er »whatever it takes« på speed,https://www.berlingske.dk/oekonomi/aktier-jubler-over-den-amerikanske-centralbank--det-er-whatever-it-takes-paa-speed,8506,825
Danish,health,0.5800,0.0400,0.5779,no,0.4996,0.5779,undernourishment,heatwave,undernourishment,berlingske_dk,Nyt boliglån for feinschmeckere til en rente på nul procent: »Det er helt vildt«,https://www.berlingske.dk/business/nyt-boliglaan-for-feinschmeckere-til-en-rente-paa-nul-procent-det-er-helt-vildt,8506,825
Danish,health,0.5800,0.0400,0.5787,no,0.5187,0.5787,undernourishment,rising temperatures,undernourishment,berlingske_dk,16-årige Carlos drikker mere end 10 genstande til fester. Han tror ikke på forslag om at hæve alkoholpriserne,https://www.berlingske.dk/indland/16-aarige-carlos-drikker-mere-end-10-genstande-til-fester-han-tror-ikke-paa-forslag-om-at-haeve-alkoholpriserne,8506,825
Danish,health,0.5800,0.0400,0.5787,no,0.5283,0.5787,casualties,climate crisis,casualties,berlingske_dk,Jura-ekspert: Paludan kan straffes for udtalelser om at »klargøre våben og øve sig på at ramme«,https://www.berlingske.dk/indland/jura-ekspert-paludan-kan-straffes-for-udtalelser-om-at-klargoere-vaaben-og-oeve-sig-paa-at-ramme,8506,825
Danish,health,0.5800,0.0400,0.5788,no,0.5494,0.5788,chikungunya,climate crisis,chikungunya,berlingske_dk,Jacob Mchangama: »Det her med at dele folk op i hudfarver er dybt skadeligt for sagen«,https://www.berlingske.dk/indland/jacob-mchangama-det-her-med-at-dele-folk-op-i-hudfarver-er-dybt-skadeligt-for-sagen,8506,825
Danish,health,0.5800,0.0400,0.5794,no,0.5191,0.5794,west nile virus,heatwave,west nile virus,berlingske_dk,Novo ville angribe rival: Nu svarer schweizisk gigant igen med milliardopkøb i USA,https://www.berlingske.dk/virksomheder/novo-ville-angribe-rival-nu-svarer-schweizisk-gigant-igen-med-milliardopkoeb-i-usa,8506,825
Danish,health,0.5800,0.0400,0.5798,no,0.5228,0.5798,undernourishment,climate crisis,undernourishment,berlingske_dk,"»Der er kun en krig, som Kina forbereder sig på«: Striden om Huawei handler om mere end spionage",https://www.berlingske.dk/internationalt/der-er-kun-en-krig-som-kina-forbereder-sig-paa-striden-om-huawei-handler-om-mere-end-spionage,8506,825
Danish,health,0.5800,0.0400,0.5799,no,0.5537,0.5799,casualties,extreme events,casualties,berlingske_dk,"Hos Knausgård er hverdagen det uhyggeligste, der findes",https://www.berlingske.dk/litteratur/hos-knausgaard-er-hverdagen-det-uhyggeligste-der-findes,8506,825
Danish,health,0.5800,0.0400,0.5803,YES,0.5553,0.5803,undernourishment,climate crisis,undernourishment,berlingske_dk,"Derfor er din medicin forsvundet fra hylderne: Orkaner, brand og cyberangreb bag boom i sager om forsyningssvigt",https://www.berlingske.dk/indland/derfor-er-din-medicin-forsvundet-fra-hylderne-orkaner-brand-og-cyberangreb-bag-boom-i-sager-om-forsyningssvigt,8506,825
Danish,health,0.5800,0.0400,0.5805,YES,0.5240,0.5805,casualties,climate crisis,casualties,berlingske_dk,Bag lukkede døre forhandler partierne om et bedre liv for en ung dreng på Sjælsmark: Men deres forslag gør ham mere trist,https://www.berlingske.dk/politik/bag-lukkede-doere-forhandler-partierne-om-et-bedre-liv-for-en-ung-dreng-paa-sjaelsmark-men-deres-forslag-goer-ham-mere-trist,8506,825
Danish,health,0.5800,0.0400,0.5807,YES,0.5345,0.5807,undernourishment,global heating,undernourishment,berlingske_dk,Balancen skal holdes i den amerikanske centralbank,https://www.berlingske.dk/oekonomi/balancen-skal-holdes-i-den-amerikanske-centralbank,8506,825
Danish,health,0.5800,0.0400,0.5810,YES,0.5236,0.5810,undernourishment,climate crisis,undernourishment,berlingske_dk,Banker vil dele kundeoplysninger i fortroligt rum med myndigheder,https://www.berlingske.dk/virksomheder/banker-vil-dele-kundeoplysninger-i-fortroligt-rum-med-myndigheder,8506,825
Danish,health,0.5800,0.0400,0.5813,YES,0.5296,0.5813,undernourishment,climate crisis,undernourishment,berlingske_dk,"Kommentar: Boykot bare Coca-Cola. Men stå ved, at du bare vil pudse din egen tvivlsomme glorie",https://www.berlingske.dk/kulturkommentar/kommentar-boykot-bare-coca-cola-men-staa-ved-at-du-bare-vil-pudse-din-egen-tvivlsomme-glorie,8506,825
Danish,health,0.5800,0.0400,0.5817,YES,0.5365,0.5817,undernourishment,temperature rises,undernourishment,berlingske_dk,Novozymes-chef: Lavere skatteregning end ventet ligger bag opjustering,https://www.berlingske.dk/virksomheder/novozymes-chef-lavere-skatteregning-end-ventet-ligger-bag-opjustering,8506,825
Danish,health,0.5800,0.0400,0.5823,YES,0.5498,0.5823,undernourishment,temperature rises,undernourishment,berlingske_dk,Analytikere: Derfor går Nationalbanken mod strømmen og hæver renten,https://www.berlingske.dk/oekonomi/analytikere-derfor-gaar-nationalbanken-mod-stroemmen-og-haever-renten,8506,825
Danish,health,0.5800,0.0400,0.5824,YES,0.5396,0.5824,undernourishment,global heating,undernourishment,berlingske_dk,Verdens fattige vil også være med – forbruget af olie står til kraftig stigning,https://www.berlingske.dk/oekonomi/verdens-fattige-vil-ogsaa-vaere-med--forbruget-af-olie-staar-til-kraftig-stigning,8506,825
