language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Finnish,Finland,iltalehti.fi,scrapai,3184,https://www.iltalehti.fi/autouutiset/a/3c502301-6463-4f26-8e09-df3adfb0ed6b,Alpine A110R ja A110 E-ternité,"AutouutisetÄärimmäinen urheiluauto: Alpine kevenee ja sähköistyyRenaultin urheiluauto-osasto Alpine esitteli Pariisin autonäyttelyssä äärimmilleen kevennetyn A110R:n, mutta myös kiinnostavan A110 E-ternitén.Alpinen A110 E-ternité on toistaiseksi vain konsepti, mutta äärettömän mielenkiintoinen sellainen. ARTTU TOIVONENArttu Toivonensunnuntai 23.10.2022 klo 20:17Lue myösRanskalaiset ovat tekemässä jotain upeaa – Pieni sähkösportti haastaa Porsche Caymanin ja BoxsterinAutouutiset11.12.2025 16:17Salaisuuden saa vihdoin paljastaa: Legendaarinen automerkki tulee SuomeenAutouutiset13.6.2024 13:45Mitä ihmettä? Kuvan sähköauto ei olekaan RenaultSähköautot28.7.2023 11:06Nämä autot säilyttävät parhaiten arvonsa – brittilehti listasiAutouutiset22.5.2021 17:01Pariisin autonäyttely alkoi – tässä ovat odotetut uutuudetAutouutiset17.10.2022 13:53",0.5258,0.5514,heatwave,west nile virus,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,7329,https://www.iltalehti.fi/iltvuutiset/a/47e7a894-7a2c-4b87-8998-ab4ff3369463,Ennätykset paukkuvat – Japanissa on satanut valtavasti lunta,"IL-TV UutisetEnnätykset paukkuvat – Japanissa on satanut valtavasti luntaLunta on satanut kymmenistä senteistä lähes kahteen metriin.Katso videolta, miltä lumitilanne näyttää Yuzawan kaupungissa. ReutersJenni GästgivarMagnus Brunnsbergtiistai 28.12.2021 klo 12:48 (päivitetty 28.12.2021 klo 21:35)Lue myösJari ikuisti upean hetken Lapin luonnossa täysikuun alla: ”Ei työolosuhteet voi juuri parantua”IL-TV Lukijan videot25.12.2021 9:14Venäläismies kuvasi kontrolloidun lumivyöryn ikkunastaan – pöllyävä lumi nielaisi koko naapurustonIL-TV Uutiset26.12.2021 22:40Kuvat: Japaniin nousi lumesta veistetty Helsingin tuomiokirkko - hämmästyttävän aidon näköinenUlkomaat4.2.2019 19:16",0.5449,0.5398,heatwave,casualties,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,3477,https://www.iltalehti.fi/ulkomaat/a/1ceffdba-4ded-45e2-b829-5def4a1a7ba8,YK:n Guterres ilmastokriisistä: Ihmiskuntaa uhkaa ”kollektiivinen itsemurha”,"UlkomaatMeteorologit varoittavat Euroopan helteestä – YK:n Guterres: Ihmiskuntaa uhkaa ”kollektiivinen itsemurha”Maastopaloja on syttynyt ympäri Eurooppaa viimeisen vuorokauden aikana.Maastopalojen sammutustyöt jatkuvat Ranskassa. CNNJari Himanentiistai 19.7.2022 klo 5:50Lue myösSuomalainen Sara Britannian kammohelteessä: ”Näppäimistö ja hiiri on liimautunut käteen kiinni”Ulkomaat19.7.2022 23:06Espanja velloo hirvittävässä pätsissä – Lähes 40 asteen paahde sytyttää maastoa tuleenUlkomaat24.4.2023 22:57Vaaralliset hirmuhelteet piinaavat Eurooppaa – maastopalot roihuavat jo kolmessa maassaUlkomaat14.7.2022 3:07Aurinkorannikolla evakuoitu 2 300 ihmistä rajun maastopalon alta, paikalla myös suomalaisiaUlkomaat15.7.2022 23:12Hirmuhelteet runnovat Eurooppaa – ”Tunnelma on kuin maailmanlopun jäljiltä”Ulkomaat16.7.2022 15:53",0.5608,0.5325,climate emergencies,west nile virus,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,18804,https://www.iltalehti.fi/iltvviihde/a/37fc0fdb-573d-4e17-a96e-574c96b504c9,Poliitikko Doug Ford nielaisi ampiaisen kesken tiedotustilaisuuden,"IL-TV ViihdeKanadalaispoliitikko nielaisi ampiaisen kesken tiedotustilaisuuden: ""Siellä alhaalla se pörisee”Ampiainen häiritsi virallista tiedotustilaisuutta ja lensi suoraan Doug Fordin suuhun.Katso videolta, miten ampiainen häiritsi tiedotustilaisuutta. ReutersMinea Nurmimaanantai 15.8.2022 klo 18:22Lue myösMeteorologi kertoi rankoista sääolosuhteista – pian vettä tulvi studiossakin: ”Se tapahtui niin nopeasti”IL-TV Uutiset24.9.2022 22:06Kanadalaisilla erikoinen ongelma: hyönteiset lentävät kurkkuun kesken tv-lähetyksenIL-TV Viihde2.9.2022 17:34Mies pelastettiin ampiaisilta TampereellaKotimaa16.8.2022 19:44Painajaismainen näky: 10 000 mehiläisen yhdyskunta pesi amerikkalaisnaisen kodin kattoonIL-TV Uutiset2.5.2021 12:40Kuin kauhuelokuvasta – mehiläisparvi valtasi terassikahvilan KauppatorillaIL-TV Lukijan videot17.7.2022 21:39",0.5239,0.5636,heatwave,west nile virus,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,22780,https://www.iltalehti.fi/ulkomaat/a/80229f0e-40e6-4ca5-80d6-816cd2f66f8c,Venäjän mediassa leviää outoja teorioita Slovakian pääministerin ampumisesta,"UlkomaatVenäjän mediassa leviää outoja teorioita Slovakian pääministerin ampumisestaVenäjän media väittää, että Ficon salamurhayrityksen jäljet johtaisivat Yhdysvaltoihin. Slovakian pääministeri kiidätettiin helikopterilla sairaalaan. JOJ, ReutersMarikki Nykänenkeskiviikko 15.5.2024 klo 22:07Lue myösNäkökulma: Eurooppa pelkää Sarajevon laukauksia – Ficon murhayritys osuu pirulliseen hetkeenPolitiikka16.5.2024 10:56Matti Vanhanen kertoo Robert Ficon valtavasta muutoksesta – Järkyttyi tuttavansa ampumisestaPolitiikka15.5.2024 20:34Slovakian pääministeriä ammuttiinUlkomaat15.5.2024 23:51Putin kommentoi Ficon ampumista: ”Hirviömäinen rikos”Ulkomaat15.5.2024 19:34Ficon murhayrityksestä syytetty oikeuden eteen lauantaina – Tämä ampumisesta tiedetään nytUlkomaat17.5.2024 18:23",0.5353,0.5927,heatwave,west nile virus,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,12638,https://www.iltalehti.fi/elamanvoima/a/32f4cfa9-8644-493f-87ac-3b21b0407b30,"Tapa, josta kannattaisi hankkiutua eroon: torkuttaminen on haitallista","ElämänvoimaTapa, josta kannattaisi hankkiutua eroon: torkuttaminen on haitallistaYritä herätä ensimmäisellä herätyskellon soitolla. Vaikka se tuntuisikin mahdottomalta. MostphotosNoora Vilensunnuntai 21.10.2018 klo 20:00Lue myösKaikki mitä sinun tarvitsee tietää kirkasvalolampuista - ota nämä seikat huomioon ostoksilla!Elämänvoima1.11.2018 19:12Superiltapala auttaa painonhallinnassa ja nukkumisessa: helppo ja halpa - makukin on parasta lohturuokaa!Elintavat15.11.2019 20:10Unettomuus on naisten tauti - siihen on syyHyvä olo21.11.2017 18:45",0.5368,0.5572,extreme event,extreme poverty,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,10491,https://www.iltalehti.fi/ulkomaat/a/cab85c56-8e9c-4c3c-bf22-4036b4c80c1f,Greta Thunberg peruu osallistumisensa kirjafestivaalille fossiilienergiaan sijoittavan sponsorin vuoksi,UlkomaatGreta Thunberg peruu osallistumisensa kirjafestivaalille fossiilienergiaan sijoittavan sponsorin vuoksiThunberg kritisoi kulttuuritapahtumien mahdollistavan yritysten viherpesun. Thunberg Kiovassa kesäkuun lopulla. AOPAli Isokangasperjantai 4.8.2023 klo 22:55Lue myösGreta Thunbergistä leviää härski deepfake-videoUlkomaat25.11.2023 10:50Greta Thunberg jatkoi virkavallan uhmaamista – Otettiin kiinni vain pari tuntia edellisen tuomion jälkeenUlkomaat24.7.2023 16:41Kolumni: Lentämisen moralisointi on ilmastotyön typerin oma maaliKotimaa2.8.2023 9:41Ukrainan Zelenskyiltä merkittävä tunnustus Heidi Hautalalle ja Greta ThunbergilleUlkomaat30.6.2023 10:54,0.5376,0.5422,climate crisis,casualties,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,8934,https://www.iltalehti.fi/sahkoautot/a/1050a8bc-2c5a-4a46-b6af-725dc9d535c7,Karmea ketjureaktio uhkaa kaataa eurooppalaisen autovalmistajan,"SähköautotKarmea ketjureaktio uhkaa kaataa eurooppalaisen autovalmistajanCupran toimitusjohtajan mukaan koko automerkki on vaarassa, jos EU:n kanssa ei päästä ratkaisuun. Formentor on ollut Cupran myydyin malli. Pentti RönkköJaakko Isoniemitorstai 5.9.2024 klo 5:30Lue myösOnko Seatin tulevaisuus vaarassa? VW: ""Emme ole tappamassa sitä""Autouutiset28.10.2022 10:46Teslan hinta ei pomppaakaan – Jättitullit peruttuSähköautot21.8.2024 11:14Halvat sähköautot tulevat – VW-pomo: ”Alle 20 000 euroa on Mestarien liiga”Sähköautot17.4.2023 5:31Nyt on aggressiivisen näköinen sähköauto – Pimeässä loistava keulamerkki kruunaa kokonaisuudenAutouutiset24.4.2023 14:22Näkökulma: Kiinalainen sähköauto tulee, oletko valmis?Sähköautot13.9.2023 10:51",0.5427,0.5703,heatwave,west nile virus,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,19448,https://www.iltalehti.fi/ulkomaat/a/b6b217d8-3582-4760-b441-aed150488dbe,Yli 1 700 vuotta vanha Raamatun ”kadonnut luku” on käännetty,"UlkomaatYli 1 700 vuotta vanha Raamatun ”kadonnut luku” on käännettyKyseisen Raamatun syyrialaisen käännöksen uskotaan olevan yli 1 700 vuotta vanha eikä sitä ole aiemmin käännetty.Itävaltalaistutkija analysoi keskiaikaista pergamenttia uv-valon avulla. Kuvituskuva. AOPAtte Lehtonentorstai 13.4.2023 klo 5:18Lue myösTuhat vuotta vanha Raamattu myytiin 38 miljoonalla dollarillaUlkomaat19.5.2023 4:11Tiesitkö? Tuonela on oikeasti olemassa – Pakkasta 235 °C ja ilma sataa jäätyneenä taivaalta alasUlkomaat25.3.2023 20:31Testaa, mikä Raamatun vitsaus koettelisi juuri sinua!Kotimaa9.4.2023 11:43Tämä on Suomen ensimmäisen Raamatun lähtöhintaKotimaa14.3.2023 10:50",0.5239,0.5530,heatwave,west nile virus,high_climate,,,,,,
Finnish,Finland,iltalehti.fi,scrapai,7987,https://www.iltalehti.fi/ulkomaat/a/130909ce-dfb7-4236-9a10-f4c6dc00c120,Ukrainan sodan tapahtumat 21.1.2023,"UlkomaatUkrainan sota, päivä 332: Saksa kohtaa kritiikkiä, Venäjä väittää edenneensä ZaporižžjassaTähän juttuun on koottu Ukrainan sodan tärkeimmät tapahtumat lauantailta.Kuvassa saksalainen Leopard 2 -panssarivaunu Grafenwöhrissä Saksassa kesäkuussa 2018. AOP/ABACA/ShutterstockTekijät (3)lauantai 21.1.2023 klo 23:04Lue myösUkrainan sota, päivä 333: Leopard-keskustelu kiihtyy, Saksa tekee asepäätöksiä ”yhdessä liittolaisten kanssa”Ulkomaat22.1.2023 23:00Venäjän omistaman RT Francen tilit jäädytettiin – Venäjä uhkaa Ranskaa kostotoimillaUlkomaat22.1.2023 1:27Ukrainan sota, päivä 331: Saksa ei luvannut Leopardeja, rajut tiedot ukrainalaistappioistaUlkomaat20.1.2023 23:11",0.5455,0.5930,heatwave,west nile virus,high_climate,,,,,,
