language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Slovak,Slovakia,cas.sk,scrapai,270386,https://www.cas.sk/sport/tenis/prekvapive-zavahanie-dvoch-favoritiek-na-australian-open-koncia-pred-branami-osemfinale,Prekvapivé zaváhanie dvoch favoritiek: Na Australian Open končia pred bránami osemfinále!!,"Češka Karolína Plíšková nasadená ako druhá prehrala s Ruskou Anastasiou Pavľučenkovovou v dvoch tajbrejkoch 6:7 (4), 6:7 (3). Šestka Belinda Benčičová zo Švajčiarska podľahla Estónke Anett Kontaveitovej prekvapujúco hladko 0:6, 1:6.

Ďalej sa však prebojovala štvorka ""pavúka"" Simona Halepová z Rumunska, ktorá vyradila Kazašku Juliu Putincevovú 6:1, 6:4.

Najvyššie nasadený španielsky tenista Rafael Nadal postúpil do osemfinále dvojhry na grandslamovom turnaji Australian Open v Melbourne. V sobotnom stretnutí 3. kola si víťaz podujatia z roku 2009 poradil s krajanom Pablom Carrenom-Bustom za 101 minút 6:1, 6:2, 6:4.

Päťka ""pavúka"", Rakúšan Dominic Thiem vyradil Taloyra Fritza z USA 6:2, 6:4, 6:7 (5), 6:4. Francúz Gael Monfils nasadený ako desiaty zdolal Lotyša Ernestsa Gulbisa 7:6 (2), 6:4, 6:3.

dvojhra - muži - 3. kolo:

Gael Monfils (10-Fr.) - Ernests Gulbis (Lot.) 7:6 (2), 6:4, 6:3, Dominic Thiem (5-Rak.) - Taylor Fritz (29-USA) 6:2, 6:4, 6:7 (5), 6:4, Rafael Nadal (1-Šp.) - Pablo Carreno-Busta (27-Šp.) 6:1, 6:2, 6:4, Andrej Rubľov (17-Rus.) - David Goffin (11-Belg.) 2:6, 7:6 (3), 6:4, 7:6 (4)

dvojhra - ženy - 3. kolo:

Angelique Kerberová (17-Nem.) - Camila Giorgiová (Tal.) 6:2, 6:7 (4), 6:3, Anastasia Pavľučenkovová (30-Rus.) - Karolína Plíšková (2-ČR) 7:6 (4), 7:6 (3), Iga Swiateková (Poľ.) - Donna Vekičová (19-Chor.) 7:5, 6:3, Anett Kontaveitová (Est.) - Belinda Benčičová (6-Švaj.) 6:0, 6:1, Simona Halepová (4-Rum.) - Julia Putincevová (Kaz.) 6:1, 6:4, Elise Mertensová (16-Belg.) - Catherine Bellisová (USA) 6:1, 6:7 (5), 6:0",0.4956,0.5490,heatwave,west nile virus,high_climate,no,no,no,Australian Open tennis results,,
Slovak,Slovakia,cas.sk,scrapai,82257,https://www.cas.sk/spravy/politika/prezidentka-prehovorila-na-klimatickej-konferencii-ludstvo-sa-ruti-do-priepasti,Prezidentka prehovorila na klimatickej konferencii: Ľudstvo sa rúti do priepasti,"""Koľko klimatických podujatí ešte potrebujeme, aby sme zabránili voľnému pádu do tejto priepasti?"" pýtala sa účastníkov konferencie. Ako pokračovala, počet katastrof súvisiacich s počasím počas uplynulých štyroch desaťročí stúpol takmer trojnásobne. ""Každých päť sekúnd niekto predčasne zomrie v dôsledku znečistenia. Ak neurobíme nič, onedlho to budú každé štyri sekundy,"" varovala.

Podľa nej 88 percent chorôb v dôsledku klimatických zmien vo svete v súčasnosti postihuje deti do piatich rokov. ""Dokedy ešte chceme škodiť budúcim generáciám?"" pýtala sa a zdôraznila, že účinné riešenia na zmiernenie dôsledkov klimatickej krízy sú už teraz dostupné v podobe technológií aj zdrojov.

""Naše snahy musia byť ambiciózne, kolektívne a univerzálne,"" vyhlásila. Upozornila, že podľa vedcov musí množstvo emisií vo svete vyvrcholiť do roku 2025. Účastníkov informovala, že Slovensko v produkcii emisií už dosiahlo svoj vrchol a v roku 2030 ich bude produkovať o 55 percent menej než v roku 1990. SR v nasledujúcich siedmich rokoch preinvestuje päť percent HDP z verejných zdrojov na dekarbonizáciu hospodárstva a spoločnosti. Na konci tohto roka Slovensko prestane používať uhlie na výrobu elektriny a do troch rokov ho postupne vyradí aj z produkcie tepla.

Celkovo 85 percent elektriny na Slovensku sa už teraz vyrába s nulovými emisiami, pričom SR chce tento podiel do roku 2025 zvýšiť na 90 percent. Do roku 2030 má elektrina vyrobená z obnoviteľných zdrojov na Slovensku predstavovať 29 percent, povedala Čaputová s tým, že SR k riešeniu klimatickej krízy pristupuje zodpovedne.",0.5333,0.5156,climate crisis,extreme poverty,high_climate,yes,yes,yes,"President at climate conference: humanity rushing toward abyss, weather disasters tripled",Every 5 seconds someone dies prematurely from pollution,Climate disasters and pollution directly causing premature deaths
Slovak,Slovakia,cas.sk,scrapai,175972,https://www.cas.sk/spravy/zahranicne-spravy/znizovanie-sklenikovych-plynov-je-pre-vladu-prioritou-zasadne-vyhlasenie-noveho-zelandu,Znižovanie skleníkových plynov je pre vládu prioritou: Zásadné vyhlásenie Nového Zélandu,"Ako píše agentúra Reuters, táto ostrovná krajina oznámila svoje ambicióznejšie klimatické ciele len niekoľko hodín pred začiatkom klimatickej konferencie OSN v škótskom Glasgowe (COP26). Novozélandská vláda pôvodne plánovala znížiť do roku 2030 emisie skleníkových plynov o 30 percent oproti hodnotám z roku 2005.

""Aj keď sme malým prispievateľom ku globálnym emisiám, ako krajina obklopená oceánmi a ekonomika závislá od pôdy nie sme imúnni voči vplyvu klimatických zmien, a preto je dôležité, aby sme prispeli svojím dielom,"" uviedla Ardernová v spoločnom vyhlásení s ministrom pre klimatické zmeny Jamesom Shawom. ""Navýšenie príspevku Nového Zélandu ku globálnemu úsiliu v boji proti klimatickým zmenám teraz predstavuje náš spravodlivý podiel a je v súlade s tým, čo je potrebné, ak sa chceme vyhnúť najhorším vplyvom globálneho otepľovania na Nový Zéland,"" dodala predsedkyňa vlády.",0.5590,0.5178,climate action,extreme poverty,high_climate,yes,no,no,"New Zealand greenhouse gas reduction, climate goals before COP26",,
Slovak,Slovakia,cas.sk,scrapai,602640,https://www.cas.sk/ostatne/vitaz-ms-v-hokeji-krava-cooly,Víťaz MS v hokeji? Krava Cooly!,"Víťaz MS v hokeji? Krava Cooly!11. 5. 2009, 0:00 (aktualizované: 25. 5. 2020, 14:15)Zdroj: youtubeReklamaLogo Nový ČasLogo Nový ČasRedakcia Nový ČasAutor: © Nový ČasZdieľaťDiskusia (0)Krátke videáLukáš Hrošovský o schválenej liečbe ministerstvom zdravotníctvaPolícia zadržala humanoidného robota! Čoho sa dopustil?Na Oscaroch hrkali kosti: Nicole Kidman a Demi Moore sú chudé ako paličkyNová kapitola slovensko-českej spolupráce: Raši a Okamura sa stretli na symbolickom miesteZlaté pisoáre na Úrade vlády? Holečková kritizuje sumu: Gedra ju pozýva na návštevuLaura z Ruže pre nevestu: Vojna s Kollárom! Boris, spamätaj sa! Toto som si nezaslúžilaSúperka ju dostala: Shiffrinová po pretekoch neudržala slzyArtur Štaidl spomína na mamu Ivetu Bartošovú: Takto mu v súkromí pripravovala oslavy narodenín",0.4921,0.5315,heatwave,zika,high_climate,no,no,no,Cow predicts hockey World Cup winner - humor,,
Slovak,Slovakia,cas.sk,scrapai,196279,https://www.cas.sk/spravy/domace-spravy/vychodne-slovensko/vietor-moze-znova-ukazat-svoju-silu-vydali-vystrahy-pre-tieto-okresy-a-to-nie-je-vsetko-co-hrozi,"Vietor môže znova ukázať svoju silu: Vydali výstrahy pre tieto okresy! A to nie je všetko, čo hrozí","Vietor môže znova ukázať svoju silu: Vydali výstrahy pre tieto okresy! A to nie je všetko, čo hrozí
18. 2. 2022, 8:14
Na severe Slovenska sa môže v piatok vyskytnúť vietor na horách. V noci môže dosiahnuť rýchlosť od 135 do 160 kilometrov za hodinu. Slovenský hydrometeorologický ústav (SHMÚ) preto vydal výstrahu prvého aj druhého stupňa.
V niektorých okresoch hrozia povodne z topenia snehu. Informuje o tom na svojom webe.
Pred vetrom na horách si treba dať pozor v okresoch Poprad, Brezno, Liptovský Mikuláš, Banská Bystrica, Ružomberok, Turčianske Teplice, Martin, Žilina, Dolný Kubín, Námestovo a Tvrdošín. Výstraha prvého stupňa platí do 22.00 h, druhý stupeň do soboty poobedia.
Výskyt vetra s rýchlosťou 45 kilometrov za hodinu očakávajú meteorológovia od 19.00 h. Výstrahu prvého stupňa preto vydali pre okresy Námestovo, Tvrdošín a Kežmarok.
Povodne z topenia snehu hrozia v okresoch Žilina, Martin, Ružomberok, Čadca, Kysucké Nové Mesto, Námestovo, Dolný Kubín, Tvrdošín, Bánovce nad Bebravou, Michalovce a Sobrance. Pre tieto oblasti platí výstraha prvého stupňa, pre okres Turčianske Teplice vydalo SHMÚ výstrahu druhého stupňa.
""Vzhľadom na existujúce snehové zásoby, oteplenie a spadnuté kvapalné zrážky bol zaznamenaný vzostup vodných hladín. Aktuálne vodné hladiny kulminujú alebo klesajú,"" poznamenali meteorológovia.
Autor: TASR",0.5150,0.5175,heatwave,west nile virus,high_climate,yes,no,no,"Wind warnings issued for Slovak districts, mountain storms",,
Slovak,Slovakia,cas.sk,scrapai,81526,https://www.cas.sk/spravy/zahranicne-spravy/obavana-sopka-sa-po-20-rokoch-prebudila-neskutocne-do-akej-vysky-chrlila-popol,"Obávaná sopka sa po 20 rokoch prebudila: Neskutočné, do akej výšky chrlila popol","Po pondelkovej erupcii sopky Lewotobi na východe ostrova Flores úrady zvýšili stupeň výstrahy na druhý najvyšší. Ide o jej druhú erupciu za posledné dva týždne, prvá 23. decembra bola prvou po takmer 20 ročnej nečinnosti. Miestny predstaviteľ pre indonézsku agentúru Antara povedal, že ženy, starších ľudí a deti premiestnili do núdzových prístreškov, ako sú školy, kancelárie a vojenské základne, kde dostali potraviny, vodu, masky aj deky.

Ľuďom v regióne bolo odporučené, aby sa zdržiavali najmenej dva kilometre od krátera. Sopka má dva vrcholy, známe ako Lewotobi Lakilaki a Lewotobi Perempuan. Ide o jednu zo 127 aktívnych sopiek v Indonézii s intenzívnou seizmickou činnosťou. Nízkonákladová spoločnosť Wings Air so sídlom v Jakarte uviedla, že v pondelok a utorok zrušila päť letov smerujúcich do mesta Maumere, najväčšieho na ostrove Flores.",0.5175,0.5511,extreme heat,west nile virus,high_climate,no,no,no,Feared volcano wakes up after 20 years,,
Slovak,Slovakia,cas.sk,scrapai,125419,https://www.cas.sk/spravy/zahranicne-spravy/to-co-sa-deje-v-azii-pociti-zrejme-cely-svet-z-hladiska-buducnosti-panuje-neistota,"To, čo sa deje v Ázii, pocíti zrejme celý svet: Z hľadiska budúcnosti panuje neistota","El Niño je prírodné, dočasné a príležitostné otepľovanie v Tichom oceáne, ktoré ovplyvňuje vzorce globálneho počasia, pričom klimatická zmena ich zosilňuje. Americký Národný úrad pre oceány a atmosféru (NOAA) oznámil tohtoročný jav už v júni, čo je o zhruba mesiac-dva skôr ako zvyčajne.

Podľa vedcov existuje šanca jedna ku štyrom, že sa rozšíri na nadrozmerné úrovne. To by znamenalo zlé správy pre pestovateľov ryže, obzvlášť v Ázii, kde sa vypestuje aj skonzumuje 90 percent svetovej produkcie ryže. El Niño totiž zvyčajne znamená menej dažďa pre vyprahnuté plodiny. V minulosti tento jav viedol k extrémnemu počasiu od súch po záplavy.

Každý El Niño je iný, ale historické trendy naznačujú, že zriedkavé zrážky v južnej a juhovýchodnej Ázii vysušia pôdu, čo v nasledujúcich rokoch spôsobí kaskádové efekty, vyjadril sa Beau Damen z pobočky Organizácie pre výživu a poľnohospodárstvo v thajskom Bangkoku. Niektoré krajiny, ako napríklad Indonézia, môžu byť v počiatočných štádiách tohto javu zraniteľnejšie, povedal.",0.5194,0.5068,rising temperatures,extreme poverty,high_climate,yes,no,no,"El Niño in Asia will affect whole world, climate change amplifies it",,
Slovak,Slovakia,cas.sk,scrapai,70763,https://www.cas.sk/spravy/domace-spravy/blizi-sa-k-nam-vichrica-slovaci-drzte-si-klobuky-na-tychto-miestach-to-bude-najhorsie,"Blíži sa k nám víchrica?! Slováci, držte si klobúky: Na TÝCHTO miestach to bude najhoršie","Blíži sa k nám víchrica?! Slováci, držte si klobúky: Na TÝCHTO miestach to bude najhoršie
23. 3. 2025, 10:57
Reklama
Na horách v okresoch Brezno, Poprad, Liptovský Mikuláš a Tvrdošín sa môže v nedeľu vyskytnúť silný vietor. Slovenský hydrometeorologický ústav (SHMÚ) preto vydal výstrahu prvého stupňa od 12.00 h do pondelka (24. 3.) 4.00 h. Informuje o tom na svojom webe.
""Na hrebeňoch Tatier sa očakáva výskyt vetra, ktorý dosiahne krátkodobo (v nárazoch) rýchlosť 110 až 125 kilometrov za hodinu alebo priemernú rýchlosť 70 až 85 kilometrov za hodinu, čo je až víchrica,"" priblížili meteorológovia.
Zároveň platí aj výstraha prvého stupňa pred silným vetrom v okresoch Bratislava, Malacky, Myjava, Nové Mesto nad Váhom, Levice, Nitra, Topoľčany, Zlaté Moravce, Hlohovec, Piešťany, Senica a Skalica do 20.00 h.
Autor: TASR",0.5290,0.5305,heatwave,zika,high_climate,yes,no,no,"Windstorm approaching Slovakia, hold your hats",,
Slovak,Slovakia,cas.sk,scrapai,243474,https://www.cas.sk/spravy/domace-spravy/rozdiely-na-slovensku-silne-burky-ale-aj-velky-podpriemer-zrazok,"Rozdiely na Slovensku: Silné búrky, ale aj veľký podpriemer zrážok","""Napríklad v Košeckom Podhradí (okres Ilava), iba v období od 25. júla do 5. augusta (12 dní), zaznamenali 192 milimetrov zrážok,"" upozornil Slovenský hydrometeorologický ústav (SHMÚ) na sociálnej sieti.

Opačným príkladom sú meteorologické stanice na bratislavskej Kolibe a v Hurbanove. Tam dosiahli počas 73 dní (od 25. júla do 5. augusta) zrážky len 87, respektíve 85 milimetrov. Meteorológovia upozornili, že je to takmer o polovicu menej v porovnaní s dlhodobým priemerom.

Čo sa týka stavu pôdnej vlahy, aktuálne je takmer celé územie SR bez rizika sucha. ""Začínajúce sucho je len lokálne na juhozápade a severovýchode Slovenska. V hlbšej vrstve je mierne sucho ojedinele na krajnom východe. Relatívne nasýtenie je na Podunajskej nížine najnižšie nula až desať percent, na Záhorí lokálne desať až 20 percent,"" spresnili. Deficit pôdnej vlahy je najvyšší, a to mínus 60 milimetrov, na krajnom východe. Nadbytok vlahy 80 milimetrov je podľa SHMÚ v okolí Lučenca, Trenčína a Bardejova.

Monitoring meteorologického sucha indikuje, že na Slovensku prevládajú normálne až mierne vlhké podmienky. ""Podľa indexu SPEI je veľmi vlhko na siedmich staniciach. Extrémne vlhko je len v Bardejove. Podľa indexu SPI je veľmi vlhko na deviatich staniciach. Extrémne vlhko je v Trenčíne a Bardejove,"" doplnili meteorológovia.

Ďalej dodali, že podľa indexu CMI prevládajú normálne až mierne vlhké podmienky. ""Extrémne vlhko je len v Čadci a Bardejove. Deficit zrážok je za posledných 90 dní najvyšší v Medzilaborciach, až okolo mínus 135 milimetrov. Deficit zrážok okolo mínus 90 milimetrov je aj vo Švedlári a okolo mínus 80 milimetrov v Kamenici nad Cirochou,"" informovali.",0.4922,0.4983,rising temperatures,undernourishment,high_climate,yes,no,no,Strong storms but also heat wave in different parts of Slovakia,,
Slovak,Slovakia,cas.sk,scrapai,196000,https://www.cas.sk/spravy/domace-spravy/greenpeace-reaguje-na-zaradenie-plynu-a-jadra-medzi-zelene-zdroje-je-to-vysmech,Greenpeace reaguje na zaradenie plynu a jadra medzi zelené zdroje: Je to výsmech!,"Tento krok by mohol aktivovať odlev súkromných investícií v hodnote miliárd eur z obnoviteľných zdrojov. To by viedlo len k ďalšiemu prehlbovaniu klimatickej krízy. Uviedla to enviroorganizácia Greenpeace Slovensko v reakcii na rozhodnutie Európskej komisie, ktorá v stredu prijala svoj návrh ""zelenej taxonómie"". Greenpeace vyzýva europoslancov, aby návrh zamietli. Zároveň žiada slovenskú vládu, aby ukončila verejné investície do plynovej infraštruktúry a pripravila plán útlmu využívania plynu do roku 2035.

Fosílny plyn je podľa Greenpeace najznečisťujúcejšie palivo v Európskej únii (EÚ), ktorého rastúce ceny stoja za prebiehajúcou energetickou krízou. Tvrdí, že ani jadrová energia nemôže byť považovaná za zelenú. Produkuje nebezpečný rádioaktívny odpad a výstavba nových reaktorov je časovo náročná. ""Nedokážu byť preto spustené dostatočne rýchlo na to, aby prispeli k dosiahnutiu klimatických cieľov EÚ do roku 2030. Splnenie záväzkov zníženia emisií do roku 2030 je však podľa vedeckej komunity nevyhnutné na to, aby sme zabránili najhorším dôsledkom klimatickej krízy,"" konštatujú environmentalisti.

Slovensko malo podľa riaditeľky Greenpeace Slovensko Kataríny Juríkovej predpoklady, stať sa lídrom stredoeurópskeho regiónu v oblasti klimatickej krízy. Konštatuje, že každým ďalším rozhodnutím vlády sa od tohto líderstva ako krajina vzďaľujeme.",0.5350,0.5065,climate action,extreme poverty,high_climate,yes,no,no,Greenpeace reacts to gas and nuclear classified as green - climate crisis,,
