language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Norwegian,climate,0.6000,0.0400,0.5990,no,0.5990,0.6336,extreme event,extreme event,pandemic,adressa_no,USA: Forhandlinger om koronakrisepakke kollapset - adressa.no,https://www.adressa.no/nyheter/utenriks/i/g0VbJk/usa-forhandlinger-om-koronakrisepakke-kollapset,7318,1412
Norwegian,climate,0.6000,0.0400,0.5991,no,0.5991,0.6186,extreme event,extreme event,pandemic,adressa_no,FHI: Koronaviruset muterer hele tiden - adressa.no,https://www.adressa.no/nyheter/innenriks/i/EwdOg2/fhi-koronaviruset-muterer-hele-tiden,7318,1412
Norwegian,climate,0.6000,0.0400,0.5993,no,0.5993,0.5998,heatwave,heatwave,casualties,adressa_no,Chat med Doddo og Pamer under Vålerenga-Brann - adressa.no,https://www.adressa.no/sport/fotball/i/0KQ3PM/chat-med-doddo-under-vaalerenga-brann,7318,1412
Norwegian,climate,0.6000,0.0400,0.5994,no,0.5994,0.6218,climate crisis,climate crisis,casualties,adressa_no,Tysk politiker: Navalnyj-saken kan få konsekvenser for omstridt gassledning - adressa.no,https://www.adressa.no/nyheter/utenriks/i/Wq9EJG/tysk-politiker-navalnyj-saken-kan-fa-konsekvenser-for-omstridt-gassledning,7318,1412
Norwegian,climate,0.6000,0.0400,0.5995,no,0.5995,0.6002,heatwave,heatwave,undernourishment,adressa_no,Omfattende protester mot valget i Hviterussland - adressa.no,https://www.adressa.no/nyheter/utenriks/i/zrWa8b/omfattende-protester-mot-valget-i-hviterussland,7318,1412
Norwegian,climate,0.6000,0.0400,0.5995,no,0.5995,0.6092,heatwave,heatwave,casualties,adressa_no,Skader i ansiktet etter trafikkuhell,https://www.adressa.no/nyhetsstudio/i/9KO9RW/skader-i-ansiktet-etter-trafikkuhell,7318,1412
Norwegian,climate,0.6000,0.0400,0.5998,no,0.5998,0.6059,heatwave,heatwave,casualties,adressa_no,Tripic med drømmescoring i storseier - adressa.no,https://www.adressa.no/sport/fotball/i/WORmbd/tripic-med-droemmescoring-i-storseier,7318,1412
Norwegian,climate,0.6000,0.0400,0.5998,no,0.5998,0.6169,heatwave,heatwave,casualties,adressa_no,Tatt på fersken i 90-sone på E6 - adressa.no,https://www.adressa.no/nyhetsstudio/i/3492le/tatt-paa-fersken-i-90-sone-paa-e6,7318,1412
Norwegian,climate,0.6000,0.0400,0.6000,YES,0.6000,0.5925,climate crisis,climate crisis,undernourishment,adressa_no,Mer tørke i Europa rammer jordbruk og natur hardt - adressa.no,https://www.adressa.no/nyheter/utenriks/i/75XWBB/mer-torke-i-europa-rammer-jordbruk-og-natur-hardt,7318,1412
Norwegian,climate,0.6000,0.0400,0.6002,YES,0.6002,0.6263,variable climates,variable climates,air pollution,adressa_no,Luftkvaliteten i 2019 var bedre enn på mange år - adressa.no,https://www.adressa.no/nyheter/innenriks/i/vOvMw5/luftkvaliteten-i-2019-var-bedre-enn-pa-mange-ar,7318,1412
Norwegian,climate,0.6000,0.0400,0.6005,YES,0.6005,0.6010,heatwave,heatwave,west nile virus,adressa_no,Italiensk helomvending redder alpin-VM - adressa.no,https://www.adressa.no/sport/i/BlxvnE/italiensk-helomvending-redder-alpin-vm,7318,1412
Norwegian,climate,0.6000,0.0400,0.6005,YES,0.6005,0.6248,heatwave,heatwave,casualties,adressa_no,Carlsens finalemotstander klar – Nepomnjasjtsjij vant semifinalen - adressa.no,https://www.adressa.no/sport/i/O3L41l/carlsens-finalemotstander-klar-nepomnjasjtsjij-vant-semifinalen,7318,1412
Norwegian,climate,0.6000,0.0400,0.6011,YES,0.6011,0.6119,extreme event,extreme event,casualties,adressa_no,Dashcam fanget dramatisk nestenkollisjon: - Dette kunne fått et katastrofalt utfall - adressa.no,https://www.adressa.no/nyheter/i/28dOOv/se-skrekkvideo-dette-kunne-fatt-et-katastrofalt-utfall,7318,1412
Norwegian,climate,0.6000,0.0400,0.6013,YES,0.6013,0.5967,climate action,climate action,undernourishment,adressa_no,Energisparing må til for både å nå måla for klima og naturmangfald - adressa.no,https://www.adressa.no/debatt/i/0GKm1J/er-energisparing-eit-fy-ord-for-kraftselskapa,7318,1412
Norwegian,climate,0.6000,0.0400,0.6014,YES,0.6014,0.5927,heatwave,heatwave,casualties,adressa_no,Flere tusen kvadratkilometer skog fortært av California-brannene - adressa.no,https://www.adressa.no/nyheter/utenriks/i/9EjRBE/flere-tusen-kvadratkilometer-skog-fortaert-av-california-brannene,7318,1412
Norwegian,climate,0.6000,0.0400,0.6015,YES,0.6015,0.5998,extreme event,extreme event,casualties,adressa_no,Minst ti døde etter storm i Mellom-Amerika - adressa.no,https://www.adressa.no/nyheter/utenriks/i/k34A9v/minst-ti-dode-etter-storm-i-mellom-amerika,7318,1412
