language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Bulgarian,Bulgaria,capital.bg,scrapai,29677,https://www.capital.bg/biznes/kompanii/2023/05/26/4480655_investirame_v_zdravosloven_nachin_na_jivot/,Инвестираме в здравословен начин на живот,"Визитка Името на Петър Делев се свързва най-често с българския бранд за спортни облекла и обувки Flair . Той е съсобственик на марката и работи активно за нейното издигане в разпознаваем бранд. Заедно със семейството си създава идеологията на Pepe ""Be Healthy"" - компания за натурално чисти продукти, здравословни барове и изделия без захар. Задълбочава своя принос в ""зеления"" начин на живот, като започва изграждането на соларни паркове и системи за производството и дома. В съдружие създава Mega Solar Power BG с екип от експерти от Холандия. Г-н Делев, развивате успешен бизнес в три много различни производства - на спортни облекла, натурални храни, соларни инсталации. Защо се насочихте да инвестирате именно в тях, с какво привлякоха интереса ви? Какво е общото между трите сектора през погледа на един предприемач? - Здравословният начин на живот е това, което обединява интересите ми. Ако имаме чиста храна, чист въздух, чиста вода, чиста среда, в която да отглеждаме децата си, тогава качеството на живот на всеки един българин би било много по-високо. Затова винаги съм търсил възможности да инвестирам именно в спорта, в натуралните храни и в зелената енергия. В кои приоритетни направления предвиждате да насочите предстоящите си инвестиции? Как съчетавате в тях ESG-критериите и политиките за устойчив бизнес? - На първо място инвестираме в соларни паркове за собствена консумация с продажба на излишъка при всички наши бизнеси.

					
				
					
	
	
	
		
							
							
							
		 					
										В бранда Flair приоритет са уникалните матрици на спортните ни обувки, които гарантират максимален комфорт при всеки вид спорт. За новия сезон разработихме иновативна training-flex технология, която щади и поддържа ходилото, за да осигури повече часове пълноценен спорт и удобство.",0.4780,0.5292,environmental changes,well-being,high_climate,no,yes,no,,"Healthy lifestyle brand, natural food products",
Bulgarian,Bulgaria,capital.bg,scrapai,21302,https://www.capital.bg/biznes/promishlenost/2023/12/13/4564840_zelenite_inovacii_sa_v_osnovata_na_strategiiata_ni_za/,Зелените иновации са в основата на стратегията ни за устойчив растеж,"Може ли циментът да бъде ""зелен"" и как индустрията ви ще отговори на целите за декарбонизация? Трансформацията на строителството е от изключителната важност в контекста на кръговата икономика и устойчивото развитие. Строителството е източник на 38% от емисиите на въглероден диоксид в глобален мащаб и не може да се говори за декарбонизация като цяло, ако не се намери решение на този въпрос. Темповете на развитие на света и нарастване на глобалното население предполагат огромен ръст на строителството в идните години, което прави особено актуален въпроса за неговата ресурсна обезпеченост в контекста на декарбонизацията на икономиката. Без облекчаване на CO2 товара на сградите, един от лостовете за което са нисковъглеродните строителни материали, няма как да се постигне нисковъглеродно бъдеще. Групата ""Холсим"" е пионер и основен двигател на процеса на кръгово строителство в света. Преди три години тя стана първата компания в сектора, която пое ангажимент за нулева нетна въглеродност (Net Zero) до 2050 г. ""Холсим"" е глобален лидер в оползотворяването на вторични ресурси в качеството на алтернативни суровини и горива. В световен мащаб компанията рециклира годишно над 40 млн. тона отпадни материали и има амбициите да увеличи обема им до 70 млн. т до 2030 г. Какво е мястото на циментовата индустрия в кръговата икономика, кога отпадъкът може да стане суровина? Циментопроизводството е ресурсо- и енергоемък отрасъл. За изпичането на клинкера, който е междинният продукт в производството на цимент, в миналото са използвани основно традиционни горива - въглища, петролен кокс и природен газ, които са невъзобновяеми природни ресурси и сериозен източник на въглеродни емисии. Преди около 15 години обаче след технологична модернизация на производствения процес в с. Бели извор стана възможно заместването на традиционните горива с алтернативни - например сортирани и обработени битови и индустриални отпадъци, излезли от употреба гуми, биомаса, слънчогледови люспи и други. Днес вече близо 90% от енергийните нужди на завода в с. Бели извор се покриват с горива от алтернативни източници, което при съвременните темпове на развитие на икономиката е безспорно предимство. Това е важно, от една страна, защото ни помага да произведем цимент с ниско въглеродно съдържание, а от друга страна, индиректно помагаме за опазване на околната среда, тъй като решаваме проблема с отпадъците, които много често биват депонирани или изхвърляни безразборно в природата. Технологията на оползотворяване е безотпадна, което означава, че отпадъкът фактически бива унищожен без остатък и отпада нуждата от неговото депониране.",0.5110,0.4813,carbon emission,undernourishment,high_climate,yes,no,no,"Green cement, decarbonization, 38% of global CO2 from construction",,
Bulgarian,Bulgaria,standartnews.com,newsapi,355,https://www.standartnews.com/biznes/cenite-na-benzina-i-dizela-palzyat-nagore-pazarat-ostava-nestabilen-627482.html,"Цените на бензина и дизела пълзят нагоре, пазарът остава нестабилен - Бизнес  --  Новини Стандарт","Продължава плавното, но устойчиво повишаване на цените на бензина и дизела по бензиностанциите в страната. Само за последните 48 часа в района на Бургас поскъпването достига 5 евроцента, а за едно денонощие ръстът е около 2 евроцента.

Тенденцията се потвърждава от проверки на място и данни от търговците. На този фон потребителите започват да ограничават разходите си за гориво. Пазарът остава нестабилен и без ясни сигнали за успокояване.

Проверка на Нова телевизия на малка бензиностанция в Бургас показва, че цените продължават да се покачват. Управителят Георги Георгиев посочва, че само за два дни увеличението е с 5 евроцента. По думите му в момента литър бензин А95 се продава за 1,40 евро, дизелът достига 1,55 евро, а газът се предлага за 0,65 евро.

Според него основната причина е нестабилността на пазара и динамиката на борсите. ""Спрямо борсите и това, което се вижда в момента, цената се вдига всеки ден. Няма стабилно положение. Колкото се завишава горивото, на толкова се и продава"", обясни Георгиев.

Поскъпването вече влияе пряко върху поведението на шофьорите. Все по-често клиентите зареждат по-малки количества, съобразени със семейния бюджет. ""Предимно между 20 и 50 евро зареждат клиентите"", посочва управителят.

По думите му тенденцията е ясна - хората, които пълнят резервоарите си догоре, стават все по-малко, а потреблението постепенно се свива на фона на растящите разходи.

Последвайте ни в Google News Showcase за важните новини

Вижте всички актуални новини от Standartnews.com",0.4570,0.4472,temperature rise,undernourishment,high_climate,no,no,no,Fuel prices rising - market economics,,
Bulgarian,Bulgaria,capital.bg,scrapai,29576,https://www.capital.bg/politika_i_ikonomika/sviat/2023/07/16/4482725_svetut_ne_postiga_visokite_si_celi_za_klimata_vreme_e/,Светът не постига високите си цели за климата. Време е за малко реализъм,"Да приемем, че средната температура в света може да се повиши с повече от 1.5°C, заяви външният министър на Маршаловите острови през 2015 г. и продължи - това би означавало да подпишем ""смъртната присъда"" на малки, ниско разположени държави като нашата. За всеобща изненада държавните лидери, които се срещнаха в Париж същата година на конференция за климата като тази, която се проведе в Египет в края на миналата година, приеха аргументите му. Те записаха целта за ограничаване на глобалното затопляне до около 1.5°C в Парижкото споразумение, което се стреми да координира националните усилия за ограничаване на емисиите на парникови газове. Архивът на ""Капитал"" Статията, която искате да прочетете, е част от архива на ""Капитал"", който е достъпен само за абонати . Той включва над 200 000 статии с всичко за бизнеса, политиката и обществото в България от 1993 г. насам. Вече съм абонат Абонирайте се и получете пълен достъп до богатото съдържание на Капитал. 1.96 лв/ 1.00 € на седмица Към офертата Вижте другите ни предложения * Абонаментът Ви ще бъде подновяван автоматично и таксуван на месечна база. Може да прекратите по всяко време. Цена за първите 3 месеца 7.84 лв. / 4 € , след това 29.34 лв / 15 € месец.",0.4600,0.4634,temperature rises,casualties,high_climate,yes,no,no,"World failing climate targets, 1.5C threshold, Paris agreement",,
Bulgarian,Bulgaria,capital.bg,scrapai,6157,https://www.capital.bg/politika_i_ikonomika/obrazovanie/2025/04/10/4765641_teachone_-_smislenata_promiana_v_obrazovanieto/,t'each'one - смислената промяна в образованието,"Най-големият български системен интегратор Telelink Business Services създаде t'each'one - образователно пространство, където иновациите се срещат с образователните нужди, пресечната точка между учители, родители и ученици. Иво Русев, главен търговски директор на компанията и един от двигателите на t'each'one, коментира идеята и целите на инициативата. Какво е t'each'one? t'each'one е ново поколение образователно пространство, създадено с мисията да направи ученето по-смислено, по-близко до реалния живот и по-адаптирано към дигиталния свят. Това е мястото, където технологиите не заместват учителите, а ги допълват. Създадено от Telelink Business Services (""Телелинк Бизнес Сървисис""), t'each'one е специално практически проектирана среда, в която всички страни в образованието имат възможност да обменят опит, да изпробват нови подходи и заедно да изграждат идеи за бъдещето. Името t'each'one не е избрано случайно. В него е вложено послание, което надхвърля играта на думи. Teach One (учи и предай нататък) и Each One (всеки един) отразяват основната философия на проекта - че промяната започва с личния ангажимент на всеки участник в процеса. Kaк ви дойде идеята да основете t'each'one ? t'each'one е естествено продължение на инициатива, която изградихме в партньорство с ""Майкрософт България"". Преди няколко години създадохме DreamSpace - иновативен образователен център с фокус върху STEAM (наука, технологии, инженерство, изкуства и математика), с цел да подпомогне развитието на умения и компетенции у ученици и учители, като ги въвлече в решаването на реални казуси с помощта на технологии. Идеята за t'each'one не се появи внезапно, тя израсна естествено от опита ни, свързан с DreamSpace, и от дълбокото убеждение, че ученето трябва да се променя в крак със света около нас.",0.4623,0.4783,variable climates,health,high_climate,no,no,no,Education innovation program,,
Bulgarian,Bulgaria,capital.bg,scrapai,8743,https://www.capital.bg/politika_i_ikonomika/sviat/2022/06/28/4362667_es_obmislia_po-ambiciozni_celi_za_spestiavane_na/,ЕС обмисля по-амбициозни цели за спестяване на енергия от крайния потребител,"Темата накратко Енергийните министри на ЕС се споразумяха за общи цели за намаляване на потреблението на енергия. Позицията на съвета по двете законодателни досиета, част от ""Готови за 55"", ще се разглежда допълнително на триалози с ЕК и Европейския парламент през есента; По време на срещата на Г-7 в Бавария ЕС и САЩ обявиха споразумение европейските домакинства да получат енергоспестяващи термостати. Министрите на Европейския съюз започнаха разговори (в Люксембург на 27 юни) за одобряване на нови закони за борба с изменението на климата. Те приеха своите преговорни позиции по две законодателни предложения , част от пакетa ""Готови за 55"" : директивата за възобновяемите енергийни източници и за енергийна ефективност. Предстоят тристранните обсъждания с парламента и комисията по-късно през годината (вероятно през септември) при чешкото председателство. Архивът на ""Капитал"" Статията, която искате да прочетете, е част от архива на ""Капитал"", който е достъпен само за абонати . Той включва над 200 000 статии с всичко за бизнеса, политиката и обществото в България от 1993 г. насам. Вече съм абонат Абонирайте се и получете пълен достъп до богатото съдържание на Капитал. 1.96 лв/ 1.00 € на седмица Към офертата Вижте другите ни предложения * Абонаментът Ви ще бъде подновяван автоматично и таксуван на месечна база. Може да прекратите по всяко време. Цена за първите 3 месеца 7.84 лв. / 4 € , след това 29.34 лв / 15 € месец.",0.4731,0.4968,climate action,undernourishment,high_climate,yes,no,no,"EU energy saving targets, Fit for 55 package",,
Bulgarian,Bulgaria,standartnews.com,newsapi,1403,https://www.standartnews.com/balgariya-obshtestvo/prof-rachev-neshto-se-gotvi-na-17-i-18-mart-626413.html,"Проф. Рачев: ""Нещо се готви"" на 17 и 18 март - Общество  --  Новини Стандарт","Време си е за щъркелите. На 20 март следобед към 16:30 часа идва астрономическата пролет. Сутрин е хладно. Времето е хубаво. На обед е топло. Идва време на облеклото тип ""зелка"". Сутрин слагаш листенцата, а после започваш да ги махаш.""

Това каза в предаването ""Тази сутрин"" климатологът проф. Георги Рачев. ""Вятърът си отива. Днес и утре се затопля. В четвъртък температурите ще достигнат 19 градуса. В петък над почти цяла Европа ще е топло. По Черноморието ще бъде по-хладно"", добави той.

В София няма да има валежи. На 17-18 март ""нещо се готви"", коментира Рачев, но времето ще е слънчево. От 1 до 3 градуса ще е температурата сутрин, около 12 градуса - следобед.

В Пловдив температурите ще достигнат 15 градуса. Ще има мъгли. В Пампорово и курортите над 1500 метра снегът няма да се стопи, увери проф. Георги Рачев.

""Абсолютно до края на март ще има прекрасни условия за ски, нищо че е до 5-6 градуса следобед"", подчерта той.

Проф. Георги Рачев пред СТАНДАРТ: Големи пари стоят зад климатичните промени 31 януари | 7:26 3864

Последвайте ни в Google News Showcase за важните новини

Вижте всички актуални новини от Standartnews.com",0.4804,0.4599,temperature rises,measles,high_climate,no,no,no,Weather forecast - professor predicts weather event March 17-18,,
Bulgarian,Bulgaria,capital.bg,scrapai,41595,https://www.capital.bg/politika_i_ikonomika/redakcionni_komentari/2022/07/12/4367989_podceniavanite_idei_koito_rabotiat/,"Подценяваните идеи за икономиката, които работят","Владислав Панев е депутат от ""Демократична България"", член на комисиите по бюджет и финанси и по енергетика Струпването на кризи в последно време изкривява сериозно обществения дебат. Основен фокус на партиите е как да се отиграе моментната политическа ситуация и така от дневния ред изпадат много практични идеи, защото изглеждат като дребнотемие на фона на останалите проблеми . Тези теми обаче не са дребнотемие. Именно те са много важни и реално ще имат ефект върху конкурентността на икономиката. Която пък е решаваща за повишаването на доходите и спирането на обедняването вследствие на високата инфлация. Архивът на ""Капитал"" Статията, която искате да прочетете, е част от архива на ""Капитал"", който е достъпен само за абонати . Той включва над 200 000 статии с всичко за бизнеса, политиката и обществото в България от 1993 г. насам. Вече съм абонат Абонирайте се и получете пълен достъп до богатото съдържание на Капитал. 1.96 лв/ 1.00 € на седмица Към офертата Вижте другите ни предложения * Абонаментът Ви ще бъде подновяван автоматично и таксуван на месечна база. Може да прекратите по всяко време. Цена за първите 3 месеца 7.84 лв. / 4 € , след това 29.34 лв / 15 € месец.",0.4400,0.5116,climate crises,undernourishment,high_climate,no,no,no,Underestimated economic ideas,,
Bulgarian,Bulgaria,capital.bg,scrapai,22423,https://www.capital.bg/biznes/kompanii/2023/11/25/4554684_investirame_v_energoefektivni_materiali_suorujeniia/,"Инвестираме в енергоефективни материали, съоръжения, превозни средства, ВЕИ","Как е адаптиран производственият процес на компанията във фабриката край Перник, за да може да отговаря на нисковъглеродните изисквания? Какви нови производствени технологии използвате? Производственият процес в нашата фабрика край Перник се извършва в сгради, изградени и реконструирани изцяло с материали, отговарящи на всички съвременни изисквания за енергийна ефективност. Системите за отопление и охлаждане се захранват с природен газ. Съоръженията за почистване, заваряване, боядисване и други са роботизирани във висока степен и са от най-висок клас съгласно последните нормативи за енергоспестяване. Същите норми се спазват и при осъществяването на всички технологични процеси. Основната част от материалите, които влагаме в производството, се доставят от западноевропейски производители на нисковъглеродна стомана, или така наречената зелена стомана, при манифактурирането на която се отделят в пъти по-ниски въглеродни емисии в сравнение със стандартната. Също така отново, за да намалим въглеродния отпечатък, рециклираме остатъчните материали.",0.4842,0.4766,greenhouse gases,quality of life,high_climate,yes,no,no,"Energy-efficient materials, low-carbon factory in Pernik",,
Bulgarian,Bulgaria,capital.bg,scrapai,20021,https://www.capital.bg/biznes/zemedelie/2021/09/24/4256185_tendenciite_v_zurnoproizvodstvoto_se_promeniat/,Тенденциите в зърнопроизводството се променят всекидневно,"Какви са предимствата на самоходните пръскачки Agrifac?Кои са най-новите модели? Като производител, който е профилиран в производството на самоходни пръскачки, Agrifac следи линията на иновациите. Основното преимущество при пръскачките на холандския производител е широкоспектърният обхват от опции. Пръскачките са многофункционални, прецизни, интуитивни, разработени по този начин с една-единствена цел - подобряване на работата на всеки земеделски стопанин. Основните предимства на пръскачките Agrifac са възможността за висок просвет, различните патентовани опции: шаси, пръскащи системи, сензорно следене и други, които спомагат за по-доброто представяне на полето и максималното минимизиране на оперативно време и разходи. Какъв е интересът към тази техника по време на пандемия? Пандемията реално не влияе на зърнопроизводството в аспекта ""работа на полето"". Там разстоянията между хората са големи и няма място за безпокойство. Разстоянията са даже толкова големи, че се търсят все по-големи и по-големи машини. В случая Agrifac се явява конкретният отговор. Освен големи, пръскачките са прецизни и високопроизводителни. Какво ще предложи занапред Agrifac като производител?Може би друг тип техника? Друг тип техника? Категорично не. Agrifac са стриктни в политиката си. Ограничиха преди години допълнителните артикули и се фокусираха само в самоходните пръскачки. Какво биха предложили занапред? Само новости, интуитивни, визионерски, работещи решения. Това целят да предлагат и за в бъдеще. И целта е само една - продуктите им да са на най-високо ниво и да дават решенията на всеки земеделски стопанин, който ги използва. Какви други предимства гарантира компанията на своите клиенти? Както производител номер 1 в света, Agrifac търси да даде на своите клиенти най-доброто следпродажбено обслужване, сервиз и части. В случая сме благодарни, че доверието се пада на нас. ""Тайтън Машинъри България"" е сериозен партньор и в крайна сметка най-добрият избор на производителя за представителство в страната ни. Клиентите ни могат да разчитат на адекватна реакция от страна на сервиза и наличности, както и правилна планировка от резервни части. И резултатът е налице - всяка година броят на собствениците на самоходна пръскачка Agrifac се увеличава.",0.4465,0.5088,environmental changes,undernourishment,high_climate,no,no,no,Grain production trends - agriculture,,
