language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Italian,climate,0.5600,0.0400,0.5598,no,0.5598,0.5547,carbon emission,carbon emission,west nile virus,corriere_it,"Bmw Neue Klasse X, debutta il Suv elettrico del futuro: «Giù i costi su l’autonomia»- Corriere.it",https://www.corriere.it/motori/news/24_marzo_21/bmw-neue-klasse-x-debutta-suv-elettrico-futuro-giu-costi-l-autonomia-5ccccc80-e6c1-11ee-81e5-5b2ec9d39229.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5598,no,0.5598,0.5677,environmental change,environmental change,west nile virus,corriere_it,Da tubi a colonne di un tempio. Con l’installazione“Tam Tam” la plastica riciclata diventa esperienza collettiva,https://www.corriere.it/pianeta2030/25_aprile_16/da-tubi-colonne-un-tempio-l-installazionetam-tam-plastica-riciclata-diventa-esperienza-collettiva-8e4aab16-1ae5-11f0-9e87-caab3d98c7a2.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5599,no,0.5599,0.5772,environmental change,environmental change,west nile virus,corriere_it,"Viaggi in bici sulle rotte della biodiversità. Dal Nepal alla Laguna, i ciclisti si raccontano al Festival “Pavè. Pedalando a Venezia”",https://www.corriere.it/pianeta2030/25_maggio_08/viaggi-bici-rotte-biodiversita-nepal-laguna-ciclisti-si-raccontano-festival-pave-pedalando-venezia-42e2e23a-2aa1-11f0-8700-99f138fa990d.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5599,no,0.5599,0.5912,carbon emission,carbon emission,west nile virus,corriere_it,"Sul verde urbano Genova batte tutti, ma l’Europa è lontana. Ecco le dodici città più green d’Italia",https://www.corriere.it/pianeta2030/24_ottobre_24/sul-verde-urbano-genova-batte-tutti-ma-l-europa-lontana-ecco-dodici-citta-piu-green-d-italia-d9f95ef6-916d-11ef-bcd8-909212e553b4.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5599,no,0.5599,0.5450,carbon emission,carbon emission,quality of life,corriere_it,Bosch certifica le batterie delle auto elettriche usate. Ecco come- Corriere.it,https://www.corriere.it/motori/news/25_maggio_15/bosch-certifica-batterie-auto-elettriche-usate-ecco-come-d82f4c96-316a-11f0-bcd0-b68939aaa1a6.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5599,no,0.5599,0.5183,environmental change,environmental change,quality of life,corriere_it,Le politiche green dell’Europa e i grandi conflitti di interesse | Milena Gabanelli,https://www.corriere.it/dataroom-milena-gabanelli/politiche-green-dell-europa-grandi-conflitti-interesse/56a7c00a-0154-11ef-a912-4555bc2ee036-va.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5599,no,0.5599,0.5151,carbon emission,carbon emission,west nile virus,corriere_it,"Tutto quello che bisogna avere sempre nell’auto. E cosa, invece, non tenere mai a bordo",https://www.corriere.it/motori/guide/cards/tutto-quello-che-bisogna-avere-sempre-nell-auto-cosa-invece-non-tenere-mai-bordo/che-cosa-bisogna-avere-sempre-nell-auto-o-portafogli_principale.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5600,no,0.5600,0.5796,carbon emission,carbon emission,west nile virus,corriere_it,"Opel Frontera, come va il crossover compatto con il motore ibrido. La nostra prova- Corriere.it",https://www.corriere.it/motori/prove/25_aprile_22/opel-frontera-come-va-crossover-compatto-il-motore-ibrido-nostra-prova-a07d61b4-17c2-11f0-8a76-098de35914b8.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5600,YES,0.5600,0.5438,rising temperatures,rising temperatures,west nile virus,corriere_it,Le ondate di calore fermano le città. Lo studio cinese: il caldo estremo ha ridotto gli spostamenti e prodotto una perdita pari a sette giorni di mobilità a Shanghai,https://www.corriere.it/pianeta2030/25_novembre_26/ondate-calore-fermano-citta-studio-cinese-caldo-estremo-ha-ridotto-spostamenti-prodotto-perdita-pari-sette-giorni-mobilita-shanghai-fee28c28-cad9-11f0-aed9-774cc98322f8.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5600,YES,0.5600,0.5711,climate action,climate action,west nile virus,corriere_it,Con la semplicità si abbattono sprechi ed emissioni: la formula del discount di Toledo insegna a ottimizzare le risorse,https://www.corriere.it/pianeta2030/25_giugno_16/con-semplicita-si-abbattono-sprechi-ed-emissioni-formula-discount-insegna-ottimizzare-risorse-7b12874a-4ab9-11f0-9c3f-42c092e98f39.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5600,YES,0.5600,0.5009,climate action,climate action,west nile virus,corriere_it,Andrea Beretta,https://www.corriere.it/economia/economia-del-futuro/notizie/andrea-beretta-0b17178a-629f-11ed-b76c-5099773a656c.shtml,22733,3761
Italian,climate,0.5600,0.0400,0.5600,YES,0.5600,0.5774,environmental change,environmental change,west nile virus,corriere_it,I boschi e le steppe sono ora pascoli per bovini Il cervo delle Ande scompare,https://www.corriere.it/pianeta2030/festival/notizie/i-boschi-steppe-sono-ora-pascoli-bovini-cervo-ande-scompare-87202278-21e7-11ef-9e8f-bd7c3b1cf1af.shtml,22733,3761
