language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Italian,health,0.5800,0.0400,0.5799,no,0.5191,0.5799,west nile virus,rising temperatures,west nile virus,corriere_it,Dopo più di un secolo le piante di caffè tornano in Sicilia: l’esperimento dell’orto botanico di Palermo,https://www.corriere.it/pianeta2030/24_maggio_25/dopo-piu-un-secolo-piante-caffe-tornano-sicilia-l-esperimento-dell-orto-botanico-palermo-6e975412-1a5b-11ef-8714-2f5a633ad6f3.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5799,no,0.5289,0.5799,undernourishment,temperature rise,undernourishment,corriere_it,"Spesa, l’inflazione si fa sentire sul carrello. Tra i prodotti più cari: olio, carne e pesce",https://www.corriere.it/economia/consumi/cards/spesa-l-inflazione-si-fa-sentire-carrello-prodotti-piu-cari-olio-carne-pesce/inflazione-si-fa-sentire-spesa_principale.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5799,no,0.4555,0.5799,west nile virus,extreme event,west nile virus,corriere_it,"Vaiolo delle scimmie, lo Spallanzani isola il virus nel liquido seminale: l'ipotesi della tramissione sessuale | Corriere.it",https://www.corriere.it/salute/malattie_infettive/22_giugno_11/vaiolo-scimmie-liquido-seminale-5df160b2-e989-11ec-aa6f-61acc9a2d510.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5799,no,0.5746,0.5799,west nile virus,extreme heat,west nile virus,corriere_it,Infrarossi termici e modelli 3D per mappare le frane: la svolta hi-tech della prevenzione dei rischi,https://www.corriere.it/pianeta2030/25_giugno_12/infrarossi-termici-modelli-3d-mappare-frane-svolta-hi-tech-prevenzione-rischi-54f37114-4767-11f0-94cd-8dda252df235.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5800,no,0.5866,0.5800,west nile virus,environmental change,west nile virus,corriere_it,«Crediti di carbonio invalidi». In Kenya una sentenza mette a rischio un sistema di compensazione di CO2,https://www.corriere.it/pianeta2030/25_gennaio_31/crediti-carbonio-invalidi-kenya-sentenza-mette-rischio-sistema-compensazione-co2-774f31b6-dfb7-11ef-9683-0fe6b8177166.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5800,no,0.5829,0.5800,west nile virus,environmental change,west nile virus,corriere_it,"Biodiversità, Isernia è la città più naturale d’Italia. Milano solo 98esima. Vercelli maglia nera",https://www.corriere.it/pianeta2030/24_ottobre_02/biodiversita-isernia-citta-piu-naturale-d-italia-milano-solo-98esima-vercelli-maglia-nera-c66e5a4c-7f54-11ef-839a-cadb37cc03c8.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5800,no,0.5041,0.5800,west nile virus,environmental change,west nile virus,corriere_it,Umberto Malapelle,https://www.corriere.it/salute/tempo-della-salute/notizie/umberto-malapelle-0a01ca44-5119-11ed-ae37-402d6a32bf5d.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5800,no,0.5339,0.5800,west nile virus,extreme event,west nile virus,corriere_it,"Zaffiro, 5 quadranti fino a 2 milioni di franchi - Corriere.it",https://www.corriere.it/orologi/cards/zaffiro-5-quadranti-fino-2-milioni-franchi/hublot-big-bang-tourbillon-automatic-purple-sapphire_principale.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5800,YES,0.5351,0.5800,west nile virus,climate crisis,west nile virus,corriere_it,"Oltre 8.000 ettari perduti, il Lazio perde il 5% della produzione: la sindrome Kvds ridisegna il paesaggio del kiwi italiano",https://www.corriere.it/pianeta2030/25_ottobre_21/oltre-8000-ettari-perduti-lazio-perde-5percento-produzione-sindrome-kvds-ridisegna-paesaggio-kiwi-italiano-b5febe2c-ae9c-11f0-84f8-74aae51e40ed.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5801,YES,0.4937,0.5801,west nile virus,heatwave,west nile virus,corriere_it,Italia a misura di cammino,https://www.corriere.it/foto-gallery/bello-italia/24_luglio_01/italia-misura-cammino-56971c3e-37c1-11ef-96fc-f908fb57f3fc.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5801,YES,0.6024,0.5801,west nile virus,carbon dioxide,west nile virus,corriere_it,Nelle profondità oceaniche c’è neve (marina) che stocca carbonio. Oggi sappiamo come potenziarla,https://www.corriere.it/pianeta2030/25_gennaio_02/nelle-profondita-oceaniche-c-neve-marina-che-stocca-carbonio-oggi-sappiamo-come-potenziarla-789435f4-c878-11ef-9607-ae0f3d9089eb.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5801,YES,0.5618,0.5801,west nile virus,ozone depletion,west nile virus,corriere_it,"Piccole Dosi di Franco Berrino | Franco Berrino: «Gli inquinanti eterni, cosa sono e 9 consigli per difendersi» | Corriere.it",https://www.corriere.it/piccole-dosi-franco-berrino/24_dicembre_05/franco-berrino-gli-inquinanti-eterni-cosa-sono-come-difendersi-64ba1250-5a1f-11ef-95ca-812749736cd2.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5802,YES,0.5446,0.5802,west nile virus,extreme event,west nile virus,corriere_it,La guerra Israele-Iran. Lo choc di Tel Aviv. La paura di Teheran,https://www.corriere.it/podcast/daily/25_giugno_16/guerra-israele-iran-choc-tel-aviv-paura-teheran-cc09c6c4-49fe-11f0-97c7-809a2a3a9ce3.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5802,YES,0.5201,0.5802,west nile virus,heatwave,west nile virus,corriere_it,Usa e Corea del Sud hanno lanciato 8 missili in risposta a quelli di Kim Jong Un: alta tensione- Corriere.it,https://www.corriere.it/esteri/22_giugno_06/usa-corea-sud-hanno-lanciato-8-missili-risposta-quelli-kim-jong-un-alta-tensione-807ba6e4-e527-11ec-8929-c5ad2690e50c.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5802,YES,0.5318,0.5802,west nile virus,climate crisis,west nile virus,corriere_it,Stretta finanziaria sugli affari di Putin. Ora a rischio sanzioni le aziende cinesi,https://www.corriere.it/economia/consumi/22_settembre_03/stretta-finanziaria-affari-putin-ora-rischio-sanzioni-aziende-cinesi-5542c758-2b06-11ed-8fa9-879da6ca29ec.shtml,22733,5790
Italian,health,0.5800,0.0400,0.5802,YES,0.6078,0.5802,quality of life,environmental change,quality of life,corriere_it,Il futuro sostenibile,https://www.corriere.it/podcast/futuro-sostenibilita-innovazione/24_ottobre_10/futuro-sostenibile-02374104-8727-11ef-a7e6-a8816a51a364.shtml,22733,5790
