language,category,threshold,window,score,passes_threshold,climate_sim,health_sim,best_keyword,climate_best_keyword,health_best_keyword,source,title,url,total_scanned,total_in_window
Czech,health,0.5600,0.0400,0.5540,no,0.4887,0.5540,undernourishment,extreme heat,undernourishment,blesk_cz,Spotřebitelský test: EXTRA PANENSKÝ OLIVOVÝ OLEJ 2024 | Blesk.cz,https://www.blesk.cz/clanek/testy-blesku/788417/spotrebitelsky-test-extra-panensky-olivovy-olej-2024.html,8637,287
Czech,health,0.5600,0.0400,0.5548,no,0.4964,0.5548,undernourishment,extreme heat,undernourishment,blesk_cz,Švantnerová si dává do těla i na dovolené: Východ slunce a jede!,https://www.blesk.cz/clanek/celebrity-ceske-celebrity/793486/svantnerova-si-dava-do-tela-i-na-dovolene-vychod-slunce-a-jede.html,8637,287
Czech,health,0.5600,0.0400,0.5551,no,0.4681,0.5551,malnourishment,extreme heat,malnourishment,blesk_cz,Fakta a mýty o tvarohu: Co o něm ještě nevíte?,https://www.blesk.cz/clanek/radce-zdravi-a-zivotni-styl-zivotni-styl/392883/fakta-a-myty-o-tvarohu-co-o-nem-jeste-nevite.html,8637,287
Czech,health,0.5600,0.0400,0.5552,no,0.5134,0.5552,west nile virus,extreme heat,west nile virus,blesk_cz,Neapol zasáhlo nejsilnější zemětřesení za 40 let: Evakuovali i ženskou věznici,https://www.blesk.cz/clanek/zpravy-krimi/786409/neapol-zasahlo-nejsilnejsi-zemetreseni-za-40-let-evakuovali-i-zenskou-veznici.html,8637,287
Czech,health,0.5600,0.0400,0.5552,no,0.4823,0.5552,west nile virus,heatwave,west nile virus,blesk_cz,Tajfun má ve Vietnamu už skoro 200 obětí. Bahno pohřbilo celou vesnici,https://www.blesk.cz/clanek/zpravy-svet/794670/tajfun-ma-ve-vietnamu-uz-skoro-200-obeti-bahno-pohrbilo-celou-vesnici.html,8637,287
Czech,health,0.5600,0.0400,0.5571,no,0.4558,0.5571,malnourishment,rising temperatures,malnourishment,blesk_cz,Šílené týrání zvířat na jihu Čech: Stovky kachen trpěly v nelidských podmínkách,https://www.blesk.cz/clanek/zpravy-krimi/789657/silene-tyrani-zvirat-na-jihu-cech-stovky-kachen-trpely-v-nelidskych-podminkach.html,8637,287
Czech,health,0.5600,0.0400,0.5589,no,0.4205,0.5589,undernourishment,climate crises,undernourishment,blesk_cz,"Pavel v Ústí, Eva Pavlová bez manžela na galavečeru v Obecním domě: Poděkování potravinovým bankám",https://www.blesk.cz/clanek/zpravy-politika/788418/pavel-v-usti-eva-pavlova-bez-manzela-na-galaveceru-v-obecnim-dome-podekovani-potravinovym-bankam.html,8637,287
Czech,health,0.5600,0.0400,0.5592,no,0.5373,0.5592,casualties,extreme heat,casualties,blesk_cz,Ina T. hodnotí letní outfity: Hop nebo TROPY! Vesnická tetka Freimanová a zvláštní střih Děrgelové,https://www.blesk.cz/clanek/celebrity-ina-t/791805/ina-t-hodnoti-letni-outfity-hop-nebo-tropy-vesnicka-tetka-freimanova-a-zvlastni-strih-dergelove.html,8637,287
Czech,health,0.5600,0.0400,0.5602,YES,0.4679,0.5602,undernourishment,temperature rises,undernourishment,blesk_cz,Příspěvek na péči o nejhůře postižené vzroste o šest tisíc. Zeman je pro,https://www.blesk.cz/clanek/zpravy-udalosti/594219/prispevek-na-peci-o-nejhure-postizene-vzroste-o-sest-tisic-zeman-je-pro.html,8637,287
Czech,health,0.5600,0.0400,0.5605,YES,0.4709,0.5605,casualties,heatwave,casualties,blesk_cz,Tragédie na Semilsku: Při bouračce dodávky zemřel spolujezdec,https://www.blesk.cz/clanek/zpravy-krimi/787151/tragedie-na-semilsku-pri-bouracce-dodavky-zemrel-spolujezdec.html,8637,287
Czech,health,0.5600,0.0400,0.5612,YES,0.4448,0.5612,malnourishment,extreme heat,malnourishment,blesk_cz,Na tyto pokojovky velký pozor! Jsou jedovaté a ohrožují děti i domácí mazlíčky,https://www.blesk.cz/clanek/bydleni-hobby/653543/na-tyto-pokojovky-velky-pozor-jsou-jedovate-a-ohrozuji-deti-i-domaci-mazlicky.html,8637,287
Czech,health,0.5600,0.0400,0.5612,YES,0.4246,0.5612,malnourishment,rising temperature,malnourishment,blesk_cz,"50 koček v nevhodných podmínkách. Podle veterinářů šlo o týrání, skončily v náhradní péči",https://www.blesk.cz/clanek/zpravy-blesk-tlapky/791135/50-kocek-v-nevhodnych-podminkach-podle-veterinaru-slo-o-tyrani-skoncily-v-nahradni-peci.html,8637,287
Czech,health,0.5600,0.0400,0.5614,YES,0.5151,0.5614,west nile virus,heatwave,west nile virus,blesk_cz,Vsaďte si na sobotní dostihy ve Velké Chuchli: Poslední zkouška před derby!,https://www.blesk.cz/clanek/regiony-praha-praha-servis/787106/vsadte-si-na-sobotni-dostihy-ve-velke-chuchli-posledni-zkouska-pred-derby.html,8637,287
Czech,health,0.5600,0.0400,0.5623,YES,0.4804,0.5623,casualties,heatwave,casualties,blesk_cz,Dnešní rozloučení s Karlem Heřmánkem (†76): Scénář celodenního pohřbu!,https://www.blesk.cz/clanek/celebrity-ceske-celebrity/794303/dnesni-rozlouceni-s-karlem-hermankem-76-scenar-celodenniho-pohrbu.html,8637,287
Czech,health,0.5600,0.0400,0.5644,YES,0.4429,0.5644,malnourishment,rising temperatures,malnourishment,blesk_cz,Tečka za Festivalem Blesk tlapek: Mountfield daroval přes půl tuny krmení opuštěným psům,https://www.blesk.cz/clanek/zpravy-blesk-tlapky/789328/tecka-za-festivalem-blesk-tlapek-mountfield-daroval-pres-pul-tuny-krmeni-opustenym-psum.html,8637,287
