language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Serbian,Serbia,blic.rs,newsapi,2230,https://www.blic.rs/biznis/moj-novac/kada-skinuti-zimske-gume-u-srbiji-evo-sta-kazu-strucnjaci-ovo-je-detaljan-vodic/e2dzd8z,"Kada skinuti zimske gume u Srbiji? Evo šta kažu stručnjaci, ovo je detaljan vodič: Pravila zakoni i realni scenariji","Važno je obratiti pažnju na jutarnje i noćne temperature, naročito ako se često vozi u tim delovima dana, jer one mogu biti niske čak i kada su dani topli

Ako te zanima kada skinuti zimske gume, najkorisniji odgovor je ovaj: većina vozača prelazi na letnje kada su temperature stabilno iznad oko 7°C, ali to nije prekidač i ne važi isto za svakoga. Presudno je kada voziš (jutro/noć ili dan), gde voziš (grad, autoput, planina) i koliko ti se vreme ""lomi"" iz dana u dan.

Zakonski okvir se vezuje za period od 1. novembra do 1. aprila i za zimske uslove na putu (sneg, led, poledica). Posle 1. aprila nema obaveze zimske opreme, ali to ne znači da treba da menjaš ""na datum"". Najpametnije je da menjaš po uslovima, jer zimske gume u toplom periodu brže trošiš i gubiš deo stabilnosti na vrućem asfaltu.

U ovom vodiču dobijaš jasan način da odlučiš: kratko objašnjenje pravila 7°C, realne scenarije, znakove da je vreme za zamenu i brzu proveru da li su tvoje zimske gume spremne da dočekaju sledeću sezonu.

Ne moraš. Kod nas se pravila o zimskoj opremi vezuju za period od 1. novembra do 1. aprila i za zimske uslove na kolovozu (kada ima snega, leda ili poledice). Posle 1. aprila nema obaveze zimske opreme, ali i dalje je na tebi da odlučiš kada je pametno preći na letnje.

Ono što je važno u praksi: čim vreme postane stabilno toplije, zimske gume počinju da rade van svog idealnog opsega. To znači da ih brže trošiš, a auto može delovati ""mekše"" i manje precizno na toplom asfaltu, naročito u krivinama i pri naglim promenama pravca.

""7°C pravilo"" je dobar kompas, ali nije garancija. Ideja je jednostavna: oko te granice se menja ponašanje gume, jer se menja i temperatura podloge na kojoj radi. Kada je hladno, zimske gume imaju prednost. Kada je stabilno toplije, letnje gume postaju logičan izbor.

Tri stvari ovde prave razliku: trend vremena, a ne jedan topao dan; činjenica da se asfalt često zagreje više nego vazduh; i tvoje vreme vožnje. Ako voziš rano ujutru ili kasno uveče, gledaš hladniji deo dana, i to utiče na odluku. Ako voziš pretežno po danu, prelazak na letnje obično može doći ranije čim se vreme ustali.

Ako želiš jednostavno pravilo koje radi u većini slučajeva: kada vidiš da je vreme stabilno toplije više dana zaredom, i da jutra više nisu ""zimska"", tada prelazak na letnje ima smisla.

U praksi, ""najbolji trenutak"" nije isti za svakoga, pa je najpametnije da odluku vežeš za svoj režim vožnje.

Ako voziš pretežno po gradu, na kratkim relacijama i uglavnom po danu, možeš ranije preći na letnje čim se vreme stabilizuje i jutra prestanu da budu hladna. Ako voziš mešovito (grad + obilaznica), i često si na putu i ujutru i uveče, obično je pametnije da sačekaš da se stabilizuju i jutarnje temperature, a ne samo dnevne.

Ako često voziš auto-putem i ideš na duže relacije, prelazak na letnje ima smisla čim se vreme ustali toplije, jer kombinacija toplog asfalta i brzine ubrzava trošenje zimskih guma i pojačava njihov ""mekši"" osećaj u vožnji. Ako često ideš...",0.5015,0.5069,temperature rises,casualties,high_climate,,,,,,
Serbian,Serbia,kurir.rs,scrapai,10368,https://www.kurir.rs/vesti/drustvo/4375885/kakvo-nas-ceka-leto-2024?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,OGROMNE SU ŠANSE DA LETO BUDE TOPLIJE OD ONOGA ŠTO SMO NAVIKLI! Šokantna prognoza klimatologa: Čekaju nas i zastrašujuće pojave,"- Kod nas su leta postala značajno toplija nego što su bila pre 30, 40 godina. Mi kao region jugoistočne Evrope imamo rekordno visok porast letnjih temperatura zbog globalnog zagrevanja i našeg geografskog položaja i premeštanja vazdušnih masa. Mi smo globalni rekorderi i za svako leto koje je pred nama, pa i ovo sada, ogromne su šanse da bude toplije od onoga na šta smo navikli u prethodnim decenijama. Šanse da će ovo leto biti značajno toplije su 70 odsto.

Iako za sada ne možemo precizno da kažemo koliko ćemo imati vrelih dana i tropskih noći, kada se teško spava jer temperatura ne ide ispod dvadesetak stepeni, nema sumnje da će biti toplotnih talasa, i to više.

- Ranije se dešavao po jedan toplotni talas godišnje, a dešavalo se i da prođe dve, tri godine bez ijednog talasa. A poslednjih desetak godina kod nas svake godine ima između dva i četiri toplotna talasa. Vrlo je moguće da i ovog leta bude desetak dana vreo talas, pa dva dana pauza, pa onda opet desetak dana vrelo.

- Kada je temeperatura napolju oko 36 stepeni, što je blizu temperature našeg organizma, i kad je relativna vlaga preko 60 odsto, tada je telu vrlo teško da se rashladi i takvi dani su nam posebno teški, još više smo umorni i pod većim pritiskom.

- Kad je vazduh topliji, u njega može da se smesti više vodene pare. A danas je kod nas vazduh topliji za jedan stepen nego što je bio pre desetak godina i zato u atmosferi u proseku ima sedam odsto više vodene pare. Svaka vrsta olujnog vremena svoju snagu crpi iz te vodene pare. Vodena para je za oblak isto što i gorivo za automobil. Što je vazduh bogatiji tom parom, oluja može da bude snažnija, da proizvde više padavina, jače vetrove, da ostane duže u atmosferi. A pošto je kod nas sada toliko te vodene pare, svaka oluja koja nam se desi može da bude razornija od onoga na šta smo navikli. I za ovo leto i svako naredno postoji rizik da se desi oluja kakvu pre toga nismo videli. Postoji rizik da se pojavi tornado koji je znatno ozbiljniji od onga što smo do sada videli. Nije pitanje više da li ćemo tako nešto videti nego kada ćemo videti - kaže Vladimir Đurđević, klimatolog.

- Zavisi od grada do grada gde se to oseća u većoj meri, ali svaka urbanizovana zona gde dominira beton je vruća zona. To su lokacije gde su temperature veće nego u delovima gde je visoko zelenilo. Trava i žbunje ne znače mnogo, već je neophodno visoko drveće. Suština je da postoji što veći prostor između objekata i visoko zelenilo da bi ta vrućina bila manja. Zato je vrlo važno da se u centru grada ne uklanja to visoko rastinje. Ono je od vitalnog značaja da temperature u gradovima budu pristojne i u toku dana i u toku noći.",0.5368,0.4690,rising temperatures,extreme poverty,high_climate,,,,,,
Serbian,Serbia,kurir.rs,scrapai,24364,https://www.kurir.rs/planeta/3614663/dvostruki-klimatski-udar-na-nemacku-na-zapadu-poplave-na-istoku-novi-sneg-pravi-haos-foto?utm_source=kurir&utm_medium=single_dontmiss&utm_campaign=adria_internal,"DVOSTRUKI KLIMATSKI UDAR NA NEMAČKU: Na zapadu poplave, na istoku novi sneg pravi haos (FOTO)","Vlasti u Nemačkoj upozorile su danas na poplave na zapadu zemlje jer topljenje snega i kia stvaraju bujice i podiu nivo reka koje se izlivaju, a na severu zemlje novi sneg koji pada zaustavio je eleznički saobraćaj.

Plovidba je zaustavljen na Rajni kod Karlsruea, a u Visenu, jugoistočno od grada Kelna, morali su da spasavaju četvoricu mukaraca nakon to se njihov čamac na naduvavanje prevrnuo u nabujalim brzacima, prenosi AP.

Vidi galeriju

DVOSTRUKI KLIMATSKI UDAR NA NEMAČKU: Na zapadu poplave, na istoku novi sneg pravi haos (FOTO) Foto: EPA-EFE/CONSTANTIN ZINN

U Bidingenu, istočno od Frankfurta, stanovnici su tokom noći izvlačili stvari iz blata koje je progutao nalet vode visok do metra.

Neprirodno toplo vreme i kia poslednjih dana ubrzavaju topljenje snega u delovima vajcarske i Nemačke, a u međuvremenu novi sneg koji pada u severnim delovima Nemačke oteava eleznički saobraćaj, pa je on tokom noći prekinut kod Bremena, Kila i Libeka, navodi agencija",0.5616,0.5754,heatwaves,west nile virus,high_climate,,,,,,
Serbian,Serbia,blic.rs,newsapi,1150,https://www.blic.rs/biznis/vesti/ferari-privremeno-obustavio-isporuke-na-bliski-istok-zbog-rata/c9vwp1c,Ferari privremeno obustavio isporuke na Bliski istok zbog rata,"U saopštenju su naveli da je odluka privremena i zavisi od daljeg razvoja događaja.

Italijanski proizvođač luksuznih sportskih automobila ""Ferari"" saopštio je danas da je privremeno obustavio isporuke na Bliski istok zbog rata u regionu.

Kompanija je navela da pažljivo prati razvoj situacije i moguće posledice po svoje poslovanje, preneo je Rojters.

""Pažljivo pratimo dešavanja na Bliskom istoku i potencijalne implikacije po naše poslovanje. U ovoj fazi smo privremeno obustavili isporuke u tom području"", navedeno je u saopštenju.

""Ferari"" je dodao da je manji broj isporuka ipak realizovan avionskim transportom.",0.5187,0.5636,extreme event,casualties,high_climate,,,,,,
Serbian,Serbia,blic.rs,newsapi,1041,https://www.blic.rs/biznis/americke-akcije-rastu-zbog-visokih-cena-nafte-uzrokovanih-ratom-na-bliskom-istoku/rme7lk3,Američke akcije rastu zbog visokih cena nafte uzrokovanih ratom na Bliskom istoku,"Na današnjem otvaranju američkih berzi akcije su bile u padu, jer su cene nafte ostale visoke zbog razvoja događaja u ratu na Bliskom istoku.

Berzanski indeks Dow Jones porastao je za 371 poen, odnosno 0,8 odsto, S&P 500 za 0,7 odsto, a Nasdaq za 0,8 odsto, preneo je CNBC.

Referentna nafta Brent poskupela je za četiri odsto, na 112 dolara po barelu, a sirova nafta West Texas Intermediate za oko jedan odsto, na 97 dolara po barelu.

Američki predsednik Donald Tramp upozorio je da će, ako bude napadnuto još postrojenja u Kataru, Sjedinjene Američke Države ""dići u vazduh celokupno gasno polje Južni Pars"".

Saobraćaj u ključnom Ormuskom moreuzu uglavnom je obustavljen, pa su lideri Ujedinjenog Kraljevstva, Francuske, Nemačke, Italije, Holandije i Japana izrazili u zajedničkom saopštenju danas izrazili ""spremnost da doprinesu kako bi se osigurao bezbedan prolaz kroz moreuz"".

Kada je reč o tehnološkom sektoru, akcije kompanije Majkron tehnolodži pale su oko četiri odsto.",0.5215,0.5937,temperature rises,west nile virus,high_climate,,,,,,
Serbian,Serbia,blic.rs,newsapi,1616,https://www.blic.rs/vremenska-prognoza/mape-spusta-se-snezna-granica-sneg-i-u-nizijama-a-negde-do-15-cm/lve5n88,"(Mape) Spušta se snežna granica, sneg i u nizijama, a negde do 15 cm","Krajem marta moguć je još jedan hladan talas, što brine poljoprivrednike zbog rizika od mraza i štete na biljnim kulturama

Dok su mnogi već spakovali zimske jakne i uživali u prvim pravim vesnicima proleća, priroda se još jednom poigrala sa našim očekivanjima. Umesto mirnog ulaska u toplije dane, pred nama je period neizvesnosti, oscilacija i neočekivanih obrta koji će nas podsetiti da je proleće na Balkanu sve samo ne predvidivo

Meteorolog Ivan Ristić ističe da je veći deo Evrope trenutno u toplijoj zoni, ali da se nazire prekid ovog trenda. Prema njegovim rečima, iako je prethodnih dana bilo relativno toplo, prava zima se još uvek nije sasvim povukla sa severa.

- Do kraja marta u većem delu Evrope biće toplije od proseka, odnosno, relativno toplo. Međutim, da bi kod nas došlo do jačeg zahlađenja koje bi potrajalo, potrebno je da se hladniji vazduh spusti severnije od nas, što srednjoročni modeli ECMWF nagoveštavaju početkom aprila - objasnio je Ristić.

On dodaje da nas već sledeće nedelje očekuju temperature koje su u granicama normale za ovaj mesec, ali uz više oblaka i povremenu kišu.

- Narednih dana maksimalne temperature će se kretati od 10 do 15 stepeni, dok će jutra biti svežija sa temperaturama od 5 do 10 stepeni. Vetar će biti pojačan jugoistočni vetar, poznatiji kao košava - kaže Ristić.

Trenutno njegovi modeli do kraja marta ne najavljuju jače zahlađenje, čak se nazire postepeni porast temperature vazduha, međutim, šta će se dešavati na samom kraju marta i početkom aprila znaće se više za koji dan.

Meteorolog amater Marko Čubrilo donosi još preciznije i, za mnoge, nepovoljnije vesti. Njegovi proračuni ukazuju na to da numerički modeli već neko vreme ""prete"" ozbiljnim zahlađenjem i padavinama.

- Danas nam je stilo hladnije vreme. Do srede posle podne ponegde će biti padavina, dok će istok i jugoistok Srbije ostati uglavnom suvi. Nakon toga, do kraja nedelje nas čeka pretežno suvo, ali relativno sveže vreme - najavio je Čubrilo.

Posebnu pažnju skreće na planinske predele gde će zima pokazati svoje prave zube. U oblastima preko 900 metara nadmorske visine očekuju se susnežica i sneg, dok bi se na visinama iznad 1.000 metara mogao formirati snežni pokrivač od 5 do 15 centimetara.

- U noći ka sredi, uz jače padavine, snežna granica bi se ponegde mogla spustiti i na oko 500 metara nadmorske visine, mada se u tim nižim predelima ne očekuje zadržavanje snega - precizira Čubrilo.

Prognoza za naredne dane ukazuje na velike temperaturne razlike širom regiona. Danas su se maksimumi kretali od svega 4 stepena na severozapadu, pa do čak 15 stepeni na jugoistoku, dok će u sredu svuda biti znatno hladnije, sa temperaturama između 3 I 10 stepeni.

Takođe, očekuje se i nagla promena smera vetra. Od noći ka sredi će početi da duva jak istočni i severoistočni vetar. Od četvrtka do kraja nedelje strujaće relativno svež, ali suv vazduh, donoseći maksimume od 5 do 13 stepeni.

Iako se oko 24. marta očekuje kratkotrajno otopljenje, radost će biti ...",0.5230,0.4927,rising temperatures,extreme poverty,high_climate,,,,,,
Serbian,Serbia,kurir.rs,scrapai,12620,https://stil.kurir.rs/vesti/125471/red-kise-red-sunca-evo-kada-ce-se-vreme-konacno-prolepsati,"Red kiše, red sunca: Evo kada će se vreme konačno prolepšati!","Ako ste očekivali malo lepše vreme u narednim danima, ta promena biće kratkog daha. Tek od sredine juna moći ćemo da se nadamo sunčanim i toplijim danima, bez padavina, a ni tada nas ne čekaju vreli dani jer najviše dnevne temperature neće prelaziti ni 30 stepeni.

Ceo maj bio je tipičan prolećni - pratilo nas je isključivo promenljivo vreme, bilo je dana sa kratkotrajnim kišnim intervalima praćenim grmljavinom, a slične vremenske prilike očekuju našu zemlju i tokom prve dve nedelje juna. Kako meteorolozi najavljuju, sredinom ovog meseca doći će do postepene stabilizacije vremena i sunčnih dana bez padavina.

Ove nedelje gotovo u čitavoj Srbiji biće smene kišnih i sunčanih perioda, sa prosečnim temperaturama do 20 stepeni Celzijusa. Temperature će tokom današnjeg dana kao i do sada biti ispod proseka za ovo doba godine, sa maksimalnom dnevnom do 18 stepeni.

Od utorka očekuje nas nešto više sunčevih zraka, a temperature će postepeno krenuti da rastu. Umereno oblačno u jutarnjim satima biće u utorak, dok će tokmo popodneva doći do slabije kiše, koja će prestati do večeri, kada će i doći do razvedravanja. Pojačan severozapadni vetar biće prisutan do srede.

Foto: Profimedia

- Od srede i četvrtka možemo očekivati stabilizaciju vremena, međutim i tada može doći do kratkotrajnih pljuskova sa grmljavinom. Temperature će na kraju ove sedmice biti u postepenom rastu - kaže meteorolog Đorđe Đurić.

Prolazno naoblačenje sa mogućim slabim padavinama očekuje se u petak, dok se vikendu posebno možemo radovati zbog temperatura do čak 30 stepeni.

Budući da je naše podneblje pogodno za grmljavinske nepogode, one nas neće zaobići ni tokom juna.

- U kombinaciji viših junskih temperatura i vlage u vazduhu, može doći do jačih oluja u delovima zemlje gde bude bilo grmljavine - rekao je Đurić.

Stanovnike u brdsko-planinskim predelima pogodiće nešto niže temperature od onih u drugim delovima Srbije.

- Cela Srbije uglavnom će biti ujednačena po temperaturama, neće biti neke znatne razlike sem u brdsko-planinskim predelima, gde će temperatura uvek biti niža za nekoliko stepeni nego na primer u Vojvodini. Eventualno tamo gde bude bilo grmljavinskih nepogoda temperatura će se na nekoliko sati sniziti, međutim, kako smo navikli i tokom prethodnog meseca, iz časa u čas smenjivaće se sunce i oblaci - dodao je Đurić.",0.5334,0.4777,rising temperatures,extreme poverty,high_climate,,,,,,
Serbian,Serbia,blic.rs,newsapi,4292,https://www.blic.rs/biznis/vesti/velika-rasprodaja-na-azijskim-trzistima-cene-nafte-se-priblizile-ceni-od-120-dolara/6blf771,Velika rasprodaja na azijskim tržištima: Cene nafte se približile ceni od 120 dolara,"Donald Tramp je na društvenim mrežama naveo da je rast cene nafte mala žrtva za borbu protiv iranske nuklearne pretnje.

Južnokorejski Kospi je u ponedeljak aktivirao svoj drugi prekidač u četiri sesije, što je izazvalo širu regionalnu rasprodaju, jer su se cene nafte približile 120 dolara po barelu prvi put od 2022. godine.

Indeks je pao za više od 8 odsto, što je dovelo do 20-minutnog zastoja trgovanja u 10:31 po lokalnom vremenu. Indeks je poslednji put pao za 8,58 odsto.

Velika kompanija Samsung Electronics pala je za više od 10%, dok je proizvođač čipova SK Hynix izgubio 12,3 odsto.

Prekidač je aktiviran prošle nedelje kada je referentna vrednost pala za više od 12% u sredu, što je njen najgori pad u jednom danu.

Fjučersi sirove nafte Brent porasli su za 26,1 odsto na 116,08 dolara, dok su fjučersi sirove nafte West Texas Intermediate skočili za 27,6 odsto na 116,03 dolara. Skok cena nafte je najveći jednodnevni dobitak od kraja 1988. godine, prema podacima LSEG-a.

Nagli rast dolazi nakon što su glavni proizvođači nafte sa Bliskog istoka, uključujući Kuvajt, Iran i Ujedinjene Arapske Emirate, smanjili proizvodnju nafte nakon zatvaranja Ormuskog moreuza.

Japanski Nikkei 225 pao je za 7,05 odsto, padajući ispod granice od 52.000 poena prvi put od januara, dok je Topix pao za 5,36 odsto.

Softbank Group Corp bio je među najvećim gubitnicima na indeksu, pavši za više od 11 odsto, dok su akcije povezane sa čipovima, kao što su Advantest i Lasertec, takođe pale za više od 13 odsto i 11 odsto, respektivno.

Kineska tržišta su zabeležila manje gubitke, pri čemu je indeks Hang Seng u Hong Kongu pao za 2,75 odsto, a CSI 300 kontinentalne Kine za 1,65 odsto.

Australijski S&P/ASX 200 pao je za 3,2 odsto, nadoknađujući ranije gubitke.

Američki predsednik Donald Tramp je, međutim, na Truth Social objavio da je porast ""kratkoročnih cena nafte"" ""veoma mala cena koju treba platiti"" za uništavanje iranske nuklearne pretnje. ""Samo bi budale mislile drugačije!"", dodao je Tramp.",0.5382,0.5823,temperature rise,west nile virus,high_climate,,,,,,
Serbian,Serbia,kurir.rs,scrapai,18958,https://www.kurir.rs/zabava/pop-kultura/3928085/konstrakta-se-neumoljivo-penje-na-kladionicama-s-20-mesta-skocila-na-ovo-stvari-se-drasticno-menjaju-nakon-odlaska-u-torino?utm_source=kurir&utm_medium=web_article&utm_campaign=adria_internal,KONSTRAKTA SE NEUMOLJIVO PENJE NA KLADIONICAMA: S 20. mesta skočila na OVO! Stvari se DRASTIČNO menjaju nakon odlaska u Torino,"Konstrakta sve bolja na kladionicama: Evo na kom je mestu nakon odlaska u Torino

Srpska predstavnica na Evroviziji, Ana Đurić Konstrakta, popela se na 11. mesto na kladionicama koje predviđaju pobednika pomenutog festivala.

Ona je u početku bila na 20. mestu, a kako vreme odmiče sve je bliža vrhu.

Konstrakta se trenutno nalazi u Torinu, a pre nego što je otišla, kladionice su joj predviđale 12. poziciju.

Svojom harizomom, glasom, stasom i fenomenalnim nastupom, osvaja sve više srca širom Evrope, te joj se tako predviđa i bolji plasman.

Foto: Printscreen

Ubedljivi favorit za pobedu na ovogodišnjoj Evroviziji je Ukrajina i muzički sastav Kaluš Orkestra, dok im je Italija, koja je i domaćin ovogodišnjeg takmičenja, za petama.

Konstrakta će se takmičiti za prolaz u finale sa Finskom, Izraelom, Azerbejdžanom, Gruzijom, Maltom, San Marinom, Australijom, Kiprom, Irskom, Severnom Makedonijom, Estonijom, Rumunijom, Poljskom, Crnom Gorom, Belgijom, Švedskom i Češkom Republikom.

Foto: EBU NATHAN REINDS

Tokom prve polufinalne večeri, 10. maja, takmičiće se Albanija, Litvanija, Švajcarska, Slovenija, Hrvatska, Ukrajina, Bugarska, Moldavija, Portugal, Austrija, Grčka, Norveška i Jermenija.

Veliko finale ovogodišnje Evrovizije biće održano u subotu, 14. maja.

Pesma Evrovizije 2022. godine biće 66. po redu izbor za Pesmu Evrovizije. Održaće se u Torinu, zahvaljujući pobedi sastava Måneskin na Pesmi Evrovizije 2021. godine u Roterdamu sa pesmom „Zitti e buoni"".

(Kurir.rs)

Bonus video:",0.5051,0.5677,heatwave,west nile virus,high_climate,,,,,,
Serbian,Serbia,kurir.rs,scrapai,18609,https://www.kurir.rs/zabava/pop-kultura/3726411/najbolja-zabava-je-u-kampu-egzit-festivala?utm_source=kurir&utm_medium=web_article&utm_campaign=adria_internal,NAJBOLJA ZABAVA JE U KAMPU EGZIT FESTIVALA: Imamo VIP karte ali smo došli da probamo kakvo je to iskustvo! (FOTO),"Postavljen na najlepšoj peščanoj plaži na Dunavu, čuvenom novosadskom kupalištu Štrand i udaljen na svega 20 minuta hoda do festivala, Egzit kamp predstavlja jedinstveno iskustvo o kome svake godine priča na hiljade mladih ljudi iz celog sveta.

Foto: Zorana Jevtić

Druženje sa festivalskim fanovima iz svih krajeva planete, spavanje pod vedrim nebom, celodnevno kupanje i muzika koja ne prestaje, samo su neka od zadovoljstava koje kamp čine nezamenljivim festivalskim iskustvom.

Foto: Zorana Jevtić

Da uđu u kapm neki su čekali i dve godine.

""Imamo vip ulaznice za festival. Hteli smo ovde da budemo. Nije stvar u novcu, već smo želeli to da iskusimo"", objašnjavaju nam posetioci iz Nemačke.

Foto: Zorana Jevtić

Gužve nema. Najbrži već zgrabili mesta u hladovini. Posla ima i za lekare, ali posetioci imaju samo problem sa žuljevima.

Foto: Zorana Jevtić

Ljubitelji muzike stigli su iz čak 70 zemalja, a najviše je Francuza u kampu. Egzit je pre 20 godina bio simbol povratka normalnog života u region, a ove 2021, znak je vraćanja normalnog života na celoj planeti. Čekam nas večeras i sutra veliko finale festivala.

Egzit, 3. dan

Main Stage 1. Remedy 20.00-20.45 2. Obojeni program 21.15-22.30 3. Asaf Avidan 22.50-00.20 4. Satori 00.35-01.50 5. Robin Schultz 02.10-03.40 6. Paul van Dyk 03.50-05.30

Foto: Zorana Jevtić

mts Dance Arena 1. Reblok 21.00-22.30 2. Space Motion 22.30-00.00 3. Meduza 00.00-02.00 4. Honey Dion 02.00-04.00 5. Hot Since 82 04.00-06.00 6. Boris Brejcha 06.00-08.00

Foto: Zorana Jevtić

Visa Fusion Stage 1. The Petting Blues 19.30-20.05 2. Deep Steady 20.20-20.55 3. Dram 21.10-21.55 4. Deaf Radio 22.10-22.55 5. E-Play 23.10-23.55 6. Elon 00.05-01.05 7. Apollo Showcase 01.15-03.15 8. Sunshine 03.35-04.50

Vidi galeriju

NAJBOLJA ZABAVA JE U KAMPU EGZIT FESTIVALA: Imamo VIP karte ali smo došli da probamo kakvo je to iskustvo! (FOTO) Foto: Zorana Jevtić

Kurir.rs

Bonus video:",0.5412,0.5775,extreme event,casualties,high_climate,,,,,,
