language,country,source,collection_method,article_id,url,title,content,climate_max_sim,health_max_sim,climate_best_keyword,health_best_keyword,sample_bucket,climate,health,health_climate_impact,climate_justification,health_justification,impact_justification
Ganda,Uganda,bukedde.co.ug,scrapai,43,https://www.bukedde.co.ug/ebifaananyi/BUK_103185_032026/uganda-mu-bifaananyi-35,Uganda mu bifaananyi 35,"Bingi ebyabaddewo mu ggwanga ku Lwokusatu nga June 16,2021 kyokka waliwo ebyakize ku binnaabyo.

Mu bino mwe muli okulonda baminisita okugenda mu maaso mu palamenti n'okutongoza oluguudo oluzimbibwa Uganda n'eggwanga lya DR Congo. Tukuleetedde ebimu ku bifaananyi okukulaga ebyabaddeyo

_________________

Palamenti ekoma leero ku Lwokuna nga June 17,2021 okwekkeeneenya kabineeti ya pulezidenti museveni ey'ekisanja ekya 2021/2026. Okwekkeneenya baminisita kwatandika kubadde kugenda mu maaso okuva ku ntandikwa ya wiiki eno.

Ku Lwokusatu baminisita abaakalondebwa baalabikako eri akakiiko ka palamenti akavunaanyizibwa ku by'okukakasa abalondeddwa,okumanya oba bayiseemu oba nedda.

Baminisita bano tubakuleetedde nga batuuka ku palamenti n'engeri gye baalabise mu maaso g'akakiiko nga balinda okumanya ebyavuddeyo.

Joyce Moriku Kaducu arrived to be vetted for her appointment as Minister of State for Education and Sports (Primary Education)

Joyce Moriku Kaducu, State Minister w'ebyenjigiriza n'ebyemizaanyo (Primary Education)

Gen. Katumba Wamala was vetted for his reappointment as Minister of Transport and Works

Gen. Katumba Wamala

Ikuye Magode Ikuya, for Minister of State for East African Affairs, had to be supported

Ikuye Magode Ikuya, owa East African Affairs

Dr. John Chrysostom Muyingo arriving to be approved as Minister of State for Education and Sports (Higher Education) appointee

Dr. John Chrysostom Muyingo

Bright Rwamirama

Jennifer Namuyangu got the nod for the position of Minister of State for Bunyoro Affairs

Jennifer Namuyangu

Fred Bwino Kyakulaga was approved as agriculture State minister

Fred Bwino Kyakulaga

__________________________________

Pulezidenti Yoweri Kaguta Museveni ne munne owa DR Congo Felix Tshisekedi batemye evuunike ery’enguudo uganda z'egenda okuzimba e Congo ezibalirirwamu obukadde bwa ssente za america 330.

Pulezidenti, mukulu munne amulindedde ku nsalo e Mpondwe mu Disitulikiti y’e Kasese gyebasoose okutongoza olutindo olugatta Uganda ku DR Congo.

RELATED: Launch of Uganda-DRC construction works in Kasese

________________________________

Bongedde ddoozi za AstraZenec endala emitwalo 175,200 mu kaweefube w'okugema ekirwadde kya covid 19 mu ggwanga. Zino zaatuuse ku kisaawe ky'ennyonyi e Entebbe eggulo okuyita mu kkampuni y'ennyonyi eya KLM.",0.5789,0.6499,heatwave,west nile virus,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,164,https://www.bukedde.co.ug/kasalabecca/BUK_151152_032026/nsobola-okuzaala-naye-sisobola-kufumbirwa---s,Nsobola okuzaala naye sisobola kufumbirwa. - Sheebah Karungi,"Runyankole
Luganda
English
Luganda
Login
Login to access premium content
VISION TVS & RADIO
NEW VISION NEWS
KAMPALA SUN
Kasalabecca
Nsobola okuzaala naye sisobola kufumbirwa. - Sheebah Karungi
Nsobola okuzaala naye sisobola kufumbirwa. - Sheebah Karungi
Nsobola okuzaala naye sisobola kufumbirwa. - Sheebah Karungi
By: Bukedde Omusunsuzi,
Journalists
@NewVision
Emboozi Ezifanagana
Kasalabecca
Omulere gukamudde afande!
Kasalabecca
Afande yunifoomu emunyumidde............
Kasalabecca
DJ Slick Stuart agudde mu bintu
Kasalabecca
Madrat ne Chiko beetondedde Bebecool
Kasalabecca
Omuyimbi wa Gosipo ajaguzza amazaalibwa ga mukyala we mu sitayiro
Kasalabecca
Bamakoma omuziki bagukuba nkya e Kololo!",0.5763,0.6511,heatwave,chikungunya,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,400,https://www.bukedde.co.ug/kasalabecca/BUK_155104_032026/kafulu-mu-kufuuwa-emirere-akomyewo-mu-ggwanga,Kafulu mu kufuuwa emirere akomyewo mu ggwanga,"KAFULU mu kufuuwa omulere, Isaiah Katumwa olutonnye ku ekisaawe e Ntebe, n’awaga.
Ono abadde mu America gye yagenda mu 2019 era abadde akola guno na guli wabula ng’afunawo akadde akafuuwa omulere naddala
ng’ali ku mutimbagano.
Abamu babitebya nti akomeddewo ddala ate abalala nti yapangisiddwa okuyimba ku kivvulu kya ‘Jazz’ nti era olunaakimala ng’addayo ku kyeyo. Bwe yatonnye ku kisaawe ky’ennyonyi e Ntebe, yatageezezza nga bw’abadde asubwa Uganda nga n’abeerimbika mu kufuuwa omureere nga bawoza nti yagenda, ke kaseera beekaabireko kuba akomyewo na nkuba mpya.",0.5660,0.6274,heatwave,west nile virus,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,25,https://www.bukedde.co.ug/ebifaananyi/BUK_134909_032026/ebifaananyi-poliisi-ngekwata-ababaka-ba-palam,Ebifaananyi  poliisi ng'ekwata ababaka ba palamenti  abakazi,"Bya Musasi Waffe
Biibino ebifaananyi ebiraga poliisi engeri gye yakuttemu ababaka ba palamenti abakazi 11 abaabadde beekalakaasizza wabweru wa palamenti eggulo.
Bano baabadde beekalakaasizza wabweru wa palamenti nga bawakanya engeri gye balemesebwamu emikolo gy’okukuza olunaku lw’abakyala.
Ababaka Nga Batandika Okwekalakaasa.
Ababaka Nga Beekalakaasizza Ku Palamenti
Wano Nga Bayomba Ne Poliisi
Omubaka Nga Bamuyingiza Mu Mmotoka
Ababaka Nga Babanyiga Mu Mmotoka
Omubaka Nga Abapoliisi Bamunywezezza
Mu bano mwabaddemu: Joyce Bagala, Stella Apolot, Juliet Kakande, Florence Kabugho, Betty Ethel Naluyima, Joan Acom Alobo, Asinansi Nyakato, Hellen Nakimuli, Joan Namutawe, ne Hanifa Nabukeera. Ebifaananyi byonna bya Mariam Namutebi.
Oluvannyuma Sipiika wa Palamenti yabiyingiddemu ne bateebwa.",0.5649,0.6198,heatwave,west nile virus,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,167,https://www.bukedde.co.ug/kasalabecca/BUK_157570_032026/martha-mukisa-atangaaza-ku-byokuzaala,Martha Mukisa atangaaza ku by'okuzaala,"Runyankole
Luganda
English
Luganda
Login
Login to access premium content
VISION TVS & RADIO
NEW VISION NEWS
KAMPALA SUN
Kasalabecca
Martha Mukisa atangaaza ku by'okuzaala
Martha Mukisa atangaaza ku by'okuzaala
Martha Mukisa atangaaza ku by'okuzaala
By: Bukedde Omusunsuzi,
Journalists
@NewVision
Emboozi Ezifanagana
Kasalabecca
Bamakoma omuziki bagukuba nkya e Kololo!
Kasalabecca
DJ Slick Stuart agudde mu bintu
Kasalabecca
Omuyimbi wa Gosipo ajaguzza amazaalibwa ga mukyala we mu sitayiro
Kasalabecca
Afande yunifoomu emunyumidde............
Kasalabecca
Omulere gukamudde afande!
Kasalabecca
Madrat ne Chiko beetondedde Bebecool",0.5647,0.6375,heatwave,chikungunya,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,1004,https://www.bukedde.co.ug/amawulire/BUK_159942_032026/abantu-14-balumiziddwa-mu-bubbi-bwa-pikipiki,Abantu 14 balumiziddwa mu bubbi bwa pikipiki,"ABANTU 14 be balumiziddwa mu bubbi bwa pikipiki obw'enjawulo obuzze bubaawo mu Kampala n'emiriraano.
Okuva mu June w'omwaka oguwedde okutuusa kati, pikipiki ezisoba mu 40, ze zaakabbibwa era ng'abantu 14 banyiga biwundu, era nga poliisi yaakakwatako 5 abagambibwa okuba ababbi.
Mu kikwekweto ekikoleddwa e Lubowa mu Ndejje mu Ssaabagabo Makindye e Wakiso, era bazudde ppikipiki emu nnamba UMA 663 HM egambibwa okuba enzibe .
Omwogezi wa poliisi mu Kampala, Racheal Kawala, agambye nti omuyiggo gw'abantu abalala, gukolebwa okusobola okumalirawo ddala obubondo buno.",0.5625,0.6356,heatwave,chikungunya,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,206,https://www.bukedde.co.ug/kasalabecca/BUK_155532_032026/bebecool-alubaamu-ye-empya-emuwuuba,Bebecool alubaamu ye empya emuwuuba,"BIG Size Bebe Cool, olutambi lwe olupya lumuwuuba. Luno yaluyise Breaking The Chains, lw’agenda okufulumya mu butongole omwezi guno nga guggwaako era agamba lumumazeeko akawumbi k’ensimbi kalamba okulukolako.
Ku Ssande, yayise abawagizi be (Team Gagamel) e Kiwatule okutema empenda butya ennyimba ku lutambi luno bwe zigenda okukwatayo.
Ennyimba entono ze yaakafulumyako okuli; Circumference ne Motivation tezinnasensera bawagizi be nga y’emu ku nsonga eyamuyisizza abawagizi be, basale amagezi ku kiddako.
Mu lukungaana lwe lumu, Bebe Cool yabasabye okumuyiirawo omubiri naddala mu biseera bino ng’okulonda kwa bonna mu Uganda kusembedde. Oba wano yabadde ategeeza ki?",0.5617,0.5860,heatwave,west nile virus,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,412,https://www.bukedde.co.ug/kasalabecca/BUK_158182_032026/emizannyo-gyabaliko-obulemu-giyingidde-olunak,Emizannyo gy'abaliko obulemu giyingidde olunaku olw'okusatu e Masaka,"Egyazanyiddwa mu mpaka z'abaliko obulemu

Okukanyuga akazito (short put)

1. F46 Joash Ainebyona 8.20m

2. F46 Irampaye Foste 4.72

3. F44 Kinobe Wahabu 6.27

4. F44 Moize Paskari 5.42

Okukanyuga olunyago (Javelin)

1. Chebet charity 13.30m

2. Brenda Nabwire 13.10m

3. Diana Muwanguzi 10.25m

Showdown (Bawala)

Makerere university 11-18 MUBS

Kyambogo university 16-14 Gulu university

Balenzi

Makerere university 14-16 MUBS

Kyambogo university 13-13 Gulu university

Goal Ball

Kyambogo university 5-2 MUBS

Makerere university 2-0 Gulu university

PULEZIDENTI w'ekibiina ekiddukanya emizannyo gy'abaliko obulemu mu ggwanga ekya Uganda National Paralympic Committee Hon. Mpindi Bumaali asabye bannabyamizannyo abaliko obulemu okutwala ebyemizannyo nga omulimu okusobola okutumbuula embeera zaabwe ez'ebyenfuna.

okukasuka obuzito

Bino Bumaali yabyogeredde mu mizannyo gyabaliko obulemu egigenda mu maaso mu kibuga Masaka nga giyingidde Olunaku olwokusatu. “ ebyemizannyo Kati gwafuuka mulimu gwenyini ogusasula ekiralu singa oba otaddemu amaanyi n'oguzanyira ku daala lyensi yonna”. Bumaali bweyagambye.

Bumaali yayongeddeko nti nga ekibiina beetegefu okugenda mu buli kasonda k'eggwanga nga bafeffeta ebitone ebyenjawulo mu bantu abaliko obulemu yadde nga emirundi mingi ensimbi tezibasobozesa. “ abavubuka bangi abaliko obulemu abatafuna mukisa kulaga bitone byabwe, naye bwetutegeka emizannyo bwegiti mu bitundu byeggwanga ebyenjawulo tuzuula abavubuka bangi naye olwebbula lyensimbi tuba tetusobola kutuuka ku buli omu.

Empaka z'obugaali

Mu mizannyo egyazanyiddwa Olunaku lw'eggulo Ayuubu Kiruyi owa Kyambogo university yeyasinze Okukanyuga akazito mu mutendera gwa university ate Joash Ainebyona owa district ye Isingiro nanywa mu banne akendo mu kukanyuga olunyago nga Ono yakanyuze mmita 8.20 naddirirwa Foste Irampaye owa mmita 4.72.

Kyambogo University yeefuse emizannyo gya goal ball nga yakubye MUBS 5-2 ate Makerere university nekuba Gulu university 2-0 neyesogga oluzannya oluddako.

Emizannyo gyakukomekkerezebwa Olunaku olwenkya nomukolo ogwokugaba emidaali nebikopo.",0.5617,0.6273,heatwave,west nile virus,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,59,https://www.bukedde.co.ug/ebifaananyi/BUK_142708_032026/agabuutikidde-full-bulletin,AGABUUTIKIDDE FULL BULLETIN,"Omuwendo gw'abayizi abafudde oluvanyuma lwa nabbambula 'omuliro ogwakute ekisulo ky'abayizi abalenzi ab'ekibiina Kya Top ne P.1 ku ssomero lya kasaana junior School mu division ya Nyendo Mukungwe mu kibuga Masaka gulinnye. Mu kiseera kino abaana abaafa baweze musanvu. ///////////////////////////////////////////////////////////////////////////////////////////// Abasuubuzi b’e Nuuni abegattira mu kibiina kya Fish Maws and Traders Association Uganda limited bakaabidde mu kakiiko ka Palamenti ak’ebyobulimi n’obulunzi bwebabadde balombojja okusomozebwa kwebayitamu omuli n’omusolo ogubabinikibwa nga guno gubalese batubidde. ///////////////////////////////////////////////////////////////////////////////////////////// Omulamuzi Alice Komuhangi owa kkooti ewozesa emisango jabakalintalo n'abatujju eya International Crimes Division asingisizza abagalana bannansi ya American emisango mukaaga ejekuusa ku kukukusa ebugye n'okulitulugunya era nabalagira okusasula okusibwa emyezi esatu mu kkomera n'okuliwa obukadde 105m. ///////////////////////////////////////////////////////////////////////////////////////////// Minisitule y’ebyettaka egenda mu maaso n’okwogerezeganya n’essiga eddamuzi okulaba engeri gyebasobola okwanguyirizaamu okuwuliriza emisango gy’ettaka.Byogeddwa Judith Nalule Nabakooba minisita w’ebyettaka,amayumba n’okuteekerateekera ebibuga bwabadde aggulawo olukungaaba olw’ennaku essatu olukwata ku nkozesa y’ettaka. ///////////////////////////////////////////////////////////////////////////////////////////// Okuwuliira ogw'okuwamba n'okutta omuwala Suzan Magara tekugenze mu maaso olwa abasibe okwemulugunyizza omulamuzi agulimu Alex Ajiiji Mackay nga enjala bwebaluma tebalidde kyagulo olwa kkooti okugwa ekikerezi olunaku lwa jjo era nti tebasuziddwa gyebalina kusula era bwatyo omulamuzi nagwongezaayo okutuusa olunaku lw'enkya. ///////////////////////////////////////////////////////////////////////////////////////////// Baddereeva ba takisi abakolera ku luguudo lwa Northern Bypass bavudde mu mbeera nebeekandagga nga balumiriza abakulembeze baabwe abasusse okubaliisa akakanja. ///////////////////////////////////////////////////////////////////////////////////////////// Abantu ab’enjawulo bongedde ebbugumu mu nteekateeka z’embaga ya Kyabazinga bwebawaddeyo ebintu.Aba Euro foam bawaddeyo ekitanda kwanasula so nga n’aba NUP bawaddeyo ensimbi obukadde 10. ////////////////////////////////////////////////////////////////////////////////////// Abantu abaliko obulemu bw’obutalaba n’obutawulira balombozze enaku gyebayitamu n’okubeera mu bulabe bw’okukwatibwa akawuka aleeta mukenenya. Babadde ku Africana aba Uganda Aids commission gyebatongolezza eby’ogera ku mukenenya ebikyuusiddwa mu lulimi abaliko obulemu buno lwebategeera. /////////////////////////////////////////////////////////////////////////////////////// Enteekateeka z’okuzza obujja Enkalala zabalonzi ezekibiina Kya Nrm ziri mu gira, abakulira ebyokulonda mu disitulikiti basabidwa okuwandiisa abantu awata...",0.5614,0.6355,heatwave,west nile virus,high_climate,,,,,,
Ganda,Uganda,bukedde.co.ug,scrapai,198,https://www.bukedde.co.ug/kasalabecca/BUK_128983_032026/tondeka-e-kiwaatule-womulundi-guno-abooze-nay,'Tondeka e Kiwaatule' w'omulundi guno abooze n'ayitawo!,"Big Size munene munene, manya Bebe Cool yatuukirizza buli kye yasuubiza okuli abayimbi abanene ab’enjawulo okuyimba, obukuumi obw’amaanyi eri abantu nga bagenda n’okuddayo awaka, okuteerawo abaagala emipiira entimbe we basobola okulabira liigi ya Bungereza n’ebirala bingi.
Abadigize nga bawanise obutebe ng'omuziki gubayingidde.
Kyabadde kijjobi kyennyini mu kivvulu kya Tondeka e Kiwatule anti buli muntu obwedda agenda awali ebimusanyusa era abantu baabinuse okutuukira ddala ku ssaawa 8:00 ogw’ekiro nga nnyinimu Bebe Cool ye yakigadde..
Fik Fameica.
Eno waabaddeyo abayimbi bayitirivu okuli Chameleone, Eddie Kenzo, Paasita Bugembe, Levixone, Weasel, Azawi, Fik Fameica, Grenade, Mudra n’abalala nga be baasanyusizza abadigize.
Chameleone ng'ayimba e Kiwatule.
Bebe Cool yeebazizza abantu okugenda mu kivvulu n’ategezea nti ebintu byakwongera okutereera kubanga ate ne kumulundi gun o balabye eby’enjawulo bingi ate nga birungi gye bali.Pasiita Bugembe ng'ayimba.
Kenzo naye yabaddeyo.",0.5611,0.6135,heatwave,chikungunya,high_climate,,,,,,
